Dates,KMX
2018-06-20,72.37999725341797
2018-06-21,70.26000213623047
2018-06-25,76.19999694824219
2018-06-22,76.16000366210938
2018-06-26,75.06999969482422
2018-06-27,74.30000305175781
2018-06-28,73.29000091552734
2018-06-29,72.81999969482422
2018-07-02,72.08000183105469
2018-07-03,74.01000213623047
2018-07-05,74.37000274658203
2018-07-16,75.66000366210938
2018-09-18,76.48999786376953
2019-01-24,76.4800033569336
2019-09-05,75.44999694824219
2018-11-21,75.68000030517578
2020-01-13,76.56999969482422
2020-04-01,76.62999725341797
2020-06-19,77.0
2019-10-29,76.73999786376953
2020-01-16,77.33000183105469
2020-06-22,77.05000305175781
2018-10-03,76.9000015258789
2018-07-31,74.91999816894531
2019-03-12,74.11000061035156
2019-02-08,75.0
2019-01-07,74.47000122070312
2018-12-06,74.61000061035156
2019-08-19,74.36000061035156
2019-07-18,72.9000015258789
2019-05-15,72.6500015258789
2019-09-20,73.06999969482422
2019-11-01,73.9800033569336
2020-04-07,74.69000244140625
2020-06-25,74.77999877929688
2020-06-16,74.12000274658203
2019-11-04,72.83999633789062
2020-01-22,72.19000244140625
2019-11-07,72.6500015258789
2020-04-13,72.08999633789062
2019-07-01,72.72000122070312
2019-05-30,72.75
2018-08-15,73.70999908447266
2018-10-18,75.16000366210938
2019-03-27,75.33999633789062
2019-01-22,74.5999984741211
2018-12-21,74.72000122070312
2019-09-03,76.25
2018-11-19,76.66999816894531
2019-08-02,77.11000061035156
2020-01-28,77.08000183105469
2020-04-16,76.87000274658203
2019-11-13,77.58999633789062
2020-01-31,78.44000244140625
2018-12-04,78.16999816894531
2018-11-02,77.93000030517578
2019-07-16,79.52999877929688
2018-08-30,79.66000366210938
2018-10-01,80.26000213623047
2019-06-14,80.06999969482422
2019-05-13,79.4000015258789
2019-04-11,79.66000366210938
2019-02-06,77.7699966430664
2019-09-18,78.16000366210938
2020-02-03,77.98999786376953
2020-04-22,78.01000213623047
2019-11-19,75.36000061035156
2020-02-06,74.69999694824219
2019-11-22,72.6500015258789
2019-03-25,73.37999725341797
2019-02-21,73.69000244140625
2018-12-19,73.5199966430664
2018-07-12,72.97000122070312
2018-09-14,73.12999725341797
2018-08-13,71.81999969482422
2018-10-16,70.44000244140625
2019-07-31,70.33999633789062
2019-05-28,70.12999725341797
2019-04-26,68.56999969482422
2020-04-28,67.51000213623047
2019-11-25,66.88999938964844
2020-02-12,67.73999786376953
2020-05-01,68.33000183105469
2020-05-04,68.66000366210938
2019-06-12,68.05000305175781
2019-04-09,68.2300033569336
2019-03-08,68.01000213623047
2019-02-04,66.9000015258789
2018-07-27,67.95999908447266
2018-08-28,68.36000061035156
2019-01-03,68.94999694824219
2019-08-15,69.7699966430664
2018-10-31,67.80000305175781
2019-09-16,67.83000183105469
2020-02-18,67.80999755859375
2020-05-07,68.94000244140625
2018-08-17,69.22000122070312
2019-12-04,69.5999984741211
2020-02-21,67.4000015258789
2018-12-17,67.54000091552734
2019-08-30,65.44000244140625
2018-11-15,64.80000305175781
2019-07-29,65.12000274658203
2019-06-27,62.75
2019-04-24,61.54999923706055
2018-07-10,60.959999084472656
2018-09-12,61.970001220703125
2019-02-19,58.959999084472656
2019-01-18,60.97999954223633
2020-02-24,62.099998474121094
2020-05-13,62.540000915527344
2019-12-10,63.40999984741211
2020-02-27,64.2300033569336
2019-12-13,65.73999786376953
2020-05-19,65.2699966430664
2019-03-06,65.66000366210938
2018-11-30,63.540000915527344
2019-08-13,62.2400016784668
2019-07-12,62.290000915527344
2019-06-10,61.4900016784668
2019-05-09,62.119998931884766
2018-07-25,63.16999816894531
2018-09-27,62.0099983215332
2018-10-29,60.93000030517578
2019-10-16,59.790000915527344
2019-12-16,59.33000183105469
2020-03-04,57.5
2020-05-22,55.2400016784668
2019-10-01,55.58000183105469
2019-12-19,57.9900016784668
2018-09-10,59.20000076293945
2019-05-24,60.91999816894531
2018-08-09,62.15999984741211
2019-04-22,61.88999938964844
2019-03-21,61.59000015258789
2019-01-16,61.77000045776367
2019-08-28,62.529998779296875
2018-11-13,64.25
2018-10-12,63.290000915527344
2019-06-25,65.12999725341797
2020-03-10,63.880001068115234
2020-05-28,64.5
2019-10-07,64.12999725341797
2020-03-13,63.93000030517578
2019-10-10,62.33000183105469
2020-03-16,63.52000045776367
2020-06-03,61.18000030517578
2018-11-28,59.040000915527344
2018-09-25,57.95000076293945
2018-07-23,58.95000076293945
2018-08-24,59.61000061035156
2019-07-10,58.18000030517578
2019-05-07,58.040000915527344
2019-04-05,57.97999954223633
2019-03-04,58.5099983215332
2019-01-31,58.040000915527344
2019-09-12,59.13999938964844
2019-12-31,60.7400016784668
2020-03-19,60.880001068115234
2020-01-03,59.7400016784668
2020-06-09,59.540000915527344
2019-02-15,60.04999923706055
2019-01-14,60.209999084472656
2018-07-06,60.290000915527344
2018-08-07,60.060001373291016
2018-10-10,61.4900016784668
2018-12-13,61.70000076293945
2019-08-26,62.16999816894531
2019-07-25,61.209999084472656
2019-05-22,60.459999084472656
2019-03-19,59.75
2020-01-06,59.68000030517578
2020-03-25,60.13999938964844
2020-06-12,60.0
2019-10-22,61.08000183105469
2020-01-09,59.220001220703125
2020-06-15,59.58000183105469
2019-10-25,60.84000015258789
2020-03-31,59.439998626708984
2020-06-18,58.189998626708984
2019-04-03,58.220001220703125
2018-08-22,59.619998931884766
2018-10-25,60.63999938964844
2019-01-29,59.93000030517578
2018-12-28,60.29999923706055
2018-11-26,60.099998474121094
2019-08-09,59.349998474121094
2019-07-08,59.529998779296875
2019-06-06,60.75
