Dates,KMX
2018-08-20,1912600.0
2018-10-23,2085500.0
2019-05-03,905900.0
2019-04-01,775900.0
2019-02-28,1024900.0
2019-11-12,1058400.0
2020-01-30,772800.0
2019-11-15,1459700.0
2020-04-21,972100.0
2019-04-16,1341400.0
2019-03-15,1639700.0
2019-02-11,1616300.0
2019-01-10,997600.0
2019-08-22,1230900.0
2018-11-07,1067100.0
2018-08-03,1179700.0
2018-09-04,981000.0
2019-06-19,1029100.0
2019-09-23,1860300.0
2019-11-18,1309800.0
2020-02-05,1192200.0
2020-04-24,1812500.0
2019-03-29,2534800.0
2019-11-21,2585600.0
2020-04-27,1558400.0
2020-02-11,1876200.0
2020-04-30,1854600.0
2019-05-01,2575100.0
2019-02-26,1167500.0
2019-01-25,1369100.0
2018-12-24,1173200.0
2019-09-06,1631600.0
2018-07-17,1877400.0
2018-09-19,1269600.0
2019-08-05,1398600.0
2019-10-08,2788100.0
2019-12-11,10383200.0
2019-11-27,4026800.0
2020-02-14,2006900.0
2020-05-06,1696300.0
2019-01-08,1793300.0
2018-12-07,2175500.0
2019-08-20,1908400.0
2018-11-05,2423000.0
2019-07-19,1112900.0
2018-10-04,1280700.0
2019-06-17,1237900.0
2019-05-16,1364800.0
2018-08-01,1308900.0
2019-03-13,1061700.0
2019-12-03,1259800.0
2020-02-20,998900.0
2019-12-06,3757800.0
2020-05-12,1766700.0
2019-12-09,2115800.0
2020-02-26,1931800.0
2020-05-15,1186600.0
2019-03-28,1285600.0
2018-09-17,1536600.0
2018-08-16,1053600.0
2018-10-19,1418400.0
2019-04-29,1399300.0
2019-01-23,1597300.0
2019-09-04,1556500.0
2018-11-20,1033500.0
2019-07-02,1343400.0
2019-05-31,1244800.0
2019-12-12,1078100.0
2020-05-18,1821200.0
2019-09-27,1942400.0
2020-03-03,1066300.0
2020-05-21,914600.0
2019-05-14,1334900.0
2018-08-31,1244500.0
2018-07-30,873400.0
2018-10-02,1070100.0
2019-04-12,1403100.0
2019-03-11,1179400.0
2019-02-07,1333500.0
2019-07-17,935800.0
2019-09-19,1769500.0
2019-10-21,1264600.0
2019-12-18,1521700.0
2020-03-06,1142900.0
2019-10-03,860200.0
2020-03-09,1077300.0
2020-05-27,1349300.0
2019-12-24,1439400.0
2020-03-12,1255300.0
2018-12-20,1090200.0
2019-08-01,1047200.0
2018-08-14,1520600.0
2018-07-13,1630300.0
2018-10-17,1453000.0
2019-05-29,970200.0
2019-03-26,1031800.0
2019-02-22,1222600.0
2019-10-04,1270900.0
2019-11-05,1213700.0
2019-12-27,1660700.0
2020-06-02,2696900.0
2019-12-30,6352600.0
2020-03-18,1540500.0
2020-06-05,890600.0
2019-07-15,1071600.0
2018-12-03,1212400.0
2019-06-13,1758300.0
2019-01-04,1249500.0
2018-08-29,1005600.0
2019-02-05,860600.0
2018-11-01,1098500.0
2019-08-16,923000.0
2019-04-10,900200.0
2019-09-17,947100.0
2019-10-15,1754500.0
2020-01-02,676800.0
2020-06-08,1486500.0
2019-10-18,936500.0
2020-03-24,779200.0
2020-06-11,1680900.0
2020-01-08,1253400.0
2019-04-25,1658000.0
2019-07-30,790600.0
2019-02-20,892100.0
2018-07-11,859900.0
2018-09-13,951000.0
2018-10-15,707900.0
2019-06-28,813900.0
2018-12-18,983400.0
2018-11-16,839700.0
2019-10-02,758500.0
2020-03-27,849800.0
2020-01-10,761700.0
2019-10-24,772000.0
2020-03-30,780300.0
2020-06-17,648400.0
2020-01-14,1055100.0
2020-04-02,670500.0
2019-01-02,834900.0
2019-08-14,1172800.0
2018-10-30,1042600.0
2019-06-11,1164100.0
2019-05-10,686000.0
2019-04-08,594800.0
2018-08-27,742700.0
2018-07-26,765300.0
2018-09-28,1080100.0
2019-03-07,636900.0
2019-10-30,397600.0
2020-01-17,951200.0
2020-06-23,1535800.0
2020-04-08,938400.0
2020-06-26,1336400.0
2019-03-22,1310800.0
2019-01-17,911200.0
2019-08-29,991000.0
2018-11-14,810600.0
2019-06-26,840100.0
2018-09-11,1024300.0
2018-07-09,1616500.0
2018-08-10,945600.0
2019-04-23,1544600.0
2019-09-30,1984700.0
2020-01-23,6536100.0
2019-11-08,3562000.0
2020-04-14,959900.0
2019-11-11,1706800.0
2020-01-29,1377100.0
2020-04-17,1421400.0
2018-07-24,1256900.0
2018-09-26,2038800.0
2019-05-08,1475400.0
2019-03-05,1345200.0
2019-02-01,1187700.0
2018-12-31,1651100.0
2018-11-29,1153500.0
2019-08-12,2066100.0
2019-07-11,1340800.0
2019-09-13,1543600.0
2019-11-14,1343900.0
2020-04-20,1202500.0
2020-02-04,1703400.0
2020-04-23,1549000.0
2018-12-14,1162700.0
2019-08-27,746200.0
2018-08-08,1096200.0
2018-10-11,1015000.0
2018-11-12,1104600.0
2019-07-26,898100.0
2019-06-24,911200.0
2019-05-23,1231500.0
2019-03-20,1816700.0
2019-01-15,1208800.0
2019-11-20,772000.0
2020-02-07,955200.0
2020-02-10,1026100.0
2020-04-29,845600.0
2019-11-26,945100.0
2020-02-13,654400.0
2019-01-30,749900.0
2018-08-23,729900.0
2018-09-24,767900.0
2018-11-27,907300.0
2018-10-26,1081600.0
2019-07-09,864400.0
2019-06-07,948500.0
2019-05-06,1049900.0
2019-04-04,988900.0
2019-09-11,1507500.0
2019-11-29,2582300.0
2020-05-05,1827600.0
2019-12-02,1875500.0
2020-02-19,1238200.0
2020-05-08,1439200.0
2019-05-21,1680200.0
2019-03-18,2988800.0
2018-09-07,2251500.0
2018-08-06,2056200.0
2018-10-09,2535300.0
2019-02-14,2560700.0
2018-12-12,4720700.0
2019-07-24,3979300.0
2019-09-26,4240200.0
2019-10-28,3107400.0
