Dates,KMX
2018-06-20,72.7699966430664
2018-06-21,71.05000305175781
2018-06-25,80.19000244140625
2018-06-22,76.72000122070312
2018-06-26,75.38999938964844
2018-06-27,74.30999755859375
2018-06-28,73.44999694824219
2018-06-29,72.87000274658203
2018-07-02,73.73999786376953
2018-07-03,74.19999694824219
2018-07-05,76.11000061035156
2018-07-16,76.41000366210938
2018-09-18,76.5999984741211
2019-01-24,76.54000091552734
2019-09-05,75.72000122070312
2018-11-21,76.56999969482422
2020-01-13,76.91999816894531
2020-04-01,77.25
2020-06-19,77.66999816894531
2019-10-29,77.37000274658203
2020-01-16,77.69999694824219
2020-06-22,77.13999938964844
2018-10-03,77.70999908447266
2018-07-31,75.5999984741211
2019-03-12,75.19999694824219
2019-02-08,75.37000274658203
2019-01-07,74.81999969482422
2018-12-06,75.08999633789062
2019-08-19,74.68000030517578
2019-07-18,73.2300033569336
2019-05-15,73.30000305175781
2019-09-20,74.69000244140625
2019-11-01,75.44999694824219
2020-04-07,75.58000183105469
2020-06-25,74.93000030517578
2020-06-16,74.16999816894531
2019-11-04,73.08000183105469
2020-01-22,72.38999938964844
2019-11-07,72.83999633789062
2020-04-13,72.76000213623047
2019-07-01,72.80000305175781
2019-05-30,73.62999725341797
2018-08-15,74.80000305175781
2018-10-18,75.81999969482422
2019-03-27,75.33999633789062
2019-01-22,75.02999877929688
2018-12-21,75.48999786376953
2019-09-03,76.66999816894531
2018-11-19,77.12000274658203
2019-08-02,77.68000030517578
2020-01-28,77.20999908447266
2020-04-16,78.05000305175781
2019-11-13,78.8499984741211
2020-01-31,78.86000061035156
2018-12-04,78.23999786376953
2018-11-02,78.86000061035156
2019-07-16,79.94000244140625
2018-08-30,80.61000061035156
2018-10-01,80.68000030517578
2019-06-14,80.18000030517578
2019-05-13,80.5199966430664
2019-04-11,79.8499984741211
2019-02-06,78.05999755859375
2019-09-18,78.56999969482422
2020-02-03,78.44999694824219
2020-04-22,78.16999816894531
2019-11-19,75.87999725341797
2020-02-06,75.87999725341797
2019-11-22,74.66000366210938
2019-03-25,73.81999969482422
2019-02-21,74.66999816894531
2018-12-19,73.69000244140625
2018-07-12,73.1500015258789
2018-09-14,73.51000213623047
2018-08-13,72.30000305175781
2018-10-16,70.88999938964844
2019-07-31,71.02999877929688
2019-05-28,70.77999877929688
2019-04-26,68.61000061035156
2020-04-28,67.8499984741211
2019-11-25,67.86000061035156
2020-02-12,68.38999938964844
2020-05-01,70.76000213623047
2020-05-04,69.91999816894531
2019-06-12,68.41999816894531
2019-04-09,68.6500015258789
2019-03-08,68.43000030517578
2019-02-04,69.0
2018-07-27,68.08999633789062
2018-08-28,70.6500015258789
2019-01-03,70.04000091552734
2019-08-15,70.66000366210938
2018-10-31,68.16000366210938
2019-09-16,67.91000366210938
2020-02-18,69.7300033569336
2020-05-07,69.79000091552734
2018-08-17,70.54000091552734
2019-12-04,70.45999908447266
2020-02-21,68.1500015258789
2018-12-17,67.9800033569336
2019-08-30,65.72000122070312
2018-11-15,65.02999877929688
2019-07-29,65.56999969482422
2019-06-27,62.86000061035156
2019-04-24,63.209999084472656
2018-07-10,62.029998779296875
2018-09-12,62.209999084472656
2019-02-19,60.90999984741211
2019-01-18,62.459999084472656
2020-02-24,62.2400016784668
2020-05-13,63.66999816894531
2019-12-10,64.6500015258789
2020-02-27,66.80999755859375
2019-12-13,66.08999633789062
2020-05-19,66.06999969482422
2019-03-06,65.66999816894531
