Dates,WFC
2007-02-12,24.266162872314453
2007-02-13,24.450193405151367
2007-02-15,24.54561996459961
2007-02-14,24.54561996459961
2007-02-16,24.375213623046875
2007-02-20,24.49791717529297
2007-02-21,24.66150665283203
2007-02-22,24.681961059570312
2007-02-23,24.286603927612305
2007-02-26,24.313875198364258
2007-02-27,23.44137954711914
2007-03-28,23.652690887451172
2007-11-07,23.625423431396484
2007-09-04,23.475461959838867
2007-08-03,23.195987701416016
2008-04-15,23.625423431396484
2008-05-21,23.393661499023438
2008-08-08,23.523168563842773
2008-08-11,23.5163631439209
2008-01-25,23.53680419921875
2007-05-14,22.814279556274414
2007-04-12,22.936969757080078
2007-12-24,23.24370765686035
2007-09-19,23.14145851135254
2008-04-30,23.345949172973633
2007-07-17,23.59134292602539
2007-06-15,24.184358596801758
2008-02-26,23.850360870361328
2008-05-27,23.829906463623047
2008-08-14,23.63905906677246
2008-05-30,23.448200225830078
2008-08-20,23.270973205566406
2007-08-01,23.54362678527832
2008-03-12,23.468647003173828
2007-03-26,23.182355880737305
2007-05-29,23.523168563842773
2007-04-27,23.40730094909668
2008-01-08,23.475461959838867
2007-12-07,23.42774200439453
2007-11-05,23.45500946044922
2007-10-04,23.29142189025879
2008-05-15,23.40730094909668
2008-06-05,23.604978561401367
2008-08-26,24.204814910888672
2007-10-19,24.02758026123047
2007-09-17,24.504724502563477
2007-08-16,24.63425064086914
2008-04-28,24.743305206298828
2007-04-10,24.55243682861328
2007-03-09,24.388856887817383
2007-06-13,24.72966766357422
2008-03-27,24.586519241333008
2008-01-23,24.49791717529297
2007-11-20,24.463829040527344
2008-06-11,24.566082000732422
2008-08-29,24.517986297607422
2007-12-05,24.621034622192383
2007-10-02,24.675987243652344
2007-04-25,24.779035568237305
2007-08-31,24.600419998168945
2007-07-30,24.8065185546875
2008-04-11,24.318758010864258
2007-06-28,24.401201248168945
2008-03-10,24.25006866455078
2008-02-07,24.325639724731445
2008-05-13,24.882081985473633
2008-06-23,24.895824432373047
2007-07-13,25.01947784423828
2008-03-25,24.943918228149414
2008-02-22,24.730947494506836
2007-12-20,24.792770385742188
2007-05-10,24.75843620300293
2007-03-07,24.82025718688965
2007-06-11,24.8339900970459
2007-10-17,24.888946533203125
2007-08-14,24.792770385742188
2008-05-28,25.0057373046875
2008-06-26,24.86834144592285
2007-05-31,24.66912078857422
2008-07-02,24.44928741455078
2007-08-29,24.085195541381836
2008-04-09,24.277551651000977
2007-06-26,24.373720169067383
2008-02-05,24.167633056640625
2008-01-04,24.689735412597656
2007-03-22,24.65538215637207
2007-05-25,24.71034049987793
2007-04-23,24.82712745666504
2007-12-03,24.992002487182617
2007-11-01,24.51112174987793
2008-07-08,24.47675895690918
2007-12-18,24.05771827697754
2007-11-16,24.098936080932617
2007-10-15,24.085195541381836
2007-09-13,24.270675659179688
2008-04-24,24.236328125
2007-07-11,24.160764694213867
2008-02-20,24.394336700439453
2007-03-05,24.51112174987793
2007-05-08,24.263809204101562
2008-06-27,24.270675659179688
2008-07-11,24.126415252685547
2008-07-14,23.659273147583008
2008-03-06,23.989015579223633
2007-05-23,24.346250534057617
2008-01-02,24.414941787719727
2007-03-20,24.35310935974121
2007-10-30,24.44928741455078
2007-09-28,24.31190299987793
2007-08-27,24.414941787719727
2007-07-26,23.851619720458984
2008-04-07,23.94092559814453
2008-05-09,23.30891990661621
2008-07-23,23.74858283996582
2007-09-11,23.116565704345703
2007-04-04,23.054737091064453
2007-06-07,23.77605628967285
2007-08-10,23.19900894165039
2008-04-22,23.68675422668457
2007-07-09,23.645530700683594
2008-01-17,22.539512634277344
2007-11-14,23.87911033630371
2008-06-25,23.968412399291992
2008-08-28,24.252601623535156
2008-07-29,23.677291870117188
2007-11-29,23.843647003173828
2007-05-21,23.497081756591797
2007-04-19,23.330734252929688
2007-09-26,23.268356323242188
2007-07-24,24.53677749633789
2007-06-22,25.812135696411133
2008-03-04,25.715097427368164
2008-02-01,25.90224838256836
2007-12-31,25.43784523010254
2008-05-07,25.26456069946289
2008-08-01,25.34774398803711
2008-08-04,25.042768478393555
2008-08-07,24.398157119750977
2008-01-15,24.93878936767578
2007-12-14,24.77243995666504
2007-04-02,25.32694435119629
2007-03-01,25.361602783203125
2007-05-04,24.87640953063965
2007-06-05,24.710065841674805
2007-11-12,24.398157119750977
2007-10-11,24.3565616607666
2007-08-08,25.03582763671875
2008-03-19,24.730859756469727
2008-05-23,24.820964813232422
2008-08-13,24.71699333190918
2007-08-23,24.71699333190918
2008-04-03,25.777488708496094
2007-06-20,25.853723526000977
2008-01-30,25.333871841430664
2007-04-17,25.11901092529297
2007-03-16,24.9249267578125
2007-11-27,25.00117301940918
2007-10-26,24.84868049621582
2007-09-24,24.96651840209961
2008-05-05,24.689250946044922
2008-05-29,25.40318489074707
2008-03-14,25.389324188232422
2008-08-19,25.64578628540039
2008-06-04,25.832931518554688
2008-08-22,25.971555709838867
2007-10-09,25.618061065673828
2007-09-07,25.728954315185547
2007-08-06,25.382387161254883
2008-04-18,25.174457550048828
2007-07-05,24.980384826660156
2008-03-17,24.917999267578125
2007-05-02,23.9476261138916
2008-02-14,23.7535400390625
2007-12-12,23.219831466674805
2008-05-20,22.77623176574707
2008-08-25,23.441631317138672
2008-06-10,23.40004539489746
2008-01-28,23.59412956237793
2007-12-27,23.43470001220703
2007-10-24,23.9476261138916
2007-08-21,23.656509399414062
2007-03-14,23.5664005279541
2007-05-17,23.573320388793945
2007-06-18,22.256383895874023
2007-07-20,22.39501190185547
2008-04-01,22.131620407104492
2008-02-29,22.838605880737305
2008-06-13,21.523155212402344
2008-01-10,22.026948928833008
2008-06-16,22.15289306640625
2008-06-19,22.635696411132812
2008-04-16,23.713247299194336
2007-07-03,23.26543617248535
2008-02-12,22.36979866027832
2008-01-11,21.789039611816406
2007-12-10,21.362218856811523
2007-11-08,21.285245895385742
2007-03-29,20.935396194458008
2007-06-01,21.579132080078125
2007-04-30,20.63451385498047
2007-09-05,20.872419357299805
2007-03-12,21.49516487121582
2007-04-13,21.36921501159668
2007-10-22,22.691679000854492
2007-09-20,22.278841018676758
2007-07-18,22.222862243652344
2008-02-27,22.67068099975586
2007-05-15,22.803627014160156
2007-11-23,22.187881469726562
2008-05-01,22.838607788085938
2008-06-02,21.530149459838867
2008-07-01,21.460180282592773
2008-01-09,21.38321304321289
2007-03-27,21.04035186767578
2007-05-30,21.04035186767578
2007-11-06,21.215280532836914
2007-10-05,21.425195693969727
2007-08-02,21.250259399414062
2008-04-14,21.250259399414062
2008-03-13,21.831022262573242
2008-05-16,21.87301254272461
2008-06-17,21.201282501220703
2008-07-07,21.05434226989746
2008-07-10,21.124313354492188
2007-07-16,20.36162567138672
2008-03-28,19.95579719543457
2008-02-25,19.235092163085938
2007-04-11,19.3680419921875
2007-06-14,18.542375564575195
2008-01-24,18.92022132873535
2008-04-29,19.528972625732422
2007-11-21,19.73189353942871
2007-09-18,19.7388858795166
2007-08-17,18.535381317138672
2008-07-16,19.1511287689209
