Dates,COO
2018-06-20,234.24000549316406
2018-06-21,234.77999877929688
2018-06-25,238.3699951171875
2018-06-22,237.5800018310547
2018-06-26,235.77000427246094
2018-06-27,236.47999572753906
2018-06-28,235.2899932861328
2018-06-29,237.49000549316406
2018-07-02,236.3300018310547
2018-07-03,240.7100067138672
2018-07-05,239.35000610351562
2018-07-16,243.57000732421875
2018-09-18,245.5
2019-01-24,245.97000122070312
2019-09-05,248.69000244140625
2018-11-21,247.77000427246094
2020-01-13,248.2100067138672
2020-04-01,247.22000122070312
2020-06-19,246.3300018310547
2019-10-29,247.99000549316406
2020-01-16,248.27999877929688
2020-06-22,251.6699981689453
2018-10-03,251.0399932861328
2018-07-31,254.13999938964844
2019-03-12,255.24000549316406
2019-02-08,257.6499938964844
2019-01-07,257.0
2018-12-06,258.44000244140625
2019-08-19,261.7099914550781
2019-07-18,259.92999267578125
2019-05-15,261.57000732421875
2019-09-20,260.989990234375
2019-11-01,260.4200134277344
2020-04-07,258.0799865722656
2020-06-25,259.0299987792969
2020-06-16,260.8299865722656
2019-11-04,256.1499938964844
2020-01-22,256.92999267578125
2019-11-07,256.5400085449219
2020-04-13,254.82000732421875
2019-07-01,256.95001220703125
2019-05-30,258.75
2018-08-15,258.2799987792969
2018-10-18,257.8299865722656
2019-03-27,260.29998779296875
2019-01-22,261.17999267578125
2018-12-21,260.2699890136719
2019-09-03,261.989990234375
2018-11-19,265.3299865722656
2019-08-02,266.989990234375
2020-01-28,265.9200134277344
2020-04-16,260.3299865722656
2019-11-13,259.05999755859375
2020-01-31,257.55999755859375
2018-12-04,261.6199951171875
2018-11-02,261.04998779296875
2019-07-16,267.9800109863281
2018-08-30,264.6499938964844
2018-10-01,265.79998779296875
2019-06-14,267.239990234375
2019-05-13,265.1300048828125
2019-04-11,263.32000732421875
2019-02-06,265.04998779296875
2019-09-18,267.3299865722656
2020-02-03,269.30999755859375
2020-04-22,270.6400146484375
2019-11-19,270.3699951171875
2020-02-06,273.44000244140625
2019-11-22,276.30999755859375
2019-03-25,276.6300048828125
2019-02-21,277.9200134277344
2018-12-19,280.1000061035156
2018-07-12,279.4200134277344
2018-09-14,280.1000061035156
2018-08-13,275.1099853515625
2018-10-16,270.6000061035156
2019-07-31,266.6600036621094
2019-05-28,263.4800109863281
2019-04-26,260.7900085449219
2020-04-28,255.67999267578125
2019-11-25,256.8599853515625
2020-02-12,256.70001220703125
2020-05-01,262.79998779296875
2020-05-04,264.75
2019-06-12,264.6700134277344
2019-04-09,259.1000061035156
2019-03-08,255.36000061035156
2019-02-04,255.83999633789062
2018-07-27,256.42999267578125
2018-08-28,252.64999389648438
2019-01-03,250.77000427246094
2019-08-15,252.42999267578125
2018-10-31,254.60000610351562
2019-09-16,262.57000732421875
2020-02-18,263.5400085449219
2020-05-07,265.989990234375
2018-08-17,265.55999755859375
2019-12-04,260.44000244140625
2020-02-21,268.3999938964844
2018-12-17,268.2699890136719
2019-08-30,270.3399963378906
2018-11-15,267.8299865722656
2019-07-29,263.4599914550781
2019-06-27,262.1000061035156
2019-04-24,258.05999755859375
2018-07-10,265.7099914550781
2018-09-12,265.57000732421875
2019-02-19,261.2300109863281
2019-01-18,267.80999755859375
2020-02-24,270.3500061035156
2020-05-13,274.989990234375
2019-12-10,274.29998779296875
2020-02-27,273.9200134277344
2019-12-13,278.6099853515625
2020-05-19,281.75
2019-03-06,283.17999267578125
2018-11-30,282.8599853515625
2019-08-13,277.8900146484375
2019-07-12,272.0
2019-06-10,254.6999969482422
2019-05-09,260.7699890136719
2018-07-25,260.8999938964844
2018-09-27,259.5799865722656
2018-10-29,255.0800018310547
2019-10-16,249.85000610351562
2019-12-16,249.0500030517578
2020-03-04,249.6699981689453
2020-05-22,244.14999389648438
2019-10-01,239.3699951171875
2019-12-19,235.92999267578125
2018-09-10,244.67999267578125
2019-05-24,252.74000549316406
2018-08-09,252.9499969482422
2019-04-22,255.6199951171875
2019-03-21,252.8800048828125
2019-01-16,250.3699951171875
2019-08-28,249.2899932861328
2018-11-13,250.52999877929688
2018-10-12,254.3000030517578
2019-06-25,263.1499938964844
2020-03-10,260.29998779296875
2020-05-28,261.6400146484375
2019-10-07,263.5799865722656
2020-03-13,269.70001220703125
2019-10-10,272.989990234375
2020-03-16,274.45001220703125
2020-06-03,270.0799865722656
2018-11-28,269.30999755859375
2018-09-25,272.5899963378906
2018-07-23,272.5299987792969
2018-08-24,275.80999755859375
2019-07-10,275.25
2019-05-07,275.55999755859375
2019-04-05,279.1499938964844
2019-03-04,279.7799987792969
2019-01-31,288.510009765625
2019-09-12,278.70001220703125
2019-12-31,281.29998779296875
2020-03-19,278.6499938964844
2020-01-03,275.8800048828125
2020-06-09,276.1600036621094
2019-02-15,279.489990234375
2019-01-14,278.6700134277344
2018-07-06,279.3900146484375
2018-08-07,277.9700012207031
2018-10-10,280.19000244140625
2018-12-13,283.6700134277344
2019-08-26,285.0899963378906
2019-07-25,287.9800109863281
2019-05-22,293.0
2019-03-19,295.1000061035156
2020-01-06,295.3599853515625
2020-03-25,289.17999267578125
2020-06-12,288.45001220703125
2019-10-22,292.20001220703125
2020-01-09,291.6700134277344
2020-06-15,291.1400146484375
2019-10-25,299.0
2020-03-31,292.4599914550781
2020-06-18,290.8999938964844
2019-04-03,290.5199890136719
2018-08-22,293.69000244140625
2018-10-25,294.3900146484375
2019-01-29,295.3599853515625
2018-12-28,296.760009765625
2018-11-26,296.32000732421875
2019-08-09,294.94000244140625
2019-07-08,294.5
2019-06-06,297.8800048828125
2019-09-10,297.6199951171875
2020-01-15,293.8399963378906
2020-04-03,297.0899963378906
2019-10-31,294.80999755859375
2020-04-06,295.69000244140625
2020-06-24,297.94000244140625
2018-11-09,302.3599853515625
2019-07-23,298.5
2019-06-21,299.3900146484375
2019-05-20,297.0799865722656
2019-04-18,291.5199890136719
2018-09-06,290.0400085449219
2018-10-08,292.75
2019-02-13,293.17999267578125
2018-12-11,293.1099853515625
2019-09-25,297.2200012207031
2020-01-21,295.94000244140625
2020-04-09,297.45001220703125
2019-11-06,290.2699890136719
2020-01-24,284.6300048828125
2020-01-27,286.8399963378906
2020-04-15,288.5899963378906
2018-12-26,288.3699951171875
2019-08-07,282.6499938964844
2019-06-04,288.3999938964844
2018-09-21,289.989990234375
2018-07-19,290.7099914550781
2018-08-20,290.9200134277344
2018-10-23,291.0
2019-05-03,294.5799865722656
2019-04-01,296.30999755859375
2019-02-28,293.7699890136719
2019-11-12,292.44000244140625
2020-01-30,292.3800048828125
2019-11-15,292.79998779296875
2020-04-21,289.0899963378906
2019-04-16,290.17999267578125
2019-03-15,291.6499938964844
2019-02-11,295.4599914550781
2019-01-10,294.6700134277344
2019-08-22,293.17999267578125
2018-11-07,293.55999755859375
2018-08-03,294.3800048828125
2018-09-04,293.07000732421875
2019-06-19,294.2699890136719
2019-09-23,296.5799865722656
2019-11-18,286.6000061035156
2020-02-05,289.9700012207031
2020-04-24,297.9599914550781
2019-03-29,303.8900146484375
2019-11-21,311.17999267578125
2020-04-27,315.67999267578125
2020-02-11,320.5799865722656
2020-04-30,324.1199951171875
2019-05-01,325.8800048828125
2019-02-26,325.25
2019-01-25,329.1099853515625
2018-12-24,329.8800048828125
2019-09-06,325.3900146484375
2018-07-17,325.44000244140625
2018-09-19,329.20001220703125
2019-08-05,332.3399963378906
2019-10-08,334.3299865722656
2019-12-11,329.6099853515625
2019-11-27,329.3500061035156
2020-02-14,334.0
2020-05-06,331.0400085449219
2019-01-08,331.75
2018-12-07,336.8900146484375
2019-08-20,340.8599853515625
2018-11-05,343.3299865722656
2019-07-19,338.6000061035156
2018-10-04,334.989990234375
2019-06-17,332.9700012207031
2019-05-16,333.2799987792969
2018-08-01,335.79998779296875
2019-03-13,334.79998779296875
2019-12-03,334.29998779296875
2020-02-20,332.5899963378906
2019-12-06,333.739990234375
2020-05-12,333.94000244140625
2019-12-09,334.1000061035156
2020-02-26,333.2799987792969
2020-05-15,334.489990234375
2019-03-28,335.1300048828125
2018-09-17,336.7200012207031
2018-08-16,338.92999267578125
2018-10-19,338.92999267578125
2019-04-29,341.54998779296875
2019-01-23,342.2099914550781
2019-09-04,341.8500061035156
2018-11-20,342.7900085449219
2019-07-02,338.42999267578125
2019-05-31,334.0400085449219
2019-12-12,329.6300048828125
2020-05-18,331.1199951171875
2019-09-27,334.8900146484375
2020-03-03,338.5799865722656
2020-05-21,337.2699890136719
2019-05-14,344.32000732421875
2018-08-31,343.6000061035156
2018-07-30,337.5899963378906
2018-10-02,341.8500061035156
2019-04-12,339.1700134277344
2019-03-11,338.67999267578125
2019-02-07,335.1499938964844
2019-07-17,334.55999755859375
2019-09-19,332.1199951171875
2019-10-21,325.0
2019-12-18,327.9599914550781
2020-03-06,325.69000244140625
2019-10-03,332.70001220703125
2020-03-09,309.8999938964844
2020-05-27,309.69000244140625
2019-12-24,302.3999938964844
2020-03-12,307.9800109863281
2018-12-20,309.8699951171875
2019-08-01,302.3500061035156
2018-08-14,299.5199890136719
2018-07-13,300.1499938964844
2018-10-17,305.32000732421875
2019-05-29,306.7200012207031
2019-03-26,305.1000061035156
2019-02-22,307.0
2019-10-04,307.3900146484375
2019-11-05,304.70001220703125
2019-12-27,306.3699951171875
2020-06-02,303.69000244140625
2019-12-30,305.8800048828125
2020-03-18,299.9800109863281
2020-06-05,301.9200134277344
2019-07-15,301.7300109863281
2018-12-03,299.1700134277344
2019-06-13,298.989990234375
2019-01-04,292.80999755859375
2018-08-29,294.1499938964844
2019-02-05,297.8800048828125
2018-11-01,296.7200012207031
2019-08-16,292.0299987792969
2019-04-10,290.30999755859375
2019-09-17,292.989990234375
2019-10-15,298.2699890136719
2020-01-02,294.30999755859375
2020-06-08,297.2099914550781
2019-10-18,295.0199890136719
2020-03-24,295.0
2020-06-11,293.3900146484375
2020-01-08,289.739990234375
2019-04-25,290.5
2019-07-30,284.32000732421875
2019-02-20,283.55999755859375
2018-07-11,286.4200134277344
2018-09-13,286.1600036621094
2018-10-15,291.4100036621094
2019-06-28,292.4599914550781
2018-12-18,294.8800048828125
2018-11-16,295.45001220703125
2019-10-02,294.5299987792969
2020-03-27,292.2300109863281
2020-01-10,293.6700134277344
2019-10-24,295.69000244140625
2020-03-30,294.8299865722656
2020-06-17,293.0299987792969
2020-01-14,296.8800048828125
2020-04-02,297.7300109863281
2019-01-02,299.6300048828125
2019-08-14,302.2099914550781
2018-10-30,307.0199890136719
2019-06-11,310.7300109863281
2019-05-10,309.3800048828125
2019-04-08,306.8599853515625
2018-08-27,308.67999267578125
2018-07-26,313.4599914550781
2018-09-28,314.3999938964844
2019-03-07,318.25
2019-10-30,315.7300109863281
2020-01-17,314.20001220703125
2020-06-23,312.4700012207031
2020-04-08,314.8800048828125
2020-06-26,314.94000244140625
2019-03-22,312.6099853515625
2019-01-17,306.8599853515625
2019-08-29,306.3900146484375
2018-11-14,307.0400085449219
2019-06-26,315.489990234375
2018-09-11,318.4700012207031
2018-07-09,321.5799865722656
2018-08-10,319.1499938964844
2019-04-23,320.3999938964844
2019-09-30,320.6099853515625
2020-01-23,322.70001220703125
2019-11-08,322.4599914550781
2020-04-14,322.3500061035156
2019-11-11,321.7300109863281
2020-01-29,322.2200012207031
2020-04-17,321.6700134277344
2018-07-24,321.55999755859375
2018-09-26,323.8500061035156
2019-05-08,322.9599914550781
2019-03-05,323.760009765625
2019-02-01,324.67999267578125
2018-12-31,328.239990234375
2018-11-29,333.5199890136719
2019-08-12,334.3299865722656
2019-07-11,334.989990234375
2019-09-13,336.3900146484375
2019-11-14,344.2900085449219
2020-04-20,349.7900085449219
2020-02-04,355.4100036621094
2020-04-23,359.7699890136719
2018-12-14,365.67999267578125
2019-08-27,358.82000732421875
2018-08-08,356.9200134277344
2018-10-11,357.0
2018-11-12,357.8599853515625
2019-07-26,358.30999755859375
2019-06-24,353.739990234375
2019-05-23,353.4100036621094
2019-03-20,349.9700012207031
2019-01-15,353.1499938964844
2019-11-20,357.0899963378906
2020-02-07,354.8599853515625
2020-02-10,353.8299865722656
2020-04-29,350.1099853515625
2019-11-26,354.9100036621094
2020-02-13,355.7200012207031
2019-01-30,354.75
2018-08-23,356.239990234375
2018-09-24,356.92999267578125
2018-11-27,360.0
2018-10-26,357.05999755859375
2019-07-09,357.5799865722656
2019-06-07,351.2300109863281
2019-05-06,349.95001220703125
2019-04-04,344.5299987792969
2019-09-11,338.8999938964844
2019-11-29,325.6000061035156
2020-05-05,335.5199890136719
2019-12-02,345.05999755859375
2020-02-19,339.44000244140625
2020-05-08,335.2200012207031
2019-05-21,338.4200134277344
2019-03-18,330.0
2018-09-07,335.1000061035156
2018-08-06,335.8900146484375
2018-10-09,309.989990234375
2019-02-14,292.4800109863281
2018-12-12,280.7099914550781
2019-07-24,275.8699951171875
2019-09-26,265.4599914550781
2019-10-28,286.92999267578125
2019-12-05,279.9100036621094
2020-05-11,259.260009765625
2019-07-03,262.6700134277344
2020-02-25,265.69000244140625
2020-05-14,282.04998779296875
2020-02-28,280.30999755859375
2019-08-08,282.6600036621094
2019-06-05,286.07000732421875
2018-07-20,279.6300048828125
2018-08-21,284.3399963378906
2018-10-24,288.0
2019-04-02,298.6000061035156
2019-03-01,306.75
2019-01-28,299.29998779296875
2018-12-27,300.25
2019-09-09,299.5
2020-03-02,312.2300109863281
2020-05-20,301.25
2019-12-17,300.260009765625
2020-03-05,307.7099914550781
2019-02-12,307.2300109863281
2019-01-11,300.8399963378906
2018-12-10,295.69000244140625
2019-08-23,297.5400085449219
2018-11-08,294.25
2019-07-22,298.0799865722656
2019-06-20,297.04998779296875
2018-09-05,299.5
2019-04-17,291.760009765625
2019-09-24,285.1400146484375
2019-12-20,288.260009765625
2020-05-26,294.82000732421875
2019-04-30,299.80999755859375
2019-12-23,304.9200134277344
2020-03-11,308.92999267578125
2020-05-29,309.79998779296875
2019-12-26,313.8399963378906
2020-06-01,303.7300109863281
2019-05-02,297.3299865722656
2019-02-27,303.260009765625
2018-11-23,307.0199890136719
2019-08-06,305.489990234375
2018-07-18,301.3699951171875
2018-09-20,295.0
2018-10-22,288.3399963378906
2019-07-05,300.4599914550781
2019-06-03,308.9599914550781
2019-10-09,322.3900146484375
2019-10-11,320.45001220703125
2020-03-17,319.57000732421875
2020-06-04,317.6400146484375
2019-10-14,322.07000732421875
2020-03-20,320.4200134277344
2018-11-06,324.4100036621094
2019-06-18,324.239990234375
2019-05-17,320.5
2019-04-15,308.4800109863281
2019-03-14,294.3999938964844
2019-01-09,289.20001220703125
2018-08-02,292.0199890136719
2018-10-05,306.8599853515625
2019-08-21,304.9599914550781
2019-10-17,304.4100036621094
2020-03-23,309.010009765625
2020-06-10,299.0400085449219
2019-02-25,304.6400146484375
2020-01-07,298.7300109863281
2020-03-26,281.0199890136719
2019-10-23,277.989990234375
