Dates,DVN
2018-06-20,41.00507736206055
2018-06-21,39.600067138671875
2018-06-25,41.64984130859375
2018-06-22,40.31219482421875
2018-06-26,40.9858283996582
2018-06-27,41.83268737792969
2018-06-28,41.938541412353516
2018-06-29,42.30423355102539
2018-07-02,41.890419006347656
2018-07-03,42.34272384643555
2018-07-05,42.333099365234375
2018-07-16,42.8335075378418
2018-09-18,43.593753814697266
2019-01-24,43.8920783996582
2019-09-05,42.45820617675781
2018-11-21,42.27535629272461
2020-01-13,43.03559875488281
2020-04-01,42.54481506347656
2020-06-19,42.419715881347656
2019-10-29,42.102134704589844
2020-01-16,42.477447509765625
2020-06-22,42.477447509765625
2018-10-03,42.54481506347656
2018-07-31,42.881629943847656
2019-03-12,43.56488800048828
2019-02-08,43.44940948486328
2019-01-07,42.872005462646484
2018-12-06,43.36280059814453
2019-08-19,43.31467819213867
2019-07-18,41.83268737792969
2019-05-15,42.28498458862305
2019-09-20,41.42850112915039
2019-11-01,42.00590896606445
2020-04-07,41.813438415527344
2020-06-25,41.06282043457031
2020-06-16,40.485416412353516
2019-11-04,41.22641372680664
2020-01-22,40.485416412353516
2019-11-07,40.81261444091797
2020-04-13,38.95530319213867
2019-07-01,39.14777374267578
2019-05-30,39.070777893066406
2018-08-15,39.494205474853516
2018-10-18,40.273704528808594
2019-03-27,41.1013069152832
2019-01-22,40.91846466064453
2018-12-21,41.05318832397461
2019-09-03,41.26491165161133
2018-11-19,40.908843994140625
2019-08-02,41.341896057128906
2020-01-28,41.505489349365234
2020-04-16,41.31302261352539
2019-11-13,40.7548713684082
2020-01-31,40.138973236083984
2018-12-04,39.09965515136719
2018-11-02,38.9456787109375
2019-07-16,38.984169006347656
2018-08-30,39.92726135253906
2018-10-01,40.369937896728516
2019-06-14,39.415401458740234
2019-05-13,38.24875259399414
2019-04-11,37.4195671081543
2019-02-06,37.92094421386719
2019-09-18,38.44158172607422
2020-02-03,38.67299270629883
2020-04-22,39.09722900390625
2019-11-19,40.0614013671875
2020-02-06,39.926414489746094
2019-11-22,38.25839614868164
2019-03-25,37.96914291381836
2019-02-21,38.50907516479492
2018-12-19,38.759769439697266
2018-07-12,38.43194580078125
2018-09-14,39.193641662597656
2018-08-13,38.70191192626953
2018-10-16,38.60550308227539
2019-07-31,37.39064025878906
2019-05-28,38.09449005126953
2019-04-26,35.96366500854492
2020-04-28,34.748802185058594
2019-11-25,35.31767272949219
2020-02-12,34.8162956237793
2020-05-01,35.751548767089844
2020-05-04,34.710235595703125
2019-06-12,33.84247970581055
2019-04-09,33.68821334838867
2019-03-08,33.620723724365234
2019-02-04,32.521568298339844
2018-07-27,30.97888946533203
2018-08-28,31.6730899810791
2019-01-03,31.219928741455078
2019-08-15,29.87009048461914
2018-10-31,31.162080764770508
2019-09-16,31.23921775817871
2020-02-18,31.682735443115234
2020-05-07,31.123510360717773
2018-08-17,31.914134979248047
2019-12-04,31.750226974487305
2020-02-21,32.646907806396484
2018-12-17,31.547752380371094
2019-08-30,31.827356338500977
2018-11-15,30.419666290283203
2019-07-29,29.79295539855957
2019-06-27,29.44585418701172
2019-04-24,29.522987365722656
2018-07-10,28.500961303710938
2018-09-12,28.558813095092773
2019-02-19,26.45691680908203
2019-01-18,27.507863998413086
2020-02-24,25.945903778076172
2020-05-13,26.158021926879883
2019-12-10,25.656654357910156
2020-02-27,25.907333374023438
2019-12-13,25.945903778076172
2020-05-19,26.061603546142578
2019-03-06,27.739267349243164
2018-11-30,27.160762786865234
2019-08-13,26.755809783935547
2019-07-12,26.22551727294922
2019-06-10,25.328832626342773
2019-05-09,25.791637420654297
2018-07-25,26.302648544311523
2018-09-27,25.983531951904297
2018-10-29,24.987516403198242
2019-10-16,24.66840171813965
2019-12-16,23.604694366455078
2020-03-04,23.063167572021484
2020-05-22,21.76737403869629
2019-10-01,21.187170028686523
2019-12-19,20.287851333618164
2018-09-10,21.96077537536621
2019-05-24,22.144508361816406
2018-08-09,21.719022750854492
2019-04-22,21.796384811401367
2019-03-21,22.44428062438965
2019-01-16,22.744054794311523
2019-08-28,23.75941276550293
2018-11-13,24.513681411743164
2018-10-12,24.707082748413086
2019-06-25,24.97784423828125
2020-03-10,25.422670364379883
2020-05-28,25.490360260009766
2019-10-07,25.306629180908203
2020-03-13,25.52903938293457
2019-10-10,25.035865783691406
2020-03-16,25.51936912536621
2020-06-03,26.244626998901367
2018-11-28,25.75145149230957
2018-09-25,25.451679229736328
2018-07-23,25.722440719604492
