Dates,DVN
2018-06-20,7271300.0
2018-06-21,6101600.0
2018-06-25,7990500.0
2018-06-22,5697700.0
2018-06-26,5055800.0
2018-06-27,8072100.0
2018-06-28,6250200.0
2018-06-29,6191600.0
2018-07-02,4360400.0
2018-07-03,4132900.0
2018-07-05,5456300.0
2018-07-16,4270200.0
2018-09-18,4718400.0
2019-01-24,7678600.0
2019-09-05,5113900.0
2018-11-21,4959500.0
2020-01-13,6548700.0
2020-04-01,5571300.0
2020-06-19,4823900.0
2019-10-29,8151700.0
2020-01-16,5095100.0
2020-06-22,5088300.0
2018-10-03,3823700.0
2018-07-31,4269100.0
2019-03-12,4533500.0
2019-02-08,4958200.0
2019-01-07,4340500.0
2018-12-06,5591000.0
2019-08-19,5588000.0
2019-07-18,16603400.0
2019-05-15,6503100.0
2019-09-20,6560100.0
2019-11-01,6769600.0
2020-04-07,5816300.0
2020-06-25,7014100.0
2020-06-16,5755600.0
2019-11-04,5844200.0
2020-01-22,5861500.0
2019-11-07,4867500.0
2020-04-13,8336000.0
2019-07-01,5371400.0
2019-05-30,4529700.0
2018-08-15,4174200.0
2018-10-18,4872300.0
2019-03-27,5292800.0
2019-01-22,4245000.0
2018-12-21,3545600.0
2019-09-03,3873000.0
2018-11-19,4761800.0
2019-08-02,4551100.0
2020-01-28,4207400.0
2020-04-16,3776800.0
2019-11-13,4972800.0
2020-01-31,7087700.0
2018-12-04,9195500.0
2018-11-02,7669500.0
2019-07-16,5692400.0
2018-08-30,7606000.0
2018-10-01,8555800.0
2019-06-14,7547900.0
2019-05-13,11391400.0
2019-04-11,10602000.0
2019-02-06,6920400.0
2019-09-18,5806100.0
2020-02-03,5157800.0
2020-04-22,9825000.0
2019-11-19,6367100.0
2020-02-06,6252500.0
2019-11-22,8234400.0
2019-03-25,5706400.0
2019-02-21,7239400.0
2018-12-19,5902500.0
2018-07-12,6768600.0
2018-09-14,6084600.0
2018-08-13,4255400.0
2018-10-16,5085500.0
2019-07-31,8175200.0
2019-05-28,7421100.0
2019-04-26,8290600.0
2020-04-28,9628100.0
2019-11-25,7670200.0
2020-02-12,6328400.0
2020-05-01,7495500.0
2020-05-04,8328900.0
2019-06-12,7779700.0
2019-04-09,4493900.0
2019-03-08,4949400.0
2019-02-04,7186000.0
2018-07-27,7418600.0
2018-08-28,6423600.0
2019-01-03,7365900.0
2019-08-15,7084100.0
2018-10-31,7518800.0
2019-09-16,8033200.0
2020-02-18,9823500.0
2020-05-07,6305000.0
2018-08-17,6018900.0
2019-12-04,7910700.0
2020-02-21,11394200.0
2018-12-17,6708200.0
2019-08-30,7897200.0
2018-11-15,6717700.0
2019-07-29,7976400.0
2019-06-27,7793500.0
2019-04-24,10229800.0
2018-07-10,17938000.0
2018-09-12,7778000.0
2019-02-19,11635100.0
2019-01-18,6299100.0
2020-02-24,5545600.0
2020-05-13,7705000.0
2019-12-10,6088500.0
2020-02-27,6246900.0
2019-12-13,8024600.0
2020-05-19,10152900.0
2019-03-06,11739200.0
2018-11-30,9765500.0
2019-08-13,9912100.0
2019-07-12,8442500.0
2019-06-10,7803700.0
2019-05-09,9868400.0
2018-07-25,8237000.0
2018-09-27,7976000.0
2018-10-29,6420700.0
2019-10-16,8951200.0
2019-12-16,10057600.0
2020-03-04,10649300.0
2020-05-22,13613800.0
2019-10-01,16282800.0
2019-12-19,5332200.0
2018-09-10,9944300.0
2019-05-24,8395900.0
2018-08-09,7783500.0
2019-04-22,9196600.0
