Dates,AMT
2018-06-20,141.0
2018-06-21,141.82000732421875
2018-06-25,143.33999633789062
2018-06-22,143.05999755859375
2018-06-26,143.44000244140625
2018-06-27,144.19000244140625
2018-06-28,144.41000366210938
2018-06-29,145.0
2018-07-02,144.72999572753906
2018-07-03,145.0399932861328
2018-07-05,145.7100067138672
2018-07-16,146.3300018310547
2018-09-18,145.02000427246094
2019-01-24,144.0399932861328
2019-09-05,144.38999938964844
2018-11-21,144.75
2020-01-13,144.6199951171875
2020-04-01,142.9499969482422
2020-06-19,142.25999450683594
2019-10-29,142.47000122070312
2020-01-16,142.5500030517578
2020-06-22,142.02000427246094
2018-10-03,140.97000122070312
2018-07-31,141.67999267578125
2019-03-12,143.35000610351562
2019-02-08,144.83999633789062
2019-01-07,145.13999938964844
2018-12-06,144.5500030517578
2019-08-19,150.82000732421875
2019-07-18,150.49000549316406
2019-05-15,150.36000061035156
2019-09-20,151.19000244140625
2019-11-01,151.6300048828125
2020-04-07,150.8699951171875
2020-06-25,150.27000427246094
2020-06-16,150.6999969482422
2019-11-04,151.38999938964844
2020-01-22,149.8300018310547
2019-11-07,149.8699951171875
2020-04-13,149.86000061035156
2019-07-01,150.55999755859375
2019-05-30,151.2100067138672
2018-08-15,151.9199981689453
2018-10-18,150.82000732421875
2019-03-27,149.69000244140625
2019-01-22,148.72000122070312
2018-12-21,148.52999877929688
2019-09-03,149.0500030517578
2018-11-19,150.11000061035156
2019-08-02,151.25999450683594
2020-01-28,150.8800048828125
2020-04-16,150.1699981689453
2019-11-13,149.05999755859375
2020-01-31,148.11000061035156
2018-12-04,148.41000366210938
2018-11-02,148.1999969482422
2019-07-16,148.36000061035156
2018-08-30,147.52999877929688
2018-10-01,147.4499969482422
2019-06-14,149.41000366210938
2019-05-13,148.63999938964844
2019-04-11,148.39999389648438
2019-02-06,148.49000549316406
2019-09-18,148.25
2020-02-03,148.86000061035156
2020-04-22,149.60000610351562
2019-11-19,148.0800018310547
2020-02-06,146.63999938964844
2019-11-22,145.92999267578125
2019-03-25,144.61000061035156
2019-02-21,145.42999267578125
2018-12-19,146.08999633789062
2018-07-12,144.60000610351562
2018-09-14,145.75
2018-08-13,144.80999755859375
2018-10-16,146.3000030517578
2019-07-31,146.9199981689453
2019-05-28,147.88999938964844
2019-04-26,147.75
2020-04-28,146.25
2019-11-25,143.77999877929688
2020-02-12,144.25
2020-05-01,146.36000061035156
2020-05-04,147.1300048828125
2019-06-12,148.14999389648438
2019-04-09,150.9499969482422
2019-03-08,150.67999267578125
2019-02-04,151.27999877929688
2018-07-27,152.8699951171875
2018-08-28,153.94000244140625
2019-01-03,152.77000427246094
2019-08-15,153.6699981689453
2018-10-31,161.7100067138672
2019-09-16,160.86000061035156
2020-02-18,157.5
2020-05-07,153.0
2018-08-17,155.85000610351562
2019-12-04,156.5
2020-02-21,157.77999877929688
2018-12-17,159.39999389648438
2019-08-30,160.3000030517578
2018-11-15,161.9600067138672
2019-07-29,161.75999450683594
2019-06-27,163.5800018310547
2019-04-24,162.85000610351562
2018-07-10,164.24000549316406
2018-09-12,166.36000061035156
2019-02-19,167.08999633789062
2019-01-18,161.4199981689453
2020-02-24,161.17999267578125
2020-05-13,161.77000427246094
2019-12-10,162.16000366210938
2020-02-27,162.88999938964844
2019-12-13,163.97999572753906
2020-05-19,164.66000366210938
2019-03-06,165.14999389648438
2018-11-30,165.4499969482422
2019-08-13,167.85000610351562
2019-07-12,168.5800018310547
2019-06-10,166.89999389648438
2019-05-09,167.32000732421875
2018-07-25,167.5500030517578
2018-09-27,167.63999938964844
2018-10-29,167.0
2019-10-16,167.16000366210938
2019-12-16,163.4600067138672
2020-03-04,164.69000244140625
2020-05-22,163.97000122070312
2019-10-01,164.60000610351562
2019-12-19,157.52000427246094
2018-09-10,157.52999877929688
2019-05-24,158.75
2018-08-09,161.61000061035156
2019-04-22,159.75999450683594
2019-03-21,157.11000061035156
2019-01-16,160.0399932861328
2019-08-28,160.07000732421875
2018-11-13,160.6199951171875
2018-10-12,161.1300048828125
2019-06-25,161.91000366210938
2020-03-10,161.99000549316406
2020-05-28,162.25999450683594
2019-10-07,162.55999755859375
2020-03-13,163.32000732421875
2019-10-10,164.30999755859375
2020-03-16,164.92999267578125
2020-06-03,165.25
2018-11-28,165.41000366210938
2018-09-25,165.8000030517578
2018-07-23,165.83999633789062
2018-08-24,168.1300048828125
2019-07-10,168.0500030517578
2019-05-07,169.52000427246094
2019-04-05,171.5
2019-03-04,173.9499969482422
2019-01-31,173.14999389648438
2019-09-12,170.9499969482422
2019-12-31,172.5399932861328
2020-03-19,172.36000061035156
2020-01-03,172.39999389648438
2020-06-09,172.99000549316406
2019-02-15,173.66000366210938
2019-01-14,173.75
2018-07-06,173.83999633789062
2018-08-07,176.07000732421875
2018-10-10,178.14999389648438
2018-12-13,178.32000732421875
2019-08-26,177.3300018310547
2019-07-25,176.75
2019-05-22,177.4499969482422
2019-03-19,177.52999877929688
2020-01-06,175.32000732421875
2020-03-25,176.77000427246094
2020-06-12,178.69000244140625
2019-10-22,178.19000244140625
2020-01-09,179.75999450683594
2020-06-15,181.91000366210938
2019-10-25,182.2899932861328
2020-03-31,182.97000122070312
2020-06-18,182.72999572753906
2019-04-03,185.3000030517578
2018-08-22,186.77999877929688
2018-10-25,187.5500030517578
2019-01-29,188.0399932861328
2018-12-28,189.0
2018-11-26,189.47999572753906
2019-08-09,190.22000122070312
2019-07-08,192.16000366210938
2019-06-06,194.75
2019-09-10,196.7899932861328
2020-01-15,196.30999755859375
2020-04-03,196.6699981689453
2019-10-31,196.0399932861328
2020-04-06,194.99000549316406
2020-06-24,197.3300018310547
2018-11-09,198.19000244140625
2019-07-23,195.8000030517578
2019-06-21,195.9199981689453
2019-05-20,195.05999755859375
2019-04-18,195.97999572753906
2018-09-06,196.47000122070312
2018-10-08,197.1300048828125
2019-02-13,197.27000427246094
2018-12-11,197.19000244140625
2019-09-25,198.05999755859375
2020-01-21,197.8300018310547
2020-04-09,196.1699981689453
2019-11-06,194.08999633789062
2020-01-24,193.60000610351562
2020-01-27,192.89999389648438
2020-04-15,194.38999938964844
2018-12-26,194.5
2019-08-07,193.30999755859375
2019-06-04,193.35000610351562
2018-09-21,193.9199981689453
2018-07-19,195.50999450683594
2018-08-20,195.0500030517578
2018-10-23,193.72999572753906
2019-05-03,194.52999877929688
2019-04-01,193.5399932861328
2019-02-28,192.30999755859375
2019-11-12,193.50999450683594
2020-01-30,192.9199981689453
2019-11-15,196.22999572753906
2020-04-21,197.39999389648438
2019-04-16,200.3800048828125
2019-03-15,201.1999969482422
2019-02-11,203.3800048828125
2019-01-10,202.74000549316406
2019-08-22,200.9600067138672
2018-11-07,200.02000427246094
2018-08-03,201.24000549316406
2018-09-04,203.85000610351562
2019-06-19,205.30999755859375
2019-09-23,204.75
2019-11-18,203.42999267578125
2020-02-05,205.02000427246094
2020-04-24,210.25
2019-03-29,209.7899932861328
2019-11-21,209.5399932861328
2020-04-27,212.9600067138672
2020-02-11,213.7100067138672
2020-04-30,214.52000427246094
2019-05-01,213.5399932861328
2019-02-26,210.47000122070312
2019-01-25,212.36000061035156
2018-12-24,212.64999389648438
2019-09-06,211.9499969482422
2018-07-17,214.69000244140625
2018-09-19,215.9600067138672
2019-08-05,217.0399932861328
2019-10-08,218.7899932861328
2019-12-11,217.92999267578125
2019-11-27,216.0
2020-02-14,215.41000366210938
2020-05-06,210.86000061035156
2019-01-08,208.1999969482422
2018-12-07,206.8800048828125
2019-08-20,205.5
2018-11-05,206.22999572753906
2019-07-19,211.88999938964844
2018-10-04,210.27000427246094
2019-06-17,210.39999389648438
2019-05-16,211.63999938964844
2018-08-01,212.42999267578125
2019-03-13,211.63999938964844
2019-12-03,209.52000427246094
2020-02-20,211.35000610351562
2019-12-06,211.58999633789062
2020-05-12,211.5399932861328
2019-12-09,209.41000366210938
2020-02-26,209.42999267578125
2020-05-15,207.16000366210938
