Dates,AMT
2018-06-20,138.4499969482422
2018-06-21,140.33999633789062
2018-06-25,140.88999938964844
2018-06-22,141.3300018310547
2018-06-26,141.9600067138672
2018-06-27,142.9199981689453
2018-06-28,142.5800018310547
2018-06-29,142.64999389648438
2018-07-02,142.7100067138672
2018-07-03,142.75999450683594
2018-07-05,143.38999938964844
2018-07-16,144.91000366210938
2018-09-18,141.72000122070312
2019-01-24,139.1699981689453
2019-09-05,142.6999969482422
2018-11-21,143.07000732421875
2020-01-13,142.92999267578125
2020-04-01,141.2100067138672
2020-06-19,140.91000366210938
2019-10-29,140.64999389648438
2020-01-16,140.75999450683594
2020-06-22,140.1199951171875
2018-10-03,139.4199981689453
2018-07-31,138.50999450683594
2019-03-12,141.1199951171875
2019-02-08,142.8300018310547
2019-01-07,143.97999572753906
2018-12-06,141.94000244140625
2019-08-19,145.60000610351562
2019-07-18,147.25
2019-05-15,148.13999938964844
2019-09-20,148.0
2019-11-01,149.72999572753906
2020-04-07,148.69000244140625
2020-06-25,148.67999267578125
2020-06-16,149.1199951171875
2019-11-04,149.0800018310547
2020-01-22,148.58999633789062
2019-11-07,148.5800018310547
2020-04-13,148.41000366210938
2019-07-01,149.52000427246094
2019-05-30,149.7100067138672
2018-08-15,150.52000427246094
2018-10-18,148.94000244140625
2019-03-27,147.5
2019-01-22,147.19000244140625
2018-12-21,147.3800048828125
2019-09-03,147.75
2018-11-19,147.88999938964844
2019-08-02,150.1699981689453
2020-01-28,148.60000610351562
2020-04-16,148.74000549316406
2019-11-13,147.55999755859375
2020-01-31,146.5399932861328
2018-12-04,147.3000030517578
2018-11-02,146.36000061035156
2019-07-16,147.07000732421875
2018-08-30,146.52999877929688
2018-10-01,146.44000244140625
2019-06-14,147.75
2019-05-13,146.7100067138672
2019-04-11,146.3800048828125
2019-02-06,146.92999267578125
2019-09-18,147.3300018310547
2020-02-03,146.86000061035156
2020-04-22,148.32000732421875
2019-11-19,145.91000366210938
2020-02-06,145.47999572753906
2019-11-22,143.69000244140625
2019-03-25,143.3000030517578
2019-02-21,143.35000610351562
2018-12-19,143.9600067138672
2018-07-12,143.11000061035156
2018-09-14,142.75
2018-08-13,142.36000061035156
2018-10-16,144.32000732421875
2019-07-31,145.0
2019-05-28,145.3699951171875
2019-04-26,145.5
2020-04-28,140.39999389648438
2019-11-25,140.82000732421875
2020-02-12,141.50999450683594
2020-05-01,142.69000244140625
2020-05-04,144.42999267578125
2019-06-12,145.77000427246094
2019-04-09,146.89999389648438
2019-03-08,148.9600067138672
2019-02-04,148.42999267578125
2018-07-27,149.75
2018-08-28,150.4199981689453
2019-01-03,148.74000549316406
2019-08-15,150.32000732421875
