Dates,XLNX
2018-06-20,66.4980239868164
2018-06-21,65.56797790527344
2018-06-25,64.64762115478516
2018-06-22,63.4366340637207
2018-06-26,63.921024322509766
2018-06-27,62.47751235961914
2018-06-28,63.09754943847656
2018-06-29,63.22349166870117
2018-07-02,63.591636657714844
2018-07-03,62.65190124511719
2018-07-05,64.7445068359375
2018-07-16,65.48078918457031
2018-09-18,65.84893035888672
2019-01-24,67.03085327148438
2019-09-05,65.22888946533203
2018-11-21,66.09112548828125
2020-01-13,65.86829376220703
2020-04-01,65.60673522949219
2020-06-19,66.12018585205078
2019-10-29,66.59489440917969
2020-01-16,66.50770568847656
2020-06-22,66.04268646240234
2018-10-03,66.23643493652344
2018-07-31,65.62610626220703
2019-03-12,65.84893035888672
2019-02-08,72.16545104980469
2019-01-07,71.57449340820312
2018-12-06,70.62508392333984
2019-08-19,69.82097625732422
2019-07-18,68.91999816894531
2019-05-15,69.48190307617188
2019-09-20,69.6272201538086
2019-11-01,70.83821105957031
2020-04-07,71.50025177001953
2020-06-25,71.49050903320312
2020-06-16,71.49050903320312
2019-11-04,69.28047943115234
2020-01-22,69.75753021240234
2019-11-07,69.28047943115234
2020-04-13,68.74500274658203
2019-07-01,68.74500274658203
2019-05-30,69.14417266845703
2018-08-15,69.24153137207031
2018-10-18,70.50718688964844
2019-03-27,71.04266357421875
2019-01-22,71.2276382446289
2018-12-21,71.84101867675781
2019-09-03,73.2527084350586
2018-11-19,74.95647430419922
2019-08-02,76.19295501708984
2020-01-28,75.18041229248047
2020-04-16,75.77430725097656
2019-11-13,76.70894622802734
2020-01-31,76.71868133544922
2018-12-04,75.978759765625
2018-11-02,75.16093444824219
2019-07-16,74.90780639648438
2018-08-30,74.44049072265625
2018-10-01,74.0997314453125
2019-06-14,75.2972412109375
2019-05-13,75.52117156982422
2019-04-11,74.69361114501953
2019-02-06,75.52117156982422
2019-09-18,75.59905242919922
2020-02-03,76.8841781616211
2020-04-22,76.6505355834961
2019-11-19,77.04969787597656
2020-02-06,75.31672668457031
2019-11-22,76.24162292480469
2019-03-25,77.78962707519531
2019-02-21,78.052490234375
2018-12-19,77.8480453491211
2018-07-12,78.07196044921875
2018-09-14,79.95099639892578
2018-08-13,80.06781005859375
2018-10-16,75.84246063232422
2019-07-31,75.4238052368164
2019-05-28,75.59905242919922
2019-04-26,72.51277923583984
2020-04-28,72.03572082519531
2019-11-25,74.10948181152344
2020-02-12,73.54479217529297
2020-05-01,76.80628967285156
2020-05-04,75.66720581054688
