Dates,XLNX
2018-06-20,68.87999725341797
2018-06-21,68.87000274658203
2018-06-25,67.97000122070312
2018-06-22,65.98999786376953
2018-06-26,65.5
2018-06-27,66.11000061035156
2018-06-28,64.44999694824219
2018-06-29,65.27999877929688
2018-07-02,64.7699966430664
2018-07-03,66.05000305175781
2018-07-05,65.01000213623047
2018-07-16,66.54000091552734
2018-09-18,67.97000122070312
2019-01-24,67.91000366210938
2019-09-05,68.44000244140625
2018-11-21,67.44000244140625
2020-01-13,68.30999755859375
2020-04-01,68.12000274658203
2020-06-19,67.30000305175781
2019-10-29,68.45999908447266
2020-01-16,68.70999908447266
2020-06-22,68.55000305175781
2018-10-03,68.0199966430664
2018-07-31,68.56999969482422
2019-03-12,67.69000244140625
2019-02-08,72.19000244140625
2019-01-07,74.4800033569336
2018-12-06,73.5199966430664
2019-08-19,72.93000030517578
2019-07-18,71.30999755859375
2019-05-15,70.44999694824219
2019-09-20,71.72000122070312
2019-11-01,71.4000015258789
2020-04-07,72.87999725341797
2020-06-25,73.41999816894531
2020-06-16,73.33000183105469
2019-11-04,72.19000244140625
2020-01-22,71.5
2019-11-07,72.01000213623047
2020-04-13,70.41999816894531
2019-07-01,71.27999877929688
2019-05-30,70.08000183105469
2018-08-15,71.26000213623047
2018-10-18,71.18000030517578
2019-03-27,72.1500015258789
2019-01-22,72.8499984741211
2018-12-21,73.4000015258789
2019-09-03,74.19000244140625
2018-11-19,77.5
2019-08-02,77.19000244140625
2020-01-28,78.1500015258789
2020-04-16,77.0
2019-11-13,77.79000091552734
2020-01-31,78.77999877929688
2018-12-04,78.56999969482422
2018-11-02,77.25
2019-07-16,77.77999877929688
2018-08-30,76.7699966430664
2018-10-01,76.0999984741211
2019-06-14,79.25
2019-05-13,77.30000305175781
2019-04-11,77.1500015258789
2019-02-06,76.70999908447266
2019-09-18,77.54000091552734
2020-02-03,78.19000244140625
2020-04-22,79.31999969482422
2019-11-19,78.25
