Dates,XLNX
2018-06-20,1415900.0
2018-06-21,1451000.0
2018-06-25,2607000.0
2018-06-22,2599800.0
2018-06-26,2088200.0
2018-06-27,1579000.0
2018-06-28,2310300.0
2018-06-29,1953500.0
2018-07-02,1659600.0
2018-07-03,992100.0
2018-07-05,2107200.0
2018-07-16,1530600.0
2018-09-18,1331500.0
2019-01-24,2141600.0
2019-09-05,1216000.0
2018-11-21,1261600.0
2020-01-13,655800.0
2020-04-01,816000.0
2020-06-19,1625400.0
2019-10-29,1717000.0
2020-01-16,1649500.0
2020-06-22,1625000.0
2018-10-03,1657900.0
2018-07-31,1753700.0
2019-03-12,2304900.0
2019-02-08,11331100.0
2019-01-07,3979400.0
2018-12-06,2934300.0
2019-08-19,2075100.0
2019-07-18,2007800.0
2019-05-15,1833800.0
2019-09-20,1320600.0
2019-11-01,1714700.0
2020-04-07,1508800.0
2020-06-25,1525700.0
2020-06-16,1730900.0
2019-11-04,2264900.0
2020-01-22,1480300.0
2019-11-07,1685200.0
2020-04-13,1632000.0
2019-07-01,1594500.0
2019-05-30,1302900.0
2018-08-15,1671600.0
2018-10-18,1646900.0
2019-03-27,2408600.0
2019-01-22,1335000.0
2018-12-21,1647200.0
2019-09-03,2160200.0
2018-11-19,3132600.0
2019-08-02,3882300.0
2020-01-28,1909200.0
2020-04-16,1802300.0
2019-11-13,2234400.0
2020-01-31,1945700.0
2018-12-04,2120600.0
2018-11-02,2128000.0
2019-07-16,1949600.0
2018-08-30,1741000.0
2018-10-01,3164100.0
2019-06-14,2337700.0
2019-05-13,1625400.0
2019-04-11,2346500.0
2019-02-06,1417800.0
2019-09-18,1296700.0
2020-02-03,1898400.0
2020-04-22,3885200.0
2019-11-19,1472000.0
2020-02-06,2422800.0
2019-11-22,2201000.0
2019-03-25,2662700.0
2019-02-21,2918600.0
2018-12-19,1809000.0
2018-07-12,2573800.0
2018-09-14,5538300.0
2018-08-13,4733000.0
2018-10-16,4511000.0
2019-07-31,2519700.0
2019-05-28,1732300.0
2019-04-26,3206900.0
2020-04-28,3019700.0
2019-11-25,2411600.0
2020-02-12,2013700.0
2020-05-01,3297600.0
2020-05-04,1484000.0
2019-06-12,2350500.0
2019-04-09,2506100.0
2019-03-08,1760000.0
2019-02-04,2615200.0
2018-07-27,5560000.0
2018-08-28,8097900.0
2019-01-03,5152500.0
2019-08-15,3934600.0
2018-10-31,6317200.0
2019-09-16,5725300.0
2020-02-18,5383700.0
2020-05-07,3769900.0
2018-08-17,2330800.0
2019-12-04,1954300.0
2020-02-21,6140900.0
2018-12-17,2765300.0
2019-08-30,2518600.0
2018-11-15,2673700.0
2019-07-29,3854600.0
2019-06-27,2199700.0
2019-04-24,4412100.0
2018-07-10,4966800.0
2018-09-12,5011700.0
2019-02-19,4261500.0
2019-01-18,2663700.0
2020-02-24,1317200.0
2020-05-13,2862100.0
2019-12-10,1699200.0
2020-02-27,2386600.0
2019-12-13,2927900.0
2020-05-19,3071300.0
2019-03-06,3525300.0
2018-11-30,2892100.0
2019-08-13,4664100.0
2019-07-12,2547100.0
2019-06-10,2745400.0
2019-05-09,2820900.0
2018-07-25,2398300.0
2018-09-27,1783600.0
2018-10-29,2101800.0
2019-10-16,2731000.0
2019-12-16,3658000.0
2020-03-04,2944900.0
2020-05-22,3674100.0
2019-10-01,4763000.0
2019-12-19,1789200.0
2018-09-10,2780600.0
2019-05-24,2684100.0
2018-08-09,1711400.0
2019-04-22,1433400.0
