Dates,AZO
2018-06-20,252200.0
2018-06-21,272800.0
2018-06-25,267200.0
2018-06-22,317800.0
2018-06-26,267200.0
2018-06-27,233400.0
2018-06-28,250800.0
2018-06-29,230900.0
2018-07-02,317000.0
2018-07-03,143400.0
2018-07-05,144100.0
2018-07-16,145700.0
2018-09-18,218000.0
2019-01-24,176900.0
2019-09-05,278600.0
2018-11-21,169300.0
2020-01-13,208800.0
2020-04-01,178900.0
2020-06-19,194700.0
2019-10-29,203300.0
2020-01-16,331200.0
2020-06-22,326200.0
2018-10-03,219100.0
2018-07-31,213000.0
2019-03-12,272500.0
2019-02-08,231300.0
2019-01-07,249300.0
2018-12-06,190500.0
2019-08-19,183600.0
2019-07-18,250200.0
2019-05-15,198700.0
2019-09-20,225400.0
2019-11-01,225800.0
2020-04-07,172700.0
2020-06-25,171200.0
2020-06-16,176300.0
2019-11-04,253000.0
2020-01-22,199300.0
2019-11-07,380000.0
2020-04-13,309800.0
2019-07-01,303600.0
2019-05-30,141400.0
2018-08-15,172400.0
2018-10-18,148400.0
2019-03-27,189500.0
2019-01-22,264700.0
2018-12-21,107000.0
2019-09-03,190100.0
2018-11-19,230100.0
2019-08-02,217600.0
2020-01-28,185600.0
2020-04-16,199000.0
2019-11-13,248700.0
2020-01-31,219100.0
2018-12-04,209100.0
2018-11-02,271600.0
2019-07-16,296900.0
2018-08-30,264800.0
2018-10-01,304400.0
2019-06-14,423200.0
2019-05-13,452600.0
2019-04-11,464500.0
2019-02-06,651000.0
2019-09-18,373600.0
2020-02-03,397400.0
2020-04-22,486900.0
2019-11-19,289400.0
2020-02-06,275900.0
2019-11-22,257100.0
2019-03-25,368500.0
2019-02-21,264200.0
2018-12-19,226800.0
2018-07-12,256700.0
2018-09-14,263100.0
2018-08-13,230000.0
2018-10-16,233400.0
2019-07-31,319000.0
2019-05-28,267300.0
2019-04-26,301300.0
2020-04-28,472700.0
2019-11-25,343000.0
2020-02-12,380000.0
2020-05-01,448500.0
2020-05-04,943200.0
2019-06-12,558400.0
2019-04-09,362400.0
2019-03-08,274800.0
2019-02-04,327500.0
2018-07-27,333400.0
2018-08-28,507400.0
2019-01-03,367200.0
2019-08-15,281700.0
2018-10-31,292600.0
2019-09-16,356700.0
2020-02-18,239300.0
2020-05-07,252500.0
2018-08-17,181700.0
2019-12-04,259800.0
2020-02-21,186000.0
2018-12-17,289200.0
2019-08-30,341300.0
2018-11-15,260600.0
2019-07-29,315000.0
2019-06-27,377900.0
2019-04-24,428500.0
2018-07-10,363500.0
2018-09-12,320100.0
2019-02-19,460200.0
2019-01-18,259300.0
2020-02-24,136000.0
2020-05-13,431000.0
2019-12-10,269500.0
2020-02-27,349900.0
2019-12-13,279200.0
2020-05-19,602900.0
2019-03-06,535700.0
2018-11-30,947400.0
2019-08-13,593600.0
2019-07-12,394600.0
2019-06-10,374700.0
2019-05-09,283700.0
2018-07-25,325800.0
2018-09-27,259600.0
2018-10-29,369400.0
2019-10-16,463000.0
2019-12-16,337900.0
2020-03-04,411600.0
2020-05-22,578300.0
2019-10-01,691600.0
2019-12-19,163300.0
2018-09-10,302300.0
2019-05-24,252400.0
2018-08-09,257500.0
2019-04-22,258300.0
2019-03-21,333400.0
2019-01-16,361600.0
2019-08-28,383800.0
2018-11-13,495500.0
2018-10-12,474700.0
2019-06-25,323900.0
2020-03-10,305900.0
2020-05-28,296900.0
2019-10-07,356900.0
2020-03-13,287200.0
2019-10-10,297400.0
2020-03-16,245900.0
2020-06-03,299700.0
2018-11-28,344900.0
2018-09-25,253700.0
2018-07-23,341500.0
2018-08-24,319700.0
2019-07-10,274400.0
2019-05-07,258300.0
2019-04-05,228600.0
2019-03-04,494700.0
2019-01-31,253900.0
2019-09-12,242700.0
2019-12-31,281400.0
2020-03-19,238800.0
2020-01-03,316100.0
2020-06-09,278800.0
2019-02-15,276700.0
2019-01-14,362700.0
2018-07-06,289500.0
2018-08-07,382000.0
2018-10-10,293000.0
2018-12-13,293200.0
2019-08-26,271200.0
2019-07-25,244600.0
2019-05-22,240000.0
2019-03-19,364300.0
2020-01-06,781400.0
2020-03-25,430600.0
2020-06-12,667900.0
2019-10-22,465700.0
2020-01-09,298300.0
2020-06-15,288700.0
2019-10-25,299000.0
2020-03-31,445900.0
2020-06-18,252000.0
2019-04-03,288300.0
2018-08-22,249700.0
2018-10-25,301200.0
2019-01-29,375100.0
2018-12-28,359100.0
2018-11-26,418900.0
2019-08-09,315300.0
2019-07-08,323600.0
2019-06-06,292400.0
2019-09-10,299000.0
2020-01-15,197100.0
2020-04-03,262300.0
2019-10-31,271300.0
2020-04-06,240000.0
2020-06-24,322000.0
2018-11-09,332400.0
2019-07-23,202700.0
2019-06-21,187100.0
2019-05-20,219200.0
2019-04-18,252000.0
2018-09-06,290100.0
2018-10-08,276700.0
2019-02-13,324900.0
2018-12-11,261400.0
2019-09-25,247400.0
2020-01-21,324100.0
2020-04-09,245900.0
2019-11-06,230700.0
2020-01-24,268800.0
2020-01-27,234100.0
2020-04-15,308400.0
2018-12-26,206800.0
2019-08-07,370200.0
2019-06-04,278500.0
2018-09-21,198300.0
2018-07-19,255100.0
2018-08-20,236900.0
2018-10-23,195500.0
2019-05-03,253900.0
2019-04-01,228000.0
2019-02-28,233500.0
2019-11-12,231000.0
2020-01-30,238800.0
2019-11-15,250000.0
2020-04-21,269200.0
2019-04-16,274500.0
2019-03-15,203600.0
2019-02-11,274600.0
2019-01-10,279600.0
2019-08-22,427300.0
2018-11-07,697700.0
2018-08-03,318000.0
2018-09-04,284900.0
2019-06-19,375800.0
2019-09-23,521500.0
2019-11-18,357000.0
2020-02-05,204900.0
2020-04-24,498800.0
2019-03-29,357200.0
2019-11-21,296000.0
2020-04-27,307700.0
2020-02-11,345700.0
2020-04-30,333700.0
2019-05-01,188100.0
2019-02-26,279700.0
2019-01-25,213300.0
2018-12-24,200100.0
2019-09-06,192500.0
2018-07-17,213500.0
2018-09-19,279500.0
2019-08-05,276500.0
2019-10-08,219200.0
2019-12-11,267400.0
2019-11-27,220300.0
2020-02-14,261800.0
2020-05-06,244300.0
2019-01-08,204700.0
2018-12-07,360700.0
2019-08-20,200900.0
2018-11-05,175300.0
2019-07-19,107500.0
2018-10-04,129800.0
2019-06-17,163500.0
2019-05-16,181000.0
2018-08-01,155700.0
2019-03-13,190500.0
2019-12-03,142800.0
2020-02-20,179700.0
2019-12-06,201500.0
2020-05-12,221100.0
2019-12-09,321600.0
2020-02-26,205700.0
2020-05-15,177400.0
2019-03-28,180100.0
2018-09-17,162400.0
2018-08-16,311700.0
2018-10-19,233900.0
2019-04-29,191900.0
2019-01-23,170400.0
2019-09-04,275000.0
2018-11-20,328100.0
2019-07-02,250700.0
2019-05-31,391500.0
2019-12-12,232600.0
2020-05-18,196600.0
2019-09-27,198900.0
2020-03-03,204100.0
2020-05-21,275100.0
2019-05-14,432500.0
2018-08-31,386300.0
2018-07-30,375900.0
2018-10-02,262100.0
2019-04-12,218300.0
2019-03-11,213100.0
2019-02-07,249900.0
2019-07-17,205300.0
2019-09-19,300900.0
2019-10-21,164500.0
2019-12-18,312400.0
2020-03-06,338600.0
2019-10-03,236200.0
2020-03-09,297800.0
2020-05-27,175700.0
2019-12-24,200900.0
2020-03-12,203700.0
2018-12-20,206200.0
2019-08-01,407800.0
2018-08-14,284400.0
2018-07-13,294400.0
2018-10-17,372000.0
2019-05-29,207000.0
2019-03-26,181000.0
2019-02-22,206900.0
2019-10-04,206600.0
2019-11-05,259500.0
2019-12-27,280900.0
2020-06-02,303600.0
2019-12-30,669000.0
2020-03-18,317200.0
2020-06-05,248300.0
2019-07-15,258900.0
2018-12-03,231700.0
2019-06-13,236200.0
2019-01-04,238200.0
2018-08-29,207900.0
2019-02-05,189500.0
2018-11-01,185300.0
