Dates,EURUSD=X
2007-12-31,1.4749915599822998
2008-01-01,1.4629936218261719
2008-01-04,1.4742956161499023
2008-01-03,1.4778908491134644
2008-01-02,1.4818108081817627
2008-01-07,1.47520911693573
2008-01-08,1.559283971786499
2008-01-09,1.4739913940429688
2008-01-10,1.4811961650848389
2008-01-11,1.4815912246704102
2008-01-14,1.4912018775939941
2008-03-14,1.4920028448104858
2008-07-20,1.4859061241149902
2008-06-18,1.4705017805099487
2009-01-28,1.468989610671997
2008-04-15,1.460003137588501
2009-04-02,1.4684934616088867
2008-10-07,1.4650940895080566
2008-01-25,1.4776068925857544
2008-02-26,1.4774104356765747
2008-07-03,1.479902982711792
2009-03-16,1.4788086414337158
2008-06-01,1.4874091148376465
2009-02-12,1.49140202999115
2008-12-10,1.4932059049606323
2009-05-19,1.4846047163009644
2009-04-08,1.4833053350448608
2008-12-25,1.4667057991027832
2008-04-13,1.4649009704589844
2008-03-12,1.5570987462997437
2008-10-22,1.4577046632766724
2008-06-16,1.460898995399475
2009-02-27,1.4594066143035889
2008-05-15,1.464707851409912
2009-01-26,1.4706099033355713
2009-03-31,1.4690974950790405
2009-04-20,1.4757097959518433
2008-07-01,1.4732965230941772
2009-02-10,1.4835914373397827
2009-01-09,1.4855971336364746
2008-01-23,1.4842960834503174
2008-03-27,1.5038950443267822
2008-04-28,1.5140045881271362
2008-12-08,1.5227885246276855
2008-11-06,1.523809552192688
2008-10-05,1.5269973278045654
2008-09-03,1.5245994329452515
2008-09-18,1.5290051698684692
2008-07-16,1.5398118495941162
2009-03-29,1.5437101125717163
2009-02-25,1.5386981964111328
2008-03-10,1.5488028526306152
2008-02-07,1.5570987462997437
2008-05-13,1.5645045042037964
2008-12-23,1.5682092905044556
2008-11-21,1.5903055667877197
2008-10-20,1.5828044414520264
2009-04-29,1.577909231185913
2008-11-25,1.5640885829925537
2008-11-04,1.5697108507156372
2008-09-01,1.5448071956634521
2008-03-25,1.5657048225402832
2008-01-21,1.5857913494110107
2008-02-22,1.5845098495483398
2008-06-29,1.583606481552124
2009-03-12,1.589092493057251
2008-05-28,1.5699080228805542
2009-01-07,1.5686028003692627
2009-04-13,1.5752992630004883
2009-05-11,1.5735888481140137
2008-06-12,1.5629639625549316
2009-02-23,1.5860931873321533
2009-01-22,1.5903055667877197
2008-11-19,1.5850121974945068
2008-09-16,1.5885875225067139
2008-02-05,1.5873016119003296
2008-04-09,1.5975971221923828
2008-05-11,1.5975971221923828
2008-07-14,1.5954052209854126
2009-03-27,1.5943114757537842
2009-05-14,1.6013065576553345
2008-09-22,1.5997952222824097
2009-05-17,1.588486671447754
2008-07-29,1.5706970691680908
2009-03-10,1.5687997341156006
2008-05-26,1.5660971403121948
2009-02-06,1.5638684034347534
2009-01-05,1.5498108863830566
2008-12-04,1.5518070459365845
2008-02-20,1.5591623783111572
2008-04-24,1.553808331489563
2008-10-01,1.5576082468032837
2009-05-13,1.5489946603775024
2008-03-06,1.5568805932998657
2008-11-17,1.5561779737472534
2008-10-16,1.5484910011291504
2008-09-14,1.554508924484253
2009-03-25,1.5596001148223877
2008-06-10,1.5629884004592896
2009-01-20,1.5677913427352905
2008-04-07,1.5799036026000977
2008-12-19,1.580877661705017
2009-04-26,1.579304814338684
2009-06-01,1.579304814338684
2009-02-04,1.5818029642105103
2008-03-21,1.5755971670150757
2008-01-17,1.5663915872573853
2008-02-18,1.556832194328308
2008-04-22,1.5572928190231323
2008-12-02,1.5626463890075684
2008-10-31,1.5478917360305786
2008-09-29,1.559989333152771
2008-08-28,1.5786067247390747
2008-07-27,1.584208607673645
2008-07-10,1.5655087232589722
2009-03-23,1.5581905841827393
2008-02-01,1.5565898418426514
2008-03-04,1.5462881326675415
2008-06-08,1.5517107248306274
2009-02-19,1.5548955202102661
2008-05-07,1.5540015697479248
2008-12-17,1.5586764812469482
2008-10-14,1.5651901960372925
2009-05-26,1.5625487565994263
2008-10-29,1.5620118379592896
2008-08-26,1.5686028003692627
2008-01-15,1.576590657234192
2008-03-19,1.5799036026000977
2008-04-20,1.5835061073303223
2008-06-23,1.5891934633255005
2009-03-06,1.5905078649520874
2008-05-22,1.5725990533828735
2009-02-02,1.5749024152755737
2009-01-01,1.550195336341858
2009-04-07,1.5749024152755737
2009-01-16,1.5798038244247437
2008-12-15,1.5948964357376099
2008-11-13,1.5933208465576172
2008-10-12,1.6028209924697876
2008-04-03,1.5945911407470703
2008-01-30,1.5891934633255005
2008-05-05,1.5882091522216797
2008-09-10,1.593092441558838
2008-07-08,1.594209909439087
2009-02-17,1.5798038244247437
2009-04-16,1.57111656665802
2008-07-23,1.5751007795333862
2009-03-04,1.576491355895996
2008-05-20,1.5757957696914673
2008-12-30,1.5613290071487427
2008-11-28,1.5697108507156372
2008-03-17,1.5336012840270996
2008-02-14,1.4681053161621094
2008-10-27,1.4771921634674072
2008-09-25,1.4808013439178467
2009-04-05,1.476385235786438
2009-04-22,1.4703071117401123
2008-09-08,1.4595983028411865
2008-08-07,1.4531716108322144
2008-07-06,1.4539955854415894
2009-03-19,1.4336917400360107
2008-06-04,1.5050041675567627
2009-01-14,1.4224953651428223
2008-01-28,1.4171934127807617
2008-04-01,1.4039028882980347
2008-02-29,1.4239943027496338
2008-11-11,1.4474084377288818
2009-04-28,1.4276129007339478
2009-01-29,1.4380005598068237
2008-11-26,1.4527071714401245
2008-09-23,1.4496954679489136
2008-07-21,1.485707402229309
2008-06-19,1.48262357711792
2009-03-02,1.474013090133667
2008-02-12,1.4764941930770874
2008-04-16,1.4679113626480103
