Dates,INTU
2018-06-20,210.85000610351562
2018-06-21,214.25
2018-06-25,209.77000427246094
2018-06-22,204.8699951171875
2018-06-26,201.94000244140625
2018-06-27,202.42999267578125
2018-06-28,198.4499969482422
2018-06-29,204.36000061035156
2018-07-02,203.00999450683594
2018-07-03,206.9499969482422
2018-07-05,206.5500030517578
2018-07-16,205.67999267578125
2018-09-18,209.22000122070312
2019-01-24,208.1300048828125
2019-09-05,207.60000610351562
2018-11-21,210.6999969482422
2020-01-13,213.9199981689453
2020-04-01,213.5500030517578
2020-06-19,213.5399932861328
2019-10-29,216.0
2020-01-16,217.50999450683594
2020-06-22,216.0399932861328
2018-10-03,215.2899932861328
2018-07-31,218.14999389648438
2019-03-12,216.0
2019-02-08,217.61000061035156
2019-01-07,217.5
2018-12-06,208.05999755859375
2019-08-19,204.1999969482422
2019-07-18,203.91000366210938
2019-05-15,202.6999969482422
2019-09-20,206.7899932861328
2019-11-01,204.5399932861328
2020-04-07,207.74000549316406
2020-06-25,209.6999969482422
2020-06-16,212.61000061035156
2019-11-04,209.58999633789062
2020-01-22,211.38999938964844
2019-11-07,210.0
2020-04-13,209.50999450683594
2019-07-01,210.69000244140625
2019-05-30,209.0500030517578
2018-08-15,208.82000732421875
2018-10-18,208.41000366210938
2019-03-27,209.00999450683594
2019-01-22,210.30999755859375
2018-12-21,212.85000610351562
2019-09-03,216.63999938964844
2018-11-19,212.32000732421875
2019-08-02,215.60000610351562
2020-01-28,217.1699981689453
2020-04-16,217.97000122070312
2019-11-13,219.94000244140625
2020-01-31,220.60000610351562
2018-12-04,218.41000366210938
2018-11-02,218.27999877929688
2019-07-16,220.6199951171875
2018-08-30,224.11000061035156
2018-10-01,226.2100067138672
2019-06-14,226.33999633789062
2019-05-13,228.72999572753906
2019-04-11,227.50999450683594
2019-02-06,225.7899932861328
2019-09-18,227.75999450683594
2020-02-03,222.02000427246094
2020-04-22,222.50999450683594
2019-11-19,219.47999572753906
2020-02-06,219.0
2019-11-22,222.64999389648438
2019-03-25,222.67999267578125
2019-02-21,223.88999938964844
2018-12-19,228.85000610351562
2018-07-12,227.8699951171875
2018-09-14,230.0
2018-08-13,230.27000427246094
2018-10-16,225.0399932861328
2019-07-31,222.4199981689453
2019-05-28,218.8000030517578
2019-04-26,219.5
2020-04-28,204.63999938964844
2019-11-25,208.19000244140625
2020-02-12,211.69000244140625
2020-05-01,211.6300048828125
2020-05-04,215.44000244140625
2019-06-12,217.44000244140625
2019-04-09,214.97000122070312
2019-03-08,212.02000427246094
2019-02-04,209.52999877929688
2018-07-27,208.22999572753906
2018-08-28,204.32000732421875
2019-01-03,200.97000122070312
2019-08-15,206.35000610351562
2018-10-31,200.8800048828125
2019-09-16,205.38999938964844
2020-02-18,210.80999755859375
2020-05-07,212.9499969482422
2018-08-17,213.94000244140625
2019-12-04,213.82000732421875
2020-02-21,215.69000244140625
2018-12-17,220.7100067138672
2019-08-30,222.88999938964844
2018-11-15,221.47999572753906
2019-07-29,213.92999267578125
2019-06-27,214.8699951171875
2019-04-24,208.7899932861328
2018-07-10,213.00999450683594
2018-09-12,210.0500030517578
2019-02-19,197.61000061035156
2019-01-18,198.35000610351562
2020-02-24,195.6199951171875
2020-05-13,202.07000732421875
2019-12-10,199.6999969482422
2020-02-27,199.32000732421875
2019-12-13,206.9600067138672
2020-05-19,210.41000366210938
2019-03-06,217.72000122070312
2018-11-30,212.66000366210938
2019-08-13,203.1999969482422
2019-07-12,210.2100067138672
2019-06-10,202.9600067138672
2019-05-09,210.0
2018-07-25,210.11000061035156
2018-09-27,206.86000061035156
2018-10-29,205.47999572753906
2019-10-16,200.2899932861328
2019-12-16,199.02999877929688
2020-03-04,198.57000732421875
2020-05-22,194.49000549316406
2019-10-01,192.77999877929688
2019-12-19,185.0
2018-09-10,184.1300048828125
2019-05-24,189.55999755859375
2018-08-09,197.74000549316406
2019-04-22,197.3699951171875
2019-03-21,191.5
2019-01-16,191.25
2019-08-28,191.80999755859375
2018-11-13,195.3300018310547
2018-10-12,200.8300018310547
2019-06-25,204.05999755859375
2020-03-10,201.75
2020-05-28,205.44000244140625
2019-10-07,203.75
2020-03-13,205.3800048828125
2019-10-10,210.99000549316406
2020-03-16,208.50999450683594
2020-06-03,214.17999267578125
2018-11-28,212.83999633789062
2018-09-25,213.0
2018-07-23,212.33999633789062
2018-08-24,214.60000610351562
2019-07-10,212.8300018310547
2019-05-07,211.2100067138672
2019-04-05,209.72000122070312
2019-03-04,213.60000610351562
2019-01-31,215.74000549316406
2019-09-12,216.8800048828125
2019-12-31,221.42999267578125
2020-03-19,224.14999389648438
2020-01-03,222.16000366210938
2020-06-09,219.30999755859375
2019-02-15,226.8300018310547
2019-01-14,227.5800018310547
2018-07-06,230.0
2018-08-07,227.64999389648438
2018-10-10,233.33999633789062
2018-12-13,233.36000061035156
2019-08-26,235.74000549316406
2019-07-25,235.02999877929688
2019-05-22,236.72000122070312
2019-03-19,247.10000610351562
2020-01-06,246.3000030517578
2020-03-25,247.5500030517578
2020-06-12,249.35000610351562
2019-10-22,250.0
2020-01-09,250.67999267578125
2020-06-15,248.19000244140625
2019-10-25,247.33999633789062
2020-03-31,246.1699981689453
2020-06-18,242.82000732421875
2019-04-03,247.4600067138672
2018-08-22,249.75999450683594
2018-10-25,251.08999633789062
2019-01-29,252.9600067138672
2018-12-28,256.5
