Dates,INTU
2018-10-23,1463400.0
2019-05-03,1202900.0
2019-04-01,854900.0
2019-02-28,1439500.0
2019-11-12,2088900.0
2020-01-30,1646300.0
2019-11-15,1407800.0
2020-04-21,1256400.0
2019-04-16,1704800.0
2019-03-15,985600.0
2019-02-11,1044500.0
2019-01-10,1294000.0
2019-08-22,957400.0
2018-11-07,979300.0
2018-08-03,865500.0
2018-09-04,1552100.0
2019-06-19,2702600.0
2019-09-23,3059700.0
2019-11-18,1674900.0
2020-02-05,1154700.0
2020-04-24,1362000.0
2019-03-29,1638600.0
2019-11-21,1664300.0
2020-04-27,1130100.0
2020-02-11,1055600.0
2020-04-30,1222000.0
2019-05-01,1157400.0
2019-02-26,1209400.0
2019-01-25,825900.0
2018-12-24,1756100.0
2019-09-06,1234200.0
2018-07-17,1282100.0
2018-09-19,1216300.0
2019-08-05,1032800.0
2019-10-08,1750600.0
2019-12-11,1856900.0
2019-11-27,1188500.0
2020-02-14,1015400.0
2020-05-06,1293500.0
2019-01-08,1459600.0
2018-12-07,1478900.0
2019-08-20,973100.0
2018-11-05,720200.0
2019-07-19,774700.0
2018-10-04,894800.0
2019-06-17,863800.0
2019-05-16,1135500.0
2018-08-01,1132200.0
2019-03-13,1867300.0
2019-12-03,1199700.0
2020-02-20,990800.0
2019-12-06,1156000.0
2020-05-12,797100.0
2019-12-09,1224000.0
2020-02-26,1599100.0
2020-05-15,723400.0
2019-03-28,1245800.0
2018-09-17,1413900.0
2018-08-16,868200.0
2018-10-19,788700.0
2019-04-29,1267400.0
2019-01-23,767100.0
2019-09-04,1147600.0
2018-11-20,1272600.0
2019-07-02,1494500.0
2019-05-31,1774500.0
2019-12-12,1201900.0
2020-05-18,1221800.0
2019-09-27,1107000.0
2020-03-03,1279200.0
2020-05-21,967700.0
2019-05-14,1241700.0
2018-08-31,1239300.0
2018-07-30,1244600.0
2018-10-02,1044200.0
2019-04-12,1222000.0
2019-03-11,1062200.0
2019-02-07,925400.0
2019-07-17,1558800.0
2019-09-19,3381800.0
2019-10-21,2004400.0
2019-12-18,1778000.0
2020-03-06,1482100.0
2019-10-03,1209600.0
2020-03-09,1080100.0
2020-05-27,1399400.0
2019-12-24,945600.0
2020-03-12,1092400.0
2018-12-20,1298900.0
2019-08-01,2141500.0
2018-08-14,2095300.0
2018-07-13,1306700.0
2018-10-17,1329500.0
2019-05-29,1031000.0
2019-03-26,803000.0
2019-02-22,935900.0
2019-10-04,846800.0
2019-11-05,903700.0
2019-12-27,1584200.0
2020-06-02,803500.0
2019-12-30,1169500.0
2020-03-18,983000.0
2020-06-05,1182300.0
2019-07-15,1020100.0
2018-12-03,1135600.0
2019-06-13,1007300.0
2019-01-04,1375000.0
2018-08-29,1270300.0
2019-02-05,1312900.0
2018-11-01,1551300.0
2019-08-16,1340000.0
2019-04-10,864200.0
2019-09-17,1177400.0
2019-10-15,1068600.0
2020-01-02,1024300.0
2020-06-08,1042100.0
2019-10-18,1065500.0
2020-03-24,879800.0
2020-06-11,1551800.0
2020-01-08,1040400.0
2019-04-25,1482400.0
2019-07-30,1227800.0
2019-02-20,1071500.0
2018-07-11,1185800.0
2018-09-13,1027100.0
2018-10-15,953200.0
2019-06-28,1665800.0
2018-12-18,890100.0
2018-11-16,1108700.0
2019-10-02,1410900.0
2020-03-27,1918900.0
2020-01-10,1430600.0
2019-10-24,1401400.0
2020-03-30,1357200.0
2020-06-17,963900.0
2020-01-14,1227800.0
2020-04-02,1242800.0
2019-01-02,974300.0
2019-08-14,1484300.0
2018-10-30,1945000.0
2019-06-11,1334100.0
2019-05-10,1448800.0
2019-04-08,1308100.0
2018-08-27,4071600.0
2018-07-26,2428600.0
2018-09-28,2081500.0
2019-03-07,1164200.0
2019-10-30,721500.0
2020-01-17,1486200.0
2020-06-23,1302400.0
2020-04-08,1526100.0
2020-06-26,1248700.0
2019-03-22,1029400.0
2019-01-17,1086900.0
2019-08-29,975400.0
2018-11-14,1588900.0
2019-06-26,1102300.0
2018-09-11,1965200.0
2018-07-09,1948500.0
2018-08-10,1778700.0
2019-04-23,1453400.0
2019-09-30,1352900.0
2020-01-23,2361500.0
2019-11-08,1411500.0
2020-04-14,417100.0
2019-11-11,691600.0
2020-01-29,637900.0
2020-04-17,995500.0
2018-07-24,1007900.0
2018-09-26,1124500.0
2019-05-08,798500.0
2019-03-05,1026100.0
2019-02-01,915100.0
2018-12-31,1373900.0
2018-11-29,1076300.0
2019-08-12,1127400.0
2019-07-11,1697600.0
2019-09-13,1216400.0
2019-11-14,1147300.0
2020-04-20,834700.0
2020-02-04,2172700.0
2020-04-23,1636000.0
2018-12-14,2611200.0
2019-08-27,1659500.0
2018-08-08,1089900.0
2018-10-11,881200.0
2018-11-12,840900.0
2019-07-26,858100.0
2019-06-24,785000.0
2019-05-23,1268800.0
2019-03-20,1042000.0
2019-01-15,1345700.0
2019-11-20,1060700.0
2020-02-07,1000700.0
2020-02-10,921600.0
2020-04-29,1139800.0
2019-11-26,903500.0
2020-02-13,792300.0
2019-01-30,721200.0
2018-08-23,855300.0
2018-09-24,888200.0
2018-11-27,791600.0
2018-10-26,900900.0
2019-07-09,1173200.0
2019-06-07,1996800.0
2019-05-06,3430400.0
2019-04-04,2449200.0
2019-09-11,2245800.0
2019-11-29,2899400.0
2020-05-05,2520500.0
2019-12-02,2015100.0
2020-02-19,2551100.0
2020-05-08,2418800.0
2019-05-21,1913900.0
2019-03-18,2138600.0
2018-09-07,2541500.0
2018-08-06,1848500.0
2018-10-09,3430300.0
2019-02-14,2399200.0
2018-12-12,2642500.0
2019-07-24,2901100.0
2019-09-26,2103300.0
2019-10-28,2340900.0
2019-12-05,3858400.0
2020-05-11,3415600.0
2019-07-03,3329600.0
2020-02-25,2505000.0
2020-05-14,2245400.0
2020-02-28,2143700.0
2019-08-08,1321100.0
2019-06-05,1698100.0
2018-07-20,1646700.0
2018-08-21,1584400.0
2018-10-24,1553400.0
2019-04-02,2535600.0
2019-03-01,1466200.0
2019-01-28,1223200.0
2018-12-27,1646900.0
2019-09-09,1298900.0
2020-03-02,1817900.0
2020-05-20,1198400.0
2019-12-17,1087700.0
2020-03-05,1423600.0
2019-02-12,1297300.0
2019-01-11,1525800.0
2018-12-10,1258600.0
2019-08-23,1309200.0
2018-11-08,1069900.0
2019-07-22,941200.0
2019-06-20,1000000.0
2018-09-05,1132400.0
2019-04-17,1410400.0
2019-09-24,1193600.0
2019-12-20,1366500.0
2020-05-26,1052700.0
2019-04-30,754500.0
2019-12-23,954200.0
2020-03-11,1209500.0
2020-05-29,882200.0
2019-12-26,933500.0
2020-06-01,957100.0
2019-05-02,912900.0
2019-02-27,850000.0
2018-11-23,1187500.0
2019-08-06,1318200.0
2018-07-18,1418100.0
2018-09-20,1358300.0
2018-10-22,1770100.0
2019-07-05,1775700.0
2019-06-03,1479400.0
2019-10-09,1717800.0
2019-10-11,1689800.0
2020-03-17,1283800.0
2020-06-04,1132900.0
2019-10-14,1309700.0
2020-03-20,1316500.0
2018-11-06,1874000.0
2019-06-18,1067200.0
2019-05-17,1283000.0
2019-04-15,1072000.0
2019-03-14,1392600.0
2019-01-09,1173500.0
2018-08-02,943100.0
2018-10-05,1225500.0
2019-08-21,855500.0
2019-10-17,1127000.0
2020-03-23,2482200.0
2020-06-10,1179100.0
2019-02-25,1291400.0
2020-01-07,951000.0
2020-03-26,966600.0
2019-10-23,1376800.0
