Dates,INTU
2018-06-20,213.75999450683594
2018-06-21,216.6300048828125
2018-06-25,210.47000122070312
2018-06-22,205.0
2018-06-26,203.41000366210938
2018-06-27,203.97000122070312
2018-06-28,204.75
2018-06-29,206.52000427246094
2018-07-02,206.19000244140625
2018-07-03,206.9499969482422
2018-07-05,207.94000244140625
2018-07-16,208.38999938964844
2018-09-18,209.7899932861328
2019-01-24,209.3000030517578
2019-09-05,209.52999877929688
2018-11-21,213.86000061035156
2020-01-13,214.36000061035156
2020-04-01,214.9199981689453
2020-06-19,216.99000549316406
2019-10-29,218.61000061035156
2020-01-16,218.1699981689453
2020-06-22,216.58999633789062
2018-10-03,217.75
2018-07-31,219.4600067138672
2019-03-12,217.5
2019-02-08,219.33999633789062
2019-01-07,218.19000244140625
2018-12-06,212.16000366210938
2019-08-19,206.4199981689453
2019-07-18,205.6199951171875
2019-05-15,205.80999755859375
2019-09-20,206.99000549316406
2019-11-01,207.99000549316406
2020-04-07,210.16000366210938
2020-06-25,210.5800018310547
2020-06-16,212.83999633789062
2019-11-04,212.7100067138672
2020-01-22,212.74000549316406
2019-11-07,211.5
2020-04-13,211.58999633789062
2019-07-01,211.1699981689453
2019-05-30,210.5
2018-08-15,208.82000732421875
2018-10-18,210.38999938964844
2019-03-27,210.38999938964844
2019-01-22,213.4600067138672
2018-12-21,217.36000061035156
2019-09-03,217.4600067138672
2018-11-19,216.02999877929688
2019-08-02,218.75
2020-01-28,219.2100067138672
2020-04-16,219.77999877929688
2019-11-13,221.1199951171875
2020-01-31,221.08999633789062
2018-12-04,220.8000030517578
2018-11-02,221.5800018310547
2019-07-16,225.1199951171875
2018-08-30,226.7899932861328
2018-10-01,226.92999267578125
2019-06-14,228.3800048828125
2019-05-13,229.86000061035156
2019-04-11,228.22000122070312
2019-02-06,229.6199951171875
2019-09-18,228.41000366210938
2020-02-03,222.42999267578125
2020-04-22,223.52000427246094
2019-11-19,221.97000122070312
2020-02-06,221.97999572753906
2019-11-22,224.60000610351562
2019-03-25,224.30999755859375
2019-02-21,227.92999267578125
2018-12-19,229.8000030517578
2018-07-12,228.57000732421875
2018-09-14,231.83999633789062
2018-08-13,230.77000427246094
2018-10-16,226.75999450683594
2019-07-31,222.69000244140625
2019-05-28,221.47999572753906
2019-04-26,220.00999450683594
2020-04-28,208.55999755859375
2019-11-25,212.39999389648438
2020-02-12,211.69000244140625
2020-05-01,215.86000061035156
2020-05-04,218.9499969482422
2019-06-12,218.1199951171875
2019-04-09,215.9499969482422
2019-03-08,214.63999938964844
2019-02-04,210.33999633789062
2018-07-27,211.16000366210938
2018-08-28,208.19000244140625
2019-01-03,205.30999755859375
2019-08-15,208.1999969482422
2018-10-31,204.2100067138672
2019-09-16,212.77000427246094
2020-02-18,212.58999633789062
2020-05-07,215.72999572753906
2018-08-17,214.8699951171875
2019-12-04,216.14999389648438
2020-02-21,221.88999938964844
2018-12-17,223.30999755859375
2019-08-30,223.41000366210938
2018-11-15,221.47999572753906
2019-07-29,216.3800048828125
2019-06-27,216.30999755859375
