Dates,COST
2018-06-20,204.0624237060547
2018-06-21,206.0051727294922
2018-06-25,207.1237030029297
2018-06-22,207.76144409179688
2018-06-26,206.13270568847656
2018-06-27,206.07383728027344
2018-06-28,204.7787322998047
2018-06-29,205.04360961914062
2018-07-02,204.072265625
2018-07-03,203.2186279296875
2018-07-05,205.20062255859375
2018-07-16,205.6715545654297
2018-09-18,206.96669006347656
2019-01-24,207.71238708496094
2019-09-05,206.97653198242188
2018-11-21,209.9886932373047
2020-01-13,212.46121215820312
2020-04-01,210.80308532714844
2020-06-19,210.95022583007812
2019-10-29,210.92076110839844
2020-01-16,213.44236755371094
2020-06-22,214.5707244873047
2018-10-03,214.7178955078125
2018-07-31,214.46278381347656
2019-03-12,216.54283142089844
2019-02-08,217.54364013671875
2019-01-07,215.51260375976562
2018-12-06,214.98281860351562
2019-08-19,214.59033203125
2019-07-18,213.04010009765625
2019-05-15,216.9549560546875
2019-09-20,217.84779357910156
2019-11-01,218.52479553222656
2020-04-07,219.64334106445312
2020-06-25,220.34974670410156
2020-06-16,214.12921142578125
2019-11-04,216.16021728515625
2020-01-22,215.42431640625
2019-11-07,217.818359375
2020-04-13,217.4945831298828
2019-07-01,218.9859619140625
2019-05-30,221.42906188964844
2018-08-15,223.06759643554688
2018-10-18,224.23519897460938
2019-03-27,224.89254760742188
2019-01-22,225.18692016601562
2018-12-21,226.92356872558594
2019-09-03,225.69711303710938
2018-11-19,225.92279052734375
2019-08-02,225.85411071777344
2020-01-28,227.04425048828125
2020-04-16,229.3065185546875
2019-11-13,230.8311004638672
2020-01-31,231.74586486816406
2018-12-04,232.79832458496094
2018-11-02,237.49993896484375
2019-07-16,239.19168090820312
2018-08-30,240.204833984375
2018-10-01,238.46383666992188
2019-06-14,237.31301879882812
2019-05-13,231.51962280273438
2019-04-11,228.19508361816406
2019-02-06,230.5065460205078
2019-09-18,230.01470947265625
2020-02-03,230.0835723876953
2020-04-22,230.90977478027344
2019-11-19,229.5130615234375
2020-02-06,229.10980224609375
2019-11-22,229.97537231445312
2019-03-25,230.16226196289062
2019-02-21,231.02784729003906
2018-12-19,230.8015899658203
2018-07-12,232.47372436523438
2018-09-14,229.3753662109375
2018-08-13,227.8803253173828
2018-10-16,215.2312469482422
2019-07-31,220.25741577148438
2019-05-28,220.4934844970703
2019-04-26,217.42465209960938
2020-04-28,218.18203735351562
2019-11-25,223.22789001464844
2020-02-12,220.82789611816406
2020-05-01,223.9459228515625
2020-05-04,224.74266052246094
2019-06-12,224.83116149902344
2019-04-09,225.9032745361328
2019-03-08,225.30328369140625
2019-02-04,224.9983673095703
2018-07-27,220.09019470214844
2018-08-28,222.68692016601562
2019-01-03,214.611572265625
2019-08-15,218.77218627929688
2018-10-31,224.18197631835938
2019-09-16,224.88034057617188
2020-02-18,225.83441162109375
2020-05-07,226.38525390625
2018-08-17,230.60487365722656
2019-12-04,232.8278045654297
2020-02-21,236.42779541015625
2018-12-17,235.34327697753906
2019-08-30,234.3967742919922
2018-11-15,231.18258666992188
2019-07-29,230.84738159179688
2019-06-27,230.02906799316406
2019-04-24,226.7064666748047
2018-07-10,227.77127075195312
2018-09-12,225.52334594726562
2019-02-19,216.22593688964844
2019-01-18,215.49635314941406
2020-02-24,216.9653778076172
2020-05-13,216.3639678955078
2019-12-10,219.87391662597656
2020-02-27,227.100830078125
2019-12-13,227.7515411376953
2020-05-19,228.02760314941406
2019-03-06,228.8163604736328
2018-11-30,223.1669464111328
2019-08-13,229.92059326171875
2019-07-12,221.69789123535156
2019-06-10,219.52882385253906
2019-05-09,223.31483459472656
2018-07-25,224.5965576171875
2018-09-27,223.32469177246094
2018-10-29,204.14820861816406
2019-10-16,199.38612365722656
2019-12-16,200.1354522705078
2020-03-04,198.57765197753906
2020-05-22,194.3578338623047
2019-10-01,191.78456115722656
2019-12-19,187.31825256347656
2018-09-10,195.8367462158203
2019-05-24,198.2523193359375
2018-08-09,199.1987762451172
2019-04-22,200.8453369140625
2019-03-21,201.88055419921875
2019-01-16,197.60159301757812
2019-08-28,203.33975219726562
2018-11-13,204.0890350341797
2018-10-12,205.6172637939453
2019-06-25,206.94825744628906
2020-03-10,207.6778564453125
2020-05-28,207.5496826171875
2019-10-07,206.06092834472656
2020-03-13,208.0623779296875
2019-10-10,207.22433471679688
2020-03-16,208.48634338378906
2020-06-03,210.58636474609375
2018-11-28,209.41311645507812
2018-09-25,209.1074676513672
2018-07-23,207.35250854492188
2018-08-24,206.1299285888672
2019-07-10,207.80604553222656
2019-05-07,207.35250854492188
2019-04-05,208.3778839111328
2019-03-04,211.61175537109375
2019-01-31,207.3130645751953
2019-09-12,208.21026611328125
2019-12-31,208.6342315673828
2020-03-19,208.62435913085938
2020-01-03,206.6669464111328
2020-06-09,205.3817596435547
2019-02-15,206.3406982421875
2019-01-14,209.4844512939453
2018-07-06,210.37420654296875
2018-08-07,211.40232849121094
2018-10-10,214.0023651123047
2018-12-13,215.633544921875
2019-08-26,214.6350555419922
2019-07-25,212.77647399902344
2019-05-22,213.8243865966797
2019-03-19,214.57574462890625
2020-01-06,215.1293487548828
2020-03-25,215.56434631347656
2020-06-12,216.24649047851562
2019-10-22,216.93849182128906
2020-01-09,215.9202423095703
2020-06-15,217.3141632080078
2019-10-25,216.73089599609375
2020-03-31,214.31869506835938
2020-06-18,225.22299194335938
2019-04-03,227.07167053222656
2018-08-22,230.3043975830078
2018-10-25,233.68539428710938
2019-01-29,231.17433166503906
2018-12-28,230.93707275390625
2018-11-26,233.8929901123047
2019-08-09,234.34776306152344
2019-07-08,234.27853393554688
2019-06-06,236.80935668945312
2019-09-10,234.85194396972656
2020-01-15,234.26866149902344
2020-04-03,236.34474182128906
2019-10-31,236.68084716796875
2020-04-06,238.47019958496094
2020-06-24,239.3797149658203
2018-11-09,241.40635681152344
2019-07-23,237.7584228515625
2019-06-21,239.71585083007812
2019-05-20,241.61395263671875
2019-04-18,243.06719970703125
2018-09-06,243.70980834960938
2018-10-08,242.1181640625
2019-02-13,242.81019592285156
2018-12-11,238.48997497558594
2019-09-25,239.19187927246094
2020-01-21,243.52195739746094
2020-04-09,242.54324340820312
2019-11-06,242.76072692871094
2020-01-24,243.0078887939453
2020-01-27,240.6451416015625
2020-04-15,242.780517578125
2018-12-26,245.13339233398438
2019-08-07,242.80027770996094
2019-06-04,241.04055786132812
2018-09-21,241.49533081054688
2018-07-19,242.7310791015625
2018-08-20,238.83599853515625
2018-10-23,239.9234619140625
2019-05-03,241.8314666748047
2019-04-01,241.44590759277344
2019-02-28,237.44204711914062
2019-11-12,238.58883666992188
2020-01-30,241.34458923339844
2019-11-15,244.86358642578125
2020-04-21,239.80809020996094
2019-04-16,240.6110382080078
2019-03-15,242.53408813476562
2019-02-11,245.27993774414062
2019-01-10,246.18199157714844
2019-08-22,246.7271728515625
2018-11-07,247.7481689453125
2018-08-03,247.33184814453125
2018-09-04,246.3603973388672
2019-06-19,245.1411590576172
2019-09-23,244.15977478027344
2019-11-18,238.58885192871094
2020-02-05,239.43141174316406
2020-04-24,237.488525390625
2019-03-29,238.96554565429688
2019-11-21,243.4658966064453
2020-04-27,245.79539489746094
2020-02-11,249.01699829101562
2020-04-30,253.77511596679688
2019-05-01,254.60775756835938
2019-02-26,254.86546325683594
2019-01-25,254.98448181152344
2018-12-24,257.44281005859375
2019-09-06,257.87896728515625
2018-07-17,259.1477966308594
2018-09-19,260.44635009765625
2019-08-05,261.3583679199219
2019-10-08,265.0161437988281
2019-12-11,263.8067626953125
2019-11-27,264.4411926269531
2020-02-14,264.0347595214844
2020-05-06,262.10174560546875
2019-01-08,263.2615661621094
2018-12-07,261.9530944824219
2019-08-20,261.249267578125
2018-11-05,263.15252685546875
2019-07-19,266.7904968261719
2018-10-04,265.9082336425781
2019-06-17,267.0482177734375
2019-05-16,267.61322021484375
2018-08-01,269.0506286621094
2019-03-13,274.12591552734375
2019-12-03,277.0005798339844
2020-02-20,278.1305847167969
2019-12-06,278.20001220703125
2020-05-12,279.10205078125
2019-12-09,280.4402770996094
2020-02-26,279.052490234375
2020-05-15,277.7242126464844
2019-03-28,277.65484619140625
2018-09-17,278.3783874511719
2018-08-16,277.357421875
2018-10-19,278.9136962890625
2019-04-29,277.6845397949219
2019-01-23,277.0600280761719
2019-09-04,273.2238464355469
2018-11-20,272.173095703125
2019-07-02,270.12115478515625
2019-05-31,262.7857971191406
2019-12-12,266.958984375
2020-05-18,271.9054260253906
2019-09-27,272.4010925292969
2020-03-03,271.548583984375
