Dates,COST
2018-06-20,1527700.0
2018-06-21,1825800.0
2018-06-25,1738600.0
2018-06-22,2398600.0
2018-06-26,2276700.0
2018-06-27,2211700.0
2018-06-28,1826700.0
2018-06-29,2164600.0
2018-07-02,1876100.0
2018-07-03,842100.0
2018-07-05,1436700.0
2018-07-16,1523200.0
2018-09-18,1738300.0
2019-01-24,1687800.0
2019-09-05,1472800.0
2018-11-21,2222000.0
2020-01-13,1951200.0
2020-04-01,2078200.0
2020-06-19,2064800.0
2019-10-29,1869500.0
2020-01-16,2790800.0
2020-06-22,1793900.0
2018-10-03,1394300.0
2018-07-31,1453900.0
2019-03-12,1560200.0
2019-02-08,1820000.0
2019-01-07,1596800.0
2018-12-06,1292700.0
2019-08-19,1888500.0
2019-07-18,1841300.0
2019-05-15,1904800.0
2019-09-20,1195700.0
2019-11-01,1285500.0
2020-04-07,1428100.0
2020-06-25,2010700.0
2020-06-16,3637100.0
2019-11-04,2830800.0
2020-01-22,1518900.0
2019-11-07,1450600.0
2020-04-13,1844100.0
2019-07-01,1657700.0
2019-05-30,1980900.0
2018-08-15,1783700.0
2018-10-18,2066700.0
2019-03-27,1267900.0
2019-01-22,1337900.0
2018-12-21,1453200.0
2019-09-03,1904100.0
2018-11-19,1882100.0
2019-08-02,1793600.0
2020-01-28,1272000.0
2020-04-16,1881300.0
2019-11-13,1858400.0
2020-01-31,2126000.0
2018-12-04,1853200.0
2018-11-02,2722400.0
2019-07-16,2817300.0
2018-08-30,2185700.0
2018-10-01,1912000.0
2019-06-14,2078200.0
2019-05-13,3875300.0
2019-04-11,2884600.0
2019-02-06,2000200.0
2019-09-18,1581400.0
2020-02-03,1910100.0
2020-04-22,3717800.0
2019-11-19,1530400.0
2020-02-06,1889700.0
2019-11-22,2008500.0
2019-03-25,1421400.0
2019-02-21,1602800.0
2018-12-19,1673100.0
2018-07-12,1647600.0
2018-09-14,2322300.0
2018-08-13,2862800.0
2018-10-16,7379000.0
2019-07-31,3863500.0
2019-05-28,2502800.0
2019-04-26,3021400.0
2020-04-28,3650900.0
2019-11-25,3130500.0
2020-02-12,2441900.0
2020-05-01,2541800.0
2020-05-04,2129300.0
2019-06-12,2624600.0
2019-04-09,2099800.0
2019-03-08,2007300.0
2019-02-04,2656700.0
2018-07-27,3100200.0
2018-08-28,2218900.0
2019-01-03,3995400.0
2019-08-15,3801400.0
2018-10-31,2410500.0
2019-09-16,2674600.0
2020-02-18,2095000.0
2020-05-07,2167200.0
2018-08-17,2513900.0
2019-12-04,2101300.0
2020-02-21,2603600.0
2018-12-17,2140600.0
2019-08-30,2256700.0
2018-11-15,2301400.0
2019-07-29,1548100.0
2019-06-27,1896500.0
2019-04-24,2722300.0
2018-07-10,2822400.0
2018-09-12,1949500.0
2019-02-19,3704800.0
2019-01-18,2036500.0
2020-02-24,1007500.0
2020-05-13,2205600.0
2019-12-10,2369800.0
2020-02-27,2765600.0
2019-12-13,1478700.0
2020-05-19,2764000.0
2019-03-06,2481500.0
2018-11-30,3418600.0
2019-08-13,4029800.0
2019-07-12,2881900.0
2019-06-10,2650000.0
2019-05-09,2466800.0
2018-07-25,2891400.0
2018-09-27,2170200.0
2018-10-29,8822300.0
2019-10-16,4739400.0
2019-12-16,3308500.0
2020-03-04,3369600.0
2020-05-22,4250900.0
2019-10-01,5080200.0
2019-12-19,2031700.0
2018-09-10,3268800.0
2019-05-24,2705900.0
2018-08-09,2037800.0
2019-04-22,1729400.0
2019-03-21,2143100.0
2019-01-16,2877700.0
2019-08-28,2761600.0
2018-11-13,2226600.0
2018-10-12,2366500.0
2019-06-25,1862900.0
2020-03-10,2340700.0
2020-05-28,1861100.0
2019-10-07,1523100.0
2020-03-13,1681900.0
2019-10-10,1455000.0
2020-03-16,1517100.0
2020-06-03,2115400.0
2018-11-28,3310800.0
2018-09-25,2220200.0
2018-07-23,1994400.0
2018-08-24,2252300.0
2019-07-10,1999400.0
2019-05-07,1636500.0
2019-04-05,1589800.0
2019-03-04,4341100.0
2019-01-31,3453700.0
2019-09-12,1630300.0
2019-12-31,2074500.0
2020-03-19,1618800.0
2020-01-03,2526600.0
2020-06-09,2013700.0
2019-02-15,2376600.0
2019-01-14,2091200.0
2018-07-06,1703000.0
2018-08-07,1411100.0
2018-10-10,2635500.0
2018-12-13,1938100.0
2019-08-26,1785600.0
2019-07-25,1615300.0
2019-05-22,1542500.0
2019-03-19,1794000.0
2020-01-06,1884100.0
2020-03-25,1482700.0
2020-06-12,2055600.0
2019-10-22,2178200.0
2020-01-09,2444700.0
2020-06-15,2160200.0
2019-10-25,1985300.0
2020-03-31,3279100.0
2020-06-18,6782700.0
2019-04-03,3748400.0
2018-08-22,2647100.0
2018-10-25,2421200.0
2019-01-29,2300300.0
2018-12-28,5075400.0
2018-11-26,1735400.0
2019-08-09,1852300.0
2019-07-08,1499500.0
2019-06-06,1617000.0
2019-09-10,1873600.0
2020-01-15,1357100.0
2020-04-03,1193000.0
2019-10-31,1351200.0
2020-04-06,1396700.0
2020-06-24,1968000.0
2018-11-09,1610200.0
2019-07-23,1574300.0
2019-06-21,1663600.0
2019-05-20,1319700.0
2019-04-18,1616200.0
2018-09-06,1244200.0
2018-10-08,1450200.0
2019-02-13,1556600.0
2018-12-11,2719800.0
2019-09-25,2187600.0
2020-01-21,1859700.0
2020-04-09,1360500.0
2019-11-06,1363000.0
2020-01-24,1365000.0
2020-01-27,1300000.0
2020-04-15,1524600.0
2018-12-26,1156400.0
2019-08-07,1278200.0
2019-06-04,1842900.0
2018-09-21,1429700.0
2018-07-19,1427600.0
2018-08-20,1350400.0
2018-10-23,1237600.0
2019-05-03,905900.0
2019-04-01,1194900.0
2019-02-28,1775200.0
2019-11-12,1611900.0
2020-01-30,1919300.0
2019-11-15,2036500.0
2020-04-21,1962800.0
2019-04-16,1635100.0
2019-03-15,1194800.0
2019-02-11,1800600.0
2019-01-10,1672000.0
2019-08-22,1600500.0
2018-11-07,1504200.0
2018-08-03,1242300.0
2018-09-04,1822800.0
2019-06-19,1340200.0
2019-09-23,3164100.0
2019-11-18,2594900.0
2020-02-05,2030300.0
2020-04-24,4058100.0
2019-03-29,2512500.0
2019-11-21,1761500.0
2020-04-27,1825500.0
2020-02-11,1487800.0
2020-04-30,2270200.0
2019-05-01,1839500.0
2019-02-26,1613500.0
2019-01-25,1071700.0
2018-12-24,1228500.0
2019-09-06,1287800.0
2018-07-17,1191900.0
2018-09-19,2763200.0
2019-08-05,1628400.0
2019-10-08,1745100.0
2019-12-11,2964000.0
2019-11-27,1586100.0
2020-02-14,1182400.0
2020-05-06,1334400.0
2019-01-08,1122900.0
2018-12-07,1952500.0
2019-08-20,1955800.0
2018-11-05,1201300.0
2019-07-19,986500.0
2018-10-04,1081500.0
2019-06-17,1236000.0
2019-05-16,1400300.0
2018-08-01,1257000.0
2019-03-13,1985600.0
2019-12-03,2046400.0
2020-02-20,1568000.0
2019-12-06,1379200.0
2020-05-12,1716600.0
2019-12-09,1696100.0
2020-02-26,1607600.0
2020-05-15,1459100.0
2019-03-28,1117800.0
2018-09-17,1257100.0
2018-08-16,1600200.0
2018-10-19,1447700.0
2019-04-29,1257400.0
2019-01-23,978200.0
2019-09-04,1886900.0
2018-11-20,2634300.0
2019-07-02,1969200.0
2019-05-31,3329800.0
2019-12-12,2383000.0
2020-05-18,3037500.0
2019-09-27,2046700.0
2020-03-03,1284300.0
2020-05-21,1637300.0
2019-05-14,1724600.0
2018-08-31,2122100.0
2018-07-30,1623200.0
2018-10-02,1230800.0
2019-04-12,1313400.0
2019-03-11,1390600.0
2019-02-07,1682300.0
2019-07-17,2345500.0
2019-09-19,1984300.0
2019-10-21,1426400.0
2019-12-18,5169000.0
2020-03-06,5162100.0
2019-10-03,2613100.0
2020-03-09,1801000.0
2020-05-27,1842900.0
2019-12-24,1375700.0
2020-03-12,1865300.0
2018-12-20,3018100.0
2019-08-01,3397200.0
2018-08-14,2725000.0
2018-07-13,4754700.0
2018-10-17,2942600.0
2019-05-29,2306300.0
2019-03-26,1508900.0
2019-02-22,1758900.0
2019-10-04,1666000.0
2019-11-05,3004700.0
2019-12-27,3409500.0
2020-06-02,2025400.0
2019-12-30,2483200.0
2020-03-18,1827800.0
2020-06-05,1877300.0
2019-07-15,1538100.0
2018-12-03,2151500.0
2019-06-13,2648900.0
