Dates,IDXX
2018-06-20,224.5
2018-06-21,220.7100067138672
2018-06-25,220.63999938964844
2018-06-22,216.11000061035156
2018-06-26,216.75999450683594
2018-06-27,211.66000366210938
2018-06-28,212.3300018310547
2018-06-29,217.3300018310547
2018-07-02,215.27999877929688
2018-07-03,218.02999877929688
2018-07-05,217.25
2018-07-16,222.17999267578125
2018-09-18,226.42999267578125
2019-01-24,230.35000610351562
2019-09-05,231.55999755859375
2018-11-21,234.58999633789062
2020-01-13,236.11000061035156
2020-04-01,236.5399932861328
2020-06-19,236.6300048828125
2019-10-29,238.41000366210938
2020-01-16,238.14999389648438
2020-06-22,242.27000427246094
2018-10-03,243.44000244140625
2018-07-31,247.02000427246094
2019-03-12,247.5399932861328
2019-02-08,247.6199951171875
2019-01-07,239.35000610351562
2018-12-06,235.6699981689453
2019-08-19,237.0
2019-07-18,227.7899932861328
2019-05-15,234.25
2019-09-20,238.3800048828125
2019-11-01,240.55999755859375
2020-04-07,243.77999877929688
2020-06-25,243.49000549316406
2020-06-16,244.27000427246094
2019-11-04,242.0399932861328
2020-01-22,240.32000732421875
2019-11-07,239.8800048828125
2020-04-13,238.44000244140625
2019-07-01,241.61000061035156
2019-05-30,240.88999938964844
2018-08-15,240.72999572753906
2018-10-18,242.3300018310547
2019-03-27,241.30999755859375
2019-01-22,245.33999633789062
2018-12-21,245.74000549316406
2019-09-03,248.63999938964844
2018-11-19,250.83999633789062
2019-08-02,251.6999969482422
2020-01-28,252.11000061035156
2020-04-16,252.2100067138672
2019-11-13,249.63999938964844
2020-01-31,243.63999938964844
2018-12-04,242.83999633789062
2018-11-02,241.9199981689453
2019-07-16,243.5500030517578
2018-08-30,241.32000732421875
2018-10-01,241.6999969482422
2019-06-14,245.7100067138672
2019-05-13,247.07000732421875
2019-04-11,242.11000061035156
2019-02-06,242.0
2019-09-18,240.02000427246094
2020-02-03,239.25999450683594
2020-04-22,240.7899932861328
2019-11-19,239.00999450683594
2020-02-06,242.72999572753906
2019-11-22,243.47999572753906
2019-03-25,244.27999877929688
