Dates,CFG
2018-06-20,4323300.0
2018-06-21,2774700.0
2018-06-25,5378200.0
2018-06-22,7724400.0
2018-06-26,6471400.0
2018-06-27,4854500.0
2018-06-28,3799000.0
2018-06-29,6868700.0
2018-07-02,4336700.0
2018-07-03,1695600.0
2018-07-05,4981500.0
2018-07-16,3668900.0
2018-09-18,4627600.0
2019-01-24,2984200.0
2019-09-05,3094700.0
2018-11-21,5139000.0
2020-01-13,4342600.0
2020-04-01,4278700.0
2020-06-19,3965700.0
2019-10-29,4275100.0
2020-01-16,5817900.0
2020-06-22,5895200.0
2018-10-03,5402100.0
2018-07-31,7864700.0
2019-03-12,4645600.0
2019-02-08,4712600.0
2019-01-07,4102700.0
2018-12-06,4518000.0
2019-08-19,3591900.0
2019-07-18,4074200.0
2019-05-15,3448000.0
2019-09-20,4112000.0
2019-11-01,3613400.0
2020-04-07,3367100.0
2020-06-25,2952000.0
2020-06-16,2686500.0
2019-11-04,2143300.0
2020-01-22,2496400.0
2019-11-07,3017300.0
2020-04-13,4199100.0
2019-07-01,3501800.0
2019-05-30,2269400.0
2018-08-15,2091200.0
2018-10-18,3270300.0
2019-03-27,2521100.0
2019-01-22,2713200.0
2018-12-21,3289800.0
2019-09-03,2517400.0
2018-11-19,3138600.0
2019-08-02,3487300.0
2020-01-28,3080600.0
2020-04-16,2660300.0
2019-11-13,2875400.0
2020-01-31,3801800.0
2018-12-04,2612200.0
2018-11-02,3539000.0
2019-07-16,1942700.0
2018-08-30,4948000.0
2018-10-01,4408000.0
2019-06-14,5480300.0
2019-05-13,3618400.0
2019-04-11,2464000.0
2019-02-06,3395000.0
2019-09-18,3341700.0
2020-02-03,3011900.0
2020-04-22,5111500.0
2019-11-19,3091100.0
2020-02-06,2652000.0
2019-11-22,3972100.0
2019-03-25,3575800.0
2019-02-21,4718800.0
2018-12-19,3385900.0
2018-07-12,4212200.0
2018-09-14,4659200.0
2018-08-13,4085100.0
2018-10-16,2960900.0
2019-07-31,2324800.0
2019-05-28,3448200.0
2019-04-26,5224400.0
2020-04-28,7640100.0
2019-11-25,7469600.0
2020-02-12,5712800.0
2020-05-01,7528100.0
2020-05-04,6389600.0
2019-06-12,7503600.0
2019-04-09,6619800.0
2019-03-08,9609200.0
2019-02-04,8937100.0
2018-07-27,7255900.0
2018-08-28,5659600.0
2019-01-03,5802100.0
2019-08-15,5345000.0
2018-10-31,5997700.0
2019-09-16,6488600.0
2020-02-18,5536900.0
2020-05-07,4679700.0
2018-08-17,2738500.0
2019-12-04,6468300.0
2020-02-21,2674300.0
2018-12-17,3891100.0
2019-08-30,3382200.0
2018-11-15,4984600.0
2019-07-29,3582000.0
2019-06-27,8901600.0
2019-04-24,6490600.0
2018-07-10,5821400.0
2018-09-12,5897200.0
2019-02-19,5510600.0
2019-01-18,3497100.0
2020-02-24,1597600.0
2020-05-13,7782700.0
2019-12-10,4302000.0
2020-02-27,4260600.0
2019-12-13,4320000.0
2020-05-19,5518300.0
2019-03-06,5414900.0
2018-11-30,7394400.0
2019-08-13,7859600.0
2019-07-12,5178500.0
2019-06-10,7212700.0
2019-05-09,6133100.0
2018-07-25,5630600.0
2018-09-27,6163400.0
2018-10-29,5923700.0
2019-10-16,6460200.0
2019-12-16,7932100.0
2020-03-04,6759000.0
2020-05-22,6704600.0
2019-10-01,10894100.0
2019-12-19,4308800.0
2018-09-10,6940500.0
2019-05-24,6005900.0
2018-08-09,5821500.0
2019-04-22,5720200.0
2019-03-21,4878800.0
2019-01-16,4573600.0
2019-08-28,4521400.0
2018-11-13,7387000.0
2018-10-12,4106100.0
2019-06-25,4651200.0
2020-03-10,6308800.0
2020-05-28,6311800.0
2019-10-07,6985400.0
2020-03-13,4303300.0
2019-10-10,4819100.0
2020-03-16,7548800.0
2020-06-03,9676300.0
2018-11-28,6488900.0
2018-09-25,5164000.0
2018-07-23,3912900.0
2018-08-24,3418900.0
2019-07-10,3565600.0
2019-05-07,3907300.0
2019-04-05,3849200.0
2019-03-04,6826200.0
2019-01-31,7465200.0
2019-09-12,3595800.0
2019-12-31,3200300.0
2020-03-19,3488200.0
2020-01-03,9760600.0
2020-06-09,4829200.0
2019-02-15,3125800.0
2019-01-14,4723200.0
2018-07-06,5670300.0
2018-08-07,6129900.0
2018-10-10,3192800.0
2018-12-13,4750600.0
2019-08-26,4372700.0
2019-07-25,4322600.0
2019-05-22,4017500.0
2019-03-19,3694900.0
2020-01-06,3734400.0
2020-03-25,2860700.0
2020-06-12,3530300.0
2019-10-22,3403000.0
2020-01-09,3610000.0
2020-06-15,3525600.0
2019-10-25,3178900.0
2020-03-31,4455500.0
2020-06-18,4147200.0
2019-04-03,2968700.0
2018-08-22,3449300.0
2018-10-25,3441600.0
2019-01-29,3821000.0
2018-12-28,4576400.0
2018-11-26,3817700.0
2019-08-09,3404900.0
2019-07-08,6006200.0
2019-06-06,6460800.0
2019-09-10,7395300.0
2020-01-15,6415800.0
2020-04-03,8749300.0
2019-10-31,5497000.0
2020-04-06,4110400.0
2020-06-24,3938000.0
2018-11-09,4949000.0
2019-07-23,4505300.0
2019-06-21,4978400.0
2019-05-20,4362700.0
2019-04-18,3839700.0
2018-09-06,2533000.0
2018-10-08,4010900.0
2019-02-13,5313400.0
2018-12-11,5809500.0
2019-09-25,4808900.0
2020-01-21,3685600.0
2020-04-09,5238700.0
2019-11-06,6190200.0
2020-01-24,7898300.0
2020-01-27,7448900.0
2020-04-15,5423900.0
2018-12-26,3669400.0
2019-08-07,2680600.0
2019-06-04,3017600.0
2018-09-21,3033300.0
2018-07-19,5657700.0
2018-08-20,5017500.0
2018-10-23,4030700.0
2019-05-03,4094700.0
2019-04-01,3381600.0
2019-02-28,3006500.0
2019-11-12,4487700.0
2020-01-30,4440300.0
2019-11-15,4005000.0
2020-04-21,4058100.0
2019-04-16,3412900.0
2019-03-15,3971800.0
2019-02-11,3301300.0
2019-01-10,3463300.0
2019-08-22,2657800.0
2018-11-07,3425400.0
2018-08-03,2069500.0
2018-09-04,4072100.0
2019-06-19,3329900.0
2019-09-23,3341400.0
2019-11-18,2929400.0
2020-02-05,2777100.0
2020-04-24,3362200.0
2019-03-29,4301500.0
2019-11-21,3276700.0
2020-04-27,3846900.0
2020-02-11,3257200.0
2020-04-30,2455500.0
2019-05-01,7128100.0
2019-02-26,2841200.0
2019-01-25,4130600.0
2018-12-24,3314600.0
2019-09-06,2701200.0
2018-07-17,1625600.0
2018-09-19,3578300.0
2019-08-05,3834200.0
2019-10-08,3969600.0
2019-12-11,5422900.0
2019-11-27,3906000.0
2020-02-14,3060600.0
2020-05-06,3707100.0
2019-01-08,3405700.0
2018-12-07,5347600.0
2019-08-20,4676800.0
2018-11-05,4293400.0
2019-07-19,1999000.0
2018-10-04,2759000.0
2019-06-17,3583600.0
2019-05-16,4464500.0
2018-08-01,5848800.0
2019-03-13,4703100.0
2019-12-03,4562000.0
2020-02-20,4817900.0
2019-12-06,5662400.0
2020-05-12,3716300.0
2019-12-09,6626000.0
2020-02-26,11779500.0
2020-05-15,5761800.0
2019-03-28,4325400.0
2018-09-17,3464400.0
2018-08-16,4724000.0
2018-10-19,4073900.0
2019-04-29,3642200.0
2019-01-23,3316100.0
2019-09-04,4179600.0
2018-11-20,8110400.0
2019-07-02,4264200.0
2019-05-31,9130100.0
2019-12-12,5100400.0
2020-05-18,7405800.0
2019-09-27,7174300.0
2020-03-03,3720900.0
2020-05-21,2327100.0
2019-05-14,4595600.0
2018-08-31,6806800.0
2018-07-30,5329600.0
2018-10-02,3488400.0
2019-04-12,3192200.0
2019-03-11,3400600.0
2019-02-07,3191400.0
2019-07-17,3007300.0
2019-09-19,3569600.0
2019-10-21,2638100.0
2019-12-18,4478100.0
2020-03-06,4588100.0
2019-10-03,5173900.0
2020-03-09,5538100.0
2020-05-27,3175600.0
2019-12-24,2947300.0
2020-03-12,3905900.0
2018-12-20,2867200.0
2019-08-01,3813900.0
2018-08-14,3675500.0
2018-07-13,4345200.0
2018-10-17,5281200.0
2019-05-29,4076800.0
2019-03-26,2605600.0
2019-02-22,3134800.0
2019-10-04,4076600.0
2019-11-05,3667400.0
2019-12-27,7279800.0
2020-06-02,3156200.0
2019-12-30,5729700.0
2020-03-18,3807200.0
2020-06-05,4099100.0
2019-07-15,5140200.0
2018-12-03,2762600.0
2019-06-13,4439400.0
2019-01-04,3933600.0
2018-08-29,5072600.0
2019-02-05,3140200.0
2018-11-01,5741500.0
2019-08-16,8388600.0
2019-04-10,4343500.0
2019-09-17,5358800.0
2019-10-15,4508800.0
2020-01-02,2302900.0
2020-06-08,3281700.0
2019-10-18,5819300.0
2020-03-24,4952600.0
2020-06-11,5639900.0
2020-01-08,4022300.0
2019-04-25,4012500.0
2019-07-30,4053000.0
2019-02-20,4503700.0
2018-07-11,3011400.0
2018-09-13,4089100.0
2018-10-15,3173200.0
2019-06-28,3665100.0
2018-12-18,4221200.0
2018-11-16,4214300.0
2019-10-02,4688200.0
2020-03-27,5502400.0
2020-01-10,4004600.0
2019-10-24,5517500.0
2020-03-30,4518000.0
2020-06-17,2493800.0
2020-01-14,3244500.0
2020-04-02,2663200.0
2019-01-02,3335400.0
2019-08-14,2607800.0
2018-10-30,2613900.0
2019-06-11,2165100.0
2019-05-10,4196900.0
2019-04-08,2528300.0
2018-08-27,2435900.0
2018-07-26,3652100.0
2018-09-28,3028000.0
2019-03-07,2646000.0
2019-10-30,1550500.0
2020-01-17,3575300.0
2020-06-23,3644600.0
2020-04-08,3211400.0
2020-06-26,3348300.0
2019-03-22,2992400.0
2019-01-17,2226200.0
2019-08-29,3643700.0
2018-11-14,2750800.0
2019-06-26,3769000.0
2018-09-11,3424700.0
2018-07-09,3793500.0
2018-08-10,4545000.0
2019-04-23,3257100.0
2019-09-30,4159200.0
2020-01-23,6282700.0
2019-11-08,1815100.0
2020-04-14,1177800.0
2019-11-11,1674800.0
2020-01-29,1400700.0
2020-04-17,1674400.0
2018-07-24,1924500.0
2018-09-26,2903800.0
2019-05-08,2768100.0
2019-03-05,2743500.0
2019-02-01,3266700.0
2018-12-31,5653800.0
2018-11-29,2667400.0
2019-08-12,2004000.0
2019-07-11,3404300.0
2019-09-13,2887400.0
2019-11-14,4466200.0
2020-04-20,5869100.0
2020-02-04,7556300.0
2020-04-23,4493300.0
2018-12-14,5494800.0
2019-08-27,4050100.0
2018-08-08,4790100.0
2018-10-11,4654900.0
2018-11-12,3714600.0
2019-07-26,2555400.0
2019-06-24,9265000.0
2019-05-23,5991000.0
2019-03-20,4277200.0
2019-01-15,2855700.0
2019-11-20,2963200.0
2020-02-07,3180700.0
2020-02-10,2354900.0
2020-04-29,2980100.0
2019-11-26,2716800.0
2020-02-13,2068300.0
2019-01-30,3005600.0
2018-08-23,2089100.0
2018-09-24,4455700.0
2018-11-27,4542100.0
2018-10-26,3906700.0
2019-07-09,3261200.0
2019-06-07,4538500.0
2019-05-06,6157300.0
2019-04-04,6767200.0
2019-09-11,7733600.0
2019-11-29,12008100.0
2020-05-05,8307800.0
2019-12-02,10007400.0
2020-02-19,8414500.0
2020-05-08,8732500.0
2019-05-21,8335700.0
2019-03-18,9957600.0
2018-09-07,11835300.0
2018-08-06,12081800.0
2018-10-09,9385400.0
