Dates,CFG
2018-06-20,38.67974853515625
2018-06-21,38.716678619384766
2018-06-25,38.02416229248047
2018-06-22,37.71944808959961
2018-06-26,37.06385803222656
2018-06-27,36.52830505371094
2018-06-28,36.48213577270508
2018-06-29,35.91889190673828
2018-07-02,36.36210250854492
2018-07-03,35.97428894042969
2018-07-05,36.17742156982422
2018-07-16,36.33439636230469
2018-09-18,37.396270751953125
2019-01-24,36.971527099609375
2019-09-05,36.740684509277344
2018-11-21,36.53754425048828
2020-01-13,36.34363555908203
2020-04-01,36.916114807128906
2020-06-19,36.971527099609375
2019-10-29,37.89488983154297
2020-01-16,37.54401397705078
2020-06-22,37.119258880615234
2018-10-03,37.42396926879883
2018-07-31,36.971527099609375
2019-03-12,36.860721588134766
2019-02-08,36.897647857666016
2019-01-07,37.026920318603516
2018-12-06,36.99921798706055
2019-08-19,36.98063278198242
2019-07-18,37.11077880859375
2019-05-15,37.45473861694336
2019-09-20,37.575592041015625
2019-11-01,37.30600357055664
2020-04-07,37.5662956237793
2020-06-25,38.12407684326172
2020-06-16,37.7336311340332
2019-11-04,37.436153411865234
2020-01-22,37.03641128540039
2019-11-07,37.55699920654297
2020-04-13,36.95274353027344
2019-07-01,37.6127815246582
2019-05-30,37.826595306396484
2018-08-15,37.9753303527832
2018-10-18,38.365779876708984
2019-03-27,38.34718322753906
2019-01-22,38.1519660949707
2018-12-21,38.068294525146484
2019-09-03,38.51451873779297
2018-11-19,38.579593658447266
2019-08-02,38.235633850097656
2020-01-28,38.0404052734375
2020-04-16,38.263519287109375
2019-11-13,38.328590393066406
2020-01-31,38.560997009277344
2018-12-04,38.29140853881836
2018-11-02,38.12407684326172
2019-07-16,37.89167022705078
2018-08-30,38.14266586303711
2018-10-01,37.51982116699219
2019-06-14,36.971336364746094
2019-05-13,37.3152961730957
2019-04-11,37.082889556884766
2019-02-06,37.00852584838867
2019-09-18,37.575592041015625
2020-02-03,38.14266586303711
2020-04-22,38.0961799621582
2019-11-19,37.5662956237793
2020-02-06,37.3152961730957
2019-11-22,36.63666534423828
2019-03-25,36.190452575683594
2019-02-21,35.85578155517578
2018-12-19,35.66055679321289
2018-07-12,35.390968322753906
2018-09-14,36.09748458862305
2018-08-13,36.348480224609375
2018-10-16,36.051002502441406
2019-07-31,36.469337463378906
2019-05-28,36.227630615234375
2019-04-26,35.47462844848633
2020-04-28,34.386962890625
2019-11-25,33.56888961791992
2020-02-12,33.32719421386719
2020-05-01,33.197044372558594
2020-05-04,33.364376068115234
2019-06-12,32.46263122558594
2019-04-09,33.81060028076172
2019-03-08,33.2528190612793
2019-02-04,33.68974685668945
2018-07-27,32.56489181518555
2018-08-28,33.364376068115234
2019-01-03,33.33648681640625
2019-08-15,33.61537170410156
2018-10-31,34.027488708496094
2019-09-16,34.98284149169922
2020-02-18,35.03904342651367
2020-05-07,35.142066955566406
2018-08-17,35.33876037597656
2019-12-04,35.33876037597656
2020-02-21,35.72277069091797
2018-12-17,35.87263488769531
2019-08-30,35.64784622192383
2018-11-15,35.2357292175293
2019-07-29,35.301292419433594
2019-06-27,33.915096282958984
2019-04-24,34.26165008544922
2018-07-10,33.96192169189453
2018-09-12,33.671573638916016
2019-02-19,32.99720001220703
