Dates,CFG
2018-06-20,41.88999938964844
2018-06-21,41.93000030517578
2018-06-25,41.18000030517578
2018-06-22,40.849998474121094
2018-06-26,40.13999938964844
2018-06-27,39.560001373291016
2018-06-28,39.5099983215332
2018-06-29,38.900001525878906
2018-07-02,39.380001068115234
2018-07-03,38.959999084472656
2018-07-05,39.18000030517578
2018-07-16,39.349998474121094
2018-09-18,40.5
2019-01-24,40.040000915527344
2019-09-05,39.790000915527344
2018-11-21,39.56999969482422
2020-01-13,39.36000061035156
2020-04-01,39.97999954223633
2020-06-19,40.040000915527344
2019-10-29,41.040000915527344
2020-01-16,40.65999984741211
2020-06-22,40.20000076293945
2018-10-03,40.529998779296875
2018-07-31,40.040000915527344
2019-03-12,39.91999816894531
2019-02-08,39.959999084472656
2019-01-07,40.099998474121094
2018-12-06,40.06999969482422
2019-08-19,39.779998779296875
2019-07-18,39.91999816894531
2019-05-15,40.290000915527344
2019-09-20,40.41999816894531
2019-11-01,40.130001068115234
2020-04-07,40.40999984741211
2020-06-25,41.0099983215332
2020-06-16,40.59000015258789
2019-11-04,40.27000045776367
2020-01-22,39.84000015258789
2019-11-07,40.400001525878906
2020-04-13,39.75
2019-07-01,40.459999084472656
2019-05-30,40.689998626708984
2018-08-15,40.849998474121094
2018-10-18,41.27000045776367
2019-03-27,41.25
2019-01-22,41.040000915527344
2018-12-21,40.95000076293945
2019-09-03,41.43000030517578
2018-11-19,41.5
2019-08-02,41.130001068115234
2020-01-28,40.91999816894531
2020-04-16,41.15999984741211
2019-11-13,41.22999954223633
2020-01-31,41.47999954223633
2018-12-04,41.189998626708984
2018-11-02,41.0099983215332
2019-07-16,40.7599983215332
2018-08-30,41.029998779296875
2018-10-01,40.36000061035156
2019-06-14,39.77000045776367
2019-05-13,40.13999938964844
2019-04-11,39.88999938964844
2019-02-06,39.810001373291016
2019-09-18,40.41999816894531
2020-02-03,41.029998779296875
2020-04-22,40.97999954223633
2019-11-19,40.40999984741211
2020-02-06,40.13999938964844
2019-11-22,39.40999984741211
2019-03-25,38.93000030517578
2019-02-21,38.56999969482422
2018-12-19,38.36000061035156
2018-07-12,38.06999969482422
2018-09-14,38.83000183105469
