Dates,INCY
2018-10-23,1947400.0
2019-05-03,1744800.0
2019-04-01,1220100.0
2019-02-28,1842500.0
2019-11-12,1202900.0
2020-01-30,1188600.0
2019-11-15,1433500.0
2020-04-21,1474100.0
2019-04-16,948100.0
2019-03-15,1887800.0
2019-02-11,1054300.0
2019-01-10,927000.0
2019-08-22,868400.0
2018-11-07,1093800.0
2018-08-03,827000.0
2018-09-04,1294400.0
2019-06-19,1465900.0
2019-09-23,1319000.0
2019-11-18,1331500.0
2020-02-05,783500.0
2020-04-24,927400.0
2019-03-29,1192000.0
2019-11-21,1634500.0
2020-04-27,1000100.0
2020-02-11,810500.0
2020-04-30,708000.0
2019-05-01,1460900.0
2019-02-26,1467500.0
2019-01-25,1359500.0
2018-12-24,1367500.0
2019-09-06,1250400.0
2018-07-17,2414500.0
2018-09-19,1954700.0
2019-08-05,1236300.0
2019-10-08,1426800.0
2019-12-11,2262000.0
2019-11-27,1272500.0
2020-02-14,1231100.0
2020-05-06,1226200.0
2019-01-08,992400.0
2018-12-07,1616400.0
2019-08-20,1040400.0
2018-11-05,947500.0
2019-07-19,767700.0
2018-10-04,681900.0
2019-06-17,1064200.0
2019-05-16,985300.0
2018-08-01,757100.0
2019-03-13,1074500.0
2019-12-03,954300.0
2020-02-20,1115600.0
2019-12-06,814400.0
2020-05-12,904000.0
2019-12-09,756200.0
2020-02-26,935600.0
2020-05-15,750600.0
2019-03-28,1816600.0
2018-09-17,1568400.0
2018-08-16,732900.0
2018-10-19,985800.0
2019-04-29,1058500.0
2019-01-23,1740300.0
2019-09-04,1263000.0
2018-11-20,1016800.0
2019-07-02,1267200.0
2019-05-31,1401600.0
2019-12-12,1308100.0
2020-05-18,1278500.0
2019-09-27,1566700.0
2020-03-03,1280500.0
2020-05-21,1062400.0
2019-05-14,971000.0
2018-08-31,1460000.0
2018-07-30,1171900.0
2018-10-02,1071100.0
2019-04-12,872800.0
2019-03-11,797200.0
2019-02-07,705200.0
2019-07-17,858400.0
2019-09-19,1213400.0
2019-10-21,1070900.0
2019-12-18,1507200.0
2020-03-06,1040600.0
2019-10-03,1198200.0
2020-03-09,887600.0
2020-05-27,899900.0
2019-12-24,1643900.0
2020-03-12,1678500.0
2018-12-20,676100.0
2019-08-01,934600.0
2018-08-14,1247000.0
2018-07-13,871000.0
2018-10-17,2311000.0
2019-05-29,1646100.0
2019-03-26,1128700.0
2019-02-22,954300.0
2019-10-04,721800.0
2019-11-05,1050400.0
2019-12-27,2160800.0
2020-06-02,1621800.0
2019-12-30,1370400.0
2020-03-18,1211300.0
2020-06-05,1477200.0
2019-07-15,1065400.0
2018-12-03,1224700.0
2019-06-13,1259200.0
2019-01-04,1074900.0
2018-08-29,1171500.0
