Dates,IBM
2008-06-20,122.73999786376953
2008-06-23,123.45999908447266
2008-06-25,123.45999908447266
2008-06-24,124.58000183105469
2008-06-26,121.12999725341797
2008-06-27,120.05000305175781
2008-06-30,118.52999877929688
2008-07-01,119.2699966430664
2008-07-02,119.0999984741211
2008-07-03,119.54000091552734
2008-09-22,121.5
2009-04-02,123.87999725341797
2008-11-25,120.4000015258789
2011-09-15,123.18000030517578
2011-05-10,122.12000274658203
2010-08-27,121.54000091552734
2018-02-01,123.19999694824219
2018-07-09,125.94000244140625
2018-12-14,126.5199966430664
2019-05-21,129.88999938964844
2019-07-15,128.66000366210938
2020-04-01,130.0
2014-11-10,129.52000427246094
2015-04-17,130.0
2015-09-22,128.52999877929688
2016-08-03,126.25
2017-06-15,127.66000366210938
2017-11-20,128.86000061035156
2018-04-27,127.9800033569336
2018-10-02,126.63999938964844
2008-10-07,127.55999755859375
2009-02-12,128.8699951171875
2011-07-28,129.16000366210938
2011-03-22,129.0500030517578
2010-07-09,128.80999755859375
2010-03-03,126.5999984741211
2012-12-21,125.22000122070312
2009-10-26,125.80000305175781
2012-08-15,126.94000244140625
2013-09-03,126.36000061035156
2014-03-24,124.58999633789062
2014-08-29,122.55999755859375
2019-08-14,122.51000213623047
2020-06-25,122.98999786376953
2015-02-03,124.93000030517578
2020-06-16,122.86000061035156
2015-12-16,122.5
2016-10-27,123.37999725341797
2017-04-03,124.58000183105469
2017-09-08,121.7300033569336
2018-02-13,118.41000366210938
2018-12-26,118.33999633789062
2014-01-10,115.0
2019-11-07,114.33000183105469
2020-04-13,117.29000091552734
2008-08-19,115.04000091552734
2011-06-09,118.04000091552734
2011-02-01,119.19999694824219
2010-05-21,118.97000122070312
2010-01-13,115.19000244140625
2012-11-02,116.05000305175781
2013-07-16,111.47000122070312
2013-11-21,115.12000274658203
2014-08-04,118.8499984741211
2014-12-10,116.20999908447266
2015-04-29,115.36000061035156
2016-03-10,116.45999908447266
2016-08-15,120.11000061035156
2017-01-20,119.41999816894531
2017-06-27,114.45999908447266
2018-05-09,116.95999908447266
2019-03-21,110.12999725341797
2013-10-29,104.73999786376953
2019-08-26,103.44000244140625
2020-01-31,100.62000274658203
2014-09-10,95.6500015258789
2015-07-23,90.55000305175781
2015-12-28,89.0
2008-11-06,87.75
2009-07-20,92.20999908447266
2012-05-09,93.5999984741211
2011-04-21,88.29000091552734
2010-12-14,91.5199966430664
2013-05-28,90.77999877929688
2013-10-03,92.51000213623047
2014-06-16,88.86000061035156
2014-10-22,83.5999984741211
2015-02-27,84.3499984741211
2016-06-03,82.06999969482422
2016-11-08,79.66000366210938
2017-09-20,87.27999877929688
2018-08-02,88.19999694824219
2019-01-07,90.69000244140625
2019-06-14,92.97000122070312
2014-01-22,92.68000030517578
2019-11-19,93.4000015258789
2014-12-04,89.94000244140625
2015-05-11,85.1500015258789
2015-10-16,86.2699966430664
2016-03-22,83.87000274658203
2017-02-01,82.73999786376953
2010-02-12,79.73999786376953
2009-06-01,84.20999908447266
2008-09-18,80.33000183105469
2009-10-07,77.4800033569336
2012-07-27,80.08000183105469
2012-03-21,75.97000122070312
2011-11-14,71.73999786376953
2011-03-03,74.87999725341797
2010-10-26,79.88999938964844
2013-04-09,80.6500015258789
2017-12-14,81.66999816894531
2018-05-21,81.5999984741211
2018-10-26,76.9000015258789
2019-04-02,79.83999633789062
2020-02-12,80.66999816894531
2014-09-22,77.44000244140625
2015-08-04,80.58999633789062
2016-06-15,84.86000061035156
2017-04-27,82.69000244140625
2017-10-02,82.86000061035156
2018-03-09,80.58000183105469
2018-08-14,82.19999694824219
2009-08-19,82.7699966430664
2009-04-13,86.4000015258789
2008-07-31,85.83999633789062
2012-06-08,84.0
2012-02-01,83.5199966430664
2011-09-26,81.98999786376953
2011-01-13,80.5999984741211
2010-09-07,80.5199966430664
2013-06-27,81.33000183105469
2013-08-29,81.25
2014-02-03,83.55000305175781
2019-06-26,84.16000366210938
2014-07-11,87.37000274658203
2020-05-07,86.81999969482422
2014-12-16,89.2300033569336
2015-10-28,87.79000091552734
2016-09-08,87.18000030517578
2017-02-13,84.69999694824219
2017-07-21,85.70999908447266
2017-12-26,85.33999633789062
2018-11-07,83.19000244140625
2013-06-17,84.12000274658203
2013-11-22,84.91999816894531
2019-09-19,81.9800033569336
2014-04-29,91.41999816894531
2009-02-23,90.06999969482422
2009-07-01,89.48999786376953
2009-11-06,91.5999984741211
2012-04-20,91.66000366210938
2011-12-14,94.81999969482422
2011-08-08,92.51000213623047
2013-05-09,91.6500015258789
2014-05-28,90.93000030517578
2014-10-03,93.4800033569336
2015-03-11,92.83000183105469
2020-02-24,92.41000366210938
2016-01-21,96.13999938964844
2016-06-27,96.81999969482422
2016-12-02,93.2699966430664
2017-05-09,95.16000366210938
2018-03-21,95.06999969482422
2019-01-31,93.83999633789062
2013-09-10,90.66999816894531
2019-07-08,91.51000213623047
2019-12-13,88.93000030517578
2014-07-23,88.79000091552734
2020-05-19,84.37000274658203
2015-06-04,86.4000015258789
2010-06-01,85.9000015258789
2013-03-21,88.97000122070312
2009-05-13,92.02999877929688
2009-01-05,89.05000305175781
2009-09-18,87.7699966430664
2012-11-13,89.48999786376953
2012-03-02,87.4800033569336
2011-10-26,85.80999755859375
2011-06-20,83.4800033569336
2013-12-02,87.25
2015-11-09,88.62000274658203
2016-04-15,90.4000015258789
2016-09-20,90.36000061035156
2017-08-02,91.22000122070312
2018-06-14,92.91000366210938
2018-11-19,91.94999694824219
2019-04-26,92.66000366210938
2013-12-04,92.51000213623047
2019-10-01,98.70999908447266
2014-10-16,98.30000305175781
2015-03-23,97.94999694824219
2015-08-28,98.77999877929688
2016-02-02,94.1500015258789
2016-12-14,94.5199966430664
2010-08-19,96.88999938964844
2008-11-17,97.61000061035156
2009-07-31,100.81999969482422
2009-03-25,102.22000122070312
2010-04-13,101.55999755859375
2013-01-31,98.75
2012-09-25,101.19000244140625
2012-01-13,101.69999694824219
2011-09-07,99.94999694824219
2011-05-02,99.2699966430664
2017-10-26,98.8499984741211
2018-04-02,101.43000030517578
2018-09-07,101.2699966430664
2019-02-12,100.43000030517578
2014-02-27,102.30999755859375
2015-01-09,102.55000305175781
2015-06-16,101.41999816894531
2016-04-27,100.08000183105469
2017-03-09,99.94999694824219
2017-08-14,101.94000244140625
2018-01-19,104.04000091552734
2010-07-01,103.20999908447266
2009-02-04,104.61000061035156
2008-09-29,106.19000244140625
2009-06-12,105.8499984741211
2010-02-23,104.62000274658203
2012-12-13,102.58999633789062
2012-08-07,101.48999786376953
2011-11-25,102.9000015258789
2011-07-20,103.94000244140625
2013-07-11,102.26000213623047
2018-06-26,101.05000305175781
2019-05-08,101.37000274658203
2014-05-23,104.58000183105469
2020-03-19,105.51000213623047
2014-10-28,104.05000305175781
2015-09-09,102.81999969482422
2016-07-21,101.88999938964844
2017-06-02,105.0199966430664
2017-11-07,102.93000030517578
2018-09-19,104.69000244140625
2019-08-01,106.27999877929688
2011-01-24,108.37000274658203
2009-04-24,106.83000183105469
2008-08-11,106.48999786376953
2008-12-17,106.33000183105469
2010-05-13,107.23999786376953
2010-01-05,107.48999786376953
2012-10-25,108.13999938964844
2012-06-19,108.3499984741211
2011-10-07,109.4000015258789
2013-07-08,108.20999908447266
2014-03-11,107.62000274658203
2015-01-21,107.31999969482422
2020-01-06,107.0
2020-06-12,106.33000183105469
2015-12-03,105.88999938964844
2016-05-09,104.5199966430664
2016-10-14,104.44000244140625
2017-03-21,104.1500015258789
2018-01-31,106.05999755859375
2018-12-13,105.68000030517578
2019-05-20,105.83000183105469
2019-06-13,104.41999816894531
2019-10-25,104.83999633789062
2014-06-04,101.7300033569336
2020-03-31,101.6500015258789
2015-04-16,100.19000244140625
2011-04-13,100.68000030517578
2010-12-06,102.08000183105469
2008-10-29,100.83000183105469
2009-03-06,103.62000274658203
2010-03-25,103.25
2009-11-17,107.22000122070312
2012-09-06,110.63999938964844
2012-05-01,115.41999816894531
2013-05-20,116.44000244140625
2013-09-25,117.04000091552734
2015-09-21,115.56999969482422
2016-02-26,117.05999755859375
2016-08-02,117.63999938964844
2017-06-14,117.62999725341797
2018-04-26,117.27999877929688
2018-10-01,117.26000213623047
2019-03-08,117.86000061035156
2013-10-16,117.93000030517578
2019-08-13,119.91999816894531
2014-08-28,119.5999984741211
2020-06-24,118.47000122070312
2015-02-02,117.37999725341797
2015-07-10,119.33000183105469
2015-12-15,118.69999694824219
2011-07-01,117.79000091552734
2011-02-23,119.29000091552734
2009-01-16,119.58000183105469
2008-09-10,118.56999969482422
2010-10-18,116.86000061035156
2013-04-01,117.62999725341797
2010-02-04,118.56999969482422
2009-09-29,118.94999694824219
2012-07-19,119.9000015258789
2012-03-13,119.31999969482422
2016-10-26,118.83000183105469
2017-09-07,119.47000122070312
2018-02-12,119.43000030517578
2018-07-20,118.22000122070312
2014-01-09,118.05000305175781
2019-11-06,116.69000244140625
2014-11-21,116.08999633789062
2015-04-28,116.33000183105469
2016-03-09,117.45999908447266
2017-01-19,117.16000366210938
2017-06-26,116.76000213623047
2017-12-01,117.66999816894531
2011-05-13,118.05000305175781
2011-01-05,118.87999725341797
2008-11-28,119.3499984741211
2009-08-11,121.81999969482422
2008-07-23,121.87999725341797
2010-08-30,122.11000061035156
2013-02-11,121.56999969482422
2009-12-17,121.61000061035156
2012-05-31,120.81999969482422
2013-06-19,120.94000244140625
2018-05-08,121.08000183105469
2019-03-20,119.33000183105469
2013-10-28,118.80999755859375
2014-04-04,119.61000061035156
2020-01-30,117.9000015258789
2014-09-09,119.0199966430664
2015-07-22,119.75
2016-06-02,121.3499984741211
2016-11-07,122.77999877929688
2017-09-19,122.29000091552734
2018-08-01,125.93000030517578
2011-12-06,127.04000091552734
2011-03-25,127.0199966430664
2009-06-23,128.35000610351562
2008-10-10,127.9800033569336
2010-11-17,121.63999938964844
2010-07-12,123.05999755859375
2013-05-01,122.81999969482422
2012-12-24,120.87000274658203
2009-10-29,122.69000244140625
2013-09-06,120.36000061035156
2014-01-21,120.11000061035156
2014-12-03,120.6500015258789
2019-11-18,121.5
2020-04-24,122.87000274658203
2015-10-15,120.61000061035156
2016-03-21,120.55999755859375
2016-08-26,121.16000366210938
2017-01-31,121.29000091552734
2017-12-13,123.0999984741211
2018-10-25,123.48999786376953
2013-06-04,126.0
2019-04-01,126.91000366210938
2019-09-06,127.19000244140625
2014-04-16,126.26000213623047
2020-02-11,127.02999877929688
2012-02-23,128.2100067138672
2011-10-18,128.6300048828125
2009-05-05,128.14999389648438
2008-08-22,127.54000091552734
2009-09-10,126.95999908447266
2011-02-04,128.1999969482422
2010-09-29,127.93000030517578
2010-05-24,127.27999877929688
2013-03-13,125.69999694824219
2012-11-05,126.3499984741211
2015-02-26,127.94000244140625
2015-08-03,127.20999908447266
2016-01-08,127.55000305175781
2016-06-14,127.25
2017-04-26,127.04000091552734
2018-03-08,126.80000305175781
2018-08-13,128.38999938964844
2019-01-18,129.33999633789062
2013-08-28,129.67999267578125
2019-06-25,129.92999267578125
2014-07-10,128.49000549316406
2020-05-06,128.7100067138672
2014-12-15,127.4000015258789
2015-05-22,127.91000366210938
2015-10-27,128.64999389648438
2012-09-17,129.92999267578125
2012-01-05,130.0
2011-08-30,130.57000732421875
2009-03-17,132.30999755859375
2009-07-23,131.85000610351562
2010-12-17,132.57000732421875
2010-08-11,130.89999389648438
2010-04-05,132.4499969482422
2013-01-23,130.85000610351562
2013-05-31,130.0
2016-09-07,129.5500030517578
2017-07-20,130.85000610351562
2018-06-01,129.47999572753906
2018-11-06,130.50999450683594
2019-09-18,130.22999572753906
2014-04-28,132.30999755859375
2015-03-10,131.77999877929688
2016-01-20,134.13999938964844
2016-12-01,130.25
2017-05-08,129.0
2012-07-30,125.5
2011-11-17,126.12000274658203
2011-07-12,125.75
2009-06-04,126.33000183105469
