Dates,GOOGL
2019-01-02,1593400.0
2019-01-03,2098000.0
2019-01-07,2301100.0
2019-01-04,2372300.0
2019-01-08,1770700.0
2019-01-09,1349900.0
2019-01-10,1329900.0
2019-01-11,1543200.0
2019-01-14,1424500.0
2019-01-15,1875900.0
2019-01-16,1914000.0
2019-01-24,1244800.0
2019-02-01,2244600.0
2019-03-29,1981600.0
2019-03-21,1259700.0
2019-03-13,1455700.0
2019-06-28,1163000.0
2019-08-27,1466700.0
2019-12-03,985200.0
2019-11-14,1472600.0
2019-05-21,2011600.0
2019-07-15,1655800.0
2019-08-08,3920400.0
2019-10-07,4114800.0
2019-07-01,2412800.0
2019-09-18,1914900.0
2019-12-06,1088300.0
2019-06-12,924900.0
2019-08-30,1751800.0
2019-05-24,1402100.0
2019-10-29,1055300.0
2019-07-23,1391300.0
2019-10-10,1099000.0
2019-12-09,1204500.0
2019-04-05,1663600.0
2019-03-28,1471800.0
2019-01-23,1310400.0
2019-01-31,1751300.0
2019-02-08,1104600.0
2019-03-20,1371100.0
2019-03-12,1704300.0
2019-03-04,1774500.0
2019-04-29,2004700.0
2019-05-07,1180100.0
2019-05-08,1504300.0
2019-07-26,1184700.0
2019-08-14,1501600.0
2019-11-01,2111000.0
2019-12-05,1294400.0
2019-09-24,1365100.0
2019-12-12,2594300.0
2019-06-18,1222100.0
2019-09-05,1489400.0
2019-05-30,2075400.0
2019-11-04,1407500.0
2019-07-29,1721100.0
2019-10-16,1378800.0
2019-04-22,1537600.0
2019-07-10,1471400.0
2019-09-27,1120100.0
2019-06-21,1544500.0
2019-11-26,1385300.0
2019-08-20,914400.0
2019-11-07,1109600.0
2019-05-14,1051100.0
2019-08-01,1000600.0
2019-01-22,1087500.0
2019-01-30,983400.0
2019-02-15,775500.0
2019-02-07,849900.0
2019-04-12,1215600.0
2019-04-04,1189800.0
2019-03-27,1131100.0
2019-03-11,1518300.0
2019-03-19,1237500.0
2019-05-06,954200.0
2019-09-30,1593400.0
2019-06-24,1169800.0
2019-09-11,1567200.0
2019-11-29,1361400.0
2019-06-05,3618400.0
2019-08-23,6658900.0
2019-05-17,3717000.0
2019-10-22,2254900.0
2019-07-16,2079400.0
2019-10-03,1588700.0
2019-06-27,1830200.0
2019-12-02,1276000.0
2019-08-26,1477800.0
2019-11-13,1582500.0
2019-05-20,2281300.0
2019-08-07,2019600.0
2019-10-25,2965100.0
2019-07-19,1765400.0
2019-03-18,1268100.0
2019-03-26,1530100.0
2019-02-22,1028100.0
2019-01-29,941300.0
2019-02-06,1260700.0
2019-02-14,927700.0
2019-04-11,1047400.0
2019-04-03,1811500.0
2019-05-13,904400.0
2019-03-05,1579100.0
2019-06-11,4844500.0
2019-05-23,3025600.0
2019-08-29,2349400.0
2019-09-17,1451000.0
2019-10-28,2191400.0
2019-07-22,1425500.0
2019-10-09,1675400.0
2019-07-03,1183500.0
2019-09-20,1040700.0
2019-06-14,1229100.0
2019-11-19,988500.0
2019-08-13,1726300.0
2019-10-31,1335700.0
2019-07-25,1200900.0
2019-09-23,2538700.0
2019-12-11,1211800.0
2019-06-17,1582200.0
2019-09-04,1734900.0
2019-11-22,1203900.0
2019-05-29,1683600.0
2019-01-28,1459800.0
2019-04-02,1031500.0
2019-03-25,1007700.0
2019-04-10,1489700.0
2019-02-05,1494400.0
2019-04-18,1473600.0
2019-03-01,1535500.0
2019-02-21,1300200.0
2019-02-13,1093900.0
2019-04-26,1058200.0
2019-05-10,1267600.0
2019-10-15,976900.0
2019-07-09,1273800.0
2019-09-26,1159200.0
2019-06-20,1445700.0
2019-11-25,1032400.0
2019-08-19,1359600.0
2019-11-06,2738100.0
2019-07-31,6060800.0
2019-10-18,2069100.0
2019-07-12,1430800.0
2019-09-10,1998000.0
2019-06-04,1771300.0
2019-08-22,1745500.0
2019-05-16,2392000.0
2019-10-21,1800700.0
2019-02-20,1534300.0
2019-04-17,1505800.0
2019-04-09,1020900.0
2019-04-01,1103200.0
2019-02-04,1421700.0
2019-02-12,1771500.0
2019-03-08,1425300.0
2019-02-28,1245800.0
2019-04-25,1222500.0
2019-05-03,1010300.0
2019-06-26,707600.0
2019-09-13,867600.0
2019-10-02,1812700.0
2019-06-07,1058300.0
2019-11-12,1173000.0
2019-08-06,840500.0
2019-10-24,981800.0
2019-04-30,903200.0
2019-07-18,1295400.0
2019-09-16,1065600.0
2019-10-04,1319700.0
2019-12-04,948600.0
2019-06-10,1592700.0
2019-08-28,1396100.0
2019-11-15,1176100.0
2019-05-22,1582200.0
2019-08-16,1183800.0
2019-08-09,1410900.0
2019-10-08,1040300.0
2019-07-02,872000.0
2019-09-19,827700.0
2019-01-18,1884600.0
2019-03-07,1039900.0
2019-02-27,1790200.0
2019-02-19,1339900.0
2019-02-11,1158300.0
2019-04-16,1706100.0
2019-04-08,1223500.0
2019-03-15,1225200.0
2019-04-24,1651500.0
2019-05-02,1418400.0
2019-06-13,1214100.0
2019-08-12,852000.0
2019-10-30,1004300.0
2019-11-18,797400.0
2019-11-20,642100.0
2019-07-24,1116500.0
2019-10-11,664800.0
2019-07-05,1379200.0
2019-12-10,1149300.0
2019-09-03,1047900.0
2019-11-21,1581200.0
2019-05-28,904700.0
2019-08-15,1143100.0
2019-10-14,1064100.0
2019-07-08,1011200.0
2019-09-25,1355200.0
2019-06-19,3271400.0
2019-09-06,2632700.0
2019-05-31,1460200.0
2019-11-05,1595000.0
2019-03-22,1440600.0
2019-03-14,1531600.0
2019-03-06,1257100.0
2019-02-26,1231300.0
2019-01-17,2257000.0
2019-01-25,1519600.0
2019-04-23,861700.0
2019-04-15,1442600.0
2019-05-01,1026900.0
2019-05-09,1447400.0
2019-07-11,1964300.0
2019-07-30,1399200.0
2019-10-17,1093200.0
2019-09-09,1444600.0
2019-11-27,1277100.0
2019-06-03,1388800.0
2019-08-21,1179500.0
2019-02-25,1095500.0
2019-11-08,940400.0
2019-05-15,640100.0
2019-08-02,1326900.0
2019-07-17,1263500.0
2019-10-01,1775300.0
2019-06-25,1220400.0
2019-09-12,1648400.0
2019-06-06,1542100.0
2019-11-11,880300.0
2019-08-05,1024000.0
2019-10-23,1455700.0
