,GOOGL,Dates
0,1025.280029296875,2019-01-02
1,1022.3699951171875,2019-01-03
2,1036.8599853515625,2019-01-07
3,1062.6400146484375,2019-01-04
4,1068.3499755859375,2019-01-08
5,1074.3699951171875,2019-01-09
6,1064.6800537109375,2019-01-10
7,1056.4300537109375,2019-01-11
8,1048.550048828125,2019-01-14
9,1054.43994140625,2019-01-15
10,1088.010009765625,2019-01-16
11,1083.260009765625,2019-01-24
12,1099.280029296875,2019-02-01
13,1070.8900146484375,2019-03-29
14,1067.5699462890625,2019-03-21
15,1070.02001953125,2019-03-13
16,1091.800048828125,2019-06-28
17,1074.6099853515625,2019-08-27
18,1066.02001953125,2019-12-03
19,1076.6400146484375,2019-11-14
20,1105.25,2019-05-21
21,1114.25,2019-07-15
22,1117.510009765625,2019-08-08
23,1123.5999755859375,2019-10-07
24,1118.3599853515625,2019-07-01
25,1093.5899658203125,2019-09-18
26,1094.239990234375,2019-12-06
27,1100.0,2019-06-12
28,1111.010009765625,2019-08-30
29,1126.0,2019-05-24
30,1117.0899658203125,2019-10-29
31,1116.719970703125,2019-07-23
32,1116.6400146484375,2019-10-10
33,1111.75,2019-12-09
34,1097.97998046875,2019-04-05
35,1100.5,2019-03-28
36,1114.1099853515625,2019-01-23
37,1106.699951171875,2019-01-31
38,1108.56005859375,2019-02-08
39,1118.4100341796875,2019-03-20
40,1131.0,2019-03-12
41,1138.25,2019-03-04
42,1153.02001953125,2019-04-29
43,1163.050048828125,2019-05-07
44,1141.7099609375,2019-05-08
45,1130.199951171875,2019-07-26
46,1151.5699462890625,2019-08-14
47,1182.300048828125,2019-11-01
48,1197.9100341796875,2019-12-05
49,1191.22998046875,2019-09-24
50,1187.010009765625,2019-12-12
51,1181.47998046875,2019-06-18
52,1189.4599609375,2019-09-05
53,1199.5899658203125,2019-05-30
54,1216.5799560546875,2019-11-04
55,1206.0,2019-07-29
56,1190.0,2019-10-16
57,1181.760009765625,2019-04-22
58,1164.22998046875,2019-07-10
59,1163.4300537109375,2019-09-27
60,1166.3800048828125,2019-06-21
61,1186.3599853515625,2019-11-26
62,1191.239990234375,2019-08-20
63,1205.0799560546875,2019-11-07
64,1209.0400390625,2019-05-14
65,1210.030029296875,2019-08-01
66,1204.699951171875,2019-01-22
67,1198.3800048828125,2019-01-30
68,1200.6600341796875,2019-02-15
69,1204.5400390625,2019-02-07
70,1213.2900390625,2019-04-12
71,1214.56005859375,2019-04-04
72,1225.0400390625,2019-03-27
73,1232.9000244140625,2019-03-11
74,1239.4100341796875,2019-03-19
75,1233.3699951171875,2019-05-06
76,1251.969970703125,2019-09-30
77,1259.81005859375,2019-06-24
78,1258.0,2019-09-11
79,1265.0,2019-11-29
80,1271.7099609375,2019-06-05
81,1183.0,2019-08-23
82,1171.6800537109375,2019-05-17
83,1158.3299560546875,2019-10-22
84,1173.550048828125,2019-07-16
85,1171.1600341796875,2019-10-03
86,1165.0,2019-06-27
87,1167.6300048828125,2019-12-02
88,1154.6400146484375,2019-08-26
89,1146.3699951171875,2019-11-13
90,1125.5,2019-05-20
91,1123.530029296875,2019-08-07
92,1121.4000244140625,2019-10-25
93,1168.449951171875,2019-07-19
94,1166.4200439453125,2019-03-18
95,1138.1400146484375,2019-03-26
96,1143.31005859375,2019-02-22
97,1151.0,2019-01-29
98,1133.1600341796875,2019-02-06
99,1136.7099609375,2019-02-14
100,1138.6700439453125,2019-04-11
101,1111.949951171875,2019-04-03
102,1115.9000244140625,2019-05-13
103,1103.3499755859375,2019-03-05
104,1027.030029296875,2019-06-11
105,1036.030029296875,2019-05-23
106,1033.0,2019-08-29
107,1035.510009765625,2019-09-17
108,1051.1500244140625,2019-10-28
109,1075.280029296875,2019-07-22
110,1079.5699462890625,2019-10-09
111,1069.5999755859375,2019-07-03
112,1082.5699462890625,2019-09-20
113,1081.47998046875,2019-06-14
114,1088.0,2019-11-19
115,1100.7900390625,2019-08-13
116,1096.030029296875,2019-10-31
117,1107.0,2019-07-25
118,1109.719970703125,2019-09-23
119,1113.31005859375,2019-12-11
120,1084.5999755859375,2019-06-17
121,1073.68994140625,2019-09-04
122,1075.8499755859375,2019-11-22
123,1073.800048828125,2019-05-29
124,1095.3299560546875,2019-01-28
125,1099.6700439453125,2019-04-02
126,1114.8499755859375,2019-03-25
127,1117.5,2019-04-10
128,1111.760009765625,2019-02-05
129,1107.1500244140625,2019-04-18
130,1130.6600341796875,2019-03-01
131,1139.530029296875,2019-02-21
132,1138.56005859375,2019-02-13
133,1140.0,2019-04-26
134,1146.72998046875,2019-05-10
135,1146.6199951171875,2019-10-15
136,1132.8599853515625,2019-07-09
137,1131.25,2019-09-26
138,1125.2099609375,2019-06-20
139,1132.8499755859375,2019-11-25
140,1128.510009765625,2019-08-19
141,1123.7099609375,2019-11-06
142,1228.0,2019-07-31
143,1230.199951171875,2019-10-18
144,1225.3199462890625,2019-07-12
145,1208.1800537109375,2019-09-10
146,1207.0,2019-06-04
147,1190.0,2019-08-22
148,1142.75,2019-05-16
149,1161.530029296875,2019-10-21
150,1150.8399658203125,2019-02-20
151,1174.0,2019-04-17
152,1184.8900146484375,2019-04-09
153,1168.719970703125,2019-04-01
154,1172.989990234375,2019-02-04
155,1161.0699462890625,2019-02-12
156,1163.0,2019-03-08
157,1173.0,2019-02-28
158,1190.4000244140625,2019-04-25
159,1183.050048828125,2019-05-03
160,1187.9200439453125,2019-06-26
161,1178.9100341796875,2019-09-13
162,1150.0,2019-10-02
163,1154.8499755859375,2019-06-07
164,1164.56005859375,2019-11-12
165,1160.25,2019-08-06
166,1185.280029296875,2019-10-24
167,1185.719970703125,2019-04-30
168,1163.7099609375,2019-07-18
169,1171.530029296875,2019-09-16
170,1192.68994140625,2019-10-04
171,1203.260009765625,2019-12-04
172,1193.1700439453125,2019-06-10
173,1196.010009765625,2019-08-28
174,1202.280029296875,2019-11-15
175,1222.56005859375,2019-05-22
176,1227.0799560546875,2019-08-16
177,1225.18994140625,2019-08-09
178,1223.3499755859375,2019-10-08
179,1216.469970703125,2019-07-02
180,1232.31005859375,2019-09-19
181,1223.5799560546875,2019-01-18
182,1223.780029296875,2019-03-07
183,1210.6400146484375,2019-02-27
184,1209.199951171875,2019-02-19
185,1231.8199462890625,2019-02-11
186,1215.199951171875,2019-04-16
187,1213.4200439453125,2019-04-08
188,1205.550048828125,2019-03-15
189,1172.6300048828125,2019-04-24
190,1163.1400146484375,2019-05-02
191,1190.969970703125,2019-06-13
192,1204.3599853515625,2019-08-12
193,1189.47998046875,2019-10-30
194,1198.1199951171875,2019-11-18
195,1197.8599853515625,2019-11-20
196,1213.6400146484375,2019-07-24
197,1211.8800048828125,2019-10-11
198,1220.9200439453125,2019-07-05
199,1238.530029296875,2019-12-10
200,1249.8699951171875,2019-09-03
201,1240.1400146484375,2019-11-21
202,1239.989990234375,2019-05-28
203,1239.8499755859375,2019-08-15
204,1240.2099609375,2019-10-14
205,1252.3499755859375,2019-07-08
206,1249.1500244140625,2019-09-25
207,1272.31005859375,2019-06-19
208,1255.6099853515625,2019-09-06
209,1250.6500244140625,2019-05-31
210,1249.47998046875,2019-11-05
211,1259.7099609375,2019-03-22
212,1276.1099853515625,2019-03-14
213,1289.3800048828125,2019-03-06
214,1282.27001953125,2019-02-26
215,1293.75,2019-01-17
216,1301.52001953125,2019-01-25
217,1295.8699951171875,2019-04-23
218,1294.239990234375,2019-04-15
219,1292.1500244140625,2019-05-01
220,1293.93994140625,2019-05-09
221,1311.8900146484375,2019-07-11
222,1316.1600341796875,2019-07-30
223,1311.77001953125,2019-10-17
224,1289.2099609375,2019-09-09
225,1290.75,2019-11-27
226,1289.3599853515625,2019-06-03
227,1295.6099853515625,2019-08-21
228,1304.0400390625,2019-02-25
229,1309.469970703125,2019-11-08
230,1303.22998046875,2019-05-15
231,1280.3800048828125,2019-08-02
232,1277.050048828125,2019-07-17
233,1303.050048828125,2019-10-01
234,1314.3199462890625,2019-06-25
235,1331.22998046875,2019-09-12
236,1336.0699462890625,2019-06-06
237,1334.0,2019-11-11
238,1341.0999755859375,2019-08-05
239,1338.199951171875,2019-10-23
