Dates,LYB
2018-06-20,2978300.0
2018-06-21,2810000.0
2018-06-25,2510800.0
2018-06-22,1814500.0
2018-06-26,1896900.0
2018-06-27,2279100.0
2018-06-28,1619200.0
2018-06-29,2003600.0
2018-07-02,2360800.0
2018-07-03,878800.0
2018-07-05,1430400.0
2018-07-16,1967600.0
2018-09-18,2444900.0
2019-01-24,1981600.0
2019-09-05,3300600.0
2018-11-21,2094600.0
2020-01-13,1694500.0
2020-04-01,2232100.0
2020-06-19,1709400.0
2019-10-29,1514100.0
2020-01-16,1378700.0
2020-06-22,1283300.0
2018-10-03,1460700.0
2018-07-31,2452900.0
2019-03-12,1408400.0
2019-02-08,1642000.0
2019-01-07,1098000.0
2018-12-06,1282500.0
2019-08-19,1872400.0
2019-07-18,1511000.0
2019-05-15,1874000.0
2019-09-20,2851100.0
2019-11-01,1713300.0
2020-04-07,1179400.0
2020-06-25,1469000.0
2020-06-16,1119300.0
2019-11-04,1766500.0
2020-01-22,1997200.0
2019-11-07,1319800.0
2020-04-13,2469600.0
2019-07-01,1642300.0
2019-05-30,1769000.0
2018-08-15,1405000.0
2018-10-18,1486000.0
2019-03-27,1151700.0
2019-01-22,1132100.0
2018-12-21,1091700.0
2019-09-03,1693800.0
2018-11-19,1875100.0
2019-08-02,1305700.0
2020-01-28,1983600.0
2020-04-16,1651800.0
2019-11-13,2010900.0
2020-01-31,2652800.0
2018-12-04,2136900.0
2018-11-02,2708800.0
2019-07-16,3232700.0
2018-08-30,2638600.0
2018-10-01,3217300.0
2019-06-14,2654500.0
2019-05-13,3381600.0
2019-04-11,3579400.0
2019-02-06,3874500.0
2019-09-18,4317900.0
2020-02-03,3520800.0
2020-04-22,4733800.0
2019-11-19,1752900.0
2020-02-06,2078400.0
2019-11-22,2375400.0
2019-03-25,1900700.0
2019-02-21,2441100.0
2018-12-19,2411900.0
2018-07-12,2443000.0
2018-09-14,2321600.0
2018-08-13,2641600.0
2018-10-16,2565500.0
2019-07-31,1929700.0
2019-05-28,3310000.0
2019-04-26,5274500.0
2020-04-28,3704400.0
2019-11-25,3335100.0
2020-02-12,2051000.0
2020-05-01,2636900.0
2020-05-04,2408400.0
2019-06-12,3205700.0
2019-04-09,3203000.0
2019-03-08,3513700.0
2019-02-04,3388000.0
2018-07-27,3708100.0
2018-08-28,3399100.0
2019-01-03,3358800.0
2019-08-15,3172900.0
2018-10-31,5161400.0
2019-09-16,4470200.0
2020-02-18,3317500.0
2020-05-07,3815800.0
2018-08-17,1882300.0
2019-12-04,2539400.0
2020-02-21,3615800.0
2018-12-17,3906500.0
2019-08-30,3141600.0
2018-11-15,3014800.0
2019-07-29,4514000.0
2019-06-27,4797300.0
2019-04-24,3332700.0
2018-07-10,3096400.0
2018-09-12,2780300.0
2019-02-19,3156200.0
2019-01-18,2158000.0
2020-02-24,1079200.0
2020-05-13,1946300.0
2019-12-10,2359700.0
2020-02-27,2074700.0
2019-12-13,2503700.0
2020-05-19,3189400.0
2019-03-06,3184800.0
2018-11-30,4164800.0
2019-08-13,3870600.0
2019-07-12,3944400.0
2019-06-10,3363700.0
2019-05-09,2536000.0
2018-07-25,2577700.0
2018-09-27,2501500.0
2018-10-29,2396200.0
2019-10-16,2719800.0
2019-12-16,2675800.0
2020-03-04,2872900.0
2020-05-22,3778900.0
2019-10-01,4470400.0
2019-12-19,1634400.0
2018-09-10,2786000.0
2019-05-24,2097800.0
2018-08-09,1865600.0
2019-04-22,1699900.0
2019-03-21,1557200.0
2019-01-16,2205600.0
2019-08-28,3721000.0
2018-11-13,2283500.0
2018-10-12,1962500.0
2019-06-25,2299200.0
2020-03-10,2400000.0
2020-05-28,2614900.0
2019-10-07,2403700.0
2020-03-13,2032100.0
2019-10-10,2671100.0
2020-03-16,3378400.0
2020-06-03,2885400.0
2018-11-28,2512800.0
2018-09-25,2142100.0
2018-07-23,2487400.0
2018-08-24,2603300.0
2019-07-10,2383200.0
2019-05-07,1655100.0
2019-04-05,2579400.0
2019-03-04,4201100.0
2019-01-31,4596600.0
2019-09-12,3331900.0
2019-12-31,2745100.0
2020-03-19,2004000.0
2020-01-03,2329600.0
2020-06-09,2293300.0
2019-02-15,3317200.0
2019-01-14,3759400.0
2018-07-06,2539700.0
2018-08-07,2172400.0
2018-10-10,1893200.0
2018-12-13,2321000.0
2019-08-26,2368800.0
2019-07-25,2165600.0
2019-05-22,2143200.0
2019-03-19,2341400.0
2020-01-06,2669000.0
2020-03-25,1760600.0
2020-06-12,2290600.0
2019-10-22,2816700.0
2020-01-09,1723200.0
2020-06-15,3336600.0
2019-10-25,4048500.0
2020-03-31,3067500.0
2020-06-18,2307800.0
2019-04-03,2089100.0
2018-08-22,3080800.0
2018-10-25,2112800.0
2019-01-29,2334000.0
2018-12-28,4340200.0
2018-11-26,1885800.0
2019-08-09,2492000.0
2019-07-08,2245400.0
2019-06-06,2534400.0
2019-09-10,2473000.0
2020-01-15,2237600.0
2020-04-03,2071400.0
2019-10-31,2373100.0
2020-04-06,2250500.0
2020-06-24,2184500.0
2018-11-09,2244700.0
2019-07-23,3851600.0
2019-06-21,3456300.0
2019-05-20,2563200.0
2019-04-18,4842500.0
2018-09-06,1726300.0
2018-10-08,1329100.0
2019-02-13,2170200.0
2018-12-11,1820900.0
2019-09-25,4059000.0
2020-01-21,3238600.0
2020-04-09,1848500.0
2019-11-06,1546500.0
2020-01-24,2124800.0
2020-01-27,1459900.0
2020-04-15,2094000.0
2018-12-26,2292400.0
2019-08-07,2506300.0
2019-06-04,3376800.0
2018-09-21,2855000.0
2018-07-19,3103000.0
2018-08-20,2479200.0
2018-10-23,3105000.0
2019-05-03,1249900.0
2019-04-01,1706800.0
2019-02-28,2522300.0
2019-11-12,2312000.0
2020-01-30,2168600.0
2019-11-15,1817700.0
2020-04-21,2740500.0
2019-04-16,1844400.0
2019-03-15,1691900.0
2019-02-11,2199600.0
