Dates,LYB
2018-06-20,111.58999633789062
2018-06-21,110.08999633789062
2018-06-25,111.75
2018-06-22,110.8499984741211
2018-06-26,108.80999755859375
2018-06-27,111.75
2018-06-28,109.55000305175781
2018-06-29,112.08999633789062
2018-07-02,109.2300033569336
2018-07-03,108.91000366210938
2018-07-05,108.16999816894531
2018-07-16,108.98999786376953
2018-09-18,110.77999877929688
2019-01-24,111.83999633789062
2019-09-05,109.0
2018-11-21,107.62999725341797
2020-01-13,107.87999725341797
2020-04-01,107.66000366210938
2020-06-19,108.38999938964844
2019-10-29,109.23999786376953
2020-01-16,109.02999877929688
2020-06-22,108.61000061035156
2018-10-03,108.51000213623047
2018-07-31,109.4000015258789
2019-03-12,109.61000061035156
2019-02-08,111.19999694824219
2019-01-07,111.25
2018-12-06,110.25
2019-08-19,110.97000122070312
2019-07-18,111.5
2019-05-15,109.04000091552734
2019-09-20,112.79000091552734
2019-11-01,113.62000274658203
2020-04-07,114.37999725341797
2020-06-25,113.43000030517578
2020-06-16,114.44999694824219
2019-11-04,113.01000213623047
2020-01-22,114.33999633789062
2019-11-07,113.8499984741211
2020-04-13,111.88999938964844
2019-07-01,112.66000366210938
2019-05-30,113.37000274658203
2018-08-15,114.94999694824219
2018-10-18,115.94000244140625
2019-03-27,116.13999938964844
2019-01-22,114.88999938964844
2018-12-21,115.4000015258789
2019-09-03,116.62999725341797
2018-11-19,116.54000091552734
2019-08-02,115.36000061035156
2020-01-28,114.5199966430664
2020-04-16,113.7699966430664
2019-11-13,112.25
2020-01-31,111.75
2018-12-04,113.23999786376953
2018-11-02,110.72000122070312
2019-07-16,110.69000244140625
2018-08-30,107.16999816894531
2018-10-01,107.41999816894531
2019-06-14,107.48999786376953
2019-05-13,106.05999755859375
2019-04-11,105.02999877929688
2019-02-06,103.5999984741211
2019-09-18,102.93000030517578
2020-02-03,105.36000061035156
2020-04-22,105.63999938964844
2019-11-19,105.4800033569336
2020-02-06,105.08000183105469
2019-11-22,105.44999694824219
2019-03-25,104.38999938964844
2019-02-21,102.83999633789062
2018-12-19,104.98999786376953
2018-07-12,106.31999969482422
2018-09-14,106.61000061035156
2018-08-13,105.95999908447266
2018-10-16,104.61000061035156
2019-07-31,104.75
2019-05-28,103.83000183105469
2019-04-26,100.48999786376953
2020-04-28,99.6500015258789
2019-11-25,99.23999786376953
2020-02-12,98.37000274658203
2020-05-01,97.87000274658203
2020-05-04,98.33000183105469
2019-06-12,97.33999633789062
2019-04-09,96.0
2019-03-08,94.48999786376953
2019-02-04,90.7300033569336
2018-07-27,90.63999938964844
2018-08-28,90.08000183105469
2019-01-03,90.5199966430664
2019-08-15,91.41999816894531
2018-10-31,90.0
2019-09-16,91.16999816894531
2020-02-18,92.91999816894531
2020-05-07,94.27999877929688
2018-08-17,93.97000122070312
2019-12-04,95.55000305175781
2020-02-21,96.94000244140625
2018-12-17,96.58999633789062
2019-08-30,96.51000213623047
2018-11-15,96.8499984741211
2019-07-29,96.05000305175781
2019-06-27,93.86000061035156
2019-04-24,94.04000091552734
2018-07-10,96.30999755859375
2018-09-12,94.9000015258789
2019-02-19,93.2699966430664
2019-01-18,93.68000030517578
2020-02-24,91.80999755859375
2020-05-13,92.5
2019-12-10,92.16999816894531
2020-02-27,92.08000183105469
2019-12-13,93.87000274658203
2020-05-19,93.5199966430664
2019-03-06,96.7699966430664
2018-11-30,94.5199966430664
2019-08-13,88.86000061035156
2019-07-12,89.97000122070312
2019-06-10,84.94999694824219
2019-05-09,86.75
2018-07-25,87.1500015258789
2018-09-27,85.80000305175781
2018-10-29,84.44000244140625
2019-10-16,84.27999877929688
2019-12-16,84.23999786376953
2020-03-04,84.37000274658203
2020-05-22,81.83000183105469
2019-10-01,81.30000305175781
2019-12-19,80.61000061035156
2018-09-10,81.47000122070312
2019-05-24,83.43000030517578
2018-08-09,84.12999725341797
2019-04-22,83.69999694824219
2019-03-21,84.6500015258789
2019-01-16,84.38999938964844
2019-08-28,87.38999938964844
2018-11-13,88.0
2018-10-12,89.02999877929688
2019-06-25,89.2300033569336
2020-03-10,87.69999694824219
2020-05-28,87.16000366210938
2019-10-07,86.45999908447266
2020-03-13,85.95999908447266
2019-10-10,85.54000091552734
2020-03-16,85.95999908447266
2020-06-03,88.26000213623047
2018-11-28,87.45999908447266
2018-09-25,86.26000213623047
2018-07-23,84.83999633789062
2018-08-24,86.73999786376953
2019-07-10,86.3499984741211
2019-05-07,87.5999984741211
2019-04-05,88.73999786376953
2019-03-04,87.08000183105469
2019-01-31,88.98999786376953
2019-09-12,88.3499984741211
2019-12-31,88.3499984741211
2020-03-19,88.12000274658203
2020-01-03,87.33999633789062
2020-06-09,85.45999908447266
2019-02-15,84.9000015258789
2019-01-14,86.4000015258789
2018-07-06,86.5199966430664
2018-08-07,87.51000213623047
2018-10-10,88.44000244140625
2018-12-13,88.12999725341797
2019-08-26,89.73999786376953
2019-07-25,89.69999694824219
2019-05-22,89.55000305175781
2019-03-19,89.48999786376953
2020-01-06,88.66000366210938
2020-03-25,87.05999755859375
2020-06-12,86.70999908447266
2019-10-22,86.87000274658203
2020-01-09,86.94000244140625
2020-06-15,85.22000122070312
2019-10-25,89.7699966430664
2020-03-31,89.0
2020-06-18,87.37000274658203
2019-04-03,88.95999908447266
2018-08-22,90.36000061035156
2018-10-25,90.27999877929688
2019-01-29,89.01000213623047
2018-12-28,88.54000091552734
2018-11-26,87.44999694824219
2019-08-09,88.1500015258789
2019-07-08,87.19999694824219
2019-06-06,89.70999908447266
2019-09-10,87.72000122070312
2020-01-15,85.54000091552734
2020-04-03,84.91999816894531
2019-10-31,85.0
2020-04-06,84.30999755859375
2020-06-24,84.30999755859375
2018-11-09,87.2699966430664
2019-07-23,89.80000305175781
2019-06-21,91.9000015258789
2019-05-20,92.66000366210938
2019-04-18,93.2300033569336
2018-09-06,91.94000244140625
2018-10-08,91.05999755859375
2019-02-13,90.8499984741211
2018-12-11,90.80000305175781
2019-09-25,95.19000244140625
2020-01-21,93.81999969482422
2020-04-09,92.4000015258789
2019-11-06,93.27999877929688
2020-01-24,92.06999969482422
2020-01-27,92.8499984741211
2020-04-15,92.45999908447266
2018-12-26,92.1500015258789
2019-08-07,90.68000030517578
2019-06-04,88.95999908447266
2018-09-21,89.54000091552734
2018-07-19,89.81999969482422
2018-08-20,89.13999938964844
2018-10-23,87.80999755859375
2019-05-03,87.19999694824219
2019-04-01,85.68000030517578
2019-02-28,84.44999694824219
2019-11-12,83.77999877929688
2020-01-30,82.16999816894531
2019-11-15,83.04000091552734
