Dates,IPG
2018-06-20,1556800.0
2018-06-21,2334700.0
2018-06-25,5706400.0
2018-06-22,3690100.0
2018-06-26,2303200.0
2018-06-27,2402300.0
2018-06-28,2973200.0
2018-06-29,2258800.0
2018-07-02,3691100.0
2018-07-03,3534500.0
2018-07-05,3756200.0
2018-07-16,2391200.0
2018-09-18,2906000.0
2019-01-24,3475900.0
2019-09-05,4604900.0
2018-11-21,3730200.0
2020-01-13,2356200.0
2020-04-01,4266700.0
2020-06-19,7893700.0
2019-10-29,5562100.0
2020-01-16,10546800.0
2020-06-22,4511300.0
2018-10-03,6086900.0
2018-07-31,10039200.0
2019-03-12,7473100.0
2019-02-08,3637500.0
2019-01-07,2418000.0
2018-12-06,2428400.0
2019-08-19,4014800.0
2019-07-18,3352400.0
2019-05-15,3219600.0
2019-09-20,1828000.0
2019-11-01,1819500.0
2020-04-07,3129900.0
2020-06-25,1864600.0
2020-06-16,2198100.0
2019-11-04,1676800.0
2020-01-22,2248700.0
2019-11-07,2673600.0
2020-04-13,2837200.0
2019-07-01,3259900.0
2019-05-30,2020700.0
2018-08-15,2626700.0
2018-10-18,4138900.0
2019-03-27,4508200.0
2019-01-22,3042700.0
2018-12-21,1963300.0
2019-09-03,2755200.0
2018-11-19,4085300.0
2019-08-02,3737100.0
2020-01-28,6148800.0
2020-04-16,3526500.0
2019-11-13,3241100.0
2020-01-31,5134300.0
2018-12-04,3095300.0
2018-11-02,2175600.0
2019-07-16,2824700.0
2018-08-30,2408500.0
2018-10-01,1953300.0
2019-06-14,2529300.0
2019-05-13,1855800.0
2019-04-11,2440800.0
2019-02-06,2693900.0
2019-09-18,2026600.0
2020-02-03,2858000.0
2020-04-22,7686400.0
2019-11-19,4349100.0
2020-02-06,2399500.0
2019-11-22,2937000.0
2019-03-25,3770900.0
2019-02-21,7657600.0
2018-12-19,6655800.0
2018-07-12,5010500.0
2018-09-14,4485700.0
2018-08-13,4299500.0
2018-10-16,5471700.0
2019-07-31,5768600.0
2019-05-28,5200400.0
2019-04-26,6260400.0
2020-04-28,9682800.0
2019-11-25,7715100.0
2020-02-12,9909700.0
2020-05-01,8474000.0
2020-05-04,6738600.0
2019-06-12,8061500.0
2019-04-09,13166000.0
2019-03-08,9333600.0
2019-02-04,5040500.0
2018-07-27,5909700.0
2018-08-28,6508400.0
2019-01-03,4415400.0
2019-08-15,4830400.0
2018-10-31,4419500.0
2019-09-16,5261600.0
2020-02-18,4066900.0
2020-05-07,7038000.0
2018-08-17,5453300.0
2019-12-04,2857500.0
2020-02-21,4081400.0
2018-12-17,3448500.0
2019-08-30,4110900.0
2018-11-15,3474300.0
2019-07-29,3761400.0
2019-06-27,4119800.0
2019-04-24,4866000.0
2018-07-10,3264800.0
2018-09-12,3887400.0
2019-02-19,3510400.0
2019-01-18,3788500.0
2020-02-24,1139100.0
2020-05-13,2921800.0
2019-12-10,3034500.0
2020-02-27,5243600.0
2019-12-13,5083500.0
2020-05-19,7837200.0
2019-03-06,3569400.0
2018-11-30,4748200.0
2019-08-13,5267600.0
2019-07-12,3438300.0
2019-06-10,4087700.0
2019-05-09,3880900.0
2018-07-25,7111600.0
2018-09-27,4412000.0
2018-10-29,4379900.0
2019-10-16,9129800.0
2019-12-16,4024600.0
2020-03-04,4523200.0
2020-05-22,5320900.0
2019-10-01,9570600.0
2019-12-19,1883400.0
2018-09-10,5139000.0
2019-05-24,4628900.0
2018-08-09,3309900.0
2019-04-22,3065000.0
2019-03-21,6891000.0
2019-01-16,6612100.0
2019-08-28,3853600.0
2018-11-13,8319100.0
2018-10-12,6203300.0
2019-06-25,4986100.0
2020-03-10,3395800.0
2020-05-28,2145900.0
2019-10-07,4484600.0
2020-03-13,2559100.0
2019-10-10,3728900.0
2020-03-16,2377100.0
2020-06-03,3434600.0
2018-11-28,6260700.0
2018-09-25,3091600.0
2018-07-23,3638000.0
2018-08-24,3003300.0
2019-07-10,3126300.0
2019-05-07,3488500.0
2019-04-05,2225300.0
2019-03-04,7414000.0
2019-01-31,2853900.0
2019-09-12,4451100.0
2019-12-31,4037400.0
2020-03-19,9771700.0
2020-01-03,7057500.0
2020-06-09,4391700.0
2019-02-15,5382100.0
2019-01-14,8900800.0
2018-07-06,9876300.0
2018-08-07,4858200.0
2018-10-10,4453800.0
2018-12-13,4688900.0
2019-08-26,4016600.0
2019-07-25,5338900.0
2019-05-22,2920500.0
2019-03-19,3280300.0
2020-01-06,4864100.0
2020-03-25,5727000.0
2020-06-12,7426200.0
2019-10-22,5683700.0
2020-01-09,4921500.0
2020-06-15,4251600.0
2019-10-25,3262900.0
2020-03-31,3450400.0
2020-06-18,7094100.0
2019-04-03,5763900.0
2018-08-22,4694200.0
2018-10-25,5962300.0
2019-01-29,5360300.0
2018-12-28,6698800.0
2018-11-26,3919900.0
2019-08-09,4216500.0
2019-07-08,3196300.0
2019-06-06,5621400.0
2019-09-10,6303800.0
2020-01-15,5358400.0
2020-04-03,5859300.0
2019-10-31,5495600.0
2020-04-06,5372300.0
2020-06-24,4350300.0
2018-11-09,3183800.0
2019-07-23,3074200.0
2019-06-21,6416000.0
2019-05-20,3113400.0
2019-04-18,3943400.0
2018-09-06,2349400.0
2018-10-08,3333700.0
2019-02-13,2458400.0
2018-12-11,3379900.0
2019-09-25,3183900.0
2020-01-21,3431000.0
2020-04-09,5682200.0
2019-11-06,4068600.0
2020-01-24,4326000.0
2020-01-27,2715400.0
2020-04-15,3408600.0
2018-12-26,3520500.0
2019-08-07,4154600.0
2019-06-04,4845500.0
2018-09-21,5210300.0
2018-07-19,5420900.0
2018-08-20,3557800.0
2018-10-23,3284300.0
2019-05-03,3288400.0
2019-04-01,2082300.0
2019-02-28,3611500.0
2019-11-12,3266700.0
2020-01-30,4178100.0
2019-11-15,2821900.0
2020-04-21,2479200.0
2019-04-16,1963700.0
2019-03-15,2266500.0
2019-02-11,1672000.0
2019-01-10,2401600.0
2019-08-22,1902100.0
2018-11-07,2455400.0
2018-08-03,2215300.0
2018-09-04,2754400.0
2019-06-19,1427400.0
2019-09-23,3578600.0
2019-11-18,2030700.0
2020-02-05,2498200.0
2020-04-24,4002700.0
2019-03-29,2835200.0
2019-11-21,3238900.0
2020-04-27,2532000.0
2020-02-11,2538400.0
2020-04-30,2489700.0
2019-05-01,4418000.0
2019-02-26,2811500.0
2019-01-25,4284800.0
2018-12-24,1869800.0
2019-09-06,1962900.0
2018-07-17,2269300.0
2018-09-19,3144500.0
2019-08-05,2868000.0
2019-10-08,2919200.0
2019-12-11,7840900.0
2019-11-27,1812800.0
2020-02-14,2749900.0
2020-05-06,2819800.0
2019-01-08,2690200.0
2018-12-07,7033200.0
2019-08-20,4366400.0
2018-11-05,6047000.0
2019-07-19,1785300.0
2018-10-04,3904300.0
2019-06-17,3386900.0
2019-05-16,2762800.0
2018-08-01,3264800.0
2019-03-13,3003000.0
2019-12-03,2409600.0
2020-02-20,1938900.0
2019-12-06,2955700.0
2020-05-12,2957200.0
2019-12-09,4053300.0
2020-02-26,3139700.0
2020-05-15,4409900.0
2019-03-28,7448700.0
2018-09-17,3247700.0
2018-08-16,4112900.0
2018-10-19,2417100.0
2019-04-29,3263900.0
2019-01-23,2225000.0
2019-09-04,4601900.0
2018-11-20,3232300.0
2019-07-02,2705600.0
2019-05-31,4245700.0
2019-12-12,3594500.0
2020-05-18,4391000.0
2019-09-27,2540500.0
2020-03-03,2520300.0
2020-05-21,1820700.0
2019-05-14,3005900.0
2018-08-31,3241500.0
2018-07-30,3108500.0
2018-10-02,3717400.0
2019-04-12,2754100.0
2019-03-11,3516900.0
2019-02-07,2657000.0
2019-07-17,2405600.0
2019-09-19,3606700.0
2019-10-21,1770500.0
2019-12-18,2334900.0
2020-03-06,2421400.0
2019-10-03,3472400.0
2020-03-09,4206000.0
2020-05-27,2802400.0
2019-12-24,3692000.0
2020-03-12,2957200.0
2018-12-20,2832700.0
2019-08-01,2677100.0
2018-08-14,3819500.0
2018-07-13,5132700.0
2018-10-17,3197200.0
2019-05-29,2980000.0
2019-03-26,2213300.0
2019-02-22,3080300.0
2019-10-04,2946400.0
2019-11-05,3171500.0
2019-12-27,4211300.0
2020-06-02,1776300.0
2019-12-30,4911900.0
2020-03-18,2850700.0
2020-06-05,2441600.0
2019-07-15,4105500.0
2018-12-03,3351800.0
2019-06-13,2679600.0
2019-01-04,3361100.0
2018-08-29,1927000.0
2019-02-05,2387700.0
2018-11-01,6608300.0
2019-08-16,7808700.0
2019-04-10,4614000.0
2019-09-17,6009000.0
2019-10-15,3826400.0
2020-01-02,4483900.0
2020-06-08,2190900.0
2019-10-18,3894900.0
2020-03-24,3070000.0
2020-06-11,2102000.0
2020-01-08,2874700.0
2019-04-25,4602000.0
2019-07-30,3101500.0
2019-02-20,2327000.0
2018-07-11,2663400.0
2018-09-13,2526700.0
2018-10-15,2527700.0
2019-06-28,1844100.0
2018-12-18,2651800.0
2018-11-16,2430800.0
2019-10-02,2516600.0
2020-03-27,2515800.0
2020-01-10,4533800.0
2019-10-24,4187000.0
2020-03-30,2072200.0
2020-06-17,2674000.0
2020-01-14,1843100.0
2020-04-02,2285200.0
2019-01-02,1809500.0
2019-08-14,1690600.0
2018-10-30,1755800.0
2019-06-11,1313600.0
2019-05-10,2118600.0
2019-04-08,2385300.0
2018-08-27,3030900.0
2018-07-26,3347400.0
2018-09-28,3915100.0
2019-03-07,1934500.0
2019-10-30,1818500.0
2020-01-17,2876700.0
2020-06-23,3832300.0
2020-04-08,2955700.0
2020-06-26,3161600.0
2019-03-22,3109900.0
2019-01-17,2094700.0
2019-08-29,3003100.0
2018-11-14,2843600.0
2019-06-26,2797000.0
2018-09-11,2953400.0
2018-07-09,3608200.0
2018-08-10,4689300.0
2019-04-23,4524700.0
2019-09-30,3020100.0
2020-01-23,8212100.0
2019-11-08,1769300.0
2020-04-14,687900.0
2019-11-11,990900.0
2020-01-29,1226100.0
2020-04-17,1626800.0
2018-07-24,2139100.0
2018-09-26,4513100.0
2019-05-08,2302000.0
2019-03-05,3321100.0
2019-02-01,2853400.0
2018-12-31,4438200.0
2018-11-29,3887000.0
2019-08-12,3725500.0
2019-07-11,2351800.0
2019-09-13,3233600.0
2019-11-14,1634200.0
2020-04-20,3167000.0
2020-02-04,2718200.0
2020-04-23,2966500.0
2018-12-14,2765800.0
2019-08-27,2841000.0
2018-08-08,2247700.0
2018-10-11,2546500.0
2018-11-12,2202500.0
2019-07-26,2099200.0
2019-06-24,3846300.0
2019-05-23,4826800.0
2019-03-20,3338800.0
2019-01-15,4865100.0
2019-11-20,4273200.0
2020-02-07,2565300.0
2020-02-10,3589300.0
2020-04-29,3113900.0
2019-11-26,3993200.0
2020-02-13,8907000.0
2019-01-30,4346600.0
2018-08-23,2497900.0
2018-09-24,4440900.0
2018-11-27,2794000.0
2018-10-26,2027500.0
2019-07-09,4801400.0
2019-06-07,3228500.0
2019-05-06,5006900.0
2019-04-04,4951400.0
2019-09-11,6834700.0
2019-11-29,7259400.0
2020-05-05,7042800.0
2019-12-02,6074800.0
2020-02-19,5174800.0
2020-05-08,7205000.0
2019-05-21,5566500.0
2019-03-18,5033000.0
2018-09-07,9425000.0
2018-08-06,8921800.0
2018-10-09,6013100.0
2019-02-14,7965800.0
2018-12-12,7036000.0
2019-07-24,6901600.0
2019-09-26,8432500.0
2019-10-28,7161600.0
2019-12-05,12728000.0
2020-05-11,9438500.0
2019-07-03,8422800.0
2020-02-25,8090500.0
2020-05-14,5860200.0
2020-02-28,6300700.0
2019-08-08,6907100.0
2019-06-05,7281800.0
2018-07-20,6307500.0
2018-08-21,4603500.0
2018-10-24,5810700.0
2019-04-02,5812600.0
2019-03-01,7803400.0
2019-01-28,4876800.0
2018-12-27,5048100.0
2019-09-09,5396000.0
2020-03-02,6602900.0
2020-05-20,7904200.0
2019-12-17,7997900.0
2020-03-05,4886300.0
2019-02-12,5301800.0
2019-01-11,8455100.0
2018-12-10,7053600.0
2019-08-23,7058800.0
2018-11-08,5158400.0
2019-07-22,4787500.0
2019-06-20,6053100.0
2018-09-05,7633300.0
2019-04-17,6433500.0
2019-09-24,4167100.0
2019-12-20,3973400.0
2020-05-26,3852300.0
2019-04-30,6053000.0
2019-12-23,5666600.0
2020-03-11,4653200.0
2020-05-29,3256900.0
2019-12-26,2316500.0
2020-06-01,5284700.0
2019-05-02,7564100.0
2019-02-27,6781000.0
2018-11-23,4841700.0
2019-08-06,4260800.0
2018-07-18,4158200.0
2018-09-20,3735400.0
2018-10-22,2842700.0
2019-07-05,5092200.0
2019-06-03,6269300.0
2019-10-09,6436700.0
2019-10-11,7658000.0
2020-03-17,2921800.0
2020-06-04,5771700.0
2019-10-14,4658800.0
2020-03-20,5847100.0
2018-11-06,5334900.0
2019-06-18,5442900.0
2019-05-17,4147400.0
2019-04-15,4473900.0
2019-03-14,6430800.0
2019-01-09,5737000.0
2018-08-02,4813400.0
2018-10-05,4433700.0
2019-08-21,4287900.0
2019-10-17,3862400.0
2020-03-23,10739900.0
2020-06-10,3530000.0
2019-02-25,3566100.0
2020-01-07,3605600.0
2020-03-26,4337300.0
2019-10-23,5197300.0
