Dates,IPG
2018-06-20,23.399999618530273
2018-06-21,23.420000076293945
2018-06-25,23.670000076293945
2018-06-22,23.8700008392334
2018-06-26,23.479999542236328
2018-06-27,23.6200008392334
2018-06-28,23.360000610351562
2018-06-29,23.829999923706055
2018-07-02,23.25
2018-07-03,23.170000076293945
2018-07-05,22.399999618530273
2018-07-16,22.43000030517578
2018-09-18,22.8799991607666
2019-01-24,23.100000381469727
2019-09-05,23.469999313354492
2018-11-21,23.239999771118164
2020-01-13,23.1299991607666
2020-04-01,23.239999771118164
2020-06-19,22.950000762939453
2019-10-29,22.270000457763672
2020-01-16,21.850000381469727
2020-06-22,21.81999969482422
2018-10-03,21.479999542236328
2018-07-31,23.31999969482422
2019-03-12,22.040000915527344
2019-02-08,22.389999389648438
2019-01-07,22.479999542236328
2018-12-06,22.399999618530273
2019-08-19,22.360000610351562
2019-07-18,22.3799991607666
2019-05-15,21.93000030517578
2019-09-20,22.200000762939453
2019-11-01,22.020000457763672
2020-04-07,22.3799991607666
2020-06-25,22.360000610351562
2020-06-16,22.190000534057617
2019-11-04,22.15999984741211
2020-01-22,22.079999923706055
2019-11-07,21.950000762939453
2020-04-13,21.979999542236328
2019-07-01,22.350000381469727
2019-05-30,22.549999237060547
2018-08-15,22.5
2018-10-18,22.530000686645508
2019-03-27,22.729999542236328
2019-01-22,22.850000381469727
2018-12-21,22.709999084472656
2019-09-03,22.969999313354492
2018-11-19,23.149999618530273
2019-08-02,23.350000381469727
2020-01-28,23.389999389648438
2020-04-16,23.100000381469727
2019-11-13,22.700000762939453
2020-01-31,22.850000381469727
2018-12-04,22.719999313354492
2018-11-02,22.520000457763672
2019-07-16,22.850000381469727
2018-08-30,22.809999465942383
2018-10-01,22.549999237060547
2019-06-14,22.8799991607666
2019-05-13,22.760000228881836
2019-04-11,22.8799991607666
2019-02-06,22.459999084472656
2019-09-18,22.3799991607666
2020-02-03,22.649999618530273
2020-04-22,22.729999542236328
2019-11-19,23.200000762939453
2020-02-06,23.059999465942383
2019-11-22,23.200000762939453
2019-03-25,23.190000534057617
2019-02-21,22.549999237060547
2018-12-19,23.020000457763672
2018-07-12,22.940000534057617
2018-09-14,23.1299991607666
2018-08-13,23.34000015258789
2018-10-16,23.239999771118164
2019-07-31,23.15999984741211
2019-05-28,23.40999984741211
2019-04-26,23.0
2020-04-28,22.06999969482422
2019-11-25,21.84000015258789
2020-02-12,21.25
2020-05-01,22.309999465942383
2020-05-04,22.06999969482422
2019-06-12,22.350000381469727
2019-04-09,22.940000534057617
2019-03-08,24.670000076293945
2019-02-04,24.06999969482422
2018-07-27,24.18000030517578
2018-08-28,23.600000381469727
2019-01-03,23.049999237060547
2019-08-15,23.139999389648438
2018-10-31,22.950000762939453
2019-09-16,23.559999465942383
2020-02-18,23.3700008392334
2020-05-07,23.34000015258789
2018-08-17,22.8799991607666
2019-12-04,23.059999465942383
2020-02-21,23.670000076293945
2018-12-17,23.760000228881836
2019-08-30,23.799999237060547
2018-11-15,23.81999969482422
2019-07-29,24.15999984741211
2019-06-27,24.110000610351562
2019-04-24,24.0
2018-07-10,23.93000030517578
2018-09-12,24.040000915527344
2019-02-19,23.34000015258789
2019-01-18,23.200000762939453
2020-02-24,22.940000534057617
2020-05-13,22.969999313354492
2019-12-10,23.229999542236328
2020-02-27,23.850000381469727
2019-12-13,24.309999465942383
2020-05-19,24.270000457763672
2019-03-06,23.739999771118164
2018-11-30,23.670000076293945
2019-08-13,23.040000915527344
2019-07-12,22.969999313354492
2019-06-10,22.639999389648438
2019-05-09,23.209999084472656
2018-07-25,23.18000030517578
2018-09-27,23.959999084472656
2018-10-29,23.059999465942383
2019-10-16,21.93000030517578
2019-12-16,21.940000534057617
2020-03-04,21.93000030517578
2020-05-22,21.280000686645508
2019-10-01,21.030000686645508
2019-12-19,20.059999465942383
2018-09-10,19.809999465942383
2019-05-24,20.1200008392334
2018-08-09,20.59000015258789
2019-04-22,20.559999465942383
2019-03-21,20.350000381469727
2019-01-16,20.15999984741211
2019-08-28,20.6299991607666
2018-11-13,20.780000686645508
2018-10-12,21.540000915527344
2019-06-25,21.989999771118164
2020-03-10,22.06999969482422
2020-05-28,22.15999984741211
2019-10-07,22.06999969482422
2020-03-13,22.299999237060547
2019-10-10,22.329999923706055
2020-03-16,22.09000015258789
2020-06-03,22.350000381469727
2018-11-28,22.18000030517578
2018-09-25,21.729999542236328
2018-07-23,21.889999389648438
2018-08-24,22.450000762939453
2019-07-10,22.229999542236328
2019-05-07,22.479999542236328
2019-04-05,22.770000457763672
2019-03-04,22.65999984741211
2019-01-31,22.860000610351562
2019-09-12,22.579999923706055
2019-12-31,22.729999542236328
2020-03-19,22.899999618530273
2020-01-03,21.329999923706055
2020-06-09,21.81999969482422
2019-02-15,22.200000762939453
2019-01-14,22.1200008392334
2018-07-06,22.75
2018-08-07,22.649999618530273
2018-10-10,23.18000030517578
2018-12-13,23.3700008392334
2019-08-26,23.399999618530273
2019-07-25,23.65999984741211
2019-05-22,23.540000915527344
2019-03-19,23.8799991607666
2020-01-06,23.639999389648438
