Dates,YUM
2018-06-20,2627800.0
2018-06-21,1960100.0
2018-06-25,3678300.0
2018-06-22,2040100.0
2018-06-26,2490100.0
2018-06-27,2873600.0
2018-06-28,2165300.0
2018-06-29,3246400.0
2018-07-02,1599100.0
2018-07-03,968300.0
2018-07-05,1431000.0
2018-07-16,1392600.0
2018-09-18,1598400.0
2019-01-24,1232200.0
2019-09-05,1278000.0
2018-11-21,1176800.0
2020-01-13,936800.0
2020-04-01,762600.0
2020-06-19,770700.0
2019-10-29,1650900.0
2020-01-16,1585500.0
2020-06-22,1426700.0
2018-10-03,1019300.0
2018-07-31,1492100.0
2019-03-12,1286300.0
2019-02-08,2195100.0
2019-01-07,1376600.0
2018-12-06,1441200.0
2019-08-19,2030000.0
2019-07-18,2766100.0
2019-05-15,2732500.0
2019-09-20,2194000.0
2019-11-01,1749000.0
2020-04-07,2181900.0
2020-06-25,1531700.0
2020-06-16,1367000.0
2019-11-04,1915500.0
2020-01-22,1343300.0
2019-11-07,1727600.0
2020-04-13,1529100.0
2019-07-01,1722700.0
2019-05-30,1664700.0
2018-08-15,1739700.0
2018-10-18,1339500.0
2019-03-27,1146400.0
2019-01-22,1186900.0
2018-12-21,1038700.0
2019-09-03,1290700.0
2018-11-19,1817400.0
2019-08-02,1564500.0
2020-01-28,1376500.0
2020-04-16,2537300.0
2019-11-13,1640800.0
2020-01-31,2577900.0
2018-12-04,2209700.0
2018-11-02,1394400.0
2019-07-16,1299400.0
2018-08-30,1834900.0
2018-10-01,1294800.0
2019-06-14,1168200.0
2019-05-13,1778800.0
2019-04-11,1257500.0
2019-02-06,1361900.0
2019-09-18,867200.0
2020-02-03,1098300.0
2020-04-22,3859500.0
2019-11-19,1409800.0
2020-02-06,1658500.0
2019-11-22,1303600.0
2019-03-25,927900.0
2019-02-21,2074400.0
2018-12-19,2007100.0
2018-07-12,1504500.0
2018-09-14,1123600.0
2018-08-13,1561200.0
2018-10-16,1371000.0
2019-07-31,1198700.0
2019-05-28,2162900.0
2019-04-26,1756100.0
2020-04-28,2250400.0
2019-11-25,1747800.0
2020-02-12,1180400.0
2020-05-01,1516200.0
2020-05-04,1335100.0
2019-06-12,1986600.0
2019-04-09,1460200.0
2019-03-08,2265300.0
2019-02-04,2724300.0
2018-07-27,1948300.0
2018-08-28,2166300.0
2019-01-03,2118700.0
2019-08-15,1957000.0
2018-10-31,3708900.0
2019-09-16,4798400.0
2020-02-18,3116400.0
2020-05-07,3007400.0
2018-08-17,2475400.0
2019-12-04,2998200.0
2020-02-21,2727500.0
2018-12-17,2465500.0
2019-08-30,1821900.0
2018-11-15,1332000.0
2019-07-29,1514300.0
2019-06-27,2552400.0
2019-04-24,2791100.0
2018-07-10,2420900.0
2018-09-12,2565300.0
2019-02-19,1871100.0
2019-01-18,1751900.0
2020-02-24,853400.0
2020-05-13,1743400.0
2019-12-10,1704900.0
2020-02-27,1910500.0
2019-12-13,2003600.0
2020-05-19,4725100.0
2019-03-06,3648300.0
2018-11-30,2854900.0
2019-08-13,3714900.0
2019-07-12,2995300.0
2019-06-10,2303000.0
2019-05-09,2148900.0
2018-07-25,2441000.0
2018-09-27,3330000.0
2018-10-29,2109800.0
2019-10-16,3099100.0
2019-12-16,1819600.0
2020-03-04,2563300.0
2020-05-22,4348500.0
2019-10-01,5364600.0
2019-12-19,1806000.0
2018-09-10,2030200.0
2019-05-24,2081600.0
2018-08-09,1699500.0
2019-04-22,1657000.0
2019-03-21,1743400.0
2019-01-16,2680300.0
2019-08-28,2142700.0
2018-11-13,2561100.0
2018-10-12,2604700.0
2019-06-25,2279700.0
2020-03-10,2726100.0
2020-05-28,2346600.0
2019-10-07,1409200.0
2020-03-13,1532600.0
2019-10-10,1457200.0
2020-03-16,2031700.0
2020-06-03,2041800.0
2018-11-28,1947100.0
2018-09-25,1551700.0
2018-07-23,1983200.0
2018-08-24,1501900.0
2019-07-10,1075300.0
2019-05-07,1292600.0
2019-04-05,1554200.0
2019-03-04,2682500.0
2019-01-31,1496600.0
2019-09-12,1671500.0
2019-12-31,1888200.0
