Dates,ATO
2018-06-20,87.9800033569336
2018-06-21,88.19000244140625
2018-06-25,88.62000274658203
2018-06-22,89.16999816894531
2018-06-26,89.7699966430664
2018-06-27,89.11000061035156
2018-06-28,90.08000183105469
2018-06-29,89.5
2018-07-02,89.69999694824219
2018-07-03,90.1500015258789
2018-07-05,91.0199966430664
2018-07-16,92.08000183105469
2018-09-18,89.37999725341797
2019-01-24,89.38999938964844
2019-09-05,90.54000091552734
2018-11-21,90.62000274658203
2020-01-13,90.80999755859375
2020-04-01,90.5199966430664
2020-06-19,90.5999984741211
2019-10-29,89.9000015258789
2020-01-16,90.52999877929688
2020-06-22,90.55000305175781
2018-10-03,90.31999969482422
2018-07-31,89.20999908447266
2019-03-12,90.05000305175781
2019-02-08,90.51000213623047
2019-01-07,90.37000274658203
2018-12-06,90.25
2019-08-19,90.61000061035156
2019-07-18,90.12000274658203
2019-05-15,90.36000061035156
2019-09-20,91.0
2019-11-01,91.7300033569336
2020-04-07,90.87999725341797
2020-06-25,90.94999694824219
2020-06-16,89.80000305175781
2019-11-04,91.04000091552734
2020-01-22,91.13999938964844
2019-11-07,91.5999984741211
2020-04-13,92.55999755859375
2019-07-01,92.88999938964844
2019-05-30,94.01000213623047
2018-08-15,93.51000213623047
2018-10-18,92.58999633789062
2019-03-27,92.16999816894531
2019-01-22,92.0
2018-12-21,91.66999816894531
2019-09-03,91.4800033569336
2018-11-19,91.33999633789062
2019-08-02,91.68000030517578
2020-01-28,92.2699966430664
2020-04-16,91.91999816894531
2019-11-13,92.19000244140625
2020-01-31,92.20999908447266
2018-12-04,93.37999725341797
2018-11-02,92.9800033569336
2019-07-16,92.94000244140625
2018-08-30,92.01000213623047
2018-10-01,93.25
2019-06-14,92.87000274658203
2019-05-13,93.25
2019-04-11,93.86000061035156
2019-02-06,94.01000213623047
2019-09-18,91.94999694824219
2020-02-03,92.16000366210938
2020-04-22,92.83000183105469
2019-11-19,93.61000061035156
2020-02-06,93.29000091552734
2019-11-22,92.5999984741211
2019-03-25,92.58000183105469
2019-02-21,93.2300033569336
2018-12-19,92.62999725341797
2018-07-12,92.7699966430664
2018-09-14,92.1500015258789
2018-08-13,91.80000305175781
2018-10-16,92.7699966430664
2019-07-31,95.0
2019-05-28,96.63999938964844
2019-04-26,95.98999786376953
2020-04-28,93.30000305175781
2019-11-25,91.55999755859375
2020-02-12,92.66000366210938
2020-05-01,93.02999877929688
2020-05-04,94.01000213623047
2019-06-12,94.77999877929688
2019-04-09,95.44000244140625
2019-03-08,96.33999633789062
2019-02-04,94.66999816894531
2018-07-27,95.48999786376953
2018-08-28,95.20999908447266
2019-01-03,93.04000091552734
2019-08-15,93.66000366210938
2018-10-31,93.83999633789062
2019-09-16,92.63999938964844
2020-02-18,92.38999938964844
2020-05-07,91.27999877929688
2018-08-17,91.95999908447266
2019-12-04,92.87999725341797
2020-02-21,95.3499984741211
2018-12-17,94.43000030517578
2019-08-30,95.33999633789062
2018-11-15,96.2699966430664
2019-07-29,95.70999908447266
2019-06-27,95.83999633789062
2019-04-24,96.05000305175781
2018-07-10,98.77999877929688
2018-09-12,98.16999816894531
2019-02-19,97.5199966430664
2019-01-18,97.08999633789062
2020-02-24,96.70999908447266
2020-05-13,96.69000244140625
2019-12-10,97.44999694824219
2020-02-27,97.4800033569336
2019-12-13,92.80000305175781
2020-05-19,93.61000061035156
2019-03-06,94.7699966430664
2018-11-30,97.12000274658203
2019-08-13,96.20999908447266
2019-07-12,97.9000015258789
2019-06-10,96.37000274658203
2019-05-09,97.93000030517578
2018-07-25,98.37999725341797
2018-09-27,98.5199966430664
2018-10-29,97.83000183105469
2019-10-16,95.4000015258789
2019-12-16,94.20999908447266
2020-03-04,93.7699966430664
2020-05-22,94.02999877929688
2019-10-01,94.37000274658203
2019-12-19,89.31999969482422
2018-09-10,87.87999725341797
2019-05-24,88.26000213623047
2018-08-09,90.72000122070312
2019-04-22,91.01000213623047
2019-03-21,89.19000244140625
2019-01-16,89.7699966430664
2019-08-28,90.16999816894531
2018-11-13,90.68000030517578
2018-10-12,90.94999694824219
2019-06-25,90.38999938964844
2020-03-10,90.41999816894531
2020-05-28,91.43000030517578
2019-10-07,90.69999694824219
2020-03-13,90.80000305175781
2019-10-10,92.55999755859375
2020-03-16,94.06999969482422
2020-06-03,94.7699966430664
2018-11-28,94.30999755859375
2018-09-25,95.37999725341797
2018-07-23,95.73999786376953
2018-08-24,94.63999938964844
2019-07-10,93.97000122070312
2019-05-07,93.9000015258789
2019-04-05,94.23999786376953
2019-03-04,95.30999755859375
2019-01-31,96.31999969482422
2019-09-12,95.55000305175781
2019-12-31,95.9800033569336
2020-03-19,93.86000061035156
2020-01-03,94.5199966430664
2020-06-09,97.0999984741211
2019-02-15,95.66000366210938
2019-01-14,95.44000244140625
2018-07-06,95.08999633789062
2018-08-07,95.5199966430664
2018-10-10,96.23999786376953
2018-12-13,96.83999633789062
2019-08-26,96.76000213623047
2019-07-25,97.33999633789062
2019-05-22,98.31999969482422
2019-03-19,97.93000030517578
2020-01-06,97.76000213623047
2020-03-25,97.77999877929688
2020-06-12,98.05000305175781
2019-10-22,98.16000366210938
2020-01-09,98.30999755859375
2020-06-15,99.1500015258789
2019-10-25,99.05000305175781
2020-03-31,99.13999938964844
2020-06-18,99.26000213623047
2019-04-03,99.76000213623047
2018-08-22,100.27999877929688
2018-10-25,101.26000213623047
2019-01-29,101.36000061035156
2018-12-28,101.29000091552734
2018-11-26,101.38999938964844
2019-08-09,101.13999938964844
2019-07-08,100.7699966430664
2019-06-06,101.20999908447266
2019-09-10,102.66999816894531
2020-01-15,102.25
2020-04-03,102.77999877929688
2019-10-31,102.72000122070312
2020-04-06,101.86000061035156
2020-06-24,102.13999938964844
2018-11-09,101.5199966430664
2019-07-23,99.6500015258789
2019-06-21,99.48999786376953
2019-05-20,100.19000244140625
2019-04-18,100.25
2018-09-06,100.76000213623047
2018-10-08,100.41000366210938
2019-02-13,100.27999877929688
2018-12-11,100.02999877929688
2019-09-25,99.98999786376953
2020-01-21,100.8499984741211
2020-04-09,99.83999633789062
2019-11-06,99.08999633789062
2020-01-24,99.12999725341797
2020-01-27,98.66000366210938
2020-04-15,99.13999938964844
2018-12-26,99.38999938964844
2019-08-07,99.62999725341797
2019-06-04,100.91000366210938
2018-09-21,100.23999786376953
2018-07-19,100.5
2018-08-20,101.37000274658203
2018-10-23,101.36000061035156
2019-05-03,101.80999755859375
2019-04-01,102.58999633789062
2019-02-28,101.43000030517578
2019-11-12,100.2300033569336
2020-01-30,100.2300033569336
2019-11-15,100.30000305175781
2020-04-21,101.33000183105469
2019-04-16,101.2699966430664
2019-03-15,100.70999908447266
2019-02-11,100.37999725341797
2019-01-10,101.54000091552734
2019-08-22,102.4000015258789
2018-11-07,102.0
2018-08-03,101.9000015258789
2018-09-04,102.2699966430664
2019-06-19,102.62999725341797
2019-09-23,101.37999725341797
2019-11-18,100.27999877929688
2020-02-05,100.30000305175781
2020-04-24,100.31999969482422
2019-03-29,101.37999725341797
2019-11-21,99.97000122070312
2020-04-27,101.56999969482422
2020-02-11,103.5999984741211
2020-04-30,104.0999984741211
2019-05-01,102.68000030517578
2019-02-26,102.08999633789062
2019-01-25,102.80999755859375
2018-12-24,104.12999725341797
2019-09-06,104.52999877929688
2018-07-17,104.16000366210938
2018-09-19,103.87000274658203
2019-08-05,104.0999984741211
2019-10-08,104.70999908447266
2019-12-11,105.05999755859375
2019-11-27,106.66999816894531
2020-02-14,107.11000061035156
2020-05-06,104.06999969482422
2019-01-08,104.0
2018-12-07,104.68000030517578
2019-08-20,104.18000030517578
2018-11-05,105.61000061035156
2019-07-19,106.7699966430664
2018-10-04,105.5199966430664
2019-06-17,106.19000244140625
2019-05-16,105.94000244140625
2018-08-01,106.76000213623047
2019-03-13,106.33999633789062
2019-12-03,105.9800033569336
2020-02-20,106.38999938964844
2019-12-06,106.37000274658203
2020-05-12,107.41999816894531
2019-12-09,107.25
2020-02-26,107.26000213623047
2020-05-15,106.66999816894531
2019-03-28,106.9000015258789
2018-09-17,106.55999755859375
2018-08-16,106.87000274658203
2018-10-19,107.05000305175781
2019-04-29,108.08999633789062
2019-01-23,108.19999694824219
2019-09-04,108.2300033569336
2018-11-20,108.7300033569336
2019-07-02,109.45999908447266
2019-05-31,106.33999633789062
2019-12-12,105.77999877929688
2020-05-18,106.7300033569336
2019-09-27,105.69999694824219
2020-03-03,108.4800033569336
2020-05-21,108.12999725341797
2019-05-14,108.19999694824219
2018-08-31,107.97000122070312
2018-07-30,107.72000122070312
2018-10-02,109.41000366210938
2019-04-12,109.7699966430664
2019-03-11,110.06999969482422
2019-02-07,109.88999938964844
2019-07-17,110.2699966430664
2019-09-19,108.19000244140625
2019-10-21,108.1500015258789
2019-12-18,107.79000091552734
2020-03-06,107.25
2019-10-03,108.48999786376953
2020-03-09,109.47000122070312
2020-05-27,109.68000030517578
2019-12-24,110.38999938964844
2020-03-12,109.4000015258789
2018-12-20,108.51000213623047
2019-08-01,107.4800033569336
2018-08-14,107.13999938964844
2018-07-13,108.33999633789062
2018-10-17,109.33999633789062
2019-05-29,108.70999908447266
2019-03-26,109.38999938964844
2019-02-22,109.20999908447266
2019-10-04,111.36000061035156
2019-11-05,111.73999786376953
2019-12-27,112.08999633789062
2020-06-02,112.55000305175781
2019-12-30,112.8499984741211
2020-03-18,113.62999725341797
2020-06-05,114.20999908447266
2019-07-15,113.26000213623047
2018-12-03,113.66000366210938
2019-06-13,112.94000244140625
2019-01-04,111.16999816894531
2018-08-29,110.81999969482422
2019-02-05,111.51000213623047
2018-11-01,112.0999984741211
2019-08-16,111.19999694824219
2019-04-10,110.9000015258789
2019-09-17,110.41000366210938
2019-10-15,110.51000213623047
2020-01-02,111.06999969482422
2020-06-08,109.81999969482422
2019-10-18,109.16000366210938
2020-03-24,110.5999984741211
2020-06-11,110.68000030517578
2020-01-08,111.05999755859375
2019-04-25,112.11000061035156
2019-07-30,112.23999786376953
2019-02-20,112.70999908447266
2018-07-11,111.66000366210938
2018-09-13,110.86000061035156
2018-10-15,110.45999908447266
2019-06-28,110.94000244140625
2018-12-18,111.75
2018-11-16,111.30999755859375
2019-10-02,109.06999969482422
2020-03-27,107.56999969482422
2020-01-10,107.77999877929688
2019-10-24,107.11000061035156
2020-03-30,106.80000305175781
2020-06-17,106.76000213623047
2020-01-14,106.72000122070312
2020-04-02,106.88999938964844
2019-01-02,108.8499984741211
2019-08-14,109.20999908447266
2018-10-30,109.05000305175781
2019-06-11,108.62000274658203
2019-05-10,108.20999908447266
2019-04-08,107.41999816894531
2018-08-27,106.38999938964844
2018-07-26,106.63999938964844
2018-09-28,106.66999816894531
2019-03-07,106.08999633789062
2019-10-30,106.87999725341797
2020-01-17,105.68000030517578
2020-06-23,105.12999725341797
2020-04-08,106.02999877929688
2020-06-26,106.01000213623047
2019-03-22,106.4000015258789
2019-01-17,105.8499984741211
2019-08-29,106.13999938964844
2018-11-14,106.58000183105469
2019-06-26,105.94999694824219
2018-09-11,105.95999908447266
2018-07-09,106.9000015258789
2018-08-10,108.47000122070312
2019-04-23,108.06999969482422
2019-09-30,109.8499984741211
2020-01-23,110.6500015258789
2019-11-08,110.87999725341797
2020-04-14,110.25
2019-11-11,110.12000274658203
2020-01-29,109.9800033569336
2020-04-17,109.75
2018-07-24,110.37999725341797
2018-09-26,109.41999816894531
2019-05-08,110.05999755859375
2019-03-05,110.88999938964844
2019-02-01,110.43000030517578
2018-12-31,110.66000366210938
2018-11-29,110.55000305175781
2019-08-12,111.19000244140625
2019-07-11,111.4000015258789
2019-09-13,112.08999633789062
2019-11-14,112.9800033569336
2020-04-20,113.73999786376953
2020-02-04,114.04000091552734
2020-04-23,114.55000305175781
2018-12-14,115.72000122070312
2019-08-27,115.87999725341797
2018-08-08,116.58999633789062
2018-10-11,115.93000030517578
2018-11-12,116.05000305175781
2019-07-26,115.63999938964844
2019-06-24,115.91000366210938
2019-05-23,115.81999969482422
2019-03-20,117.0
2019-01-15,117.22000122070312
2019-11-20,115.0
2020-02-07,117.12999725341797
2020-02-10,117.1500015258789
2020-04-29,117.69000244140625
2019-11-26,118.4800033569336
2020-02-13,117.66999816894531
2019-01-30,117.81999969482422
2018-08-23,117.19999694824219
2018-09-24,120.26000213623047
2018-11-27,119.5999984741211
2018-10-26,118.83999633789062
2019-07-09,118.52999877929688
2019-06-07,116.08999633789062
2019-05-06,113.69000244140625
2019-04-04,112.05000305175781
2019-09-11,107.19999694824219
2019-11-29,101.7300033569336
2020-05-05,103.30999755859375
2019-12-02,105.69000244140625
