Dates,ATO
2018-06-20,88.33000183105469
2018-06-21,88.8499984741211
2018-06-25,89.11000061035156
2018-06-22,90.52999877929688
2018-06-26,89.83999633789062
2018-06-27,90.12999725341797
2018-06-28,90.38999938964844
2018-06-29,90.13999938964844
2018-07-02,90.33999633789062
2018-07-03,91.2699966430664
2018-07-05,92.05000305175781
2018-07-16,92.56999969482422
2018-09-18,89.80999755859375
2019-01-24,90.66999816894531
2019-09-05,91.05999755859375
2018-11-21,91.12999725341797
2020-01-13,91.12999725341797
2020-04-01,91.11000061035156
2020-06-19,90.80000305175781
2019-10-29,90.54000091552734
2020-01-16,91.7300033569336
2020-06-22,91.44000244140625
2018-10-03,90.81999969482422
2018-07-31,90.62000274658203
2019-03-12,90.4000015258789
2019-02-08,91.30999755859375
2019-01-07,90.87999725341797
2018-12-06,90.51000213623047
2019-08-19,91.87000274658203
2019-07-18,90.98999786376953
2019-05-15,91.58999633789062
2019-09-20,91.83000183105469
2019-11-01,91.95999908447266
2020-04-07,91.95999908447266
2020-06-25,91.87000274658203
2020-06-16,91.23999786376953
2019-11-04,91.2699966430664
2020-01-22,91.81999969482422
2019-11-07,92.5999984741211
2020-04-13,93.04000091552734
2019-07-01,94.18000030517578
2019-05-30,94.33999633789062
2018-08-15,93.58999633789062
2018-10-18,92.9000015258789
2019-03-27,92.51000213623047
2019-01-22,92.12000274658203
2018-12-21,92.22000122070312
2019-09-03,91.77999877929688
2018-11-19,91.80000305175781
2019-08-02,92.33000183105469
2020-01-28,92.55000305175781
2020-04-16,92.2300033569336
2019-11-13,92.38999938964844
2020-01-31,93.5999984741211
2018-12-04,94.05999755859375
2018-11-02,93.62000274658203
2019-07-16,93.0
2018-08-30,93.73999786376953
2018-10-01,93.61000061035156
2019-06-14,94.5
2019-05-13,94.12000274658203
2019-04-11,94.7699966430664
2019-02-06,94.48999786376953
2019-09-18,92.70999908447266
2020-02-03,93.30999755859375
2020-04-22,94.01000213623047
2019-11-19,93.9000015258789
2020-02-06,93.5
2019-11-22,92.62999725341797
2019-03-25,93.29000091552734
2019-02-21,93.91000366210938
2018-12-19,92.75
2018-07-12,93.69000244140625
2018-09-14,92.73999786376953
2018-08-13,92.83999633789062
2018-10-16,94.63999938964844
2019-07-31,96.94999694824219
2019-05-28,96.83000183105469
2019-04-26,96.0199966430664
2020-04-28,93.3499984741211
2019-11-25,92.61000061035156
2020-02-12,93.47000122070312
2020-05-01,94.93000030517578
2020-05-04,94.62999725341797
2019-06-12,95.38999938964844
2019-04-09,97.06999969482422
2019-03-08,96.51000213623047
2019-02-04,95.68000030517578
2018-07-27,97.13999938964844
2018-08-28,95.62999725341797
2019-01-03,93.62000274658203
2019-08-15,94.48999786376953
2018-10-31,94.80000305175781
2019-09-16,93.08000183105469
2020-02-18,92.94000244140625
2020-05-07,92.13999938964844
2018-08-17,93.29000091552734
2019-12-04,95.45999908447266
2020-02-21,96.69999694824219
2018-12-17,95.83999633789062
2019-08-30,96.69000244140625
2018-11-15,96.66999816894531
2019-07-29,96.4000015258789
2019-06-27,97.29000091552734
2019-04-24,98.91000366210938
2018-07-10,99.02999877929688
