Dates,ATO
2018-11-07,717100.0
2018-08-03,579100.0
2018-09-04,773300.0
2019-06-19,664200.0
2019-09-23,1327100.0
2019-11-18,965100.0
2020-02-05,729600.0
2020-04-24,761700.0
2019-03-29,589700.0
2019-11-21,931600.0
2020-04-27,733300.0
2020-02-11,609600.0
2020-04-30,554100.0
2019-05-01,475400.0
2019-02-26,477100.0
2019-01-25,431800.0
2018-12-24,421400.0
2019-09-06,396300.0
2018-07-17,312600.0
2018-09-19,550800.0
2019-08-05,634200.0
2019-10-08,391400.0
2019-12-11,1821100.0
2019-11-27,915500.0
2020-02-14,814200.0
2020-05-06,832300.0
2019-01-08,573800.0
2018-12-07,768900.0
2019-08-20,744300.0
2018-11-05,635400.0
2019-07-19,379900.0
2018-10-04,305600.0
2019-06-17,445200.0
2019-05-16,669400.0
2018-08-01,441400.0
2019-03-13,506400.0
2019-12-03,361900.0
2020-02-20,630200.0
2019-12-06,567200.0
2020-05-12,704100.0
2019-12-09,541300.0
2020-02-26,710900.0
2020-05-15,549900.0
2019-03-28,579200.0
2018-09-17,842100.0
2018-08-16,504400.0
2018-10-19,505200.0
2019-04-29,525700.0
2019-01-23,579300.0
2019-09-04,1061800.0
2018-11-20,837200.0
2019-07-02,631900.0
2019-05-31,881400.0
2019-12-12,762700.0
2020-05-18,759900.0
2019-09-27,856000.0
2020-03-03,581800.0
2020-05-21,311400.0
2019-05-14,560900.0
2018-08-31,758800.0
2018-07-30,653600.0
2018-10-02,689900.0
2019-04-12,629500.0
2019-03-11,565800.0
2019-02-07,340900.0
2019-07-17,485300.0
2019-09-19,570100.0
2019-10-21,552800.0
2019-12-18,1022500.0
2020-03-06,1275300.0
2019-10-03,710300.0
2020-03-09,624900.0
2020-05-27,1121600.0
2019-12-24,1000300.0
2020-03-12,753700.0
2018-12-20,688600.0
2019-08-01,925500.0
2018-08-14,657900.0
2018-07-13,984600.0
2018-10-17,651400.0
2019-05-29,488500.0
2019-03-26,345900.0
2019-02-22,762100.0
2019-10-04,900900.0
2019-11-05,411900.0
2019-12-27,1216100.0
2020-06-02,524900.0
2019-12-30,974800.0
2020-03-18,1300300.0
2020-06-05,724000.0
2019-07-15,748600.0
2018-12-03,660000.0
2019-06-13,760600.0
2019-01-04,557800.0
2018-08-29,509200.0
2019-02-05,413400.0
2018-11-01,419700.0
2019-08-16,440800.0
2019-04-10,615700.0
2019-09-17,615400.0
2019-10-15,444000.0
2020-01-02,719200.0
2020-06-08,693100.0
2019-10-18,1272400.0
2020-03-24,548600.0
2020-06-11,732100.0
2020-01-08,615500.0
2019-04-25,497300.0
2019-07-30,529100.0
2019-02-20,447700.0
2018-07-11,455700.0
2018-09-13,571300.0
2018-10-15,1206000.0
2019-06-28,536800.0
2018-12-18,917300.0
2018-11-16,508000.0
2019-10-02,827300.0
2020-03-27,1032900.0
2020-01-10,786800.0
2019-10-24,1216600.0
2020-03-30,953400.0
2020-06-17,520300.0
2020-01-14,841100.0
2020-04-02,874400.0
2019-01-02,789400.0
2019-08-14,727200.0
2018-10-30,963100.0
2019-06-11,662300.0
2019-05-10,557000.0
2019-04-08,671500.0
2018-08-27,651900.0
2018-07-26,767300.0
2018-09-28,1208500.0
2019-03-07,1513100.0
2019-10-30,503900.0
2020-01-17,981700.0
2020-06-23,773600.0
2020-04-08,1114300.0
2020-06-26,698800.0
2019-03-22,634200.0
2019-01-17,669100.0
2019-08-29,637800.0
2018-11-14,770900.0
2019-06-26,676900.0
2018-09-11,720200.0
2018-07-09,767700.0
2018-08-10,720600.0
2019-04-23,1362200.0
2019-09-30,1183200.0
2020-01-23,1802000.0
2019-11-08,698700.0
2020-04-14,179800.0
2019-11-11,450500.0
2020-01-29,648600.0
2020-04-17,500700.0
2018-07-24,637900.0
2018-09-26,906900.0
2019-05-08,724200.0
2019-03-05,822900.0
2019-02-01,875500.0
2018-12-31,905100.0
2018-11-29,834600.0
2019-08-12,543400.0
2019-07-11,403400.0
2019-09-13,601400.0
2019-11-14,561900.0
2020-04-20,785000.0
2020-02-04,602100.0
2020-04-23,925500.0
2018-12-14,690900.0
2019-08-27,672300.0
2018-08-08,699400.0
2018-10-11,1026800.0
2018-11-12,599000.0
2019-07-26,607700.0
2019-06-24,577200.0
2019-05-23,3787700.0
2019-03-20,1290100.0
2019-01-15,974000.0
2019-11-20,1167600.0
2020-02-07,1362900.0
2020-02-10,817300.0
2020-04-29,656400.0
2019-11-26,502100.0
2020-02-13,957200.0
2019-01-30,618900.0
2018-08-23,1290800.0
2018-09-24,939300.0
2018-11-27,693800.0
2018-10-26,894500.0
2019-07-09,967000.0
2019-06-07,967100.0
2019-05-06,830200.0
2019-04-04,1023200.0
2019-09-11,1163000.0
2019-11-29,2349500.0
2020-05-05,1877500.0
2019-12-02,1146700.0
2020-02-19,1106300.0
2020-05-08,1204600.0
2019-05-21,1557800.0
2019-03-18,1519800.0
2018-09-07,1418500.0
2018-08-06,1295900.0
2018-10-09,1667100.0
2019-02-14,1463000.0
2018-12-12,1546200.0
2019-07-24,1887700.0
2019-09-26,1574400.0
2019-10-28,1472900.0
2019-12-05,1884000.0
2020-05-11,1491700.0
2019-07-03,1351700.0
2020-02-25,1183500.0
2020-05-14,810100.0
2020-02-28,879600.0
2019-08-08,1058000.0
2019-06-05,944000.0
2018-07-20,999500.0
2018-08-21,565400.0
2018-10-24,684200.0
2019-04-02,794900.0
2019-03-01,1085000.0
2019-01-28,822000.0
2018-12-27,1263800.0
2019-09-09,639700.0
2020-03-02,791100.0
2020-05-20,819500.0
2019-12-17,622000.0
2020-03-05,1061100.0
2019-02-12,764800.0
2019-01-11,575000.0
2018-12-10,514300.0
2019-08-23,875200.0
2018-11-08,881800.0
2019-07-22,730500.0
2019-06-20,917400.0
2018-09-05,735300.0
2019-04-17,1322200.0
2019-09-24,626700.0
2019-12-20,885300.0
2020-05-26,952800.0
2019-04-30,1122300.0
2019-12-23,1119000.0
2020-03-11,868200.0
2020-05-29,1321700.0
2019-12-26,951100.0
2020-06-01,865100.0
2019-05-02,991400.0
2019-02-27,3166400.0
2018-11-23,793200.0
2019-08-06,805900.0
2018-07-18,1128600.0
2018-09-20,642300.0
2018-10-22,602600.0
2019-07-05,611800.0
2019-06-03,772000.0
2019-10-09,810600.0
2019-10-11,3602100.0
2020-03-17,861300.0
2020-06-04,718900.0
2019-10-14,785500.0
2020-03-20,1876500.0
2018-11-06,1391600.0
2019-06-18,838200.0
2019-05-17,628700.0
2019-04-15,570100.0
2019-03-14,1073500.0
2019-01-09,946200.0
2018-08-02,1540100.0
2018-10-05,1206700.0
2019-08-21,569900.0
2019-10-17,564400.0
2020-03-23,2081700.0
2020-06-10,670400.0
2019-02-25,1040100.0
2020-01-07,1549000.0
2020-03-26,1119900.0
2019-10-23,2046600.0
