Dates,BAC
2020-01-02,35.349998474121094
2020-01-03,34.97999954223633
2020-01-08,34.40999984741211
2020-01-06,34.70000076293945
2020-01-07,34.56999969482422
2020-01-09,35.29999923706055
2020-01-10,35.0
2020-01-13,34.84000015258789
2020-01-14,35.29999923706055
2020-01-15,34.77000045776367
2020-01-16,34.900001525878906
2020-01-27,34.91999816894531
2020-02-20,34.41999816894531
2020-02-12,34.369998931884766
2020-04-16,34.09000015258789
2020-02-04,34.119998931884766
2020-05-28,32.56999969482422
2020-07-08,33.02000045776367
2020-06-19,33.33000183105469
2020-05-12,32.70000076293945
2020-06-22,33.06999969482422
2020-06-03,33.0
2020-05-15,33.560001373291016
2020-03-06,34.099998474121094
2020-02-27,34.939998626708984
2020-04-15,34.31999969482422
2020-02-03,34.439998626708984
2020-02-11,34.849998474121094
2020-02-19,35.08000183105469
2020-04-07,34.7599983215332
2020-03-30,34.880001068115234
2020-04-23,34.77000045776367
2020-05-01,34.45000076293945
2020-07-14,34.459999084472656
2020-06-25,34.529998779296875
2020-06-16,33.18000030517578
2020-05-18,32.689998626708984
2020-06-09,31.389999389648438
2020-05-21,29.549999237060547
2020-01-17,28.0
2020-03-13,28.350000381469727
2020-03-05,29.3700008392334
2020-02-26,28.25
2020-02-18,27.239999771118164
2020-04-22,25.469999313354492
2020-02-10,22.229999542236328
2020-04-14,23.25
2020-04-06,22.84000015258789
2020-04-30,20.59000015258789
2020-06-12,22.190000534057617
2020-06-15,19.850000381469727
2020-05-27,21.059999465942383
2020-05-08,20.270000457763672
2020-07-07,20.260000228881836
2020-03-31,21.760000228881836
2020-06-18,19.260000228881836
2020-04-13,19.420000076293945
2020-03-20,21.709999084472656
2020-03-12,21.309999465942383
2020-01-24,21.68000030517578
2020-03-04,21.649999618530273
2020-02-25,21.81999969482422
2020-04-21,19.93000030517578
2020-04-29,19.649999618530273
2020-05-07,20.399999618530273
2020-05-11,21.030000686645508
2020-07-10,22.799999237060547
2020-06-02,22.40999984741211
2020-05-14,24.06999969482422
2020-07-13,24.780000686645508
2020-06-24,24.5
2020-06-05,22.15999984741211
2020-02-28,22.149999618530273
2020-01-23,22.34000015258789
2020-04-20,22.56999969482422
2020-02-24,21.899999618530273
2020-01-31,22.15999984741211
2020-03-19,21.959999084472656
2020-03-27,22.110000610351562
2020-03-11,22.520000457763672
2020-03-03,24.450000762939453
2020-04-28,24.90999984741211
2020-05-06,24.209999084472656
2020-06-08,23.3799991607666
2020-05-20,22.700000762939453
2020-07-01,23.479999542236328
2020-06-30,23.0
2020-06-11,22.65999984741211
2020-03-10,23.469999313354492
2020-03-02,23.110000610351562
2020-01-22,22.709999084472656
2020-01-30,21.65999984741211
2020-02-07,20.290000915527344
2020-04-03,21.399999618530273
2020-03-26,22.420000076293945
2020-03-18,22.65999984741211
2020-04-27,22.68000030517578
2020-05-05,22.809999465942383
2020-05-26,22.93000030517578
2020-07-06,23.75
2020-06-17,26.06999969482422
2020-05-29,26.079999923706055
2020-07-09,24.420000076293945
2020-06-01,24.280000686645508
2020-01-21,24.959999084472656
2020-01-29,25.5
2020-03-25,25.709999084472656
2020-03-17,28.950000762939453
2020-03-09,28.59000015258789
2020-02-14,27.719999313354492
2020-02-06,27.969999313354492
2020-04-02,24.979999542236328
2020-05-04,25.030000686645508
2020-04-24,23.760000228881836
2020-05-13,26.18000030517578
2020-06-23,25.899999618530273
2020-06-04,24.700000762939453
2020-07-15,25.440000534057617
2020-04-08,24.889999389648438
2020-06-26,25.010000228881836
2020-05-19,24.540000915527344
2020-04-09,23.700000762939453
2020-04-01,24.09000015258789
2020-03-24,23.40999984741211
2020-03-16,23.200000762939453
2020-01-28,24.030000686645508
2020-02-05,23.84000015258789
2020-02-13,23.81999969482422
2020-02-21,23.3799991607666
2020-04-17,23.030000686645508
2020-03-23,22.940000534057617
2020-06-29,22.709999084472656
2020-06-10,24.3700008392334
2020-05-22,23.889999389648438
2020-07-02,24.760000228881836
