Dates,HST
2018-06-20,21.489999771118164
2018-06-21,21.6299991607666
2018-06-25,21.420000076293945
2018-06-22,21.040000915527344
2018-06-26,20.950000762939453
2018-06-27,21.049999237060547
2018-06-28,20.860000610351562
2018-06-29,21.06999969482422
2018-07-02,20.84000015258789
2018-07-03,21.020000457763672
2018-07-05,21.110000610351562
2018-07-16,21.31999969482422
2018-09-18,21.34000015258789
2019-01-24,21.3700008392334
2019-09-05,21.1299991607666
2018-11-21,21.170000076293945
2020-01-13,21.18000030517578
2020-04-01,21.020000457763672
2020-06-19,21.030000686645508
2019-10-29,21.110000610351562
2020-01-16,21.469999313354492
2020-06-22,21.280000686645508
2018-10-03,21.579999923706055
2018-07-31,21.1299991607666
2019-03-12,21.049999237060547
2019-02-08,21.06999969482422
2019-01-07,20.809999465942383
2018-12-06,20.690000534057617
2019-08-19,20.940000534057617
2019-07-18,21.510000228881836
2019-05-15,21.940000534057617
2019-09-20,21.6299991607666
2019-11-01,21.639999389648438
2020-04-07,21.3799991607666
2020-06-25,20.549999237060547
2020-06-16,20.489999771118164
2019-11-04,20.270000457763672
2020-01-22,20.100000381469727
2019-11-07,20.290000915527344
2020-04-13,20.790000915527344
2019-07-01,20.899999618530273
2019-05-30,20.93000030517578
2018-08-15,20.899999618530273
2018-10-18,21.059999465942383
2019-03-27,21.299999237060547
2019-01-22,20.8799991607666
2018-12-21,20.959999084472656
2019-09-03,20.93000030517578
2018-11-19,21.399999618530273
2019-08-02,21.649999618530273
2020-01-28,21.75
2020-04-16,21.530000686645508
2019-11-13,21.219999313354492
2020-01-31,21.239999771118164
2018-12-04,21.270000457763672
2018-11-02,21.40999984741211
2019-07-16,21.280000686645508
2018-08-30,21.290000915527344
2018-10-01,21.34000015258789
2019-06-14,21.469999313354492
2019-05-13,21.56999969482422
2019-04-11,21.399999618530273
2019-02-06,21.489999771118164
2019-09-18,21.139999389648438
2020-02-03,21.219999313354492
2020-04-22,21.1200008392334
2019-11-19,20.889999389648438
2020-02-06,21.170000076293945
2019-11-22,21.020000457763672
2019-03-25,21.18000030517578
2019-02-21,21.100000381469727
2018-12-19,20.969999313354492
2018-07-12,20.709999084472656
2018-09-14,20.790000915527344
2018-08-13,20.260000228881836
2018-10-16,20.100000381469727
2019-07-31,20.450000762939453
2019-05-28,20.149999618530273
2019-04-26,19.790000915527344
2020-04-28,19.239999771118164
2019-11-25,19.18000030517578
2020-02-12,19.18000030517578
2020-05-01,19.43000030517578
2020-05-04,19.329999923706055
2019-06-12,19.06999969482422
2019-04-09,19.100000381469727
2019-03-08,18.8700008392334
2019-02-04,18.709999084472656
2018-07-27,18.350000381469727
2018-08-28,18.709999084472656
2019-01-03,18.43000030517578
2019-08-15,18.68000030517578
2018-10-31,18.969999313354492
2019-09-16,19.110000610351562
2020-02-18,19.329999923706055
2020-05-07,18.68000030517578
2018-08-17,19.25
2019-12-04,18.5
2020-02-21,18.989999771118164
2018-12-17,19.020000457763672
2019-08-30,18.899999618530273
2018-11-15,18.799999237060547
2019-07-29,18.84000015258789
2019-06-27,18.829999923706055
2019-04-24,19.049999237060547
2018-07-10,19.260000228881836
2018-09-12,19.149999618530273
2019-02-19,19.18000030517578
2019-01-18,19.040000915527344
2020-02-24,18.93000030517578
2020-05-13,19.170000076293945
2019-12-10,19.149999618530273
2020-02-27,19.209999084472656
2019-12-13,19.299999237060547
2020-05-19,19.0
2019-03-06,19.350000381469727
2018-11-30,18.719999313354492
2019-08-13,18.850000381469727
2019-07-12,18.389999389648438
2019-06-10,18.110000610351562
2019-05-09,17.969999313354492
2018-07-25,17.850000381469727
2018-09-27,17.780000686645508
2018-10-29,17.780000686645508
2019-10-16,17.31999969482422
2019-12-16,17.59000015258789
2020-03-04,17.219999313354492
2020-05-22,16.520000457763672
2019-10-01,16.540000915527344
2019-12-19,15.9399995803833
2018-09-10,16.84000015258789
2019-05-24,16.84000015258789
