Dates,HST
2018-06-20,5040300.0
2018-06-21,7482500.0
2018-06-25,6821700.0
2018-06-22,7731800.0
2018-06-26,6870900.0
2018-06-27,14637800.0
2018-06-28,7205000.0
2018-06-29,8286700.0
2018-07-02,5866400.0
2018-07-03,4516300.0
2018-07-05,4479500.0
2018-07-16,4152900.0
2018-09-18,5938700.0
2019-01-24,5526600.0
2019-09-05,4213900.0
2018-11-21,3641600.0
2020-01-13,3562400.0
2020-04-01,3147500.0
2020-06-19,4855600.0
2019-10-29,5058200.0
2020-01-16,5720100.0
2020-06-22,4920000.0
2018-10-03,6358800.0
2018-07-31,7770700.0
2019-03-12,8809300.0
2019-02-08,3857300.0
2019-01-07,3194800.0
2018-12-06,4625000.0
2019-08-19,12229000.0
2019-07-18,8129900.0
2019-05-15,10960300.0
2019-09-20,12982200.0
2019-11-01,6384600.0
2020-04-07,7584900.0
2020-06-25,12959400.0
2020-06-16,11420100.0
2019-11-04,8288300.0
2020-01-22,6328700.0
2019-11-07,5368700.0
2020-04-13,9146000.0
2019-07-01,5444200.0
2019-05-30,6437300.0
2018-08-15,8965500.0
2018-10-18,8210800.0
2019-03-27,7930200.0
2019-01-22,7416100.0
2018-12-21,4569500.0
2019-09-03,5702900.0
2018-11-19,8275900.0
2019-08-02,7685500.0
2020-01-28,5254100.0
2020-04-16,10145600.0
2019-11-13,6237400.0
2020-01-31,6992300.0
2018-12-04,5424300.0
2018-11-02,7920100.0
2019-07-16,5367800.0
2018-08-30,6628300.0
2018-10-01,4802200.0
2019-06-14,5840700.0
2019-05-13,6092300.0
2019-04-11,5923300.0
2019-02-06,7508100.0
2019-09-18,9164800.0
2020-02-03,11704800.0
2020-04-22,10060400.0
2019-11-19,6722500.0
2020-02-06,8583600.0
2019-11-22,6855000.0
2019-03-25,5602200.0
2019-02-21,7220300.0
2018-12-19,5389900.0
2018-07-12,4876400.0
2018-09-14,5471400.0
2018-08-13,6433100.0
2018-10-16,5707400.0
2019-07-31,4698600.0
2019-05-28,4324000.0
2019-04-26,7993700.0
2020-04-28,8607600.0
2019-11-25,6142900.0
2020-02-12,6661000.0
2020-05-01,4960300.0
2020-05-04,3645700.0
2019-06-12,3727700.0
2019-04-09,8657000.0
