Dates,PSX
2018-06-20,113.27999877929688
2018-06-21,110.97000122070312
2018-06-25,111.81999969482422
2018-06-22,109.72000122070312
2018-06-26,110.6500015258789
2018-06-27,110.45999908447266
2018-06-28,109.91000366210938
2018-06-29,112.08000183105469
2018-07-02,110.13999938964844
2018-07-03,110.08000183105469
2018-07-05,109.61000061035156
2018-07-16,109.06999969482422
2018-09-18,111.37000274658203
2019-01-24,112.81999969482422
2019-09-05,110.16000366210938
2018-11-21,109.73999786376953
2020-01-13,110.8499984741211
2020-04-01,111.19999694824219
2020-06-19,110.19000244140625
2019-10-29,109.68000030517578
2020-01-16,110.44999694824219
2020-06-22,110.30999755859375
2018-10-03,110.0999984741211
2018-07-31,110.45999908447266
2019-03-12,111.12999725341797
2019-02-08,112.4800033569336
2019-01-07,116.7699966430664
2018-12-06,119.56999969482422
2019-08-19,122.41000366210938
2019-07-18,121.8499984741211
2019-05-15,120.80000305175781
2019-09-20,120.41000366210938
2019-11-01,121.02999877929688
2020-04-07,122.4000015258789
2020-06-25,121.91000366210938
2020-06-16,121.88999938964844
2019-11-04,121.70999908447266
2020-01-22,121.5
2019-11-07,120.12999725341797
2020-04-13,115.2699966430664
2019-07-01,114.83999633789062
2019-05-30,114.58999633789062
2018-08-15,114.4000015258789
2018-10-18,115.77999877929688
2019-03-27,116.6500015258789
2019-01-22,116.29000091552734
2018-12-21,118.3499984741211
2019-09-03,119.41999816894531
2018-11-19,119.62999725341797
2019-08-02,119.23999786376953
2020-01-28,118.54000091552734
2020-04-16,117.11000061035156
2019-11-13,118.2699966430664
2020-01-31,117.01000213623047
2018-12-04,116.58000183105469
2018-11-02,113.41999816894531
2019-07-16,113.88999938964844
2018-08-30,111.58000183105469
2018-10-01,111.66000366210938
2019-06-14,111.52999877929688
2019-05-13,112.97000122070312
2019-04-11,112.73999786376953
2019-02-06,113.02999877929688
2019-09-18,109.20999908447266
2020-02-03,108.8499984741211
2020-04-22,109.70999908447266
2019-11-19,111.69000244140625
2020-02-06,113.80999755859375
2019-11-22,113.16999816894531
2019-03-25,112.83999633789062
2019-02-21,111.58000183105469
2018-12-19,113.25
2018-07-12,112.73999786376953
2018-09-14,114.58000183105469
2018-08-13,116.70999908447266
2018-10-16,117.13999938964844
2019-07-31,117.06999969482422
2019-05-28,117.11000061035156
2019-04-26,112.94000244140625
2020-04-28,109.16000366210938
2019-11-25,107.9000015258789
2020-02-12,107.19999694824219
2020-05-01,107.94999694824219
2020-05-04,108.41999816894531
2019-06-12,107.70999908447266
2019-04-09,102.08000183105469
2019-03-08,101.0999984741211
2019-02-04,97.93000030517578
2018-07-27,95.05000305175781
2018-08-28,96.55999755859375
2019-01-03,95.30000305175781
2019-08-15,97.29000091552734
2018-10-31,99.37000274658203
2019-09-16,102.41000366210938
2020-02-18,101.19999694824219
2020-05-07,98.52999877929688
2018-08-17,99.63999938964844
2019-12-04,99.5999984741211
2020-02-21,101.37999725341797
2018-12-17,97.88999938964844
2019-08-30,97.29000091552734
2018-11-15,97.5199966430664
2019-07-29,94.66999816894531
2019-06-27,94.3499984741211
2019-04-24,94.56999969482422
2018-07-10,95.83999633789062
2018-09-12,93.72000122070312
2019-02-19,92.08000183105469
2019-01-18,92.0199966430664
2020-02-24,88.98999786376953
2020-05-13,90.2300033569336
2019-12-10,90.70999908447266
2020-02-27,90.0
2019-12-13,92.36000061035156
2020-05-19,91.58000183105469
2019-03-06,90.51000213623047
2018-11-30,91.2300033569336
2019-08-13,89.06999969482422
2019-07-12,89.87999725341797
2019-06-10,86.62000274658203
2019-05-09,87.41999816894531
2018-07-25,88.97000122070312
2018-09-27,87.62000274658203
2018-10-29,86.47000122070312
2019-10-16,84.87000274658203
2019-12-16,84.29000091552734
2020-03-04,84.16000366210938
2020-05-22,82.33999633789062
2019-10-01,81.63999938964844
2019-12-19,78.44000244140625
2018-09-10,78.93000030517578
2019-05-24,82.69999694824219
2018-08-09,84.47000122070312
2019-04-22,84.61000061035156
2019-03-21,85.0
2019-01-16,85.0999984741211
2019-08-28,87.94999694824219
2018-11-13,89.55999755859375
2018-10-12,90.16999816894531
2019-06-25,90.31999969482422
2020-03-10,90.37000274658203
2020-05-28,91.87000274658203
2019-10-07,91.31999969482422
2020-03-13,91.94000244140625
2019-10-10,91.86000061035156
2020-03-16,92.30999755859375
2020-06-03,92.9000015258789
2018-11-28,92.81999969482422
2018-09-25,92.20999908447266
2018-07-23,91.33000183105469
2018-08-24,91.61000061035156
2019-07-10,91.91000366210938
2019-05-07,91.88999938964844
2019-04-05,93.6500015258789
2019-03-04,95.06999969482422
2019-01-31,93.41000366210938
2019-09-12,93.20999908447266
2019-12-31,94.4000015258789
2020-03-19,94.33999633789062
2020-01-03,91.36000061035156
2020-06-09,91.72000122070312
2019-02-15,92.87000274658203
2019-01-14,93.91000366210938
2018-07-06,94.08999633789062
2018-08-07,95.08999633789062
2018-10-10,95.20999908447266
2018-12-13,95.38999938964844
2019-08-26,96.06999969482422
2019-07-25,96.4000015258789
2019-05-22,97.0
2019-03-19,97.01000213623047
