Dates,PSX
2018-06-20,115.2300033569336
2018-06-21,114.5
2018-06-25,114.48999786376953
2018-06-22,112.0
2018-06-26,111.98999786376953
2018-06-27,112.47000122070312
2018-06-28,112.19999694824219
2018-06-29,113.48999786376953
2018-07-02,112.22000122070312
2018-07-03,112.19000244140625
2018-07-05,111.72000122070312
2018-07-16,111.80999755859375
2018-09-18,112.9800033569336
2019-01-24,114.61000061035156
2019-09-05,112.68000030517578
2018-11-21,111.55000305175781
2020-01-13,112.33999633789062
2020-04-01,112.25
2020-06-19,111.58000183105469
2019-10-29,111.48999786376953
2020-01-16,111.48999786376953
2020-06-22,111.22000122070312
2018-10-03,111.37000274658203
2018-07-31,111.98999786376953
2019-03-12,112.58999633789062
2019-02-08,116.1500015258789
2019-01-07,120.36000061035156
2018-12-06,122.70999908447266
2019-08-19,123.87999725341797
2019-07-18,123.91999816894531
2019-05-15,122.69000244140625
2019-09-20,122.41999816894531
2019-11-01,123.02999877929688
2020-04-07,123.97000122070312
2020-06-25,123.08999633789062
2020-06-16,123.4800033569336
2019-11-04,122.75
2020-01-22,123.44999694824219
2019-11-07,122.0
2020-04-13,120.08999633789062
2019-07-01,115.9800033569336
2019-05-30,115.72000122070312
2018-08-15,116.81999969482422
2018-10-18,117.80000305175781
2019-03-27,117.97000122070312
2019-01-22,118.41000366210938
2018-12-21,120.01000213623047
2019-09-03,120.37000274658203
2018-11-19,121.55000305175781
2019-08-02,121.01000213623047
2020-01-28,120.88999938964844
2020-04-16,119.41999816894531
2019-11-13,120.23999786376953
2020-01-31,118.66000366210938
2018-12-04,118.9000015258789
2018-11-02,116.20999908447266
2019-07-16,115.0
2018-08-30,113.19999694824219
2018-10-01,114.44999694824219
2019-06-14,113.38999938964844
2019-05-13,114.0999984741211
2019-04-11,114.0199966430664
2019-02-06,114.05999755859375
2019-09-18,113.12000274658203
2020-02-03,110.8499984741211
2020-04-22,111.94999694824219
2019-11-19,113.88999938964844
2020-02-06,115.9000015258789
2019-11-22,115.04000091552734
2019-03-25,114.8499984741211
2019-02-21,113.62999725341797
