Dates,KSS
2018-06-20,2488600.0
2018-06-21,2594500.0
2018-06-25,3754500.0
2018-06-22,3147500.0
2018-06-26,2596000.0
2018-06-27,2392200.0
2018-06-28,2549800.0
2018-06-29,2712700.0
2018-07-02,3350800.0
2018-07-03,1279900.0
2018-07-05,2009500.0
2018-07-16,1813000.0
2018-09-18,2612700.0
2019-01-24,1704600.0
2019-09-05,2053200.0
2018-11-21,3692100.0
2020-01-13,2707800.0
2020-04-01,3471100.0
2020-06-19,2692800.0
2019-10-29,2440100.0
2020-01-16,4989800.0
2020-06-22,2500400.0
2018-10-03,1878400.0
2018-07-31,1700900.0
2019-03-12,1394800.0
2019-02-08,1632300.0
2019-01-07,1756200.0
2018-12-06,1537500.0
2019-08-19,1760000.0
2019-07-18,2788400.0
2019-05-15,2985500.0
2019-09-20,1842300.0
2019-11-01,2556100.0
2020-04-07,1711500.0
2020-06-25,2238300.0
2020-06-16,1836400.0
2019-11-04,2767200.0
2020-01-22,3455900.0
2019-11-07,4377800.0
2020-04-13,5502100.0
2019-07-01,3436100.0
2019-05-30,3281800.0
2018-08-15,5616100.0
2018-10-18,12010000.0
2019-03-27,4922400.0
2019-01-22,3140500.0
2018-12-21,3068700.0
2019-09-03,2816600.0
2018-11-19,2212700.0
2019-08-02,2684000.0
2020-01-28,2603000.0
2020-04-16,1897400.0
2019-11-13,3573100.0
2020-01-31,4162400.0
2018-12-04,2971500.0
2018-11-02,2635200.0
2019-07-16,1976500.0
2018-08-30,2013700.0
2018-10-01,2672100.0
2019-06-14,2509100.0
2019-05-13,2194400.0
2019-04-11,2061400.0
2019-02-06,2325900.0
2019-09-18,2005600.0
2020-02-03,3891900.0
2020-04-22,3799200.0
2019-11-19,2783900.0
2020-02-06,3409300.0
2019-11-22,3077200.0
2019-03-25,2142700.0
2019-02-21,2071100.0
2018-12-19,2826300.0
2018-07-12,3373000.0
2018-09-14,3423200.0
2018-08-13,3703200.0
2018-10-16,2591600.0
2019-07-31,2012200.0
2019-05-28,2217400.0
2019-04-26,4842700.0
2020-04-28,3779200.0
2019-11-25,3612200.0
2020-02-12,1985700.0
2020-05-01,2156300.0
2020-05-04,2900300.0
2019-06-12,2567600.0
2019-04-09,3323400.0
2019-03-08,3011800.0
2019-02-04,3071100.0
2018-07-27,3491800.0
2018-08-28,2940300.0
2019-01-03,2624800.0
2019-08-15,4030400.0
2018-10-31,4321200.0
2019-09-16,6367200.0
2020-02-18,3742900.0
2020-05-07,4765000.0
2018-08-17,2848500.0
2019-12-04,2937200.0
2020-02-21,3557100.0
2018-12-17,2980200.0
2019-08-30,2273900.0
2018-11-15,3308700.0
2019-07-29,3962200.0
2019-06-27,5841200.0
2019-04-24,4982100.0
2018-07-10,6852500.0
2018-09-12,5245500.0
2019-02-19,10477900.0
2019-01-18,4942100.0
2020-02-24,3920800.0
2020-05-13,5359200.0
2019-12-10,4557000.0
2020-02-27,4280000.0
2019-12-13,6740500.0
2020-05-19,3813000.0
2019-03-06,3926400.0
2018-11-30,3820400.0
2019-08-13,3094600.0
2019-07-12,3346700.0
2019-06-10,3574900.0
2019-05-09,2197200.0
2018-07-25,2622300.0
2018-09-27,3471400.0
2018-10-29,3500900.0
2019-10-16,4115800.0
2019-12-16,3775300.0
2020-03-04,4797600.0
2020-05-22,3197100.0
2019-10-01,7087600.0
2019-12-19,1560400.0
2018-09-10,5484700.0
2019-05-24,4470600.0
2018-08-09,2694300.0
2019-04-22,2760400.0
2019-03-21,6323900.0
2019-01-16,3885900.0
2019-08-28,3749600.0
2018-11-13,3578100.0
2018-10-12,3278500.0
2019-06-25,4238300.0
2020-03-10,11174000.0
2020-05-28,3425000.0
2019-10-07,2796500.0
2020-03-13,2086000.0
2019-10-10,2604900.0
2020-03-16,2263000.0
2020-06-03,2596000.0
2018-11-28,5502200.0
2018-09-25,2385700.0
2018-07-23,2544200.0
2018-08-24,2277900.0
2019-07-10,2304300.0
2019-05-07,2251700.0
2019-04-05,2349300.0
2019-03-04,3370300.0
2019-01-31,3854500.0
2019-09-12,3352700.0
2019-12-31,2832100.0
2020-03-19,2082800.0
2020-01-03,2973600.0
2020-06-09,3825600.0
2019-02-15,4050200.0
2019-01-14,3319500.0
2018-07-06,2586300.0
2018-08-07,2886100.0
2018-10-10,2543600.0
2018-12-13,3090900.0
2019-08-26,1994800.0
2019-07-25,1846400.0
2019-05-22,2986700.0
2019-03-19,5303400.0
2020-01-06,3223800.0
2020-03-25,4112700.0
2020-06-12,5088600.0
2019-10-22,3591600.0
2020-01-09,5463600.0
2020-06-15,11084800.0
2019-10-25,4163800.0
2020-03-31,3318600.0
2020-06-18,3421200.0
2019-04-03,2611000.0
2018-08-22,2657100.0
2018-10-25,3542300.0
2019-01-29,2499100.0
2018-12-28,4676300.0
2018-11-26,2263200.0
2019-08-09,2603600.0
2019-07-08,1771600.0
2019-06-06,2846900.0
2019-09-10,2522000.0
2020-01-15,2770200.0
2020-04-03,2432200.0
2019-10-31,2912000.0
2020-04-06,3128200.0
2020-06-24,2669100.0
2018-11-09,2503500.0
2019-07-23,2217000.0
2019-06-21,2035400.0
2019-05-20,2497100.0
2019-04-18,2858400.0
2018-09-06,2541800.0
2018-10-08,1908000.0
2019-02-13,3236200.0
2018-12-11,2411400.0
2019-09-25,2242800.0
2020-01-21,2208900.0
2020-04-09,2419000.0
2019-11-06,2669500.0
2020-01-24,2044400.0
2020-01-27,5098200.0
2020-04-15,16102800.0
2018-12-26,5368400.0
2019-08-07,4316100.0
2019-06-04,3367500.0
2018-09-21,2593300.0
2018-07-19,3875100.0
2018-08-20,2794100.0
2018-10-23,3280800.0
2019-05-03,2625700.0
2019-04-01,2120300.0
2019-02-28,3617100.0
2019-11-12,2772000.0
2020-01-30,3509900.0
2019-11-15,2241300.0
2020-04-21,5033000.0
2019-04-16,4798300.0
2019-03-15,5818400.0
2019-02-11,4011700.0
2019-01-10,2947100.0
2019-08-22,5055200.0
2018-11-07,25969600.0
2018-08-03,11349500.0
2018-09-04,10659700.0
2019-06-19,5670600.0
2019-09-23,6581600.0
2019-11-18,5557500.0
2020-02-05,4818900.0
2020-04-24,4497800.0
2019-03-29,4821200.0
2019-11-21,5946400.0
2020-04-27,7250900.0
2020-02-11,6105900.0
2020-04-30,4027900.0
2019-05-01,5959400.0
2019-02-26,3241600.0
2019-01-25,3734200.0
2018-12-24,3636100.0
2019-09-06,3982600.0
2018-07-17,3206400.0
2018-09-19,3907500.0
2019-08-05,5083000.0
2019-10-08,4022600.0
2019-12-11,5949600.0
2019-11-27,5295900.0
2020-02-14,5352100.0
2020-05-06,5166000.0
2019-01-08,4289400.0
2018-12-07,5832600.0
2019-08-20,5616600.0
2018-11-05,3435100.0
2019-07-19,2159600.0
2018-10-04,2852900.0
2019-06-17,3656200.0
2019-05-16,3375000.0
2018-08-01,3214600.0
2019-03-13,3180500.0
2019-12-03,2858800.0
2020-02-20,2839800.0
2019-12-06,2390100.0
2020-05-12,2722200.0
2019-12-09,2593100.0
2020-02-26,2657200.0
2020-05-15,3525500.0
2019-03-28,4610000.0
2018-09-17,3117100.0
2018-08-16,2985100.0
2018-10-19,2988500.0
2019-04-29,4759300.0
2019-01-23,3414400.0
2019-09-04,5720300.0
2018-11-20,5908900.0
2019-07-02,4163500.0
2019-05-31,3679400.0
2019-12-12,2835700.0
2020-05-18,3557100.0
2019-09-27,4356700.0
2020-03-03,3303200.0
2020-05-21,3739800.0
2019-05-14,5691700.0
2018-08-31,10258100.0
2018-07-30,6601400.0
2018-10-02,3864600.0
2019-04-12,6038700.0
2019-03-11,14901400.0
2019-02-07,7286900.0
2019-07-17,4251300.0
2019-09-19,5544400.0
2019-10-21,3684700.0
2019-12-18,2883900.0
2020-03-06,3080600.0
2019-10-03,3417900.0
2020-03-09,2506100.0
2020-05-27,3191900.0
2019-12-24,3273800.0
2020-03-12,4823900.0
2018-12-20,3235400.0
2019-08-01,6975600.0
2018-08-14,4713200.0
2018-07-13,3932600.0
2018-10-17,4118700.0
