Dates,TIF
2018-06-20,129.55615234375
2018-06-21,129.20205688476562
2018-06-25,127.9291763305664
2018-06-22,127.35494995117188
2018-06-26,127.87173461914062
2018-06-27,126.6275863647461
2018-06-28,125.74708557128906
2018-06-29,125.94808197021484
2018-07-02,125.43125915527344
2018-07-03,126.37874603271484
2018-07-05,127.2879638671875
2018-07-16,127.9291763305664
2018-09-18,126.48402404785156
2019-01-24,127.39319610595703
2019-09-05,125.68010711669922
2018-11-21,126.10118865966797
2020-01-13,126.57017517089844
2020-04-01,127.01042175292969
2020-06-19,128.5417022705078
2019-10-29,128.81924438476562
2020-01-16,130.26437377929688
2020-06-22,130.5132293701172
2018-10-03,132.19761657714844
2018-07-31,132.00621032714844
2019-03-12,133.50880432128906
2019-02-08,133.09725952148438
2019-01-07,130.80990600585938
2018-12-06,130.40792846679688
2019-08-19,131.652099609375
2019-07-18,130.1782684326172
2019-05-15,131.01087951660156
2019-09-20,129.9676971435547
2019-11-01,129.93899536132812
2020-04-07,131.15444946289062
2020-06-25,131.01087951660156
2020-06-16,131.21188354492188
2019-11-04,128.5703887939453
2020-01-22,125.2685775756836
2019-11-07,126.17774200439453
2020-04-13,120.26318359375
2019-07-01,121.928466796875
2019-05-30,123.03864288330078
2018-08-15,126.04378509521484
2018-10-18,126.23519897460938
2019-03-27,124.19668579101562
2019-01-22,124.25409698486328
2018-12-21,125.80453491210938
2019-09-03,124.20623779296875
2018-11-19,125.44084167480469
2019-08-02,120.09092712402344
2020-01-28,117.82269287109375
2020-04-16,117.38246154785156
2019-11-13,117.4781723022461
2020-01-31,115.53534698486328
2018-12-04,118.07154083251953
2018-11-02,117.593017578125
2019-07-16,118.98074340820312
2018-08-30,118.07154083251953
2018-10-01,119.38269805908203
2019-06-14,120.61730194091797
2019-05-13,123.16305541992188
2019-04-11,120.4737319946289
2019-02-06,119.74638366699219
2019-09-18,119.90019226074219
2020-02-03,122.1303482055664
2020-04-22,121.71699523925781
2019-11-19,120.72689056396484
2020-02-06,121.3517074584961
2019-11-22,124.20671844482422
2019-03-25,123.57227325439453
2019-02-21,123.97599792480469
2018-12-19,123.38002014160156
2018-07-12,120.42888641357422
2018-09-14,119.63103485107422
2018-08-13,116.07430267333984
2018-10-16,117.2759017944336
2019-07-31,117.16053771972656
2019-05-28,118.1891098022461
2019-04-26,106.10585021972656
2020-04-28,107.13441467285156
2019-11-25,108.47059631347656
2020-02-12,107.9707260131836
2020-05-01,110.22012329101562
2020-05-04,107.66311645507812
2019-06-12,105.37528228759766
2019-04-09,102.86634063720703
2019-03-08,103.82762145996094
2019-02-04,103.69303894042969
2018-07-27,102.58757781982422
2018-08-28,103.13550567626953
2019-01-03,102.78944396972656
2019-08-15,103.33736419677734
2018-10-31,105.35604858398438
2019-09-16,106.99022674560547
2020-02-18,110.86417388916016
2020-05-07,111.43132781982422
2018-08-17,111.92158508300781
2019-12-04,110.74882507324219
2020-02-21,112.49834442138672
2018-12-17,112.04654693603516
2019-08-30,106.08661651611328
2018-11-15,104.87541198730469
2019-07-29,104.0198745727539
2019-06-27,101.48210144042969
2019-04-24,101.85698699951172
2018-07-10,102.36647033691406
2018-09-12,98.51175689697266
2019-02-19,96.2623519897461
2019-01-18,98.38679504394531
2020-02-24,98.4444580078125
2020-05-13,102.25112915039062
2019-12-10,100.8861083984375
2020-02-27,88.95665740966797
2019-12-13,86.29390716552734
2020-05-19,87.47628784179688
