Dates,TIF
2018-06-20,1961500.0
2018-06-21,1460400.0
2018-06-25,2051700.0
2018-06-22,1829900.0
2018-06-26,928300.0
2018-06-27,1052400.0
2018-06-28,1671900.0
2018-06-29,1042100.0
2018-07-02,1812400.0
2018-07-03,939800.0
2018-07-05,981800.0
2018-07-16,909700.0
2018-09-18,1759400.0
2019-01-24,1010800.0
2019-09-05,909200.0
2018-11-21,739700.0
2020-01-13,818700.0
2020-04-01,1039600.0
2020-06-19,1785200.0
2019-10-29,947800.0
2020-01-16,1111000.0
2020-06-22,1284000.0
2018-10-03,1413400.0
2018-07-31,1382900.0
2019-03-12,1390000.0
2019-02-08,824100.0
2019-01-07,686900.0
2018-12-06,902300.0
2019-08-19,827900.0
2019-07-18,825000.0
2019-05-15,809000.0
2019-09-20,1155600.0
2019-11-01,1878700.0
2020-04-07,1122200.0
2020-06-25,390500.0
2020-06-16,836000.0
2019-11-04,1250300.0
2020-01-22,2266400.0
2019-11-07,1133100.0
2020-04-13,2587300.0
2019-07-01,1940800.0
2019-05-30,976900.0
2018-08-15,1182000.0
2018-10-18,2156000.0
2019-03-27,1548700.0
2019-01-22,1095500.0
2018-12-21,1920900.0
2019-09-03,3839400.0
2018-11-19,7363500.0
2019-08-02,5679700.0
2020-01-28,2042400.0
2020-04-16,2297700.0
2019-11-13,1733200.0
2020-01-31,1773100.0
2018-12-04,2523700.0
2018-11-02,1719800.0
2019-07-16,1498500.0
2018-08-30,1237000.0
2018-10-01,1536200.0
2019-06-14,2138300.0
2019-05-13,2088600.0
2019-04-11,1296900.0
2019-02-06,1123000.0
2019-09-18,1082400.0
2020-02-03,1379500.0
2020-04-22,2806900.0
2019-11-19,1128000.0
2020-02-06,1232900.0
2019-11-22,1793600.0
2019-03-25,1596300.0
2019-02-21,1371200.0
2018-12-19,1534800.0
2018-07-12,1495600.0
2018-09-14,1695700.0
2018-08-13,2058800.0
2018-10-16,3050000.0
2019-07-31,1882700.0
2019-05-28,1459600.0
2019-04-26,4337600.0
2020-04-28,3524700.0
2019-11-25,2307000.0
2020-02-12,1442500.0
2020-05-01,957100.0
2020-05-04,1236800.0
2019-06-12,1492200.0
2019-04-09,1337000.0
2019-03-08,1075200.0
2019-02-04,1541500.0
2018-07-27,1542400.0
2018-08-28,1355600.0
2019-01-03,1467000.0
2019-08-15,1690900.0
2018-10-31,1334100.0
2019-09-16,1821000.0
2020-02-18,1266000.0
2020-05-07,1315200.0
2018-08-17,1037700.0
2019-12-04,883800.0
2020-02-21,948100.0
2018-12-17,1083800.0
2019-08-30,2522600.0
2018-11-15,2127700.0
2019-07-29,994500.0
2019-06-27,1642100.0
2019-04-24,1479700.0
2018-07-10,1197300.0
2018-09-12,1278200.0
2019-02-19,2002000.0
2019-01-18,2669500.0
2020-02-24,576200.0
2020-05-13,2960700.0
2019-12-10,2185900.0
2020-02-27,10267400.0
2019-12-13,6712000.0
2020-05-19,4068200.0
2019-03-06,4376000.0
2018-11-30,3601500.0
2019-08-13,3270700.0
2019-07-12,2484600.0
