Dates,TIF
2018-06-20,137.0
2018-06-21,136.27999877929688
2018-06-25,135.8000030517578
2018-06-22,135.0
2018-06-26,133.97999572753906
2018-06-27,134.35000610351562
2018-06-28,132.8000030517578
2018-06-29,132.80999755859375
2018-07-02,131.33999633789062
2018-07-03,132.7100067138672
2018-07-05,133.11000061035156
2018-07-16,133.97999572753906
2018-09-18,133.7899932861328
2019-01-24,133.19000244140625
2019-09-05,132.77999877929688
2018-11-21,132.16000366210938
2020-01-13,133.02000427246094
2020-04-01,133.61000061035156
2020-06-19,134.36000061035156
2019-10-29,134.88999938964844
2020-01-16,136.5800018310547
2020-06-22,136.63999938964844
2018-10-03,138.99000549316406
2018-07-31,139.05999755859375
2019-03-12,139.69000244140625
2019-02-08,141.63999938964844
2019-01-07,139.7100067138672
2018-12-06,138.00999450683594
2019-08-19,138.4600067138672
2019-07-18,137.72000122070312
2019-05-15,137.0800018310547
2019-09-20,137.83999633789062
2019-11-01,136.3300018310547
2020-04-07,137.49000549316406
2020-06-25,137.8800048828125
2020-06-16,138.10000610351562
2019-11-04,135.39999389648438
2020-01-22,134.6300048828125
2019-11-07,132.72999572753906
2020-04-13,131.49000549316406
2019-07-01,128.9499969482422
2019-05-30,129.38999938964844
2018-08-15,131.9600067138672
2018-10-18,133.1199951171875
2019-03-27,132.0800018310547
2019-01-22,131.67999267578125
2018-12-21,132.0
2019-09-03,132.44000244140625
2018-11-19,138.41000366210938
2019-08-02,131.1999969482422
2020-01-28,126.58999633789062
2020-04-16,124.98999786376953
2019-11-13,124.30000305175781
2020-01-31,123.31999969482422
2018-12-04,125.22000122070312
2018-11-02,124.51000213623047
2019-07-16,124.80000305175781
2018-08-30,124.66999816894531
2018-10-01,126.9800033569336
2019-06-14,126.66000366210938
2019-05-13,129.1199951171875
2019-04-11,129.38999938964844
2019-02-06,126.27999877929688
2019-09-18,125.52999877929688
2020-02-03,127.41999816894531
2020-04-22,128.22000122070312
2019-11-19,127.56999969482422
2020-02-06,126.94999694824219
2019-11-22,130.55999755859375
2019-03-25,129.77999877929688
2019-02-21,130.6199951171875
2018-12-19,129.80999755859375
2018-07-12,128.61000061035156
2018-09-14,125.75
2018-08-13,122.83000183105469
2018-10-16,122.69000244140625
2019-07-31,123.30000305175781
2019-05-28,124.80999755859375
2019-04-26,120.56999969482422
2020-04-28,113.52999877929688
2019-11-25,114.13999938964844
2020-02-12,113.9000015258789
2020-05-01,114.91999816894531
2020-05-04,114.3499984741211
2019-06-12,112.0
2019-04-09,110.1500015258789
2019-03-08,108.70999908447266
2019-02-04,108.38999938964844
2018-07-27,111.0
2018-08-28,109.02999877929688
2019-01-03,107.87999725341797
2019-08-15,109.41000366210938
2018-10-31,109.69999694824219
2019-09-16,113.69000244140625
2020-02-18,115.58000183105469
2020-05-07,117.93000030517578
2018-08-17,116.88999938964844
2019-12-04,116.48999786376953
2020-02-21,117.0999984741211
2018-12-17,116.70999908447266
2019-08-30,113.87000274658203
2018-11-15,111.72000122070312
2019-07-29,110.61000061035156
2019-06-27,110.19000244140625
2019-04-24,106.79000091552734
2018-07-10,106.95999908447266
2018-09-12,107.1500015258789
2019-02-19,101.87000274658203
2019-01-18,104.19000244140625
2020-02-24,102.83000183105469
2020-05-13,107.25
2019-12-10,106.80999755859375
2020-02-27,96.73999786376953
2019-12-13,94.23999786376953
2020-05-19,91.88999938964844
2019-03-06,96.0
2018-11-30,94.70999908447266
2019-08-13,89.5999984741211
2019-07-12,89.33999633789062
2019-06-10,86.45999908447266
2019-05-09,87.08999633789062
2018-07-25,87.12000274658203
2018-09-27,86.58000183105469
