Dates,SNA
2018-06-20,152.28921508789062
2018-06-21,150.94851684570312
2018-06-25,151.8232879638672
2018-06-22,151.7757568359375
2018-06-26,152.42233276367188
2018-06-27,153.93421936035156
2018-06-28,154.038818359375
2018-06-29,152.8217010498047
2018-07-02,152.4698944091797
2018-07-03,152.21316528320312
2018-07-05,155.80738830566406
2018-07-16,155.3319549560547
2018-09-18,157.433349609375
2019-01-24,158.14649963378906
2019-09-05,155.29393005371094
2018-11-21,156.03558349609375
2020-01-13,157.1385955810547
2020-04-01,155.81689453125
2020-06-19,151.7281951904297
2019-10-29,150.4730682373047
2020-01-16,164.77395629882812
2020-06-22,165.20187377929688
2018-10-03,162.76763916015625
2018-07-31,157.5569610595703
2019-03-12,159.97215270996094
2019-02-08,160.51412963867188
2019-01-07,159.7534637451172
2018-12-06,159.10687255859375
2019-08-19,161.25579833984375
2019-07-18,158.96421813964844
2019-05-15,159.03079223632812
2019-09-20,160.15280151367188
2019-11-01,160.51412963867188
2020-04-07,161.750244140625
2020-06-25,162.03549194335938
2020-06-16,163.11947631835938
2019-11-04,161.81680297851562
2020-01-22,161.88336181640625
2019-11-07,163.39523315429688
2020-04-13,163.8135986328125
2019-07-01,166.211669921875
2019-05-30,167.5205841064453
2018-08-15,169.5937957763672
2018-10-18,172.03961181640625
2019-03-27,169.4886932373047
2019-01-22,168.73391723632812
2018-12-21,168.2371063232422
2019-09-03,168.95367431640625
2018-11-19,169.8899688720703
2019-08-02,171.03646850585938
2020-01-28,170.50143432617188
2020-04-16,168.89634704589844
2019-11-13,170.27212524414062
2020-01-31,172.93771362304688
2018-12-04,173.31031799316406
2018-11-02,172.54600524902344
2019-07-16,175.55551147460938
2018-08-30,176.53001403808594
2018-10-01,178.11599731445312
2019-06-14,177.896240234375
2019-05-13,178.10643005371094
2019-04-11,178.39308166503906
2019-02-06,178.89944458007812
2019-09-18,178.756103515625
2020-02-03,179.22425842285156
2020-04-22,180.0554656982422
2019-11-19,177.57142639160156
2020-02-06,175.6223907470703
2019-11-22,176.2624969482422
2019-03-25,176.02365112304688
2019-02-21,175.41221618652344
2018-12-19,175.70840454101562
2018-07-12,177.26568603515625
2018-09-14,176.3389434814453
2018-08-13,172.5651092529297
2018-10-16,171.4186248779297
2019-07-31,171.3230743408203
2019-05-28,170.0619354248047
2019-04-26,162.83908081054688
2020-04-28,160.3359375
2019-11-25,161.10980224609375
2020-02-12,161.65438842773438
2020-05-01,163.9377899169922
2020-05-04,160.0970916748047
2019-06-12,144.71507263183594
2019-04-09,143.7978973388672
2019-03-08,144.0558624267578
2019-02-04,142.46029663085938
2018-07-27,141.0176544189453
2018-08-28,143.2724151611328
2019-01-03,142.0781707763672
2019-08-15,141.71510314941406
2018-10-31,144.008056640625
2019-09-16,147.0749053955078
2020-02-18,148.7659912109375
2020-05-07,150.24684143066406
2018-08-17,148.16407775878906
2019-12-04,150.7819061279297
2020-02-21,153.82962036132812
