Dates,AXP
2018-09-21,3096200.0
2018-07-19,2387900.0
2018-08-20,2450500.0
2018-10-23,2538700.0
2019-05-03,2856200.0
2019-04-01,2924500.0
2019-02-28,6282300.0
2019-11-12,4037500.0
2020-01-30,3219600.0
2019-11-15,2435100.0
2020-04-21,3710600.0
2019-04-16,2460700.0
2019-03-15,2711400.0
2019-02-11,4143500.0
2019-01-10,5273600.0
2019-08-22,2765600.0
2018-11-07,3369100.0
2018-08-03,2941100.0
2018-09-04,3290200.0
2019-06-19,2240100.0
2019-09-23,2550300.0
2019-11-18,2553900.0
2020-02-05,1882400.0
2020-04-24,2969100.0
2019-03-29,2968500.0
2019-11-21,3043200.0
2020-04-27,2568100.0
2020-02-11,2209300.0
2020-04-30,2481800.0
2019-05-01,3453700.0
2019-02-26,3303800.0
2019-01-25,2685700.0
2018-12-24,2343900.0
2019-09-06,2483800.0
2018-07-17,2094200.0
2018-09-19,2729200.0
2019-08-05,2951700.0
2019-10-08,3303200.0
2019-12-11,5703800.0
2019-11-27,2680900.0
2020-02-14,2387800.0
2020-05-06,1902500.0
2019-01-08,1504300.0
2018-12-07,4338900.0
2019-08-20,4023500.0
2018-11-05,4076100.0
2019-07-19,3714300.0
2018-10-04,3731500.0
2019-06-17,3332000.0
2019-05-16,2237100.0
2018-08-01,2733800.0
2019-03-13,2928100.0
2019-12-03,1639400.0
2020-02-20,2355700.0
2019-12-06,2734000.0
2020-05-12,2248900.0
2019-12-09,3528400.0
2020-02-26,7819000.0
2020-05-15,4839700.0
2019-03-28,4055100.0
2018-09-17,3628300.0
2018-08-16,2663500.0
2018-10-19,4236200.0
2019-04-29,1829500.0
2019-01-23,1575400.0
2019-09-04,3221000.0
2018-11-20,4489800.0
2019-07-02,3268800.0
2019-05-31,5876200.0
2019-12-12,3497000.0
2020-05-18,3170800.0
2019-09-27,2976100.0
2020-03-03,2138300.0
2020-05-21,2638800.0
2019-05-14,3175700.0
2018-08-31,5626300.0
2018-07-30,3031700.0
2018-10-02,2343400.0
2019-04-12,3286700.0
2019-03-11,3641600.0
2019-02-07,2948300.0
2019-07-17,2322100.0
2019-09-19,4800400.0
2019-10-21,3170600.0
2019-12-18,3145800.0
2020-03-06,2327400.0
2019-10-03,1901300.0
2020-03-09,2366200.0
2020-05-27,3198700.0
2019-12-24,3746900.0
2020-03-12,5261100.0
2018-12-20,4552400.0
2019-08-01,5336000.0
2018-08-14,6196100.0
2018-07-13,3674400.0
2018-10-17,3733500.0
2019-05-29,3941100.0
2019-03-26,4280600.0
2019-02-22,3054700.0
2019-10-04,2844500.0
2019-11-05,1975800.0
2019-12-27,5301500.0
2020-06-02,5089400.0
2019-12-30,5128400.0
2020-03-18,2742900.0
2020-06-05,3411200.0
2019-07-15,2909200.0
2018-12-03,2345800.0
2019-06-13,2841300.0
2019-01-04,4908800.0
2018-08-29,3529300.0
2019-02-05,2728200.0
2018-11-01,2556000.0
2019-08-16,3757300.0
2019-04-10,2365600.0
2019-09-17,2384300.0
2019-10-15,2860400.0
2020-01-02,1864400.0
2020-06-08,2379700.0
2019-10-18,2136700.0
2020-03-24,3005500.0
2020-06-11,6188500.0
2020-01-08,4259500.0
2019-04-25,3912100.0
2019-07-30,3921100.0
2019-02-20,2551300.0
2018-07-11,2324800.0
2018-09-13,2552700.0
2018-10-15,2756300.0
2019-06-28,2264200.0
2018-12-18,2507400.0
2018-11-16,2036500.0
2019-10-02,1956400.0
2020-03-27,2630000.0
2020-01-10,2420700.0
2019-10-24,2845000.0
2020-03-30,1984600.0
2020-06-17,1704100.0
2020-01-14,2012400.0
2020-04-02,1807900.0
2019-01-02,1990600.0
2019-08-14,2341500.0
2018-10-30,2617900.0
2019-06-11,1891000.0
2019-05-10,2544100.0
2019-04-08,2783800.0
2018-08-27,1629700.0
2018-07-26,2285400.0
2018-09-28,4596200.0
2019-03-07,2629700.0
2019-10-30,1961500.0
2020-01-17,5538200.0
2020-06-23,3792300.0
2020-04-08,2444100.0
2020-06-26,3128300.0
2019-03-22,3287600.0
2019-01-17,2885200.0
2019-08-29,2518200.0
2018-11-14,2015300.0
2019-06-26,2933800.0
2018-09-11,3919000.0
2018-07-09,3416100.0
2018-08-10,4325200.0
2019-04-23,3154200.0
2019-09-30,2543600.0
2020-01-23,5828700.0
2019-11-08,3031400.0
2020-04-14,953500.0
2019-11-11,1486600.0
2020-01-29,1788600.0
2020-04-17,2306500.0
2018-07-24,2340400.0
2018-09-26,2708000.0
2019-05-08,2090600.0
2019-03-05,2855200.0
2019-02-01,2042300.0
2018-12-31,3458200.0
2018-11-29,2787100.0
2019-08-12,2789200.0
2019-07-11,3285700.0
2019-09-13,3836000.0
2019-11-14,3187200.0
2020-04-20,2424500.0
2020-02-04,3659400.0
2020-04-23,3102700.0
2018-12-14,2483800.0
2019-08-27,3841000.0
2018-08-08,8612500.0
2018-10-11,6432400.0
2018-11-12,3712700.0
2019-07-26,2518400.0
2019-06-24,2428500.0
2019-05-23,3522600.0
2019-03-20,2721900.0
2019-01-15,2547500.0
2019-11-20,4084500.0
2020-02-07,1708600.0
2020-02-10,2885600.0
2020-04-29,1816500.0
2019-11-26,1733300.0
2020-02-13,1715400.0
2019-01-30,3178300.0
2018-08-23,2360300.0
2018-09-24,2428200.0
2018-11-27,1785000.0
2018-10-26,2541700.0
2019-07-09,3106100.0
2019-06-07,6329300.0
2019-05-06,7628100.0
2019-04-04,5268000.0
2019-09-11,8278300.0
2019-11-29,11363600.0
2020-05-05,9851600.0
2019-12-02,9285000.0
2020-02-19,7470900.0
2020-05-08,12060600.0
2019-05-21,9897700.0
2019-03-18,12266300.0
2018-09-07,9793200.0
2018-08-06,8822900.0
2018-10-09,12206600.0
2019-02-14,12680400.0
2018-12-12,15072400.0
2019-07-24,10512200.0
2019-09-26,14359300.0
2019-10-28,12330400.0
2019-12-05,12208600.0
2020-05-11,8907600.0
2019-07-03,10593900.0
2020-02-25,11046500.0
2020-05-14,9459400.0
2020-02-28,6999800.0
2019-08-08,5565000.0
2019-06-05,6075900.0
2018-07-20,8313400.0
2018-08-21,8338100.0
2018-10-24,10023100.0
2019-04-02,11253000.0
2019-03-01,8693200.0
2019-01-28,6122800.0
2018-12-27,6905000.0
2019-09-09,5037700.0
2020-03-02,8703200.0
2020-05-20,10415600.0
2019-12-17,7526600.0
2020-03-05,8269000.0
2019-02-12,6140400.0
2019-01-11,7360300.0
2018-12-10,5133500.0
2019-08-23,5807200.0
2018-11-08,9126700.0
2019-07-22,7785000.0
2019-06-20,7165900.0
2018-09-05,9396500.0
2019-04-17,6547400.0
2019-09-24,4620200.0
2019-12-20,4875400.0
2020-05-26,4410300.0
2019-04-30,4723400.0
2019-12-23,4627600.0
2020-03-11,3917200.0
2020-05-29,5910100.0
2019-12-26,5504900.0
2020-06-01,10681600.0
2019-05-02,10625100.0
2019-02-27,6618600.0
2018-11-23,7787400.0
2019-08-06,4920600.0
2018-07-18,5218500.0
2018-09-20,6241900.0
2018-10-22,3734500.0
2019-07-05,6559400.0
2019-06-03,11007700.0
2019-10-09,9268200.0
2019-10-11,7711900.0
2020-03-17,4269500.0
2020-06-04,5433800.0
2019-10-14,7301000.0
2020-03-20,5841600.0
2018-11-06,10097600.0
2019-06-18,6795200.0
2019-05-17,5517400.0
2019-04-15,5747400.0
2019-03-14,8601200.0
2019-01-09,7249500.0
2018-08-02,6472400.0
2018-10-05,6706000.0
2019-08-21,4405700.0
2019-10-17,3645700.0
2020-03-23,7589500.0
2020-06-10,4799900.0
2019-02-25,4364800.0
2020-01-07,5958300.0
2020-03-26,5195400.0
2019-10-23,10489400.0
