Dates,AXP
2018-06-20,93.0784683227539
2018-06-21,93.28119659423828
2018-06-25,93.86041259765625
2018-06-22,95.12500762939453
2018-06-26,94.80644989013672
2018-06-27,93.5997543334961
2018-06-28,93.60941314697266
2018-06-29,94.60371398925781
2018-07-02,95.56906127929688
2018-07-03,94.44926452636719
2018-07-05,95.45683288574219
2018-07-16,95.44712829589844
2018-09-18,96.79378509521484
2019-01-24,96.79378509521484
2019-09-05,97.171630859375
2018-11-21,97.99510955810547
2020-01-13,97.3653793334961
2020-04-01,97.54945373535156
2020-06-19,97.99510955810547
2019-10-29,99.76802825927734
2020-01-16,97.04566955566406
2020-06-22,97.02629852294922
2018-10-03,98.06292724609375
2018-07-31,98.53763580322266
2019-03-12,99.42894744873047
2019-02-08,99.30300903320312
2019-01-07,100.61089324951172
2018-12-06,97.70446014404297
2019-08-19,96.41593933105469
2019-07-18,96.34812927246094
2019-05-15,96.6194076538086
2019-09-20,97.64633178710938
2019-11-01,97.77227783203125
2020-04-07,98.78953552246094
2020-06-25,99.57427215576172
2020-06-16,99.77772521972656
2019-11-04,98.41169738769531
2020-01-22,98.634521484375
2019-11-07,98.99298858642578
2020-04-13,98.34388732910156
2019-07-01,99.44833374023438
2019-05-30,99.81647491455078
2018-08-15,100.59151458740234
2018-10-18,101.54094696044922
2019-03-27,102.52913665771484
2019-01-22,102.08348083496094
2018-12-21,102.4613265991211
2019-09-03,103.71109008789062
2018-11-19,103.93392181396484
2019-08-02,103.38168334960938
2020-01-28,102.91667175292969
2020-04-16,102.6744613647461
2019-11-13,103.67233276367188
2020-01-31,102.38381958007812
2018-12-04,102.11254119873047
2018-11-02,102.77134704589844
2019-07-16,103.94359588623047
2018-08-30,104.9317855834961
2018-10-01,104.51519012451172
2019-06-14,105.2708740234375
2019-05-13,106.14279174804688
2019-04-11,105.79402923583984
2019-02-06,106.22030639648438
2019-09-18,106.66594696044922
2020-02-03,107.64444732666016
2020-04-22,107.44100189208984
2019-11-19,106.42374420166016
2020-02-06,106.44313049316406
2019-11-22,104.64114379882812
2019-03-25,104.48613739013672
2019-02-21,103.16854858398438
2018-12-19,104.53457641601562
2018-07-12,105.00929260253906
2018-09-14,105.06742095947266
2018-08-13,104.75627899169922
2018-10-16,104.26040649414062
2019-07-31,104.02704620361328
2019-05-28,103.7061996459961
2019-04-26,100.70176696777344
2020-04-28,98.76687622070312
2019-11-25,100.14755249023438
2020-02-12,99.77806854248047
2020-05-01,101.38236999511719
2020-05-04,101.45043182373047
2019-06-12,99.99198150634766
2019-04-09,103.77425384521484
2019-03-08,101.61573028564453
