Dates,RJF
2018-06-20,486300.0
2018-06-21,1195400.0
2018-06-25,1058000.0
2018-06-22,563300.0
2018-06-26,920200.0
2018-06-27,1090500.0
2018-06-28,907400.0
2018-06-29,1340300.0
2018-07-02,660400.0
2018-07-03,377000.0
2018-07-05,548300.0
2018-07-16,1034000.0
2018-09-18,864400.0
2019-01-24,827000.0
2019-09-05,535700.0
2018-11-21,910600.0
2020-01-13,1047700.0
2020-04-01,975300.0
2020-06-19,957300.0
2019-10-29,496100.0
2020-01-16,454000.0
2020-06-22,737200.0
2018-10-03,988100.0
2018-07-31,931700.0
2019-03-12,1099000.0
2019-02-08,1758000.0
2019-01-07,802800.0
2018-12-06,968000.0
2019-08-19,854600.0
2019-07-18,983400.0
2019-05-15,888100.0
2019-09-20,450900.0
2019-11-01,547400.0
2020-04-07,664300.0
2020-06-25,513600.0
2020-06-16,583800.0
2019-11-04,613800.0
2020-01-22,910200.0
2019-11-07,585400.0
2020-04-13,698500.0
2019-07-01,566900.0
2019-05-30,391000.0
2018-08-15,526100.0
2018-10-18,519400.0
2019-03-27,356800.0
2019-01-22,463500.0
2018-12-21,339200.0
2019-09-03,522700.0
2018-11-19,927200.0
2019-08-02,523700.0
2020-01-28,386200.0
2020-04-16,350100.0
2019-11-13,433800.0
2020-01-31,397600.0
2018-12-04,401500.0
2018-11-02,438400.0
2019-07-16,367600.0
2018-08-30,352400.0
2018-10-01,419700.0
2019-06-14,726100.0
2019-05-13,452500.0
2019-04-11,344400.0
2019-02-06,341200.0
2019-09-18,520600.0
2020-02-03,777000.0
2020-04-22,1303100.0
2019-11-19,873300.0
2020-02-06,719000.0
2019-11-22,724400.0
2019-03-25,637700.0
2019-02-21,966700.0
2018-12-19,848500.0
2018-07-12,904100.0
2018-09-14,1363600.0
2018-08-13,1108600.0
2018-10-16,589400.0
2019-07-31,632200.0
2019-05-28,919500.0
2019-04-26,911900.0
2020-04-28,939000.0
2019-11-25,1166800.0
2020-02-12,644400.0
2020-05-01,755500.0
2020-05-04,806800.0
2019-06-12,632800.0
2019-04-09,873200.0
2019-03-08,824100.0
2019-02-04,1493300.0
2018-07-27,1631800.0
2018-08-28,3373600.0
2019-01-03,3488400.0
2019-08-15,1745400.0
2018-10-31,1897300.0
2019-09-16,2984800.0
2020-02-18,1639200.0
2020-05-07,1241700.0
2018-08-17,1271800.0
2019-12-04,1208700.0
2020-02-21,1247700.0
2018-12-17,1810500.0
2019-08-30,778500.0
2018-11-15,1182300.0
2019-07-29,900900.0
2019-06-27,1379900.0
2019-04-24,1236200.0
2018-07-10,886700.0
2018-09-12,896800.0
2019-02-19,1008000.0
2019-01-18,702000.0
2020-02-24,519500.0
2020-05-13,980600.0
2019-12-10,1066700.0
2020-02-27,1372700.0
2019-12-13,1354500.0
2020-05-19,1579600.0
2019-03-06,1356400.0
2018-11-30,2250900.0
2019-08-13,1977700.0
2019-07-12,1284700.0
2019-06-10,1089400.0
2019-05-09,2946800.0
2018-07-25,2352900.0
2018-09-27,1109200.0
2018-10-29,1305700.0
2019-10-16,1218200.0
2019-12-16,1245300.0
2020-03-04,1630600.0
2020-05-22,1824100.0
2019-10-01,2314500.0
2019-12-19,605300.0
2018-09-10,1034300.0
2019-05-24,983500.0
2018-08-09,913300.0
2019-04-22,648300.0
2019-03-21,1312300.0
2019-01-16,1311900.0
2019-08-28,1207700.0
2018-11-13,881200.0
2018-10-12,1333400.0
2019-06-25,909700.0
2020-03-10,788700.0
2020-05-28,496700.0
2019-10-07,1431300.0
2020-03-13,1550500.0
2019-10-10,1183600.0
2020-03-16,1478700.0
2020-06-03,1181500.0
2018-11-28,1222700.0
2018-09-25,1947400.0
2018-07-23,1305000.0
2018-08-24,1108600.0
2019-07-10,616600.0
2019-05-07,562500.0
2019-04-05,937800.0
2019-03-04,839200.0
2019-01-31,859800.0
2019-09-12,703000.0
2019-12-31,728200.0
2020-03-19,557800.0
2020-01-03,695400.0
2020-06-09,636800.0
2019-02-15,751800.0
2019-01-14,926900.0
2018-07-06,786100.0
2018-08-07,1022400.0
2018-10-10,943600.0
2018-12-13,944900.0
2019-08-26,540600.0
2019-07-25,908900.0
2019-05-22,594500.0
2019-03-19,918700.0
2020-01-06,757000.0
2020-03-25,641700.0
2020-06-12,608600.0
2019-10-22,720400.0
2020-01-09,1035300.0
2020-06-15,518300.0
2019-10-25,461700.0
2020-03-31,1109300.0
2020-06-18,715700.0
2019-04-03,965900.0
2018-08-22,691500.0
2018-10-25,512600.0
2019-01-29,505000.0
2018-12-28,1511200.0
2018-11-26,1078100.0
2019-08-09,1033900.0
2019-07-08,1209400.0
2019-06-06,1056000.0
2019-09-10,1516400.0
2020-01-15,1365600.0
2020-04-03,1184100.0
2019-10-31,1032900.0
2020-04-06,1214400.0
2020-06-24,1335500.0
2018-11-09,891900.0
2019-07-23,813100.0
2019-06-21,997300.0
2019-05-20,597800.0
2019-04-18,1126700.0
2018-09-06,821400.0
2018-10-08,880400.0
2019-02-13,600300.0
2018-12-11,777200.0
2019-09-25,803100.0
2020-01-21,661000.0
2020-04-09,1036300.0
2019-11-06,747500.0
2020-01-24,1640100.0
2020-01-27,755300.0
2020-04-15,1137900.0
2018-12-26,1557600.0
2019-08-07,1222600.0
2019-06-04,1325100.0
2018-09-21,861700.0
2018-07-19,910800.0
2018-08-20,1048200.0
2018-10-23,660600.0
2019-05-03,532800.0
2019-04-01,515900.0
2019-02-28,1046100.0
2019-11-12,935700.0
2020-01-30,1221400.0
2019-11-15,746300.0
2020-04-21,1026500.0
2019-04-16,1257500.0
2019-03-15,512900.0
2019-02-11,942100.0
2019-01-10,815200.0
2019-08-22,1118300.0
2018-11-07,597500.0
2018-08-03,652400.0
2018-09-04,1646500.0
2019-06-19,872900.0
2019-09-23,1120300.0
2019-11-18,798200.0
2020-02-05,506300.0
2020-04-24,928900.0
2019-03-29,1007600.0
2019-11-21,819000.0
2020-04-27,866800.0
2020-02-11,446100.0
2020-04-30,1001400.0
2019-05-01,567800.0
2019-02-26,525600.0
2019-01-25,506500.0
2018-12-24,615500.0
2019-09-06,886600.0
2018-07-17,477700.0
2018-09-19,625900.0
2019-08-05,1030700.0
2019-10-08,2271100.0
2019-12-11,2091600.0
2019-11-27,1210800.0
2020-02-14,1230700.0
2020-05-06,856200.0
2019-01-08,1158600.0
2018-12-07,1384700.0
2019-08-20,1139800.0
2018-11-05,684200.0
2019-07-19,542000.0
2018-10-04,469800.0
2019-06-17,972500.0
2019-05-16,872700.0
2018-08-01,831900.0
2019-03-13,765300.0
2019-12-03,543300.0
2020-02-20,1305100.0
2019-12-06,723000.0
2020-05-12,988800.0
2019-12-09,916800.0
2020-02-26,765400.0
2020-05-15,605400.0
2019-03-28,785700.0
2018-09-17,1298000.0
2018-08-16,2283000.0
2018-10-19,922800.0
2019-04-29,950000.0
2019-01-23,933700.0
2019-09-04,1013500.0
2018-11-20,1112100.0
2019-07-02,1170300.0
2019-05-31,1535600.0
2019-12-12,863200.0
2020-05-18,1213700.0
2019-09-27,697500.0
2020-03-03,949100.0
2020-05-21,855000.0
2019-05-14,611800.0
2018-08-31,1380900.0
2018-07-30,954800.0
2018-10-02,717600.0
2019-04-12,746700.0
2019-03-11,921400.0
2019-02-07,815400.0
2019-07-17,1481800.0
2019-09-19,926600.0
2019-10-21,590400.0
2019-12-18,839100.0
2020-03-06,743000.0
2019-10-03,518500.0
2020-03-09,531900.0
2020-05-27,770600.0
2019-12-24,544100.0
2020-03-12,619500.0
2018-12-20,689600.0
2019-08-01,935600.0
2018-08-14,895400.0
2018-07-13,704700.0
2018-10-17,995600.0
2019-05-29,1024800.0
2019-03-26,1055400.0
2019-02-22,825200.0
2019-10-04,733900.0
2019-11-05,955500.0
2019-12-27,1444900.0
2020-06-02,592000.0
2019-12-30,1026000.0
2020-03-18,778800.0
2020-06-05,719400.0
2019-07-15,1431900.0
2018-12-03,877400.0
2019-06-13,1662600.0
2019-01-04,1804700.0
2018-08-29,1668900.0
2019-02-05,769600.0
2018-11-01,830300.0
2019-08-16,950100.0
2019-04-10,775800.0
2019-09-17,805200.0
2019-10-15,793200.0
2020-01-02,1912400.0
2020-06-08,924400.0
2019-10-18,815300.0
2020-03-24,826800.0
2020-06-11,1673200.0
2020-01-08,1044100.0
2019-04-25,1129800.0
2019-07-30,1084700.0
2019-02-20,1556500.0
2018-07-11,951500.0
2018-09-13,1133000.0
2018-10-15,1233100.0
2019-06-28,959600.0
2018-12-18,697100.0
2018-11-16,472000.0
2019-10-02,618200.0
2020-03-27,713800.0
2020-01-10,699200.0
2019-10-24,626200.0
2020-03-30,415200.0
2020-06-17,501900.0
2020-01-14,424700.0
2020-04-02,527800.0
2019-01-02,481300.0
2019-08-14,771600.0
2018-10-30,550000.0
2019-06-11,510900.0
2019-05-10,599400.0
2019-04-08,712000.0
2018-08-27,535600.0
2018-07-26,756200.0
2018-09-28,855200.0
2019-03-07,511500.0
2019-10-30,406900.0
2020-01-17,680900.0
2020-06-23,935300.0
2020-04-08,628900.0
2020-06-26,691000.0
2019-03-22,756900.0
2019-01-17,430800.0
2019-08-29,442200.0
2018-11-14,642600.0
2019-06-26,847100.0
2018-09-11,625000.0
2018-07-09,710300.0
2018-08-10,554400.0
2019-04-23,674800.0
2019-09-30,577800.0
2020-01-23,931100.0
2019-11-08,400800.0
2020-04-14,120900.0
2019-11-11,217000.0
2020-01-29,270300.0
2020-04-17,377200.0
2018-07-24,460800.0
2018-09-26,758400.0
2019-05-08,553600.0
2019-03-05,551900.0
2019-02-01,671800.0
2018-12-31,1009100.0
2018-11-29,687300.0
2019-08-12,721500.0
2019-07-11,924200.0
2019-09-13,1106000.0
2019-11-14,1053900.0
2020-04-20,1320100.0
2020-02-04,2307300.0
2020-04-23,1471200.0
2018-12-14,1264900.0
2019-08-27,2723600.0
2018-08-08,1574700.0
2018-10-11,942200.0
2018-11-12,970000.0
2019-07-26,640400.0
2019-06-24,691600.0
2019-05-23,1056200.0
2019-03-20,936400.0
2019-01-15,681400.0
2019-11-20,1021900.0
2020-02-07,517500.0
2020-02-10,481300.0
2020-04-29,565600.0
2019-11-26,670300.0
2020-02-13,542400.0
2019-01-30,1360000.0
2018-08-23,1118100.0
2018-09-24,1174700.0
2018-11-27,1119400.0
2018-10-26,1022200.0
2019-07-09,1184600.0
2019-06-07,1248000.0
2019-05-06,1395800.0
2019-04-04,1361500.0
2019-09-11,1411200.0
2019-11-29,1927000.0
2020-05-05,1709600.0
2019-12-02,2244200.0
2020-02-19,3143600.0
2020-05-08,2261300.0
2019-05-21,2517800.0
2019-03-18,2290700.0
2018-09-07,2230400.0
2018-08-06,1820500.0
2018-10-09,2068600.0
2019-02-14,2892900.0
2018-12-12,2583900.0
2019-07-24,2626100.0
2019-09-26,3326400.0
2019-10-28,1869600.0
