Dates,FRC
2018-06-20,579400.0
2018-06-21,903100.0
2018-06-25,1929500.0
2018-06-22,786200.0
2018-06-26,1560800.0
2018-06-27,889900.0
2018-06-28,1055400.0
2018-06-29,1564700.0
2018-07-02,671100.0
2018-07-03,380800.0
2018-07-05,660800.0
2018-07-16,381300.0
2018-09-18,1035200.0
2019-01-24,968100.0
2019-09-05,734100.0
2018-11-21,1063200.0
2020-01-13,1509500.0
2020-04-01,806200.0
2020-06-19,919400.0
2019-10-29,853100.0
2020-01-16,728500.0
2020-06-22,498300.0
2018-10-03,614800.0
2018-07-31,599900.0
2019-03-12,543600.0
2019-02-08,858500.0
2019-01-07,544900.0
2018-12-06,754900.0
2019-08-19,817600.0
2019-07-18,807600.0
2019-05-15,751100.0
2019-09-20,542800.0
2019-11-01,803200.0
2020-04-07,774300.0
2020-06-25,849500.0
2020-06-16,481600.0
2019-11-04,869300.0
2020-01-22,516200.0
2019-11-07,785100.0
2020-04-13,923700.0
2019-07-01,786800.0
2019-05-30,454300.0
2018-08-15,901300.0
2018-10-18,870700.0
2019-03-27,868200.0
2019-01-22,1552900.0
2018-12-21,986000.0
2019-09-03,1535400.0
2018-11-19,969500.0
2019-08-02,1087500.0
2020-01-28,808400.0
2020-04-16,839400.0
2019-11-13,857700.0
2020-01-31,749400.0
2018-12-04,928600.0
2018-11-02,714900.0
2019-07-16,625200.0
2018-08-30,1087400.0
2018-10-01,2725100.0
2019-06-14,1240400.0
2019-05-13,1179700.0
2019-04-11,1302800.0
2019-02-06,1028600.0
2019-09-18,806100.0
2020-02-03,812000.0
2020-04-22,1471800.0
2019-11-19,1190400.0
2020-02-06,747500.0
2019-11-22,1166600.0
2019-03-25,920200.0
2019-02-21,886000.0
2018-12-19,883400.0
2018-07-12,921300.0
2018-09-14,1011100.0
2018-08-13,1201700.0
2018-10-16,1351300.0
2019-07-31,1426500.0
2019-05-28,1149400.0
2019-04-26,1423300.0
2020-04-28,2305200.0
2019-11-25,3138100.0
2020-02-12,1533200.0
2020-05-01,3644400.0
2020-05-04,1991300.0
2019-06-12,1375500.0
2019-04-09,1157700.0
2019-03-08,1014300.0
2019-02-04,1646500.0
2018-07-27,1592700.0
2018-08-28,1086200.0
2019-01-03,1156800.0
2019-08-15,1508000.0
2018-10-31,1637200.0
2019-09-16,1620700.0
2020-02-18,1317300.0
2020-05-07,851000.0
2018-08-17,641400.0
2019-12-04,521200.0
2020-02-21,505500.0
2018-12-17,581200.0
2019-08-30,568400.0
2018-11-15,800600.0
2019-07-29,701800.0
2019-06-27,1033600.0
