Dates,FRC
2018-06-20,99.34596252441406
2018-06-21,99.454345703125
2018-06-25,98.80404663085938
2018-06-22,97.77935028076172
2018-06-26,96.6955337524414
2018-06-27,95.03041076660156
2018-06-28,96.19306182861328
2018-06-29,95.36542510986328
2018-07-02,96.67584228515625
2018-07-03,96.78422546386719
2018-07-05,97.26702117919922
2018-07-16,98.0650863647461
2018-09-18,99.88785552978516
2019-01-24,97.82862091064453
2019-09-05,97.61185455322266
2018-11-21,96.91230773925781
2020-01-13,96.30142974853516
2020-04-01,95.6609878540039
2020-06-19,95.97628784179688
2019-10-29,96.55760955810547
2020-01-16,97.10936737060547
2020-06-22,97.60201263427734
2018-10-03,98.71537780761719
2018-07-31,97.7695083618164
2019-03-12,97.8089828491211
2019-02-08,98.50981903076172
2019-01-07,98.21369171142578
2018-12-06,97.4635009765625
2019-08-19,97.58196258544922
2019-07-18,98.75658416748047
2019-05-15,100.63200378417969
2019-09-20,100.57278442382812
2019-11-01,100.16808319091797
2020-04-07,99.87196350097656
2020-06-25,99.94107055664062
2020-06-16,99.77326965332031
2019-11-04,99.35869598388672
2020-01-22,99.54622650146484
2019-11-07,101.50064086914062
2020-04-13,101.6684341430664
2019-07-01,102.55680084228516
2019-05-30,103.1490478515625
2018-08-15,103.7018051147461
2018-10-18,104.82705688476562
2019-03-27,104.52107238769531
2019-01-22,103.5636215209961
2018-12-21,102.85292053222656
2019-09-03,100.60240173339844
2018-11-19,100.1088638305664
2019-08-02,99.59558868408203
2020-01-28,99.20075988769531
2020-04-16,100.27664947509766
2019-11-13,101.23412322998047
2020-01-31,100.85903930664062
2018-12-04,101.47102355957031
2018-11-02,101.6684341430664
2019-07-16,102.05340576171875
2018-08-30,102.69499206542969
2018-10-01,100.24705505371094
2019-06-14,98.4703140258789
2019-05-13,98.98358917236328
2019-04-11,97.2759780883789
2019-02-06,97.04894256591797
2019-09-18,99.03295135498047
2020-02-03,99.48702239990234
2020-04-22,99.67454528808594
2019-11-19,98.69734954833984
2020-02-06,98.78619384765625
2019-11-22,96.1013412475586
2019-03-25,94.72933197021484
2019-02-21,94.7589340209961
2018-12-19,93.54483032226562
2018-07-12,92.38996887207031
2018-09-14,94.86750030517578
2018-08-13,94.16668701171875
2018-10-16,92.567626953125
2019-07-31,92.86376190185547
2019-05-28,93.07105255126953
2019-04-26,91.67926788330078
2020-04-28,89.66564178466797
2019-11-25,91.91617584228516
2020-02-12,90.14929962158203
2020-05-01,89.5768051147461
2020-05-04,90.37633514404297
2019-06-12,88.81675720214844
2019-04-09,88.71804809570312
2019-03-08,86.27998352050781
2019-02-04,87.0301513671875
2018-07-27,84.09254455566406
2018-08-28,86.31800079345703
2019-01-03,85.67510986328125
2019-08-15,88.53357696533203
2018-10-31,90.4029541015625
2019-09-16,89.99742889404297
2020-02-18,91.8272476196289
2020-05-07,91.19422149658203
2018-08-17,92.00528717041016
2019-12-04,92.262451171875
2020-02-21,91.89649200439453
2018-12-17,92.43058013916016
2019-08-30,91.8865966796875
2018-11-15,90.7689208984375
2019-07-29,92.42071533203125
2019-06-27,91.22390747070312
2019-04-24,93.42957305908203
2018-07-10,92.93504333496094
2018-09-12,92.62841796875
2019-02-19,90.67000579833984
2019-01-18,92.74710083007812
2020-02-24,93.01416015625
2020-05-13,94.76484680175781
2019-12-10,93.38013458251953
2020-02-27,93.63728332519531
2019-12-13,95.14070892333984
2020-05-19,98.06842041015625
2019-03-06,98.5530776977539
2018-11-30,95.82318115234375
2019-08-13,95.72428131103516
2019-07-12,93.4394760131836
2019-06-10,91.56018829345703
2019-05-09,89.83917999267578
2018-07-25,90.24471282958984
2018-09-27,88.69182586669922
2018-10-29,87.98957824707031
2019-10-16,86.38724517822266
2019-12-16,84.46841430664062
2020-03-04,82.28251647949219
2020-05-22,80.58128356933594
2019-10-01,79.5822982788086
2019-12-19,79.35480499267578
2018-09-10,83.2122573852539
2019-05-24,82.75727844238281
2018-08-09,86.98070526123047
2019-04-22,85.95204162597656
2019-03-21,86.5455093383789
2019-01-16,84.26070404052734
2019-08-28,86.44660186767578
2018-11-13,86.50594329833984
2018-10-12,85.62564086914062
2019-06-25,86.29823303222656
2020-03-10,85.111328125
2020-05-28,83.56834411621094
2019-10-07,83.41996765136719
2020-03-13,93.30099487304688
2019-10-10,94.55714416503906
2020-03-16,94.63627624511719
2020-06-03,94.9725570678711
2018-11-28,94.67583465576172
2018-09-25,94.44833374023438
2018-07-23,94.29997253417969
2018-08-24,96.0605697631836
2019-07-10,96.11001586914062
2019-05-07,95.01212310791016
2019-04-05,96.17153930664062
2019-03-04,95.75533294677734
2019-01-31,97.50931549072266
2019-09-12,98.3714370727539
2019-12-31,98.46062469482422
2020-03-19,98.89665222167969
2020-01-03,99.74886322021484
2020-06-09,99.62003326416016
2019-02-15,99.49121856689453
2019-01-14,99.98668670654297
2018-07-06,99.49121856689453
2018-08-07,98.63899993896484
2018-10-10,100.71007537841797
2018-12-13,101.07672882080078
2019-08-26,102.2559585571289
2019-07-25,102.35506439208984
2019-05-22,102.73161315917969
2019-03-19,102.7217025756836
2020-01-06,102.34513854980469
2020-03-25,103.99012756347656
2020-06-12,104.0297622680664
2019-10-22,104.485595703125
2020-01-09,103.8216552734375
2020-06-15,104.00994110107422
2019-10-25,102.097412109375
2020-03-31,100.6109848022461
2020-06-18,100.79926300048828
