Dates,NKE
2018-06-20,73.97000122070312
2018-06-21,73.55000305175781
2018-06-25,73.20999908447266
2018-06-22,72.02999877929688
2018-06-26,72.3499984741211
2018-06-27,71.1500015258789
2018-06-28,71.3499984741211
2018-06-29,78.36000061035156
2018-07-02,77.0199966430664
2018-07-03,76.0999984741211
2018-07-05,76.13999938964844
2018-07-16,76.06999969482422
2018-09-18,76.3499984741211
2019-01-24,77.16000366210938
2019-09-05,76.83000183105469
2018-11-21,77.2300033569336
2020-01-13,77.13999938964844
2020-04-01,77.30000305175781
2020-06-19,77.4000015258789
2019-10-29,76.31999969482422
2020-01-16,75.80000305175781
2020-06-22,76.16000366210938
2018-10-03,76.12999725341797
2018-07-31,75.44000244140625
2019-03-12,75.05999755859375
2019-02-08,76.81999969482422
2019-01-07,76.79000091552734
2018-12-06,75.43000030517578
2019-08-19,76.16000366210938
2019-07-18,76.5
2019-05-15,77.4000015258789
2019-09-20,78.44000244140625
2019-11-01,78.43000030517578
2020-04-07,79.2699966430664
2020-06-25,80.04000091552734
2020-06-16,80.41000366210938
2019-11-04,80.29000091552734
2020-01-22,80.01000213623047
2019-11-07,79.68000030517578
2020-04-13,79.12000274658203
2019-07-01,79.80000305175781
2019-05-30,79.68000030517578
2018-08-15,80.94999694824219
2018-10-18,82.0199966430664
2019-03-27,82.27999877929688
2019-01-22,82.33999633789062
2018-12-21,82.0999984741211
2019-09-03,82.2300033569336
2018-11-19,82.4800033569336
2019-08-02,82.22000122070312
2020-01-28,81.01000213623047
2020-04-16,81.25
2019-11-13,79.0
2020-01-31,79.30000305175781
2018-12-04,79.7699966430664
2018-11-02,80.01000213623047
2019-07-16,81.22000122070312
2018-08-30,82.55000305175781
2018-10-01,82.04000091552734
2019-06-14,83.12000274658203
2019-05-13,83.05999755859375
2019-04-11,82.94000244140625
2019-02-06,83.23999786376953
2019-09-18,84.12000274658203
2020-02-03,84.93000030517578
2020-04-22,85.01000213623047
2019-11-19,84.25
2020-02-06,84.06999969482422
2019-11-22,81.94999694824219
2019-03-25,83.7300033569336
2019-02-21,84.25
2018-12-19,84.37000274658203
2018-07-12,82.5
2018-09-14,81.75
2018-08-13,80.0199966430664
2018-10-16,79.43000030517578
2019-07-31,79.08000183105469
2019-05-28,80.16000366210938
2019-04-26,74.7699966430664
2020-04-28,73.9000015258789
2019-11-25,74.91000366210938
2020-02-12,74.97000122070312
