Dates,NKE
2018-06-20,4424900.0
2018-06-21,5537900.0
2018-06-25,9404900.0
2018-06-22,9064100.0
2018-06-26,7072600.0
2018-06-27,7624700.0
2018-06-28,9118500.0
2018-06-29,31314100.0
2018-07-02,11867000.0
2018-07-03,5794900.0
2018-07-05,6534500.0
2018-07-16,5916200.0
2018-09-18,4871400.0
2019-01-24,6281800.0
2019-09-05,3656600.0
2018-11-21,4879200.0
2020-01-13,2963100.0
2020-04-01,4755100.0
2020-06-19,4355400.0
2019-10-29,6101600.0
2020-01-16,4875100.0
2020-06-22,5246400.0
2018-10-03,4198200.0
2018-07-31,6054000.0
2019-03-12,5542400.0
2019-02-08,6706200.0
2019-01-07,6125700.0
2018-12-06,7275300.0
2019-08-19,8265600.0
2019-07-18,6878300.0
2019-05-15,5313800.0
2019-09-20,3762100.0
2019-11-01,4280600.0
2020-04-07,5418900.0
2020-06-25,5327100.0
2020-06-16,4558500.0
2019-11-04,5036700.0
2020-01-22,4101200.0
2019-11-07,6079700.0
2020-04-13,5057200.0
2019-07-01,5475800.0
2019-05-30,9001400.0
2018-08-15,9345200.0
2018-10-18,6337000.0
2019-03-27,4308300.0
2019-01-22,4156900.0
2018-12-21,3453000.0
2019-09-03,4012400.0
2018-11-19,3788800.0
2019-08-02,5712400.0
2020-01-28,7122100.0
2020-04-16,5177100.0
2019-11-13,18565800.0
2020-01-31,12269100.0
2018-12-04,8576900.0
2018-11-02,6633900.0
2019-07-16,6965600.0
2018-08-30,7166800.0
2018-10-01,5384300.0
2019-06-14,5382100.0
2019-05-13,4884400.0
2019-04-11,4861100.0
2019-02-06,7277700.0
2019-09-18,8053100.0
2020-02-03,6620300.0
2020-04-22,13852700.0
2019-11-19,8770400.0
2020-02-06,10519500.0
2019-11-22,16357100.0
2019-03-25,6080600.0
2019-02-21,7452700.0
2018-12-19,7876400.0
2018-07-12,8446900.0
2018-09-14,10046700.0
2018-08-13,9161100.0
2018-10-16,7019100.0
2019-07-31,8058700.0
2019-05-28,7643400.0
2019-04-26,12977800.0
2020-04-28,11532100.0
2019-11-25,10393800.0
2020-02-12,5789000.0
2020-05-01,7744200.0
2020-05-04,6816900.0
2019-06-12,7622200.0
2019-04-09,7301200.0
2019-03-08,7042500.0
2019-02-04,11423800.0
2018-07-27,8333900.0
2018-08-28,7648000.0
2019-01-03,8371100.0
2019-08-15,9874200.0
2018-10-31,9470000.0
2019-09-16,8755500.0
2020-02-18,6117800.0
2020-05-07,6995100.0
2018-08-17,7143300.0
2019-12-04,6424200.0
2020-02-21,5403900.0
2018-12-17,5425000.0
2019-08-30,4737600.0
2018-11-15,5204900.0
2019-07-29,4584600.0
2019-06-27,7984200.0
2019-04-24,7858300.0
2018-07-10,8064200.0
2018-09-12,6744900.0
2019-02-19,9053900.0
2019-01-18,7326100.0
2020-02-24,2582300.0
2020-05-13,6458300.0
2019-12-10,5008000.0
2020-02-27,6167200.0
2019-12-13,5436700.0
2020-05-19,7947300.0
2019-03-06,10211800.0
2018-11-30,8800400.0
2019-08-13,9693700.0
2019-07-12,6133700.0
2019-06-10,7235000.0
2019-05-09,7794500.0
2018-07-25,6950400.0
2018-09-27,7454800.0
2018-10-29,7221200.0
2019-10-16,10647700.0
2019-12-16,7533300.0
2020-03-04,8426100.0
2020-05-22,14488500.0
2019-10-01,28487900.0
2019-12-19,8551400.0
2018-09-10,10019200.0
2019-05-24,9004900.0
2018-08-09,6197000.0
2019-04-22,5519100.0
2019-03-21,6762700.0
2019-01-16,8007400.0
2019-08-28,7844200.0
2018-11-13,8184800.0
2018-10-12,8809000.0
2019-06-25,8591000.0
2020-03-10,11148600.0
2020-05-28,10689900.0
2019-10-07,5677400.0
2020-03-13,6212400.0
2019-10-10,5697100.0
2020-03-16,7737300.0
2020-06-03,10404100.0
2018-11-28,8781700.0
2018-09-25,5823000.0
2018-07-23,4753200.0
2018-08-24,4457100.0
2019-07-10,5452000.0
2019-05-07,4187500.0
2019-04-05,5200200.0
2019-03-04,8599200.0
2019-01-31,5351900.0
2019-09-12,4236600.0
2019-12-31,6545600.0
2020-03-19,3682800.0
2020-01-03,4827500.0
