Dates,NKE
2018-06-20,74.19999694824219
2018-06-21,73.69999694824219
2018-06-25,73.56999969482422
2018-06-22,73.31999969482422
2018-06-26,72.5
2018-06-27,72.7300033569336
2018-06-28,71.44999694824219
2018-06-29,78.76000213623047
2018-07-02,78.58000183105469
2018-07-03,77.41000366210938
2018-07-05,76.62000274658203
2018-07-16,76.4800033569336
2018-09-18,76.83999633789062
2019-01-24,77.44000244140625
2019-09-05,77.12999725341797
2018-11-21,77.94000244140625
2020-01-13,77.19999694824219
2020-04-01,77.36000061035156
2020-06-19,77.51000213623047
2019-10-29,77.43000030517578
2020-01-16,75.93000030517578
2020-06-22,76.30999755859375
2018-10-03,76.70999908447266
2018-07-31,76.8499984741211
2019-03-12,75.23999786376953
2019-02-08,77.0
2019-01-07,78.16999816894531
2018-12-06,76.87999725341797
2019-08-19,76.44000244140625
2019-07-18,76.5
2019-05-15,77.7699966430664
2019-09-20,78.7300033569336
2019-11-01,78.73999786376953
2020-04-07,79.7300033569336
2020-06-25,80.20999908447266
2020-06-16,80.48999786376953
2019-11-04,80.81999969482422
2020-01-22,80.81999969482422
2019-11-07,80.33000183105469
2020-04-13,79.56999969482422
2019-07-01,79.9000015258789
2019-05-30,80.04000091552734
2018-08-15,81.5199966430664
2018-10-18,82.30999755859375
2019-03-27,83.0999984741211
2019-01-22,82.43000030517578
2018-12-21,82.41999816894531
2019-09-03,83.04000091552734
2018-11-19,83.2300033569336
2019-08-02,82.41999816894531
2020-01-28,82.58000183105469
2020-04-16,81.25
2019-11-13,79.38999938964844
2020-01-31,79.6500015258789
2018-12-04,80.16999816894531
2018-11-02,80.01000213623047
2019-07-16,81.38999938964844
2018-08-30,83.19999694824219
2018-10-01,82.69999694824219
2019-06-14,83.20999908447266
2019-05-13,83.58000183105469
2019-04-11,83.48999786376953
2019-02-06,83.23999786376953
2019-09-18,85.69000244140625
2020-02-03,85.08999633789062
2020-04-22,86.0
2019-11-19,85.16000366210938
2020-02-06,84.86000061035156
2019-11-22,82.61000061035156
2019-03-25,83.7699966430664
2019-02-21,84.29000091552734
2018-12-19,85.0999984741211
2018-07-12,84.33999633789062
2018-09-14,81.93000030517578
2018-08-13,82.33999633789062
2018-10-16,80.08999633789062
2019-07-31,80.04000091552734
2019-05-28,80.37000274658203
2019-04-26,79.66000366210938
2020-04-28,74.7699966430664
2019-11-25,75.97000122070312
2020-02-12,75.7699966430664
2020-05-01,75.5999984741211
2020-05-04,77.5199966430664
2019-06-12,77.4000015258789
2019-04-09,75.83000183105469
2019-03-08,74.6500015258789
2019-02-04,74.19000244140625
2018-07-27,73.47000122070312
2018-08-28,72.69000244140625
2019-01-03,72.0
2019-08-15,73.26000213623047
2018-10-31,73.06999969482422
2019-09-16,75.5
2020-02-18,75.2300033569336
2020-05-07,77.52999877929688
2018-08-17,76.48999786376953
2019-12-04,77.33999633789062
2020-02-21,76.94000244140625
2018-12-17,77.69000244140625
2019-08-30,77.70999908447266
2018-11-15,76.3499984741211
2019-07-29,75.52999877929688
2019-06-27,76.31999969482422
2019-04-24,74.44000244140625
2018-07-10,73.76000213623047
2018-09-12,74.69000244140625
2019-02-19,70.48999786376953
2019-01-18,71.98999786376953
2020-02-24,72.05000305175781
2020-05-13,72.33999633789062
2019-12-10,72.27999877929688
