Dates,JNPR
2018-06-20,26.940000534057617
2018-06-21,26.920000076293945
2018-06-25,26.709999084472656
2018-06-22,26.31999969482422
2018-06-26,26.56999969482422
2018-06-27,26.739999771118164
2018-06-28,27.260000228881836
2018-06-29,27.420000076293945
2018-07-02,27.75
2018-07-03,27.229999542236328
2018-07-05,27.809999465942383
2018-07-16,27.959999084472656
2018-09-18,28.440000534057617
2019-01-24,28.299999237060547
2019-09-05,28.1299991607666
2018-11-21,28.510000228881836
2020-01-13,27.860000610351562
2020-04-01,27.860000610351562
2020-06-19,27.93000030517578
2019-10-29,28.270000457763672
2020-01-16,28.059999465942383
2020-06-22,27.969999313354492
2018-10-03,28.079999923706055
2018-07-31,27.950000762939453
2019-03-12,28.200000762939453
2019-02-08,28.25
2019-01-07,26.18000030517578
2018-12-06,26.299999237060547
2019-08-19,26.34000015258789
2019-07-18,25.93000030517578
2019-05-15,26.18000030517578
2019-09-20,26.34000015258789
2019-11-01,26.270000457763672
2020-04-07,26.649999618530273
2020-06-25,26.75
2020-06-16,26.940000534057617
2019-11-04,26.889999389648438
2020-01-22,26.940000534057617
2019-11-07,26.899999618530273
2020-04-13,26.84000015258789
2019-07-01,27.299999237060547
2019-05-30,27.739999771118164
2018-08-15,28.18000030517578
2018-10-18,28.309999465942383
2019-03-27,28.260000228881836
2019-01-22,28.34000015258789
2018-12-21,28.579999923706055
2019-09-03,28.549999237060547
2018-11-19,28.93000030517578
2019-08-02,28.84000015258789
2020-01-28,28.68000030517578
2020-04-16,28.43000030517578
2019-11-13,28.389999389648438
2020-01-31,27.989999771118164
2018-12-04,27.700000762939453
2018-11-02,27.510000228881836
2019-07-16,27.6299991607666
2018-08-30,27.5
2018-10-01,27.549999237060547
2019-06-14,27.81999969482422
2019-05-13,27.8700008392334
2019-04-11,28.0
2019-02-06,28.59000015258789
2019-09-18,29.200000762939453
2020-02-03,29.559999465942383
2020-04-22,29.770000457763672
2019-11-19,29.670000076293945
2020-02-06,29.790000915527344
2019-11-22,29.59000015258789
2019-03-25,29.700000762939453
2019-02-21,29.969999313354492
2018-12-19,29.920000076293945
2018-07-12,29.829999923706055
2018-09-14,29.75
2018-08-13,29.3700008392334
2018-10-16,29.139999389648438
2019-07-31,28.809999465942383
2019-05-28,28.760000228881836
2019-04-26,27.610000610351562
2020-04-28,26.780000686645508
2019-11-25,27.31999969482422
2020-02-12,27.770000457763672
2020-05-01,28.559999465942383
2020-05-04,28.8700008392334
2019-06-12,28.6200008392334
2019-04-09,28.40999984741211
2019-03-08,28.479999542236328
2019-02-04,27.579999923706055
2018-07-27,28.65999984741211
2018-08-28,28.6299991607666
2019-01-03,28.139999389648438
2019-08-15,28.049999237060547
2018-10-31,28.780000686645508
2019-09-16,29.270000457763672
2020-02-18,29.639999389648438
2020-05-07,29.770000457763672
2018-08-17,29.81999969482422
2019-12-04,30.149999618530273
2020-02-21,30.440000534057617
2018-12-17,30.670000076293945
2019-08-30,29.1200008392334
2018-11-15,28.389999389648438
2019-07-29,28.299999237060547
2019-06-27,28.139999389648438
2019-04-24,28.31999969482422
2018-07-10,28.59000015258789
2018-09-12,28.059999465942383
2019-02-19,27.270000457763672
2019-01-18,27.559999465942383
2020-02-24,27.520000457763672
2020-05-13,27.68000030517578
2019-12-10,27.989999771118164
2020-02-27,29.440000534057617
2019-12-13,28.59000015258789
2020-05-19,28.709999084472656
2019-03-06,29.31999969482422
2018-11-30,28.3799991607666
2019-08-13,28.40999984741211
2019-07-12,27.65999984741211
2019-06-10,27.610000610351562
2019-05-09,27.829999923706055
2018-07-25,28.459999084472656
2018-09-27,28.100000381469727
2018-10-29,27.770000457763672
2019-10-16,27.3799991607666
2019-12-16,27.770000457763672
2020-03-04,26.959999084472656
2020-05-22,26.940000534057617
2019-10-01,26.229999542236328
2019-12-19,25.559999465942383
2018-09-10,26.600000381469727
2019-05-24,26.799999237060547
2018-08-09,26.75
2019-04-22,26.90999984741211
2019-03-21,26.889999389648438
2019-01-16,26.0
2019-08-28,27.0
2018-11-13,27.520000457763672
2018-10-12,27.8700008392334
2019-06-25,28.149999618530273
2020-03-10,28.260000228881836
2020-05-28,28.1299991607666
2019-10-07,27.899999618530273
2020-03-13,28.1299991607666
2019-10-10,28.06999969482422
2020-03-16,27.950000762939453
2020-06-03,28.31999969482422
2018-11-28,27.84000015258789
2018-09-25,27.989999771118164
2018-07-23,28.18000030517578
2018-08-24,28.3799991607666
2019-07-10,28.149999618530273
2019-05-07,27.950000762939453
2019-04-05,25.829999923706055
2019-03-04,25.940000534057617
2019-01-31,25.809999465942383
2019-09-12,26.010000228881836
2019-12-31,26.059999465942383
2020-03-19,26.1200008392334
2020-01-03,25.969999313354492
2020-06-09,26.09000015258789
2019-02-15,26.170000076293945
2019-01-14,26.6200008392334
2018-07-06,26.729999542236328
2018-08-07,26.959999084472656
2018-10-10,27.1200008392334
2018-12-13,27.149999618530273
2019-08-26,27.190000534057617
2019-07-25,27.239999771118164
2019-05-22,27.610000610351562
2019-03-19,27.600000381469727
2020-01-06,27.56999969482422
2020-03-25,27.459999084472656
2020-06-12,27.079999923706055
2019-10-22,27.030000686645508
2020-01-09,27.0
2020-06-15,26.549999237060547
2019-10-25,26.579999923706055
2020-03-31,25.950000762939453
2020-06-18,25.690000534057617
2019-04-03,26.170000076293945
2018-08-22,26.280000686645508
2018-10-25,26.459999084472656
2019-01-29,26.700000762939453
2018-12-28,26.84000015258789
2018-11-26,26.360000610351562
2019-08-09,26.200000762939453
2019-07-08,26.219999313354492
