Dates,GRMN
2018-06-20,61.439998626708984
2018-06-21,60.119998931884766
2018-06-25,60.22999954223633
2018-06-22,59.709999084472656
2018-06-26,60.25
2018-06-27,59.97999954223633
2018-06-28,60.959999084472656
2018-06-29,61.0
2018-07-02,60.91999816894531
2018-07-03,60.619998931884766
2018-07-05,60.58000183105469
2018-07-16,61.349998474121094
2018-09-18,62.38999938964844
2019-01-24,63.29999923706055
2019-09-05,62.279998779296875
2018-11-21,63.06999969482422
2020-01-13,63.22999954223633
2020-04-01,63.439998626708984
2020-06-19,64.05999755859375
2019-10-29,64.05000305175781
2020-01-16,65.02999877929688
2020-06-22,64.55000305175781
2018-10-03,63.869998931884766
2018-07-31,63.47999954223633
2019-03-12,63.40999984741211
2019-02-08,63.61000061035156
2019-01-07,62.93000030517578
2018-12-06,61.900001525878906
2019-08-19,62.45000076293945
2019-07-18,64.5
2019-05-15,64.52999877929688
2019-09-20,64.91000366210938
2019-11-01,64.55000305175781
2020-04-07,64.83999633789062
2020-06-25,64.43000030517578
2020-06-16,64.66999816894531
2019-11-04,63.83000183105469
2020-01-22,63.540000915527344
2019-11-07,64.18000030517578
2020-04-13,63.63999938964844
2019-07-01,64.45999908447266
2019-05-30,65.3499984741211
2018-08-15,64.69999694824219
2018-10-18,64.94000244140625
2019-03-27,64.97000122070312
2019-01-22,65.0
2018-12-21,64.73999786376953
2019-09-03,65.72000122070312
2018-11-19,66.37999725341797
2019-08-02,68.11000061035156
2020-01-28,67.72000122070312
2020-04-16,68.13999938964844
2019-11-13,67.98999786376953
2020-01-31,68.72000122070312
2018-12-04,69.02999877929688
2018-11-02,67.91999816894531
2019-07-16,68.02999877929688
2018-08-30,68.4000015258789
2018-10-01,68.44999694824219
2019-06-14,68.61000061035156
2019-05-13,68.72000122070312
2019-04-11,68.33999633789062
2019-02-06,68.9800033569336
2019-09-18,69.19000244140625
2020-02-03,69.70999908447266
2020-04-22,70.04000091552734
2019-11-19,69.68000030517578
2020-02-06,69.62000274658203
2019-11-22,69.56999969482422
2019-03-25,69.58999633789062
2019-02-21,70.05000305175781
2018-12-19,69.8499984741211
2018-07-12,69.45999908447266
2018-09-14,69.4000015258789
2018-08-13,69.13999938964844
2018-10-16,68.5999984741211
2019-07-31,67.8499984741211
2019-05-28,67.2300033569336
2019-04-26,64.5999984741211
2020-04-28,62.970001220703125
2019-11-25,62.59000015258789
2020-02-12,62.18000030517578
2020-05-01,63.130001068115234
2020-05-04,63.04999923706055
2019-06-12,62.290000915527344
2019-04-09,61.970001220703125
2019-03-08,62.61000061035156
2019-02-04,62.560001373291016
2018-07-27,61.4900016784668
2018-08-28,62.150001525878906
2019-01-03,61.560001373291016
2019-08-15,61.77000045776367
2018-10-31,63.04999923706055
2019-09-16,66.16000366210938
2020-02-18,67.41999816894531
2020-05-07,66.1500015258789
2018-08-17,64.8499984741211
2019-12-04,64.55999755859375
2020-02-21,65.73999786376953
2018-12-17,66.58000183105469
2019-08-30,66.11000061035156
2018-11-15,65.6500015258789
2019-07-29,64.9800033569336
2019-06-27,64.20999908447266
2019-04-24,65.22000122070312
2018-07-10,65.4800033569336
2018-09-12,64.83999633789062
2019-02-19,64.37999725341797
2019-01-18,65.12000274658203
2020-02-24,64.98999786376953
2020-05-13,65.87000274658203
2019-12-10,65.36000061035156
2020-02-27,66.37999725341797
2019-12-13,65.9800033569336
2020-05-19,66.66000366210938
2019-03-06,68.56999969482422
2018-11-30,66.4000015258789
2019-08-13,65.02999877929688
2019-07-12,64.68000030517578
2019-06-10,64.93000030517578
2019-05-09,65.38999938964844
2018-07-25,66.2699966430664
2018-09-27,66.0999984741211
2018-10-29,65.13999938964844
2019-10-16,63.11000061035156
2019-12-16,63.560001373291016
2020-03-04,62.18000030517578
2020-05-22,62.119998931884766
2019-10-01,61.33000183105469
2019-12-19,60.54999923706055
2018-09-10,62.20000076293945
2019-05-24,62.959999084472656
2018-08-09,62.81999969482422
2019-04-22,63.31999969482422
2019-03-21,62.52000045776367
2019-01-16,61.38999938964844
2019-08-28,63.720001220703125
2018-11-13,64.18000030517578
2018-10-12,64.77999877929688
2019-06-25,65.68000030517578
2020-03-10,66.05000305175781
2020-05-28,66.56999969482422
2019-10-07,65.76000213623047
2020-03-13,66.26000213623047
2019-10-10,66.68000030517578
2020-03-16,67.04000091552734
2020-06-03,67.9000015258789
2018-11-28,67.38999938964844
2018-09-25,67.63999938964844
2018-07-23,68.0199966430664
2018-08-24,68.58000183105469
2019-07-10,67.62999725341797
2019-05-07,68.68000030517578
2019-04-05,69.0999984741211
2019-03-04,69.18000030517578
2019-01-31,69.33999633789062
2019-09-12,69.56999969482422
2019-12-31,69.63999938964844
2020-03-19,69.7699966430664
2020-01-03,69.58000183105469
2020-06-09,70.26000213623047
2019-02-15,70.55000305175781
2019-01-14,71.55000305175781
2018-07-06,71.4000015258789
2018-08-07,71.38999938964844
2018-10-10,71.62000274658203
2018-12-13,70.97000122070312
2019-08-26,83.05999755859375
2019-07-25,82.41999816894531
2019-05-22,83.06999969482422
2019-03-19,83.55000305175781
2020-01-06,83.6500015258789
2020-03-25,84.16999816894531
2020-06-12,83.97000122070312
2019-10-22,84.69000244140625
2020-01-09,84.73999786376953
2020-06-15,83.97000122070312
2019-10-25,83.48999786376953
2020-03-31,83.01000213623047
2020-06-18,82.68000030517578
2019-04-03,83.86000061035156
2018-08-22,84.52999877929688
2018-10-25,83.94000244140625
2019-01-29,83.04000091552734
2018-12-28,83.25
2018-11-26,83.94999694824219
2019-08-09,83.68000030517578
2019-07-08,84.22000122070312
2019-06-06,84.58999633789062
2019-09-10,83.58000183105469
2020-01-15,84.13999938964844
2020-04-03,85.22000122070312
2019-10-31,85.88999938964844
2020-04-06,85.61000061035156
2020-06-24,86.3499984741211
2018-11-09,87.87999725341797
2019-07-23,88.25
2019-06-21,88.55999755859375
2019-05-20,88.19999694824219
2019-04-18,88.16999816894531
2018-09-06,89.0999984741211
2018-10-08,88.2300033569336
2019-02-13,88.80000305175781
2018-12-11,89.01000213623047
2019-09-25,88.94999694824219
2020-01-21,88.66000366210938
2020-04-09,87.7699966430664
2019-11-06,86.19000244140625
2020-01-24,86.52999877929688
2020-01-27,86.06999969482422
2020-04-15,86.94000244140625
2018-12-26,86.62000274658203
2019-08-07,85.70999908447266
2019-06-04,85.80000305175781
2018-09-21,85.45999908447266
2018-07-19,85.73999786376953
2018-08-20,80.05999755859375
2018-10-23,78.76000213623047
2019-05-03,79.55000305175781
2019-04-01,79.30999755859375
2019-02-28,78.37000274658203
2019-11-12,78.68000030517578
2020-01-30,78.55999755859375
2019-11-15,79.30999755859375
2020-04-21,77.27999877929688
2019-04-16,77.98999786376953
2019-03-15,79.02999877929688
2019-02-11,79.41000366210938
2019-01-10,78.13999938964844
