Dates,UNP
2018-06-20,142.44000244140625
2018-06-21,141.64999389648438
2018-06-25,143.5800018310547
2018-06-22,140.22999572753906
2018-06-26,140.8300018310547
2018-06-27,139.75999450683594
2018-06-28,138.8699951171875
2018-06-29,141.47999572753906
2018-07-02,140.47999572753906
2018-07-03,140.89999389648438
2018-07-05,141.0
2018-07-16,142.1300048828125
2018-09-18,143.00999450683594
2019-01-24,142.92999267578125
2019-09-05,139.35000610351562
2018-11-21,139.75999450683594
2020-01-13,139.1300048828125
2020-04-01,137.50999450683594
2020-06-19,137.50999450683594
2019-10-29,139.47000122070312
2020-01-16,136.66000366210938
2020-06-22,139.33999633789062
2018-10-03,141.39999389648438
2018-07-31,142.0
2019-03-12,141.52000427246094
2019-02-08,145.60000610351562
2019-01-07,147.0
2018-12-06,148.02999877929688
2019-08-19,148.5399932861328
2019-07-18,148.02999877929688
2019-05-15,147.0
2019-09-20,148.74000549316406
2019-11-01,148.25
2020-04-07,149.0399932861328
2020-06-25,149.52000427246094
2020-06-16,148.52000427246094
2019-11-04,147.4600067138672
2020-01-22,147.9199981689453
2019-11-07,148.85000610351562
2020-04-13,147.52000427246094
2019-07-01,148.50999450683594
2019-05-30,148.7899932861328
2018-08-15,150.13999938964844
2018-10-18,150.6199951171875
2019-03-27,150.2100067138672
2019-01-22,149.57000732421875
2018-12-21,149.9199981689453
2019-09-03,151.1699981689453
2018-11-19,151.00999450683594
2019-08-02,150.6300048828125
2020-01-28,149.0500030517578
2020-04-16,149.0
2019-11-13,149.7100067138672
2020-01-31,150.42999267578125
2018-12-04,154.25
2018-11-02,154.05999755859375
2019-07-16,155.91000366210938
2018-08-30,154.82000732421875
2018-10-01,156.05999755859375
2019-06-14,156.07000732421875
2019-05-13,156.14999389648438
2019-04-11,156.27000427246094
2019-02-06,162.85000610351562
2019-09-18,161.89999389648438
2020-02-03,162.52999877929688
2020-04-22,164.5500030517578
2019-11-19,163.0500030517578
2020-02-06,162.8699951171875
2019-11-22,162.60000610351562
2019-03-25,162.50999450683594
2019-02-21,162.3000030517578
2018-12-19,164.08999633789062
2018-07-12,162.41000366210938
2018-09-14,162.66000366210938
2018-08-13,162.47999572753906
2018-10-16,163.0500030517578
2019-07-31,162.19000244140625
2019-05-28,162.27000427246094
2019-04-26,154.1699981689453
2020-04-28,150.36000061035156
2019-11-25,151.64999389648438
2020-02-12,151.66000366210938
2020-05-01,151.9199981689453
2020-05-04,149.24000549316406
2019-06-12,146.58999633789062
2019-04-09,147.74000549316406
2019-03-08,145.58999633789062
2019-02-04,141.57000732421875
2018-07-27,140.4199981689453
2018-08-28,135.80999755859375
2019-01-03,140.0800018310547
2019-08-15,139.32000732421875
2018-10-31,141.67999267578125
2019-09-16,145.91000366210938
2020-02-18,146.24000549316406
2020-05-07,147.7100067138672
2018-08-17,148.35000610351562
2019-12-04,148.58999633789062
2020-02-21,150.22000122070312
2018-12-17,151.39999389648438
2019-08-30,149.6699981689453
2018-11-15,147.4199981689453
2019-07-29,147.4499969482422
2019-06-27,146.63999938964844
2019-04-24,146.72999572753906
2018-07-10,151.00999450683594
2018-09-12,148.8699951171875
2019-02-19,140.97000122070312
2019-01-18,141.77999877929688
2020-02-24,142.24000549316406
2020-05-13,142.08999633789062
2019-12-10,142.69000244140625
2020-02-27,146.61000061035156
2019-12-13,149.74000549316406
2020-05-19,150.13999938964844
2019-03-06,156.38999938964844
2018-11-30,151.72999572753906
2019-08-13,146.8800048828125
