Dates,UNP
2018-06-20,143.99000549316406
2018-06-21,143.97999572753906
2018-06-25,144.9199981689453
2018-06-22,143.8300018310547
2018-06-26,142.25999450683594
2018-06-27,143.27000427246094
2018-06-28,141.3300018310547
2018-06-29,143.32000732421875
2018-07-02,143.2899932861328
2018-07-03,143.8000030517578
2018-07-05,142.47999572753906
2018-07-16,144.07000732421875
2018-09-18,145.38999938964844
2019-01-24,145.6300048828125
2019-09-05,142.8000030517578
2018-11-21,142.19000244140625
2020-01-13,140.44000244140625
2020-04-01,141.8000030517578
2020-06-19,139.02999877929688
2019-10-29,141.99000549316406
2020-01-16,141.80999755859375
2020-06-22,142.1300048828125
2018-10-03,144.89999389648438
2018-07-31,146.57000732421875
2019-03-12,146.24000549316406
2019-02-08,149.0399932861328
2019-01-07,148.77999877929688
2018-12-06,150.47999572753906
2019-08-19,151.5
2019-07-18,150.39999389648438
2019-05-15,150.38999938964844
2019-09-20,150.1300048828125
2019-11-01,150.3300018310547
2020-04-07,150.3000030517578
2020-06-25,150.83999633789062
2020-06-16,150.38999938964844
2019-11-04,149.39999389648438
2020-01-22,149.82000732421875
2019-11-07,151.10000610351562
2020-04-13,149.6199951171875
2019-07-01,150.25999450683594
2019-05-30,150.1699981689453
2018-08-15,151.7899932861328
2018-10-18,151.97000122070312
2019-03-27,151.44000244140625
2019-01-22,150.74000549316406
2018-12-21,151.4600067138672
2019-09-03,153.0399932861328
2018-11-19,153.72000122070312
2019-08-02,152.0
2020-01-28,150.27999877929688
2020-04-16,150.80999755859375
2019-11-13,151.7100067138672
2020-01-31,154.2899932861328
2018-12-04,155.9600067138672
2018-11-02,156.60000610351562
2019-07-16,156.91000366210938
2018-08-30,156.80999755859375
2018-10-01,157.69000244140625
2019-06-14,157.9499969482422
2019-05-13,157.8000030517578
2019-04-11,157.85000610351562
2019-02-06,164.5800018310547
2019-09-18,163.6999969482422
2020-02-03,165.11000061035156
2020-04-22,165.6300048828125
2019-11-19,164.83999633789062
2020-02-06,164.63999938964844
2019-11-22,164.5399932861328
2019-03-25,164.32000732421875
2019-02-21,164.14999389648438
2018-12-19,164.97999572753906
2018-07-12,164.5399932861328
2018-09-14,164.77000427246094
2018-08-13,164.64999389648438
2018-10-16,164.63999938964844
2019-07-31,164.8800048828125
2019-05-28,164.66000366210938
2019-04-26,162.97000122070312
2020-04-28,156.27999877929688
2019-11-25,155.17999267578125
2020-02-12,154.52999877929688
2020-05-01,153.7100067138672
2020-05-04,154.44000244140625
2019-06-12,150.0800018310547
2019-04-09,149.72999572753906
2019-03-08,147.3800048828125
2019-02-04,144.94000244140625
2018-07-27,146.1699981689453
2018-08-28,145.14999389648438
2019-01-03,144.16000366210938
2019-08-15,144.7100067138672
2018-10-31,146.61000061035156
2019-09-16,148.9600067138672
2020-02-18,147.9499969482422
2020-05-07,149.97999572753906
2018-08-17,149.8000030517578
2019-12-04,150.63999938964844
2020-02-21,152.92999267578125
2018-12-17,153.3000030517578
2019-08-30,151.82000732421875
2018-11-15,151.0
2019-07-29,150.07000732421875
2019-06-27,151.49000549316406
2019-04-24,152.13999938964844
2018-07-10,152.94000244140625
2018-09-12,151.3800048828125
2019-02-19,147.82000732421875
2019-01-18,144.6199951171875
2020-02-24,144.1199951171875
2020-05-13,144.66000366210938
2019-12-10,147.3800048828125
2020-02-27,152.13999938964844
2019-12-13,151.67999267578125
2020-05-19,154.3699951171875
2019-03-06,159.6300048828125
2018-11-30,157.58999633789062
2019-08-13,151.75
2019-07-12,153.52000427246094
2019-06-10,148.60000610351562
2019-05-09,151.14999389648438
2018-07-25,150.88999938964844
2018-09-27,148.22000122070312
2018-10-29,145.8699951171875
2019-10-16,142.1999969482422
2019-12-16,141.63999938964844
2020-03-04,142.63999938964844
2020-05-22,136.99000549316406
2019-10-01,137.66000366210938
2019-12-19,132.52999877929688
2018-09-10,136.07000732421875
2019-05-24,137.13999938964844
2018-08-09,138.5800018310547
2019-04-22,138.50999450683594
2019-03-21,138.32000732421875
2019-01-16,136.75
2019-08-28,138.5800018310547
2018-11-13,139.22999572753906
2018-10-12,152.88999938964844
2019-06-25,151.05999755859375
2020-03-10,155.2899932861328
2020-05-28,155.02999877929688
2019-10-07,154.24000549316406
2020-03-13,154.36000061035156
2019-10-10,153.72999572753906
2020-03-16,154.9199981689453
2020-06-03,158.8000030517578
2018-11-28,157.1999969482422
2018-09-25,156.02000427246094
2018-07-23,160.75999450683594
2018-08-24,162.0
2019-07-10,160.7899932861328
2019-05-07,160.92999267578125
2019-04-05,161.88999938964844
2019-03-04,160.99000549316406
2019-01-31,160.50999450683594
2019-09-12,161.16000366210938
2019-12-31,161.33999633789062
2020-03-19,162.02000427246094
2020-01-03,161.60000610351562
2020-06-09,161.75999450683594
2019-02-15,164.6300048828125
2019-01-14,168.0500030517578
2018-07-06,169.1699981689453
2018-08-07,170.52000427246094
2018-10-10,171.35000610351562
2018-12-13,172.44000244140625
2019-08-26,171.92999267578125
2019-07-25,171.8300018310547
2019-05-22,170.35000610351562
2019-03-19,170.74000549316406
2020-01-06,171.22999572753906
2020-03-25,170.5500030517578
2020-06-12,169.19000244140625
2019-10-22,169.5399932861328
2020-01-09,170.11000061035156
2020-06-15,169.19000244140625
2019-10-25,167.2100067138672
2020-03-31,166.11000061035156
2020-06-18,164.47999572753906
2019-04-03,166.9499969482422
2018-08-22,166.75999450683594
2018-10-25,168.9199981689453
2019-01-29,167.3300018310547
2018-12-28,166.61000061035156
2018-11-26,167.57000732421875
2019-08-09,165.92999267578125
2019-07-08,162.42999267578125
2019-06-06,163.27000427246094
2019-09-10,162.44000244140625
2020-01-15,163.6999969482422
2020-04-03,163.05999755859375
2019-10-31,163.60000610351562
2020-04-06,165.47999572753906
2020-06-24,168.13999938964844
2018-11-09,171.27000427246094
2019-07-23,171.2899932861328
2019-06-21,171.02000427246094
2019-05-20,170.1699981689453
2019-04-18,169.99000549316406
2018-09-06,168.80999755859375
2018-10-08,167.55999755859375
2019-02-13,167.2899932861328
2018-12-11,167.02999877929688
2019-09-25,169.63999938964844
2020-01-21,170.24000549316406
2020-04-09,168.35000610351562
2019-11-06,172.2899932861328
2020-01-24,177.77000427246094
2020-01-27,179.5500030517578
2020-04-15,177.47999572753906
2018-12-26,179.10000610351562
2019-08-07,177.13999938964844
2019-06-04,177.25999450683594
2018-09-21,177.75
2018-07-19,177.66000366210938
2018-08-20,178.02000427246094
2018-10-23,175.97000122070312
2019-05-03,180.02000427246094
2019-04-01,179.6300048828125
2019-02-28,175.72000122070312
2019-11-12,177.1699981689453
2020-01-30,176.0500030517578
2019-11-15,176.25999450683594
2020-04-21,173.3699951171875
2019-04-16,176.19000244140625
2019-03-15,174.83999633789062
2019-02-11,176.52999877929688
2019-01-10,176.10000610351562
2019-08-22,175.67999267578125
2018-11-07,176.3300018310547
2018-08-03,175.17999267578125
2018-09-04,172.91000366210938
2019-06-19,173.97999572753906
2019-09-23,174.00999450683594
2019-11-18,169.77999877929688
2020-02-05,169.8699951171875
2020-04-24,167.92999267578125
2019-03-29,168.6199951171875
2019-11-21,170.58999633789062
2020-04-27,173.0500030517578
2020-02-11,172.25
2020-04-30,172.52999877929688
2019-05-01,174.92999267578125
2019-02-26,173.75999450683594
2019-01-25,172.02999877929688
2018-12-24,170.22999572753906
2019-09-06,167.66000366210938
2018-07-17,165.77000427246094
2018-09-19,167.4600067138672
2019-08-05,166.52000427246094
2019-10-08,168.55999755859375
2019-12-11,170.4199981689453
2019-11-27,169.24000549316406
2020-02-14,167.75999450683594
2020-05-06,167.22000122070312
2019-01-08,167.8300018310547
2018-12-07,169.38999938964844
2019-08-20,173.42999267578125
2018-11-05,171.97999572753906
2019-07-19,172.00999450683594
2018-10-04,171.38999938964844
2019-06-17,170.07000732421875
2019-05-16,170.0
2018-08-01,171.0399932861328
2019-03-13,172.25
2019-12-03,174.35000610351562
2020-02-20,173.97000122070312
2019-12-06,176.72000122070312
2020-05-12,171.50999450683594
2019-12-09,174.89999389648438
2020-02-26,177.58999633789062
2020-05-15,176.13999938964844
2019-03-28,174.25999450683594
2018-09-17,175.30999755859375
2018-08-16,175.11000061035156
2018-10-19,175.72000122070312
2019-04-29,177.74000549316406
2019-01-23,179.47999572753906
2019-09-04,180.3000030517578
2018-11-20,180.5399932861328
2019-07-02,174.80999755859375
2019-05-31,171.41000366210938
2019-12-12,169.4499969482422
2020-05-18,167.24000549316406
2019-09-27,170.61000061035156
2020-03-03,169.6699981689453
2020-05-21,168.7100067138672
2019-05-14,169.64999389648438
2018-08-31,166.83999633789062
2018-07-30,163.9600067138672
2018-10-02,166.88999938964844
2019-04-12,170.27999877929688
2019-03-11,168.82000732421875
2019-02-07,169.52999877929688
2019-07-17,170.08999633789062
2019-09-19,165.4600067138672
2019-10-21,162.4199981689453
2019-12-18,160.7100067138672
2020-03-06,159.72999572753906
2019-10-03,162.77999877929688
2020-03-09,164.0800018310547
2020-05-27,162.10000610351562
2019-12-24,160.89999389648438
2020-03-12,166.66000366210938
2018-12-20,167.2100067138672
2019-08-01,166.4600067138672
2018-08-14,167.72999572753906
2018-07-13,167.99000549316406
2018-10-17,168.5800018310547
2019-05-29,172.2100067138672
2019-03-26,170.88999938964844
2019-02-22,169.67999267578125
2019-10-04,168.07000732421875
2019-11-05,168.08999633789062
2019-12-27,168.57000732421875
2020-06-02,167.19000244140625
2019-12-30,169.35000610351562
2020-03-18,165.66000366210938
2020-06-05,165.58999633789062
2019-07-15,164.80999755859375
2018-12-03,164.91000366210938
2019-06-13,163.19000244140625
2019-01-04,154.7100067138672
2018-08-29,153.75
2019-02-05,156.41000366210938
2018-11-01,156.91000366210938
2019-08-16,154.80999755859375
2019-04-10,154.5500030517578
2019-09-17,155.9499969482422
2019-10-15,162.24000549316406
2020-01-02,160.74000549316406
2020-06-08,163.66000366210938
2019-10-18,164.91000366210938
2020-03-24,166.11000061035156
2020-06-11,163.92999267578125
2020-01-08,167.39999389648438
2019-04-25,170.94000244140625
2019-07-30,171.0
2019-02-20,171.9499969482422
2018-07-11,172.67999267578125
2018-09-13,173.05999755859375
2018-10-15,170.57000732421875
2019-06-28,169.64999389648438
2018-12-18,167.9499969482422
2018-11-16,172.5500030517578
2019-10-02,176.6999969482422
2020-03-27,179.47999572753906
2020-01-10,177.99000549316406
2019-10-24,180.0
2020-03-30,176.6699981689453
2020-06-17,177.11000061035156
2020-01-14,176.8300018310547
2020-04-02,176.39999389648438
2019-01-02,176.1999969482422
2019-08-14,177.10000610351562
2018-10-30,176.47000122070312
2019-06-11,177.2899932861328
2019-05-10,177.7100067138672
2019-04-08,174.8300018310547
2018-08-27,175.99000549316406
2018-07-26,179.99000549316406
2018-09-28,179.9499969482422
2019-03-07,177.8000030517578
2019-10-30,176.99000549316406
2020-01-17,176.57000732421875
2020-06-23,171.07000732421875
2020-04-08,172.88999938964844
2020-06-26,171.88999938964844
2019-03-22,174.1300048828125
2019-01-17,172.5800018310547
2019-08-29,172.5
2018-11-14,174.67999267578125
2019-06-26,176.32000732421875
2018-09-11,177.52999877929688
2018-07-09,180.83999633789062
2018-08-10,180.66000366210938
2019-04-23,179.3000030517578
2019-09-30,179.1999969482422
2020-01-23,180.55999755859375
2019-11-08,180.67999267578125
2020-04-14,180.47999572753906
2019-11-11,180.9199981689453
2020-01-29,181.58999633789062
2020-04-17,181.3800048828125
2018-07-24,181.25999450683594
2018-09-26,182.3800048828125
2019-05-08,181.19000244140625
2019-03-05,180.0800018310547
2019-02-01,179.5800018310547
2018-12-31,181.0500030517578
2018-11-29,180.8300018310547
2019-08-12,179.92999267578125
2019-07-11,179.99000549316406
2019-09-13,182.72999572753906
2019-11-14,182.4199981689453
2020-04-20,184.1699981689453
2020-02-04,185.64999389648438
2020-04-23,184.52999877929688
2018-12-14,183.41000366210938
2019-08-27,187.67999267578125
2018-08-08,188.9600067138672
2018-10-11,183.9600067138672
2018-11-12,181.67999267578125
2019-07-26,184.27000427246094
2019-06-24,183.5
2019-05-23,182.47000122070312
2019-03-20,182.0500030517578
2019-01-15,185.02000427246094
2019-11-20,185.85000610351562
2020-02-07,187.6699981689453
2020-02-10,185.64999389648438
2020-04-29,184.82000732421875
2019-11-26,185.67999267578125
2020-02-13,185.9600067138672
2019-01-30,185.5500030517578
2018-08-23,185.52999877929688
2018-09-24,184.49000549316406
2018-11-27,185.5
2018-10-26,184.52000427246094
2019-07-09,182.8300018310547
2019-06-07,177.80999755859375
2019-05-06,178.1199951171875
2019-04-04,172.82000732421875
2019-09-11,165.13999938964844
2019-11-29,159.97999572753906
2020-05-05,161.97000122070312
2019-12-02,167.6199951171875
2020-02-19,162.97999572753906
2020-05-08,159.8000030517578
2019-05-21,156.92999267578125
2019-03-18,145.5800018310547
2018-09-07,147.0
2018-08-06,143.42999267578125
2018-10-09,142.17999267578125
2019-02-14,143.85000610351562
2018-12-12,135.8699951171875
2019-07-24,132.7100067138672
2019-09-26,123.30999755859375
2019-10-28,123.68000030517578
2019-12-05,125.75
2020-05-11,119.33999633789062
2019-07-03,130.11000061035156
2020-02-25,141.08999633789062
2020-05-14,143.38999938964844
2020-02-28,143.6199951171875
2019-08-08,143.30999755859375
2019-06-05,144.7100067138672
2018-07-20,137.97000122070312
2018-08-21,142.3699951171875
2018-10-24,142.5500030517578
2019-04-02,149.2899932861328
2019-03-01,153.50999450683594
2019-01-28,150.7899932861328
2018-12-27,153.19000244140625
2019-09-09,149.0800018310547
2020-03-02,151.3300018310547
2020-05-20,147.4199981689453
2019-12-17,147.02000427246094
2020-03-05,150.85000610351562
2019-02-12,149.17999267578125
2019-01-11,145.80999755859375
2018-12-10,148.36000061035156
2019-08-23,158.25999450683594
2018-11-08,158.07000732421875
2019-07-22,161.22999572753906
2019-06-20,162.4600067138672
2018-09-05,166.22999572753906
2019-04-17,161.85000610351562
2019-09-24,157.6999969482422
2019-12-20,155.1999969482422
2020-05-26,159.17999267578125
2019-04-30,157.1300048828125
2019-12-23,157.9600067138672
2020-03-11,159.36000061035156
2020-05-29,157.9499969482422
2019-12-26,157.17999267578125
2020-06-01,153.9499969482422
2019-05-02,152.67999267578125
2019-02-27,152.8800048828125
2018-11-23,160.86000061035156
2019-08-06,162.91000366210938
2018-07-18,168.6999969482422
2018-09-20,165.97999572753906
2018-10-22,165.42999267578125
2019-07-05,171.00999450683594
2019-06-03,174.0800018310547
2019-10-09,173.63999938964844
2019-10-11,171.44000244140625
2020-03-17,170.47000122070312
2020-06-04,173.5
2019-10-14,178.85000610351562
2020-03-20,177.69000244140625
2018-11-06,187.8300018310547
2019-06-18,185.99000549316406
2019-05-17,180.4199981689453
2019-04-15,178.75999450683594
2019-03-14,170.13999938964844
2019-01-09,168.55999755859375
2018-08-02,169.13999938964844
2018-10-05,174.47999572753906
2019-08-21,173.5500030517578
2019-10-17,171.88999938964844
2020-03-23,173.52999877929688
2020-06-10,168.85000610351562
2019-02-25,171.25999450683594
2020-01-07,168.9499969482422
2020-03-26,167.24000549316406
2019-10-23,168.13999938964844
