Dates,CXO
2018-06-20,131.69000244140625
2018-06-21,129.7100067138672
2018-06-25,129.49000549316406
2018-06-22,126.88999938964844
2018-06-26,125.83999633789062
2018-06-27,133.19000244140625
2018-06-28,138.35000610351562
2018-06-29,137.17999267578125
2018-07-02,136.92999267578125
2018-07-03,137.61000061035156
2018-07-05,137.07000732421875
2018-07-16,135.7899932861328
2018-09-18,142.6699981689453
2019-01-24,146.58999633789062
2019-09-05,144.3800048828125
2018-11-21,144.39999389648438
2020-01-13,146.0800018310547
2020-04-01,146.22999572753906
2020-06-19,146.64999389648438
2019-10-29,150.75999450683594
2020-01-16,149.13999938964844
2020-06-22,148.83999633789062
2018-10-03,144.2899932861328
2018-07-31,143.25
2019-03-12,145.89999389648438
2019-02-08,149.0500030517578
2019-01-07,148.3699951171875
2018-12-06,149.86000061035156
2019-08-19,148.64999389648438
2019-07-18,143.42999267578125
2019-05-15,141.44000244140625
2019-09-20,140.6300048828125
2019-11-01,133.57000732421875
2020-04-07,135.97999572753906
2020-06-25,135.57000732421875
2020-06-16,135.57000732421875
2019-11-04,134.91000366210938
2020-01-22,137.52000427246094
2019-11-07,137.55999755859375
2020-04-13,135.8800048828125
2019-07-01,138.63999938964844
2019-05-30,134.4199981689453
2018-08-15,134.58999633789062
2018-10-18,136.47000122070312
2019-03-27,136.0399932861328
2019-01-22,135.24000549316406
2018-12-21,136.0500030517578
2019-09-03,138.0800018310547
2018-11-19,139.13999938964844
2019-08-02,137.69000244140625
2020-01-28,137.17999267578125
2020-04-16,138.27999877929688
2019-11-13,137.32000732421875
2020-01-31,134.19000244140625
2018-12-04,134.8300018310547
2018-11-02,131.27999877929688
2019-07-16,133.38999938964844
2018-08-30,132.6999969482422
2018-10-01,137.33999633789062
2019-06-14,140.39999389648438
2019-05-13,141.08999633789062
2019-04-11,142.35000610351562
2019-02-06,143.0500030517578
2019-09-18,143.5500030517578
2020-02-03,145.36000061035156
2020-04-22,144.19000244140625
2019-11-19,145.11000061035156
2020-02-06,148.75999450683594
2019-11-22,150.0500030517578
2019-03-25,151.5
2019-02-21,150.5
2018-12-19,152.8800048828125
2018-07-12,153.77000427246094
2018-09-14,153.9499969482422
2018-08-13,156.3800048828125
2018-10-16,156.4499969482422
2019-07-31,157.02000427246094
2019-05-28,157.14999389648438
2019-04-26,160.02999877929688
2020-04-28,151.64999389648438
2019-11-25,152.92999267578125
2020-02-12,150.60000610351562
2020-05-01,151.88999938964844
2020-05-04,152.75
2019-06-12,148.52000427246094
2019-04-09,148.19000244140625
2019-03-08,147.67999267578125
2019-02-04,144.0
2018-07-27,143.1999969482422
2018-08-28,136.1199951171875
2019-01-03,134.11000061035156
2019-08-15,135.25
2018-10-31,130.16000366210938
2019-09-16,140.3800048828125
2020-02-18,141.0399932861328
2020-05-07,144.9499969482422
2018-08-17,142.99000549316406
2019-12-04,142.17999267578125
2020-02-21,144.0
2018-12-17,142.25
2019-08-30,133.6999969482422
2018-11-15,138.16000366210938
2019-07-29,129.07000732421875
2019-06-27,130.14999389648438
2019-04-24,127.97000122070312
2018-07-10,135.0500030517578
2018-09-12,136.13999938964844
2019-02-19,136.60000610351562
2019-01-18,135.5800018310547
2020-02-24,129.82000732421875
2020-05-13,128.6199951171875
2019-12-10,128.10000610351562
2020-02-27,126.41999816894531
2019-12-13,128.3000030517578
2020-05-19,130.4499969482422
2019-03-06,134.7100067138672
2018-11-30,134.82000732421875
2019-08-13,125.25
2019-07-12,123.61000061035156
2019-06-10,121.16999816894531
2019-05-09,122.69000244140625
2018-07-25,123.37999725341797
2018-09-27,121.41999816894531
2018-10-29,119.69000244140625
2019-10-16,114.12999725341797
2019-12-16,110.27999877929688
2020-03-04,105.83999633789062
2020-05-22,103.05000305175781
2019-10-01,100.88999938964844
2019-12-19,98.76000213623047
2018-09-10,96.0999984741211
2019-05-24,99.87999725341797
2018-08-09,103.54000091552734
2019-04-22,102.56999969482422
2019-03-21,100.41999816894531
2019-01-16,107.12000274658203
2019-08-28,108.95999908447266
2018-11-13,112.30000305175781
2018-10-12,116.68000030517578
2019-06-25,121.95999908447266
2020-03-10,121.83999633789062
2020-05-28,120.66000366210938
2019-10-07,118.8499984741211
2020-03-13,122.76000213623047
2019-10-10,122.87000274658203
2020-03-16,122.22000122070312
2020-06-03,126.47000122070312
2018-11-28,122.97000122070312
2018-09-25,119.0199966430664
2018-07-23,114.76000213623047
2018-08-24,117.18000030517578
2019-07-10,116.45999908447266
2019-05-07,118.2699966430664
2019-04-05,118.0999984741211
2019-03-04,121.48999786376953
2019-01-31,120.62999725341797
2019-09-12,118.68000030517578
2019-12-31,119.80999755859375
2020-03-19,116.88999938964844
2020-01-03,115.87000274658203
2020-06-09,112.75
2019-02-15,111.5199966430664
2019-01-14,117.94000244140625
2018-07-06,117.0
2018-08-07,118.66000366210938
2018-10-10,120.93000030517578
2018-12-13,121.80999755859375
2019-08-26,115.98999786376953
2019-07-25,112.11000061035156
2019-05-22,104.52999877929688
2019-03-19,105.5
2020-01-06,108.63999938964844
2020-03-25,108.79000091552734
2020-06-12,111.33999633789062
2019-10-22,110.58000183105469
2020-01-09,111.66999816894531
2020-06-15,111.86000061035156
2019-10-25,107.94999694824219
2020-03-31,105.80999755859375
2020-06-18,100.0
2019-04-03,101.29000091552734
2018-08-22,100.86000061035156
2018-10-25,103.37000274658203
2019-01-29,102.13999938964844
2018-12-28,103.30999755859375
2018-11-26,104.04000091552734
2019-08-09,108.12000274658203
2019-07-08,105.91999816894531
2019-06-06,109.11000061035156
2019-09-10,108.33999633789062
2020-01-15,104.11000061035156
2020-04-03,106.76000213623047
2019-10-31,107.58999633789062
2020-04-06,106.3499984741211
2020-06-24,113.08000183105469
2018-11-09,112.06999969482422
2019-07-23,112.31999969482422
2019-06-21,112.2300033569336
2019-05-20,108.8499984741211
2019-04-18,109.55000305175781
2018-09-06,110.7699966430664
2018-10-08,111.52999877929688
2019-02-13,108.4000015258789
2018-12-11,107.19000244140625
2019-09-25,114.02999877929688
2020-01-21,113.33000183105469
2020-04-09,115.5199966430664
2019-11-06,116.76000213623047
2020-01-24,114.30000305175781
2020-01-27,118.56999969482422
2020-04-15,120.25
2018-12-26,124.08000183105469
2019-08-07,120.94000244140625
2019-06-04,119.61000061035156
2018-09-21,117.20999908447266
2018-07-19,116.80000305175781
2018-08-20,115.94999694824219
2018-10-23,108.29000091552734
2019-05-03,105.73999786376953
2019-04-01,107.5199966430664
2019-02-28,106.47000122070312
2019-11-12,105.5999984741211
2020-01-30,109.01000213623047
2019-11-15,110.55999755859375
2020-04-21,111.26000213623047
2019-04-16,111.97000122070312
2019-03-15,110.4800033569336
2019-02-11,113.86000061035156
2019-01-10,112.98999786376953
2019-08-22,112.9000015258789
2018-11-07,112.75
2018-08-03,114.87000274658203
2018-09-04,107.98999786376953
2019-06-19,104.12000274658203
2019-09-23,101.5999984741211
2019-11-18,98.29000091552734
2020-02-05,100.80999755859375
2020-04-24,96.08999633789062
2019-03-29,98.7699966430664
2019-11-21,100.41999816894531
2020-04-27,101.37999725341797
2020-02-11,99.02999877929688
2020-04-30,100.61000061035156
2019-05-01,100.04000091552734
2019-02-26,100.9000015258789
2019-01-25,99.66000366210938
2018-12-24,99.7699966430664
2019-09-06,100.2300033569336
2018-07-17,97.72000122070312
2018-09-19,102.0
2019-08-05,104.55000305175781
2019-10-08,104.98999786376953
2019-12-11,105.5199966430664
2019-11-27,106.76000213623047
2020-02-14,102.8499984741211
2020-05-06,103.56999969482422
2019-01-08,102.16000366210938
2018-12-07,102.19000244140625
2019-08-20,105.5
2018-11-05,103.01000213623047
2019-07-19,99.47000122070312
2018-10-04,98.69000244140625
2019-06-17,100.06999969482422
2019-05-16,100.4000015258789
2018-08-01,101.27999877929688
2019-03-13,103.13999938964844
2019-12-03,102.44000244140625
2020-02-20,102.58999633789062
2019-12-06,99.33000183105469
2020-05-12,98.5
2019-12-09,97.91999816894531
2020-02-26,98.94000244140625
2020-05-15,101.69000244140625
2019-03-28,100.70999908447266
2018-09-17,101.72000122070312
2018-08-16,103.58000183105469
2018-10-19,97.91000366210938
2019-04-29,97.01000213623047
2019-01-23,94.8499984741211
2019-09-04,97.86000061035156
2018-11-20,78.69999694824219
2019-07-02,76.05000305175781
2019-05-31,70.75
2019-12-12,69.4000015258789
2020-05-18,65.08999633789062
2019-09-27,69.47000122070312
2020-03-03,73.58999633789062
2020-05-21,71.33999633789062
2019-05-14,70.25
2018-08-31,69.08000183105469
2018-07-30,68.94000244140625
2018-10-02,69.51000213623047
2019-04-12,73.19000244140625
2019-03-11,72.30000305175781
2019-02-07,73.25
2019-07-17,73.12999725341797
2019-09-19,71.5
2019-10-21,70.87000274658203
2019-12-18,69.81999969482422
2020-03-06,69.58999633789062
2019-10-03,71.25
2020-03-09,72.77999877929688
2020-05-27,71.76000213623047
2019-12-24,71.0
2020-03-12,73.5
2018-12-20,69.81999969482422
2019-08-01,70.54000091552734
2018-08-14,74.98999786376953
2018-07-13,75.33999633789062
2018-10-17,73.0
2019-05-29,73.55000305175781
2019-03-26,78.93000030517578
2019-02-22,75.58999633789062
2019-10-04,73.16999816894531
2019-11-05,74.05000305175781
2019-12-27,73.20999908447266
2020-06-02,71.77999877929688
2019-12-30,72.33000183105469
2020-03-18,70.5
2020-06-05,69.41999816894531
2019-07-15,67.43000030517578
2018-12-03,68.51000213623047
2019-06-13,68.5999984741211
2019-01-04,64.20999908447266
2018-08-29,62.709999084472656
2019-02-05,64.87999725341797
2018-11-01,64.91000366210938
2019-08-16,62.310001373291016
2019-04-10,62.90999984741211
2019-09-17,63.34000015258789
2019-10-15,65.0199966430664
2020-01-02,64.45999908447266
2020-06-08,65.61000061035156
2019-10-18,65.61000061035156
2020-03-24,64.9800033569336
2020-06-11,63.459999084472656
2020-01-08,62.2599983215332
2019-04-25,63.599998474121094
2019-07-30,64.75
2019-02-20,65.70999908447266
2018-07-11,65.70999908447266
2018-09-13,66.41999816894531
2018-10-15,64.52999877929688
2019-06-28,73.58000183105469
2018-12-18,66.47000122070312
2018-11-16,68.11000061035156
2019-10-02,70.62999725341797
2020-03-27,71.69999694824219
2020-01-10,72.33999633789062
2019-10-24,72.55999755859375
2020-03-30,71.63999938964844
2020-06-17,71.44999694824219
2020-01-14,72.91999816894531
2020-04-02,71.88999938964844
2019-01-02,72.0999984741211
2019-08-14,71.93000030517578
2018-10-30,72.26000213623047
2019-06-11,71.94999694824219
2019-05-10,70.9800033569336
2019-04-08,72.16000366210938
2018-08-27,73.04000091552734
