Dates,CXO
2018-06-20,1948600.0
2018-06-21,3181500.0
2018-06-25,2775900.0
2018-06-22,1505100.0
2018-06-26,2527700.0
2018-06-27,4001200.0
2018-06-28,2151500.0
2018-06-29,1785300.0
2018-07-02,1410900.0
2018-07-03,851700.0
2018-07-05,1051200.0
2018-07-16,1360400.0
2018-09-18,1452700.0
2019-01-24,1218900.0
2019-09-05,2458800.0
2018-11-21,1819800.0
2020-01-13,1983400.0
2020-04-01,2576500.0
2020-06-19,4168600.0
2019-10-29,5085500.0
2020-01-16,10949200.0
2020-06-22,4224600.0
2018-10-03,2530200.0
2018-07-31,2586600.0
2019-03-12,2105200.0
2019-02-08,1797100.0
2019-01-07,1333500.0
2018-12-06,1291200.0
2019-08-19,2047000.0
2019-07-18,3025400.0
2019-05-15,4779500.0
2019-09-20,3600200.0
2019-11-01,2063700.0
2020-04-07,1801100.0
2020-06-25,2097100.0
2020-06-16,1247000.0
2019-11-04,1729600.0
2020-01-22,1536600.0
2019-11-07,1484700.0
2020-04-13,2936600.0
2019-07-01,2328700.0
2019-05-30,2444600.0
2018-08-15,1489800.0
2018-10-18,1332200.0
2019-03-27,1110500.0
2019-01-22,1342300.0
2018-12-21,2078300.0
2019-09-03,1536700.0
2018-11-19,1494100.0
2019-08-02,1067500.0
2020-01-28,771300.0
2020-04-16,956900.0
2019-11-13,1063900.0
2020-01-31,1650400.0
2018-12-04,1373300.0
2018-11-02,2141300.0
2019-07-16,997000.0
2018-08-30,1643100.0
2018-10-01,2455000.0
2019-06-14,2603700.0
2019-05-13,1599200.0
2019-04-11,1421800.0
2019-02-06,1450100.0
2019-09-18,1415700.0
2020-02-03,1580500.0
2020-04-22,4494100.0
2019-11-19,2701900.0
2020-02-06,2649500.0
2019-11-22,1580500.0
2019-03-25,1496000.0
2019-02-21,2028800.0
2018-12-19,1317400.0
2018-07-12,1562700.0
2018-09-14,2005900.0
2018-08-13,1927300.0
2018-10-16,1837000.0
2019-07-31,1314900.0
2019-05-28,1365600.0
2019-04-26,1848200.0
2020-04-28,2786800.0
2019-11-25,1772000.0
2020-02-12,1038600.0
2020-05-01,1460100.0
2020-05-04,882400.0
2019-06-12,1293000.0
2019-04-09,1635600.0
2019-03-08,1128900.0
2019-02-04,1452900.0
2018-07-27,1737100.0
2018-08-28,1746000.0
2019-01-03,2143600.0
2019-08-15,1777900.0
2018-10-31,2580800.0
2019-09-16,3751800.0
2020-02-18,2434200.0
2020-05-07,1949400.0
2018-08-17,1464700.0
2019-12-04,1191800.0
2020-02-21,1547200.0
2018-12-17,1687000.0
2019-08-30,1399600.0
2018-11-15,1710900.0
2019-07-29,2836000.0
2019-06-27,2329900.0
2019-04-24,2389900.0
2018-07-10,2413700.0
2018-09-12,2123500.0
2019-02-19,2013700.0
2019-01-18,1332000.0
2020-02-24,1268400.0
2020-05-13,1605100.0
2019-12-10,1977900.0
2020-02-27,1533600.0
2019-12-13,1456000.0
2020-05-19,2372100.0
2019-03-06,1648900.0
2018-11-30,1638800.0
2019-08-13,3128600.0
2019-07-12,2357900.0
2019-06-10,1845100.0
2019-05-09,1640500.0
2018-07-25,2452000.0
2018-09-27,1741500.0
2018-10-29,1574300.0
2019-10-16,2309800.0
2019-12-16,3011400.0
2020-03-04,3005800.0
2020-05-22,3927100.0
2019-10-01,3696500.0
2019-12-19,1037800.0
2018-09-10,2189600.0
2019-05-24,1501800.0
2018-08-09,1231400.0
2019-04-22,1602500.0
2019-03-21,1640700.0
2019-01-16,1564300.0
2019-08-28,2053400.0
2018-11-13,1952000.0
2018-10-12,2664800.0
2019-06-25,2256400.0
2020-03-10,1617000.0
2020-05-28,1369300.0
2019-10-07,1238900.0
2020-03-13,1405300.0
2019-10-10,2089500.0
2020-03-16,1832700.0
2020-06-03,2902200.0
2018-11-28,2293100.0
2018-09-25,2578100.0
2018-07-23,1272200.0
2018-08-24,1297100.0
2019-07-10,1288800.0
2019-05-07,1029400.0
2019-04-05,1637700.0
2019-03-04,1552200.0
2019-01-31,1182500.0
2019-09-12,1038300.0
2019-12-31,1924800.0
2020-03-19,811600.0
2020-01-03,1469300.0
2020-06-09,2055100.0
2019-02-15,1936900.0
2019-01-14,2093500.0
2018-07-06,1781300.0
2018-08-07,1400500.0
2018-10-10,2429000.0
2018-12-13,2961100.0
2019-08-26,6778400.0
2019-07-25,5864000.0
2019-05-22,3573300.0
2019-03-19,2960100.0
2020-01-06,1639600.0
2020-03-25,1780800.0
2020-06-12,2047400.0
2019-10-22,1693400.0
2020-01-09,1504700.0
2020-06-15,1866100.0
2019-10-25,1908600.0
2020-03-31,2059700.0
2020-06-18,1485700.0
2019-04-03,2212300.0
2018-08-22,1574700.0
2018-10-25,2061400.0
2019-01-29,1281400.0
2018-12-28,2116600.0
2018-11-26,1645000.0
2019-08-09,1081500.0
2019-07-08,1700800.0
2019-06-06,925700.0
2019-09-10,1480600.0
2020-01-15,1105800.0
2020-04-03,1303800.0
2019-10-31,1168300.0
2020-04-06,1439800.0
2020-06-24,1363700.0
2018-11-09,1497700.0
2019-07-23,967000.0
2019-06-21,2218500.0
2019-05-20,1704000.0
2019-04-18,4722400.0
2018-09-06,2561800.0
2018-10-08,1651800.0
2019-02-13,1621700.0
2018-12-11,3948900.0
2019-09-25,4189800.0
2020-01-21,2418400.0
2020-04-09,1383600.0
2019-11-06,1715700.0
2020-01-24,1891900.0
2020-01-27,2598300.0
2020-04-15,2937400.0
2018-12-26,3611200.0
2019-08-07,2216500.0
2019-06-04,2894600.0
2018-09-21,1527700.0
2018-07-19,2890600.0
2018-08-20,3854300.0
2018-10-23,3804500.0
2019-05-03,2595900.0
2019-04-01,2363000.0
2019-02-28,2783400.0
2019-11-12,2434000.0
2020-01-30,1827700.0
2019-11-15,2107600.0
2020-04-21,1289800.0
2019-04-16,1447200.0
2019-03-15,975700.0
2019-02-11,963000.0
2019-01-10,1311300.0
2019-08-22,1455100.0
2018-11-07,1260900.0
2018-08-03,1728200.0
2018-09-04,2369000.0
2019-06-19,2639000.0
2019-09-23,1534900.0
2019-11-18,2036200.0
2020-02-05,1329500.0
2020-04-24,1893900.0
2019-03-29,1288000.0
2019-11-21,1668000.0
2020-04-27,2187700.0
2020-02-11,2165900.0
2020-04-30,2458700.0
2019-05-01,1572800.0
2019-02-26,1330000.0
2019-01-25,1254000.0
2018-12-24,1105800.0
2019-09-06,1528400.0
2018-07-17,1326600.0
2018-09-19,1960600.0
2019-08-05,1531500.0
2019-10-08,2211200.0
