Dates,MKTX
2018-06-20,214.3300018310547
2018-06-21,212.50999450683594
2018-06-25,213.47999572753906
2018-06-22,210.0800018310547
2018-06-26,204.80999755859375
2018-06-27,202.1999969482422
2018-06-28,200.7100067138672
2018-06-29,202.8800048828125
2018-07-02,196.2899932861328
2018-07-03,202.00999450683594
2018-07-05,199.5800018310547
2018-07-16,199.67999267578125
2018-09-18,203.38999938964844
2019-01-24,203.47999572753906
2019-09-05,201.2100067138672
2018-11-21,204.41000366210938
2020-01-13,207.32000732421875
2020-04-01,205.5800018310547
2020-06-19,206.22999572753906
2019-10-29,208.22999572753906
2020-01-16,208.72999572753906
2020-06-22,208.1999969482422
2018-10-03,209.7899932861328
2018-07-31,211.3000030517578
2019-03-12,200.0500030517578
2019-02-08,202.38999938964844
2019-01-07,200.14999389648438
2018-12-06,198.6999969482422
2019-08-19,192.42999267578125
2019-07-18,193.08999633789062
2019-05-15,192.9600067138672
2019-09-20,192.02000427246094
2019-11-01,189.24000549316406
2020-04-07,189.2100067138672
2020-06-25,189.0399932861328
2020-06-16,186.25
2019-11-04,185.25999450683594
2020-01-22,186.27000427246094
2019-11-07,186.57000732421875
2020-04-13,185.8800048828125
2019-07-01,187.69000244140625
2019-05-30,188.08999633789062
2018-08-15,188.8300018310547
2018-10-18,189.69000244140625
2019-03-27,189.99000549316406
2019-01-22,190.7899932861328
2018-12-21,189.72999572753906
2019-09-03,188.14999389648438
2018-11-19,187.74000549316406
2019-08-02,188.3300018310547
2020-01-28,189.77000427246094
2020-04-16,189.5
2019-11-13,189.7100067138672
2020-01-31,194.35000610351562
2018-12-04,190.47999572753906
2018-11-02,183.3300018310547
2019-07-16,187.3699951171875
2018-08-30,182.47999572753906
2018-10-01,182.69000244140625
2019-06-14,184.08999633789062
2019-05-13,183.6999969482422
2019-04-11,183.50999450683594
2019-02-06,178.22000122070312
2019-09-18,182.16000366210938
2020-02-03,182.9499969482422
2020-04-22,183.58999633789062
2019-11-19,181.25
2020-02-06,183.7899932861328
2019-11-22,182.0
2019-03-25,179.19000244140625
2019-02-21,177.6699981689453
2018-12-19,177.7899932861328
2018-07-12,174.30999755859375
2018-09-14,178.08999633789062
2018-08-13,184.1199951171875
2018-10-16,192.14999389648438
2019-07-31,188.75999450683594
2019-05-28,185.89999389648438
2019-04-26,188.52000427246094
2020-04-28,185.9600067138672
2019-11-25,187.85000610351562
2020-02-12,186.97999572753906
2020-05-01,190.1199951171875
2020-05-04,193.02000427246094
2019-06-12,196.1699981689453
2019-04-09,194.49000549316406
2019-03-08,197.86000061035156
2019-02-04,193.89999389648438
2018-07-27,199.75
2018-08-28,212.0500030517578
2019-01-03,208.83999633789062
2019-08-15,210.05999755859375
2018-10-31,209.99000549316406
2019-09-16,217.72000122070312
2020-02-18,210.63999938964844
2020-05-07,209.60000610351562
2018-08-17,208.0
2019-12-04,206.3800048828125
2020-02-21,208.14999389648438
2018-12-17,207.80999755859375
2019-08-30,206.1199951171875
2018-11-15,208.2100067138672
2019-07-29,208.0
2019-06-27,209.2100067138672
2019-04-24,209.58999633789062
2018-07-10,208.27999877929688
2018-09-12,213.3000030517578
2019-02-19,212.92999267578125
2019-01-18,216.85000610351562
2020-02-24,213.2100067138672
2020-05-13,214.9199981689453
2019-12-10,213.97000122070312
2020-02-27,218.77999877929688
2019-12-13,215.0
2020-05-19,215.52999877929688
2019-03-06,212.8800048828125
2018-11-30,219.97999572753906
2019-08-13,221.3699951171875
2019-07-12,221.17999267578125
2019-06-10,223.58999633789062
2019-05-09,227.10000610351562
2018-07-25,230.25999450683594
2018-09-27,228.5399932861328
