Dates,MKTX
2018-06-20,210.83999633789062
2018-06-21,210.1699981689453
2018-06-25,210.25999450683594
2018-06-22,204.4499969482422
2018-06-26,201.16000366210938
2018-06-27,199.91000366210938
2018-06-28,199.55999755859375
2018-06-29,196.80999755859375
2018-07-02,195.13999938964844
2018-07-03,198.94000244140625
2018-07-05,196.5500030517578
2018-07-16,197.7899932861328
2018-09-18,202.49000549316406
2019-01-24,200.0
2019-09-05,200.41000366210938
2018-11-21,202.97000122070312
2020-01-13,204.1199951171875
2020-04-01,204.64999389648438
2020-06-19,205.61000061035156
2019-10-29,206.1300048828125
2020-01-16,207.11000061035156
2020-06-22,207.25999450683594
2018-10-03,209.0
2018-07-31,209.0
2019-03-12,200.0500030517578
2019-02-08,199.9499969482422
2019-01-07,197.7899932861328
2018-12-06,188.7100067138672
2019-08-19,189.5
2019-07-18,191.9499969482422
2019-05-15,190.25999450683594
2019-09-20,187.35000610351562
2019-11-01,188.4600067138672
2020-04-07,189.00999450683594
2020-06-25,185.58999633789062
2020-06-16,185.7899932861328
2019-11-04,184.5500030517578
2020-01-22,185.75999450683594
2019-11-07,185.85000610351562
2020-04-13,185.63999938964844
2019-07-01,187.44000244140625
2019-05-30,186.8800048828125
2018-08-15,188.5399932861328
2018-10-18,189.2100067138672
2019-03-27,188.75
2019-01-22,188.89999389648438
2018-12-21,186.9600067138672
2019-09-03,186.11000061035156
2018-11-19,187.5
2019-08-02,187.97999572753906
2020-01-28,188.8699951171875
2020-04-16,188.4199981689453
2019-11-13,188.9600067138672
2020-01-31,190.11000061035156
2018-12-04,182.7100067138672
2018-11-02,182.02999877929688
2019-07-16,182.38999938964844
2018-08-30,181.47999572753906
2018-10-01,180.02999877929688
2019-06-14,181.8300018310547
2019-05-13,183.2100067138672
2019-04-11,179.36000061035156
2019-02-06,177.75999450683594
2019-09-18,181.99000549316406
2020-02-03,180.77000427246094
2020-04-22,180.61000061035156
2019-11-19,180.5800018310547
2020-02-06,180.5399932861328
2019-11-22,179.08999633789062
2019-03-25,177.22000122070312
2019-02-21,177.14999389648438
2018-12-19,173.0
2018-07-12,172.08999633789062
2018-09-14,177.13999938964844
2018-08-13,182.8800048828125
2018-10-16,188.91000366210938
2019-07-31,184.91000366210938
2019-05-28,185.2100067138672
2019-04-26,185.30999755859375
2020-04-28,182.99000549316406
2019-11-25,184.69000244140625
2020-02-12,186.0500030517578
2020-05-01,189.66000366210938
2020-05-04,191.8300018310547
2019-06-12,193.66000366210938
2019-04-09,194.49000549316406
2019-03-08,196.22999572753906
2019-02-04,189.67999267578125
2018-07-27,193.3699951171875
2018-08-28,207.0
2019-01-03,205.07000732421875
2019-08-15,206.52999877929688
2018-10-31,209.99000549316406
2019-09-16,209.08999633789062
2020-02-18,208.00999450683594
2020-05-07,207.9499969482422
2018-08-17,206.38999938964844
2019-12-04,203.32000732421875
2020-02-21,205.72999572753906
2018-12-17,203.57000732421875
2019-08-30,205.17999267578125
2018-11-15,205.97999572753906
2019-07-29,206.05999755859375
2019-06-27,209.2100067138672
2019-04-24,205.75
2018-07-10,208.27999877929688
2018-09-12,212.02000427246094
2019-02-19,210.33999633789062
2019-01-18,214.24000549316406
2020-02-24,212.97000122070312
2020-05-13,213.6199951171875
2019-12-10,213.77000427246094
2020-02-27,214.86000061035156
2019-12-13,211.1199951171875
2020-05-19,215.0399932861328
2019-03-06,212.5500030517578
2018-11-30,219.67999267578125
2019-08-13,217.11000061035156
2019-07-12,220.5500030517578
2019-06-10,222.5
2019-05-09,227.10000610351562
2018-07-25,221.77000427246094
2018-09-27,225.27999877929688
2018-10-29,224.99000549316406
2019-10-16,218.67999267578125
2019-12-16,212.91000366210938
2020-03-04,211.02999877929688
2020-05-22,208.88999938964844
2019-10-01,204.60000610351562
2019-12-19,199.24000549316406
2018-09-10,199.0399932861328
2019-05-24,200.25
2018-08-09,205.1999969482422
2019-04-22,206.6199951171875
2019-03-21,207.57000732421875
2019-01-16,206.91000366210938
2019-08-28,208.0800018310547
2018-11-13,209.50999450683594
2018-10-12,215.6999969482422
2019-06-25,212.72000122070312
2020-03-10,210.05999755859375
2020-05-28,210.75999450683594
2019-10-07,206.7899932861328
2020-03-13,207.1199951171875
2019-10-10,211.82000732421875
2020-03-16,215.24000549316406
2020-06-03,214.44000244140625
2018-11-28,216.52000427246094
2018-09-25,218.0
2018-07-23,218.3000030517578
2018-08-24,218.4600067138672
2019-07-10,217.32000732421875
2019-05-07,213.13999938964844
2019-04-05,207.16000366210938
2019-03-04,209.61000061035156
2019-01-31,212.30999755859375
2019-09-12,209.16000366210938
2019-12-31,214.7899932861328
2020-03-19,217.35000610351562
2020-01-03,216.24000549316406
2020-06-09,216.11000061035156
2019-02-15,220.75
2019-01-14,219.41000366210938
2018-07-06,226.10000610351562
2018-08-07,222.22999572753906
2018-10-10,224.8699951171875
2018-12-13,228.3000030517578
2019-08-26,230.67999267578125
2019-07-25,231.3699951171875
2019-05-22,233.97999572753906
2019-03-19,239.02999877929688
2020-01-06,239.83999633789062
2020-03-25,239.9499969482422
2020-06-12,242.61000061035156
2019-10-22,236.05999755859375
2020-01-09,237.07000732421875
2020-06-15,233.80999755859375
2019-10-25,228.4199981689453
2020-03-31,224.74000549316406
2020-06-18,222.30999755859375
2019-04-03,223.49000549316406
2018-08-22,225.75
2018-10-25,229.22999572753906
2019-01-29,229.24000549316406
2018-12-28,230.47000122070312
2018-11-26,234.08999633789062
2019-08-09,234.97999572753906
2019-07-08,235.69000244140625
2019-06-06,236.50999450683594
