Dates,MKTX
2018-06-20,210.04501342773438
2018-06-21,208.7139892578125
2018-06-25,208.03366088867188
2018-06-22,202.5321502685547
2018-06-26,199.8602294921875
2018-06-27,197.49395751953125
2018-06-28,199.80105590820312
2018-06-29,195.0784149169922
2018-07-02,197.898193359375
2018-07-03,196.79396057128906
2018-07-05,196.98129272460938
2018-07-16,199.7024688720703
2018-09-18,199.948974609375
2019-01-24,198.79541015625
2019-09-05,201.24053955078125
2018-11-21,203.6856689453125
2020-01-13,202.9659423828125
2020-04-01,203.08425903320312
2020-06-19,204.67161560058594
2019-10-29,206.81112670898438
2020-01-16,205.9730682373047
2020-06-22,207.26463317871094
2018-10-03,207.55056762695312
2018-07-31,206.6533660888672
2019-03-12,200.05740356445312
2019-02-08,197.55311584472656
2019-01-07,195.80801391601562
2018-12-06,189.50782775878906
2019-08-19,191.04592895507812
2019-07-18,190.80929565429688
2019-05-15,188.1275177001953
2019-09-20,186.97396850585938
2019-11-01,187.01339721679688
2020-04-07,186.77676391601562
2020-06-25,184.01988220214844
2020-06-16,183.77284240722656
2019-11-04,184.25704956054688
2020-01-22,183.7530975341797
2019-11-07,184.22740173339844
2020-04-13,185.01791381835938
2019-07-01,185.7392578125
2019-05-30,186.8360595703125
2018-08-15,187.76490783691406
2018-10-18,188.40719604492188
2019-03-27,188.47637939453125
2019-01-22,186.9348602294922
2018-12-21,185.15625
2019-09-03,184.99813842773438
2018-11-19,186.28271484375
2019-08-02,187.78466796875
2020-01-28,187.72537231445312
2020-04-16,187.5673065185547
2019-11-13,192.0731658935547
2020-01-31,188.92103576660156
2018-12-04,181.9843292236328
2018-11-02,184.74124145507812
2019-07-16,180.818359375
2018-08-30,182.18194580078125
2018-10-01,181.9052734375
2019-06-14,181.12464904785156
2019-05-13,181.27288818359375
2019-04-11,177.6562957763672
2019-02-06,179.48435974121094
2019-09-18,180.45272827148438
2020-02-03,181.06536865234375
2020-04-22,179.70175170898438
2019-11-19,181.9942169189453
2020-02-06,179.464599609375
2019-11-22,177.06346130371094
2019-03-25,176.0555419921875
2019-02-21,176.3717498779297
2018-12-19,171.82632446289062
2018-07-12,175.98638916015625
2018-09-14,180.96656799316406
2018-08-13,189.25698852539062
2018-10-16,187.2906036376953
2019-07-31,183.85189819335938
2019-05-28,186.45069885253906
2019-04-26,184.593017578125
2020-04-28,183.0021209716797
2019-11-25,185.27481079101562
2020-02-12,187.4783477783203
2020-05-01,191.30242919921875
2020-05-04,193.7431182861328
2019-06-12,192.4091339111328
2019-04-09,195.08697509765625
2019-03-08,194.0098876953125
2019-02-04,190.58108520507812
2018-07-27,206.4504852294922
2018-08-28,208.15008544921875
2019-01-03,205.2943878173828
2019-08-15,206.55918884277344
2018-10-31,214.681640625
2019-09-16,207.18170166015625
2020-02-18,206.11453247070312
2020-05-07,211.25282287597656
2018-08-17,204.63233947753906
2019-12-04,205.2165069580078
2020-02-21,206.02845764160156
2018-12-17,204.186767578125
2019-08-30,206.42449951171875
2018-11-15,205.35511779785156
2019-07-29,205.7412872314453
2019-06-27,208.0186004638672
2019-04-24,207.95921325683594
2018-07-10,211.36529541015625
2018-09-12,212.53366088867188
2019-02-19,214.8901824951172
2019-01-18,212.77127075195312
2020-02-24,211.3949737548828
2020-05-13,212.98912048339844
2019-12-10,215.68231201171875
2020-02-27,213.87033081054688
2019-12-13,212.92971801757812
2020-05-19,215.58328247070312
2019-03-06,217.12789916992188
2018-11-30,219.80130004882812
2019-08-13,219.7220916748047
2019-07-12,222.51426696777344
2019-06-10,224.1678009033203
2019-05-09,226.4352264404297
2018-07-25,226.0193634033203
2018-09-27,227.07879638671875
2018-10-29,224.26683044433594
2019-10-16,217.1972198486328
2019-12-16,211.2662811279297
2020-03-04,210.94943237304688
2020-05-22,207.31561279296875
2019-10-01,202.83029174804688
2019-12-19,197.36471557617188
2018-09-10,202.4540252685547
2019-05-24,203.82041931152344
2018-08-09,205.503662109375
2019-04-22,209.22657775878906
2019-03-21,207.1472930908203
2019-01-16,205.7115936279297
2019-08-28,212.18711853027344
2018-11-13,214.7218780517578
2018-10-12,214.55355834960938
2019-06-25,211.03854370117188
2020-03-10,210.57318115234375
2020-05-28,210.49395751953125
2019-10-07,205.53335571289062
2020-03-13,208.8008270263672
2019-10-10,214.1178741455078
2020-03-16,213.86044311523438
2020-06-03,217.01901245117188
2018-11-28,216.1476593017578
2018-09-25,217.64276123046875
2018-07-23,216.5932159423828
2018-08-24,217.2863311767578
2019-07-10,216.1476593017578
2019-05-07,211.3949737548828
2019-04-05,208.14732360839844
2019-03-04,212.6524658203125
2019-01-31,211.5137939453125
2019-09-12,214.2960968017578
2019-12-31,216.4843292236328
2020-03-19,216.68234252929688
2020-01-03,218.3358612060547
2020-06-09,218.4943084716797
2019-02-15,221.3557891845703
2019-01-14,223.69789123535156
2018-07-06,226.4964599609375
2018-08-07,225.03761291503906
2018-10-10,227.76673889160156
2018-12-13,230.77371215820312
2019-08-26,231.7958984375
2019-07-25,233.37380981445312
2019-05-22,237.1548614501953
2019-03-19,239.55648803710938
2020-01-06,238.62364196777344
2020-03-25,242.64288330078125
2020-06-12,242.027587890625
2019-10-22,241.2436065673828
2020-01-09,235.7555694580078
2020-06-15,232.1432342529297
2019-10-25,228.76907348632812
2020-03-31,223.72764587402344
2020-06-18,223.95590209960938
2019-04-03,225.43458557128906
2018-08-22,228.03466796875
2018-10-25,228.71945190429688
2019-01-29,230.0492706298828
2018-12-28,231.66688537597656
2018-11-26,235.83499145507812
2019-08-09,233.83030700683594
2019-07-08,235.41818237304688
2019-06-06,238.33583068847656
2019-09-10,236.52967834472656
2020-01-15,237.30374145507812
2020-04-03,241.8291015625
2019-10-31,243.21847534179688
2020-04-06,244.6475372314453
2020-06-24,244.21087646484375
2018-11-09,244.84600830078125
2019-07-23,246.80104064941406
2019-06-21,244.80630493164062
2019-05-20,246.523193359375
2019-04-18,251.9615478515625
2018-09-06,256.1792907714844
2018-10-08,257.0228271484375
2019-02-13,256.496826171875
2018-12-11,255.26626586914062
2019-09-25,257.8763122558594
2020-01-21,259.75189208984375
