Dates,MKTX
2018-06-20,179500.0
2018-06-21,150500.0
2018-06-25,176300.0
2018-06-22,152100.0
2018-06-26,315300.0
2018-06-27,188100.0
2018-06-28,187500.0
2018-06-29,200600.0
2018-07-02,215900.0
2018-07-03,165100.0
2018-07-05,188000.0
2018-07-16,144000.0
2018-09-18,173400.0
2019-01-24,167300.0
2019-09-05,229000.0
2018-11-21,172600.0
2020-01-13,181800.0
2020-04-01,124900.0
2020-06-19,193300.0
2019-10-29,182200.0
2020-01-16,120400.0
2020-06-22,257400.0
2018-10-03,204400.0
2018-07-31,534700.0
2019-03-12,643500.0
2019-02-08,235000.0
2019-01-07,170700.0
2018-12-06,225800.0
2019-08-19,298700.0
2019-07-18,212100.0
2019-05-15,285900.0
2019-09-20,182700.0
2019-11-01,203500.0
2020-04-07,124200.0
2020-06-25,250600.0
2020-06-16,159300.0
2019-11-04,113700.0
2020-01-22,129200.0
2019-11-07,134900.0
2020-04-13,145800.0
2019-07-01,102700.0
2019-05-30,89900.0
2018-08-15,79600.0
2018-10-18,127600.0
2019-03-27,75100.0
2019-01-22,106200.0
2018-12-21,232400.0
2019-09-03,254900.0
2018-11-19,103500.0
2019-08-02,146300.0
2020-01-28,120800.0
2020-04-16,146800.0
2019-11-13,179000.0
2020-01-31,193200.0
2018-12-04,413900.0
2018-11-02,238500.0
2019-07-16,140700.0
2018-08-30,138700.0
2018-10-01,157800.0
2019-06-14,91800.0
2019-05-13,153900.0
2019-04-11,188200.0
2019-02-06,117900.0
2019-09-18,114800.0
2020-02-03,133800.0
2020-04-22,283800.0
2019-11-19,202300.0
2020-02-06,218800.0
2019-11-22,201200.0
2019-03-25,206000.0
2019-02-21,255700.0
2018-12-19,330600.0
2018-07-12,403700.0
2018-09-14,332600.0
2018-08-13,488700.0
2018-10-16,185900.0
2019-07-31,235000.0
2019-05-28,147300.0
2019-04-26,221900.0
2020-04-28,290400.0
2019-11-25,189000.0
2020-02-12,133400.0
