Dates,FB
2018-06-20,202.0
2018-06-21,201.5
2018-06-25,201.74000549316406
2018-06-22,196.35000610351562
2018-06-26,199.0
2018-06-27,195.83999633789062
2018-06-28,196.22999572753906
2018-06-29,194.32000732421875
2018-07-02,197.36000061035156
2018-07-03,192.72999572753906
2018-07-05,198.4499969482422
2018-07-16,203.22999572753906
2018-09-18,204.74000549316406
2019-01-24,203.5399932861328
2019-09-05,202.5399932861328
2018-11-21,206.9199981689453
2020-01-13,207.32000732421875
2020-04-01,207.22999572753906
2020-06-19,209.99000549316406
2019-10-29,209.36000061035156
2020-01-16,208.08999633789062
2020-06-22,209.94000244140625
2018-10-03,210.91000366210938
2018-07-31,214.6699981689453
2019-03-12,217.5
2019-02-08,176.25999450683594
2019-01-07,174.88999938964844
2018-12-06,171.05999755859375
2019-08-19,172.5800018310547
2019-07-18,171.64999389648438
2019-05-15,176.3699951171875
2019-09-20,177.77999877929688
2019-11-01,185.69000244140625
2020-04-07,183.80999755859375
2020-06-25,185.17999267578125
2020-06-16,183.08999633789062
2019-11-04,180.25999450683594
2020-01-22,180.0500030517578
2019-11-07,181.11000061035156
2020-04-13,179.52999877929688
2019-07-01,174.6999969482422
2019-05-30,173.8000030517578
2018-08-15,172.5
2018-10-18,172.6199951171875
2019-03-27,173.63999938964844
2019-01-22,172.89999389648438
2018-12-21,174.64999389648438
2019-09-03,177.4600067138672
2018-11-19,176.25999450683594
2019-08-02,175.89999389648438
2020-01-28,177.63999938964844
2020-04-16,175.72999572753906
2019-11-13,171.16000366210938
2020-01-31,167.17999267578125
2018-12-04,162.52999877929688
2018-11-02,163.0399932861328
2019-07-16,164.17999267578125
2018-08-30,165.94000244140625
2018-10-01,162.0
2019-06-14,161.36000061035156
2019-05-13,162.32000732421875
2019-04-11,160.5800018310547
2019-02-06,160.3000030517578
2019-09-18,163.05999755859375
2020-02-03,166.02000427246094
2020-04-22,162.92999267578125
2019-11-19,165.41000366210938
2020-02-06,164.91000366210938
2019-11-22,166.9499969482422
2019-03-25,168.83999633789062
2019-02-21,164.4600067138672
2018-12-19,162.44000244140625
2018-07-12,159.3300018310547
2018-09-14,162.42999267578125
2018-08-13,158.85000610351562
2018-10-16,157.3300018310547
2019-07-31,157.25
2019-05-28,157.89999389648438
2019-04-26,151.3800048828125
2020-04-28,153.35000610351562
2019-11-25,153.74000549316406
2020-02-12,153.52000427246094
2020-05-01,158.77999877929688
2020-05-04,159.4199981689453
2019-06-12,154.9199981689453
2019-04-09,154.0500030517578
2019-03-08,154.77999877929688
2019-02-04,154.38999938964844
2018-07-27,146.0399932861328
2018-08-28,150.9499969482422
2019-01-03,145.3699951171875
2019-08-15,142.08999633789062
2018-10-31,146.22000122070312
2019-09-16,151.7899932861328
2020-02-18,151.75
2020-05-07,150.35000610351562
2018-08-17,148.67999267578125
2019-12-04,149.94000244140625
2020-02-21,151.52999877929688
2018-12-17,147.8699951171875
2019-08-30,144.9600067138672
2018-11-15,141.5500030517578
2019-07-29,142.16000366210938
2019-06-27,144.22000122070312
2019-04-24,143.85000610351562
2018-07-10,139.52999877929688
2018-09-12,131.5500030517578
2019-02-19,132.42999267578125
2019-01-18,134.82000732421875
2020-02-24,131.72999572753906
2020-05-13,136.3800048828125
2019-12-10,135.0
2020-02-27,136.75999450683594
2019-12-13,138.67999267578125
2020-05-19,140.61000061035156
2019-03-06,141.08999633789062
2018-11-30,137.92999267578125
2019-08-13,139.6300048828125
2019-07-12,137.4199981689453
2019-06-10,141.85000610351562
2019-05-09,142.0800018310547
2018-07-25,144.5
2018-09-27,145.00999450683594
2018-10-29,144.05999755859375
2019-10-16,140.19000244140625
2019-12-16,143.66000366210938
2020-03-04,133.24000549316406
